#漢字	音標	解釋
□	ki5	近指代词
敵	deʔ8	
敏	miŋ3	
救	tɕiɯ5	
教	tɕiɔ1	~书
教	tɕiɔ5	~育
斂	li6	
敝	bi6	
敢	ke3	
散	se3	鞋带~了,分~
敦	tʌŋ1	~厚
㪗	tʰɛu3	~开,~气
敬	tɕiŋ5	
數	su3	动词
數	su5	名次
敲	kʰɔ1	
整	tɕiŋ3	
敷	fu1	
文	ʋʌŋ2	
齋	dze2	
斗	tɛu5	~争
斗	tɛu3	一~米
料	liɔ6	
斜	zɿ2	
斟	tɕiŋ1	
斤	tɕiŋ1	
斥	tɕʰieʔ7	
斧	fu3	
斬	tse3	
斷	dʏ6	决~,~绝
斯	sɿ1	
方	fɤ̃1	
旁	bɤ̃2	
旅	ly3	
旋	ʑʏ2	
族	dzoʔ8	
旗	dzɿ2	
無	ʋu2	
既	tsɿ5	
日	ʑyøʔ8	
旦	te5	
舊	dziɯ6	
旨	tsɿ3	
早	tsɔ3	
旬	ɕioŋ3	
旱	ɦe6	
時	zɿ2	
曠	kʰuɤ̃5	
旺	ʋɤ̃6	兴~,火~
昂	ŋɤ̃2	
昆	kʰuʌŋ1	
昌	tɕʰiɤ̃1	
明	miŋ2	
昏	fʌŋ1	
易	ɦieʔ8	交~
易	ɦi6	难~
昔	ɕieʔ7	
星	ɕiŋ1	
映	iŋ3	~出来
映	iŋ5	反~
春	tɕʰioŋ1	
昧	mai6	
昨	dzo2	
昭	tɕiɔ1	
是	zɿ6	
顯	ɕi3	
晃	fɤ̃3	~眼
晉	tɕiŋ1	
晌	ɕiɤ̃3	~午
晏	e5	晚
曬	se5	
曉	ɕiɔ3	
暈	ɦioŋ2	
晚	ʋe3	
晨	ʑiŋ2	
普	pʰu3	
景	tɕiŋ3	
晴	dʑiŋ2	
晶	tɕiŋ1	
智	tsɿ1	
暫	dze6	
暑	ɕy3	
暖	nʏ3	
暗	e5	
暮	mo6	
暴	bɔ6	
曝	boŋ6	
曲	tɕʰyøʔ7	~折
更	kʌŋ5	~加,~换
更	tɕiŋ1	五~
曹	dzɔ2	
曾	dzʌŋ2	~经
曾	tsʌŋ1	姓
替	tʰi5	
最	tsai5	
月	ɦyøʔ8	
有	iɯ3	
朋	boŋ2	
服	ɦoʔ8	
朔	soʔ7	
朗	lɤ̃3	
望	ʋɤ̃6	
朝	dʑiɔ2	~代
朝	tɕiɔ1	今~
期	dzɿ2	时~
木	moʔ8	
未	ʋi6	
末	məʔ8	
本	pʌŋ3	
札	tsəʔ7	
术	ʑyøʔ8	
朱	tɕy1	
朴	pʰoʔ7	
朶	to3	
機	tsɿ1	
朽	ɕiɯ3	
殺	səʔ7	
雜	dzəʔ8	
權	dʑʏ2	
杆	ke3	
杈	tsʰa1	
杉	se1	
李	li3	
杏	ŋiŋ6	
材	dze2	
村	tsʰʌŋ1	
杖	dʑiɤ̃6	
杜	du6	
杞	tsʰɿ1	
束	soʔ7	
條	diɔ2	
來	le2	
楊	ɦiɤ̃2	
杭	ɦɤ̃2	
杯	pai1	
杰	dʑieʔ8	
杵	tɕʰy3	
杷	ba2	
松	soŋ1	
板	pe3	
極	dʑieʔ8	
構	kɛu5	
枇	bi2	
枉	ʋɤ̃2	
析	ɕieʔ7	
枕	tɕiŋ5	
林	liŋ2	
枚	mai2	
果	ko3	
枝	tsɿ1	
樞	ɕy1	
棗	tsɔ3	
槍	tɕʰiɤ̃1	
楓	hoŋ1	
枯	kʰu1	
架	tɕia5	
柄	piŋ5	
柏	poʔ7	
某	mo3	
柑	ke1	
染	ɕʏ3	
柔	ʑiɯ2	
櫃	ɡuai6	
查	dza2	
柩	dziɯ2	
柬	tɕi3	
柱	dʑy6	
柳	liɯ3	
柴	dze2	
梔	tsɿ1	
栅	dzəʔ8	
標	piɔ1	
棧	dze6	客~
棟	toŋ5	
欄	le2	
樹	ʑy6	
栗	leʔ8	
校	tɕiɔ5	~对
校	ɦiɔ6	学~,上~
株	tɕy1	
樣	iɤ̃3	
核	ɦəʔ8	
核	ɦoʔ8	果~,~桃
根	kʌŋ1	
格	kəʔ7	
栽	dze2	
桂	kuai5	
桃	dɔ2	
桅	ʋai2	~杆
桌	tɕyøʔ7	
桐	doŋ2	
桑	sɤ̃1	
橋	dʑiɔ2	
樺	ʋa2	~树
檜	ɡuai6	
槳	tɕiɤ̃3	
樁	tɕyɤ̃5	
桶	doŋ6	
梁	liɤ̃2	
梅	mai2	
梓	tsɿ3	
夢	moŋ6	
梧	ʋu2	
梨	li1	
梭	su1	
梯	tʰi1	
械	ɦe6	
梳	su1	
檢	tɕi3	
棉	mi2	
棋	dzɿ2	
棍	kuʌŋ5	
棒	bɤ̃6	
棕	tsoŋ1	
棠	dɤ̃2	
森	sʌŋ1	
棵	kʰo1	
棺	kʏ1	
椅	i3	
植	dʑieʔ8	
椒	tɕiɔ1	
橢	tʰu3	
椴	dʏ6	
椽	dʑʏ6	
椿	tɕʰioŋ5	
楂	dza2	山~
楔	ɕieʔ7	~子
楚	tsʰu3	
楣	mi2	
楦	ɕʏ5	
楷	kʰe3	
樓	lɛu2	
概	ke5	
欖	le3	
榆	y1	
榛	tsʌŋ1	
榜	pɤ̃3	
榨	tsa5	~油
榫	ɕioŋ3	
榴	liɯ2	
榻	tʰəʔ7	
槌	dzai2	
槐	ʋe2	
檳	piŋ1	
槽	dzɔ2	
樟	tɕiɤ̃1	
模	mu2	~子,~范
橫	ɦɤ̃6	
櫻	iŋ1	
橄	ke3	
橘	tɕyøʔ7	
橙	dʑiŋ2	~色,~子
橡	ʑiɤ̃6	
橡	ɕiɤ̃5	~树
櫓	lu3	
檀	de2	
檗	poʔ7	黄~,药名
檁	liŋ3	
欠	tɕʰi5	
次	tsʰɿ5	
歡	hʏ1	
欣	ɕiŋ1	
歐	ɛu1	
欲	ɦyøʔ8	
欺	tsʰɿ1	
款	kʰʏ3	
歇	ɕieʔ7	
歉	tɕʰi5	
歌	ko1	
止	tsɿ3	
正	tɕiŋ1	~月
正	tɕiŋ5	~确
此	tsɿ3	
步	bu6	
武	ʋu3	
歪	ʋe1	
死	sɿ3	
殲	tɕʰi1	~灭
殃	iɤ̃1	
殉	ɕioŋ3	
殊	ʑy2	
殘	dze2	
殮	li6	
殖	dʑieʔ8	
殯	piŋ5	
毆	ɛu3	
段	dʏ6	
殷	iŋ1	
殿	di6	
毁	fai3	
毅	ni6	
母	m̩1	
母	mo3	
毒	doʔ8	
比	pi3	
畢	peʔ7	
斃	pi3	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰe3	
氈	tɕi1	
氏	zɿ6	
民	miŋ2	
气	tsʰɿ5	
水	sai3	
永	ioŋ5	
汁	tsəʔ7	
求	dziɯ2	
汇	ʋai6	
漢	he5	
汗	ɦe6	
汝	ɕy3	
汞	koŋ3	
江	tɕiɤ̃1	
池	dzɿ2	
污	ʋu1	
湯	tʰɤ̃1	
汴	bi6	
汽	tsʰɿ5	
沂	ɦi2	~蒙山
沃	oʔ7	
沈	ɕiŋ3	
沉	dʑiŋ2	
沌	dʌŋ2	
沓	dəʔ8	一~纸
沙	sa1	
沛	pʰai5	
溝	kɛu1	
没	məʔ8	~有
淪	lʌŋ2	
滬	ʋu6	
沫	məʔ8	
河	ɦo2	
油	ɦiɯ2	
治	dzɿ6	
沼	tɕiɔ1	
沿	ɦi2	
泄	sɿ5	~漏
泉	dʑʏ2	
泌	mi5	
泔	ke1	~水
法	fəʔ7	方~
泛	fe5	
泡	pʰɔ5	
波	po1	
泣	tɕʰieʔ7	
泥	ni2	
注	tɕy5	~释,关~
淚	lai5	
泰	tʰe5	
泳	ioŋ5	
瀉	sɿ5	
潑	pʰəʔ7	
澤	dzəʔ8	
潔	tɕieʔ7	
洇	i1	
洋	ɦiɤ̃2	
洒	sa3	
洗	sɿ3	
洛	loʔ8	~阳
洞	doŋ6	
津	tɕiŋ1	
洪	ɦoŋ2	
洲	tɕiɯ1	
活	ʋəʔ8	
派	pʰe5	
流	liɯ2	
淺	tɕʰi3	
漿	tɕiɤ̃1	
澆	tɕiɔ1	
測	tsʰəʔ7	
濟	tsɿ5	
渾	ʋʌŋ2	~浊
滸	fu3	水~
濃	noŋ2	
浙	tɕieʔ7	
浜	pɤ̃1	一条~
浦	pʰu3	
浩	ɔ3	
浪	lɤ̃6	
浮	ʋu2	
浴	ɦyøʔ8	
海	he3	
浸	tɕiŋ1	
涂	du2	
消	ɕiɔ1	
涉	dʑieʔ8	
涌	ioŋ3	
涎	ɦi2	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ6	洪~
潤	ʑioŋ6	
澗	tɕi3	
漲	tɕiɤ̃3	
澀	səʔ7	
涯	ɦia2	
液	ɦieʔ8	
涿	dzoʔ8	~县,~鹿
淋	liŋ2	
淑	ɕyøʔ7	
淘	dɔ2	~米
淡	de6	
淫	ɦiŋ2	
淮	ʋe2	
深	ɕiŋ1	
混	ʋʌŋ6	~淆
淹	i3	
添	tʰi1	
清	tɕʰiŋ1	
淵	ʏ1	
漸	dzi6	
澠	mi2	~池
漁	ɦy2	
滲	sʌŋ5	~透
渠	dʑy2	
渡	du6	
渣	tsa1	
溫	ʋʌŋ1	
港	kɤ̃3	~口
渴	kʰəʔ7	
游	ɦiɯ2	
渺	miɔ3	
湖	ʋu2	
灣	ʋe1	
溼	ɕieʔ7	
潰	ɡuai6	
濺	dzi6	~一身水
溉	ke5	
源	ɦʏ2	
溜	liɯ2	
溪	tsʰɿ1	
滋	tsɿ1	
滑	ʋəʔ8	
滓	tsəʔ7	
滔	tʰɔ1	
滚	kuʌŋ3	
滯	zɿ6	
滿	mʏ3	
濾	ly6	
濫	le6	
灘	tʰe1	
滴	teʔ7	
滷	lu3	
漂	pʰiɔ1	~亮,~洗
漆	tɕʰieʔ7	
漏	lɛu6	
演	i3	
漫	me6	
漱	sɛu5	~口
潘	pʰʏ1	
潛	dzi2	
潭	de2	
潮	dʑiɔ2	
澄	dʑiŋ6	
澡	tsɔ5	
激	tɕieʔ7	
瀑	boŋ6	
灌	kʏ5	
灒	tse5	
火	ho3	
滅	meʔ8	
燈	tʌŋ1	
灰	fai1	
靈	liŋ2	
灸	tɕiɯ5	针~
災	tse1	
燦	tsʰe3	
爐	lu2	
炊	tsʰai1	
炎	ɦi2	
炒	tsʰɔ3	
炕	kʰɤ̃5	
炭	tʰe5	
炮	pʰɔ5	~火
炸	tsa5	
炸	dzəʔ8	用油炸
點	ti3	
爛	le6	
烈	leʔ8	
烊	ɦiɤ̃2	融化
烘	hoŋ1	~干
烙	loʔ8	
燭	tɕyøʔ7	
烟	i1	
烤	kʰɔ3	
煩	ʋe2	
燒	ɕiɔ1	
燙	tʰɤ̃5	
熱	ʑyøʔ8	
烹	pʰʌŋ1	
焉	i1	心不在~
焊	ɦe6	
煥	hʏ5	
焙	bai6	~干
焚	ʋʌŋ3	
焦	tɕiɔ1	
焰	ɦi6	
然	ʑi2	
煎	tɕi1	
煤	mai2	
照	tɕiɔ5	
煨	ʋai1	
煮	tɕy3	
熄	ɕieʔ7	
熊	ɦioŋ2	
熏	ɕioŋ1	
熙	sɿ1	
熟	ʑyøʔ8	
熬	ŋɔ2	
燃	ʑi2	
燎	liɔ2	
燕	i5	~京,姓
燕	i5	~子
爆	bɔ6	
爬	ba2	
愛	e5	
爵	ʑie6	
父	ʋu6	
爸	pa3	
爽	sɤ̃3	
爿	be2	
片	pʰi5	
版	pe3	
牌	be2	
牘	doʔ8	
牒	deʔ8	
牙	ɦia2	
牛	niɯ2	
牡	mɛu3	
牢	lɔ2	
牧	moʔ8	
物	ʋəʔ8	
牲	sʌŋ1	
牽	tɕʰi1	
特	dəʔ8	
犧	sɿ1	
犁	li1	
犢	doʔ8	
犬	tɕʰʏ3	
犯	ʋe6	
狀	dʑyɤ̃6	
狀	dʑioŋ6	
猶	ɦiɯ2	
狂	ɡuɤ̃2	
狄	deʔ8	
狐	ʋu2	
狗	kɛu3	
狡	tɕiɔ3	
獨	doʔ8	
獅	sɿ1	
獄	ɦyøʔ8	
狸	li1	
狼	lɤ̃2	
獵	leʔ8	
猛	moŋ3	
猜	tsʰe1	
豬	tɕy1	
猫	mɔ1	
獻	ɕi5	
猴	ɦɛu2	
猾	ʋəʔ8	狡~
獃	ŋe2	
玄	ɦʏ2	
率	leʔ8	效~
玉	ɦyøʔ8	
王	ʋɤ̃2	
玩	ʋe2	古~
環	ʋe2	
現	ɦi6	
玻	po1	~璃
珊	se1	
珍	tɕiŋ1	
珠	tɕy1	
班	pe1	
球	dziɯ2	
理	li3	
琉	liɯ2	
琢	dzoʔ8	
琴	dʑiŋ2	
琵	bi2	
琶	ba2	
瓊	dʑioŋ2	
瑞	zai6	
璃	li1	
璧	peʔ7	
瓜	kua1	
瓠	ʋu2	~瓜
瓢	biɔ2	
瓣	be6	
瓤	lɤ̃2	瓜~
瓦	ʋa3	
甌	ɛu1	
瓶	biŋ2	
瓷	zɿ2	~器
甘	ke1	
甚	ʑioŋ2	
甚	ʑioŋ6	
甜	di2	
生	sʌŋ1	
甥	sʌŋ1	
用	ɦioŋ6	
甫	fu5	
甬	ioŋ3	~道
田	di2	
由	ɦiɯ2	
甲	tɕieʔ7	
申	ɕiŋ1	
電	di6	
男	ne1	
畫	ʋa6	
暢	tɕʰiɤ̃5	
界	tɕie5	
畏	ʋai5	
留	liɯ2	
畜	ɕyøʔ7	~牲,~牧
略	yøʔ8	
番	fe1	
異	ɦi6	
疆	tɕiɤ̃1	
疏	su1	
疑	ni2	
疔	tiŋ1	
療	liɔ2	
疝	se1	~气
瘧	neʔ8	
瘍	ɦiɤ̃2	
疤	pa1	
疥	tɕie5	
疫	ɦyøʔ8	
瘡	tsʰɤ̃1	
瘋	hoŋ1	
疲	bi2	
疵	tsʰɿ5	吹毛求~
疹	tɕiŋ1	
疼	dʌŋ2	
疾	dʑieʔ8	
病	biŋ6	
症	tɕiŋ5	
痔	dzɿ6	
痕	ɦʌŋ6	
痛	tʰoŋ5	
痢	li6	
痣	tsɿ5	
痰	de2	
痱	fi5	~子
癡	tsʰɿ1	
痹	bi6	
瘌	ləʔ8	~痢
瘟	ʋʌŋ1	
瘦	sɛu5	
瘰	le2	~痢
瘴	tɕiɤ̃1	~气
癩	le6	
癸	kuai3	
登	tʌŋ1	
登	tʌŋ5	
白	boʔ8	
百	poʔ7	
皂	dzɔ6	
的	teʔ7	目~
皇	ʋɤ̃2	
皖	ɦʏ6	
皮	bi2	
皺	tsɛu5	
皿	miŋ3	
盂	y1	
盆	bʌŋ2	
盈	ɦiŋ2	
益	ieʔ7	
盞	tse3	
鹽	ɦi2	
鹽	ɦi6	
監	tɕi5	~视,~牢
監	tɕʰi5	国子~
盒	ɦəʔ8	
盔	kʰuai1	
盖	ke5	
盜	dɔ6	
盤	bʏ2	
盛	dʑiŋ6	
盟	moŋ2	
目	moʔ8	
盲	mɤ̃2	
直	dʑieʔ8	
相	ɕiɤ̃1	~互
相	ɕiɤ̃5	~貌
盼	pʰe5	
盾	dʌŋ6	矛~
省	sʌŋ5	~长,节~
省	ɕiŋ3	反~
眉	mi2	
看	kʰe5	~守
看	kʰe5	~见
真	tɕiŋ1	
眠	mi2	
眨	tsəʔ7	~眼
眩	ʑʏ6	
眶	kʰuɤ̃1	眼~
眷	tɕʏ5	
眼	i3	
着	dʑieʔ8	~衣
着	tɕyøʔ7	睡~
睜	tsʌŋ1	
睛	tɕiŋ1	
睡	zai6	
督	toʔ7	
睬	tsʰe3	
瞎	ɕieʔ7	
瞞	mʏ2	
瞳	doŋ2	
瞻	tɕi5	
瞿	dʑy2	
矛	mɔ2	
矢	zɿ6	
知	tsɿ1	
矩	tɕy3	
短	tʏ3	
矮	e3	
石	ʑieʔ8	
礬	ʋe2	
礦	kʰuɤ̃5	
碼	ma3	
砍	kʰe3	
研	ni2	
磚	tɕʏ1	
硯	ni6	
破	pʰo5	
硃	tɕy1	
硝	ɕiɔ1	
硫	liɯ2	
硬	niŋ6	
確	kʰoʔ7	
礙	ŋe2	
碎	sai5	
碑	pai1	
碗	ʏ3	
碟	deʔ8	
碧	peʔ7	
鹼	tɕi3	
磁	zɿ2	
磉	sɤ̃3	柱下石
磕	kʰəʔ7	
磨	mo6	~刀,石~
磷	liŋ1	
礎	tsʰu3	柱下石
礓	tɕiɤ̃1	~石
示	zɿ6	
禮	li3	
社	sɿ5	
祖	tsu3	
祝	tɕyøʔ7	
神	ʑiŋ2	
祠	zɿ2	
祥	dʑiɤ̃2	
票	pʰiɔ5	
祭	tsɿ5	
禱	tɔ3	
禍	ɦo6	
稟	piŋ3	
禁	tɕiŋ5	~不住,~止
祿	loʔ8	
禪	dzi2	~宗
禪	dzi2	~让
福	hoʔ7	
禹	y3	
离	li1	~别,~开
禽	dʑiŋ2	
禾	ɦo2	
秀	ɕiɯ5	
私	sɿ1	
秃	tʰəʔ7	~头
秃	tʰoʔ7	光~
稈	ke3	
秉	piŋ3	
秋	tɕʰiɯ1	~天,~千
種	tɕioŋ3	~类
種	tɕioŋ5	~树
科	kʰo1	
秒	miɔ3	
秕	pʰai5	~谷
秘	mi5	
租	tsu1	
秤	tɕʰiŋ5	
秦	dʑiŋ2	
秧	iɤ̃1	
秩	dzəʔ8	
積	tɕieʔ7	
稱	tɕʰiŋ1	~呼,~重量
稱	tɕʰiŋ1	相~
移	ɦi2	
穢	ʋai3	
稀	sɿ1	
程	dʑiŋ2	
稍	sɔ1	
税	sai5	
稚	dzɿ6	
穩	ʋʌŋ3	
稻	dɔ6	
稼	tɕia1	
稽	tsɿ1	
稿	kɔ3	
穆	moʔ8	
穗	ɕy5	
穴	ɦyøʔ8	
究	tɕiɯ5	
窮	dʑioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	~缺
穿	tɕʰʏ1	
突	dəʔ8	
竅	tɕʰiɔ5	
窯	ɦiɔ2	
窗	tɕʰyɤ̃1	
窘	tɕʰioŋ3	
竄	tɕʰioŋ3	
窩	o1	
窟	koʔ7	~窿
窠	kʰo1	
窺	kʰuai1	
立	leʔ7	
站	dze6	~立,车~
競	dʑiŋ6	
竟	tɕiŋ5	
章	tɕiɤ̃1	
童	doŋ2	
端	tʏ1	
竹	tɕyøʔ7	
竿	ke1	
篤	toʔ7	
笊	tsɔ3	~篱
笑	ɕiɔ5	
筆	peʔ7	
笙	sʌŋ1	
笛	deʔ8	
笠	leʔ7	
笡	tsʰɿ5	斜
符	ʋu2	
笨	bʌŋ6	
第	di6	
箋	tɕʰi1	
籠	loŋ2	
等	tʌŋ3	
筋	tɕiŋ1	
筍	ɕioŋ3	
筏	ʋəʔ8	
筐	kʰuɤ̃1	
筑	tɕyøʔ7	
筒	doŋ2	
答	təʔ7	
策	tsʰəʔ7	
篩	se1	
箏	tsʌŋ1	
筵	ɦi2	
籌	dziɯ2	
签	tɕʰi1	
簡	tɕi3	
箅	pi5	~子
箍	ku1	
算	ɕʏ5	
管	kʏ3	
簫	ɕiɔ1	
箭	tɕi5	
箱	ɕiɤ̃1	
箸	dʑy6	筷子
篆	dʑʏ6	
篇	pʰi1	
簍	lɛu3	
篡	tsʰe3	
篦	bi6	
籃	le2	
籬	li1	
篷	boŋ2	
篾	me6	
簧	ʋɤ̃2	弹~
簪	tsʰe1	
簰	be2	筏
簷	ɦi2	
簸	po5	~箕,~一~
簾	li1	
簿	bu6	
籍	ʑieʔ8	
米	mi3	
類	lai5	
粉	fʌŋ3	
粒	ləʔ7	
粗	tsʰu1	
糶	tʰiɔ5	~米
粟	soʔ7	
粥	tɕyøʔ7	
糞	fʌŋ5	
糧	liɤ̃2	
粱	liɤ̃2	
粳	kʌŋ1	~米
粹	dzai6	纯~
糉	tsoŋ5	
精	tɕiŋ1	
糕	kɔ1	
糖	dɤ̃2	
糙	tsʰɔ5	~米
糟	tsɔ1	
糠	kʰɤ̃1	
糯	no6	
糰	dʏ2	
系	ɦi6	~统,连~,关~
素	su5	
索	soʔ7	
緊	tɕiŋ3	
紫	tsɿ3	
累	lai3	疲惫
累	lai3	连~,~积
絮	sɿ5	
繁	ʋe2	
纂	tsʰe3	
糾	tɕiɯ5	~缠
紅	ɦoŋ2	
紂	dziɯ6	
約	ieʔ7	
級	tɕieʔ7	
紀	tsɿ3	~律,世~,年~
紉	ɕioŋ3	
緯	ʋai6	
純	ʑioŋ2	
紗	sa1	
綱	kɤ̃1	
納	nəʔ8	
縱	tsoŋ5	~横
紛	fʌŋ1	
紙	tsɿ3	
紋	ʋʌŋ2	
紡	fɤ̃3	
紐	niɯ2	
線	ɕi5	
練	li6	
組	tsu3	
細	sɿ5	
織	tɕieʔ7	
終	tsoŋ1	
縐	tsɛu5	
絆	bʏ6	
紹	dʑiɔ6	
經	tɕiŋ1	~过
經	tɕiŋ5	~纬
綁	pɤ̃3	
絨	dzoŋ2	
結	tɕieʔ7	
繪	ɡuai6	
給	tɕieʔ7	供~
絡	loʔ8	
絶	dʑyøʔ8	
絞	tɕiɔ3	
統	tʰoŋ5	
繡	ɕiɯ5	
綏	sai3	
繼	tsɿ5	
績	tɕieʔ7	
緒	ɕy3	
續	ʑʏ6	
續	ʑyøʔ8	
綽	tsʰoʔ7	阔~
繩	ʑiŋ2	
維	ʋi2	
綿	mi2	
綢	dziɯ2	
綜	tsoŋ1	
綻	dze6	破~
綠	loʔ8	
緬	mi6	
纜	le3	
緞	dʏ6	
緩	ʏ3	
縷	ly3	
編	pi1	
緣	ɦʏ2	
縛	bu6	
縛	ɦoʔ8	
縫	ɦoŋ2	~衣服
縫	ɦoŋ6	一条~
纏	dzi6	
纓	iŋ1	
縮	soʔ7	
繮	tɕiɤ̃1	~绳
繳	tɕiɔ3	
缸	kɤ̃1	
缺	tɕʰyøʔ7	
罐	kʏ5	
网	ʋɤ̃3	
罕	he3	
羅	lo2	
罰	ʋəʔ8	
罷	ba6	
罩	tsɔ5	
罪	dzai6	
置	tsɿ5	
署	ɕy3	专~
羊	ɦiɤ̃2	
羌	tɕʰiɤ̃1	
羔	kɔ1	
羞	ɕiɯ1	
羡	dzi6	
群	dʑioŋ2	
羶	ʑi2	
羹	kʌŋ1	
羽	y3	
翁	oŋ1	
翅	tsʰɿ5	
翎	liŋ2	
翠	tsʰai5	
翰	ɦe2	
翻	fe1	几~
耀	ɦiɔ6	
老	lɔ3	
考	kʰɔ3	
者	tɕie3	
而	l̩2	
耐	ne6	
耕	kʌŋ1	
耗	ɦɔ6	
耙	ba6	~地
耳	l̩3	
耶	ɦi2	~稣
耻	tsʰɿ3	
耽	te1	
耿	kʌŋ3	
聶	neʔ8	姓
聊	liɔ2	
聾	loŋ2	
職	tɕieʔ7	
聒	kuəʔ7	~耳朵
聯	li1	
聘	pʰiŋ5	
聚	ʑy6	
聰	tsʰoŋ1	
肅	soʔ7	
肄	ɦi6	~业
肆	sɿ5	
肉	ʑyøʔ8	
肋	leʔ7	
肌	tsɿ1	
肚	du6	腹~
肚	tu3	鱼~
肝	ke1	
腸	dʑiɤ̃2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	ʋi2	文
肥	bi2	白
肩	tɕi1	
肪	fɤ̃1	脂~
肫	tɕioŋ1	
肯	kʰʌŋ3	
育	yøʔ7	
肴	iɔ1	
肺	fi5	
腎	ʑioŋ6	
腫	tɕioŋ3	
脹	tɕiɤ̃5	
膽	te3	
背	pai5	~脊
背	bai6	~诵
胎	tʰe1	
胖	pʰɤ̃5	
胚	pʰai1	~胎
胛	tɕieʔ7	肩~
勝	ɕiŋ5	~任,~败
胞	pɔ1	
胡	ʋu2	~乱
胡	ʋu2	~须
胳	koʔ7	~膊
胴	doŋ2	
膠	tɕiɔ1	
胸	ɕioŋ1	
能	nʌŋ2	
脂	tsɿ1	
脆	tsʰai5	
脉	moʔ8	
脊	tɕieʔ7	
脏	dzɤ̃6	内~
脏	tsɤ̃1	肮~
臍	tsɿ5	
膿	noŋ2	
脚	tɕieʔ7	
脯	pʰu3	~果
脱	tʰəʔ7	
腡	lo2	手指文
臉	li3	
脾	bi2	
臘	ləʔ8	
腋	ɦieʔ8	
腐	ʋu6	
腑	fu3	
腔	tɕʰiɤ̃1	
腕	ʏ3	
腥	ɕiŋ1	
腮	sɿ1	
腰	iɔ1	
腹	hoʔ7	
膩	ni5	
騰	dʌŋ2	
腿	tʰai3	
膏	kɔ1	
膘	piɔ1	肥~
膜	mo2	
膨	boŋ2	~胀
膳	ʑi6	
臂	pi5	
臊	sɔ5	~气
臣	dʑiŋ2	
自	zɿ6	
臭	tɕʰiɯ5	
至	tsɿ5	
致	tsɿ5	
臻	tsʌŋ1	
臼	dziɯ6	
舅	dziɯ6	
舌	ʑieʔ8	
舍	sɿ3	~得
舍	sɿ3	宿~
舒	ɕy1	
舔	tʰi3	
舞	ʋu3	
舟	tɕiɯ1	
航	ɦɤ̃2	
般	pe1	
艦	kʰe3	
船	dʑʏ2	
艇	tʰiŋ3	
良	liɤ̃2	
艱	tɕi1	
色	səʔ7	
豔	ɦi2	
藝	ni6	
艾	ŋe6	
節	tɕieʔ7	
芒	mɤ̃2	~种,麦~儿
芙	ʋu2	
芝	tsɿ1	
芥	tɕie5	
蘆	lu2	
芬	fʌŋ1	
芭	pa1	
花	fa1	
芳	fɤ̃1	
芹	dʑiŋ2	
芽	ɦia2	
葦	ʋai2	
莧	tɕi5	~菜
蒼	tsʰɤ̃1	
苏	su1	
苔	tʰe1	舌~
苔	de2	青~
苗	miɔ2	
苟	kɛu3	
若	ʑieʔ8	
苦	kʰu3	
英	iŋ1	
茂	mɔ6	
范	ʋe6	姓
范	ʋe3	模~
茄	dzɿ2	
茅	mɔ2	
莖	tɕiŋ1	
塋	ɦioŋ2	
繭	tɕi3	
茫	mɤ̃2	
茴	ʋai2	~香
茶	dza2	
茸	dzoŋ2	参~
荀	ɕioŋ3	
荆	tɕiŋ1	
草	tsʰɔ3	
薦	tɕi5	
荒	fɤ̃1	
荔	li6	
蕎	dʑiɔ2	
薺	tsɿ5	
蕩	dɤ̃6	
榮	ɦioŋ2	
蔭	iŋ1	
藥	ɦieʔ8	
荷	ɦo2	~花,薄
莎	su1	~草
莠	iɯ5	
莫	moʔ8	
蓮	li1	
获	ɦoʔ8	
鶯	iŋ1	
蓴	ʑioŋ2	
菊	tɕyøʔ7	
菌	tɕioŋ3	
菎	kʰuʌŋ1	
菖	tɕʰiɤ̃1	~蒲
菜	tsʰe5	
菠	po1	~菜
菢	bu6	
菩	bu2	
菱	liŋ2	
萄	dɔ2	
萌	moŋ2	
萍	biŋ2	
萎	ʋai3	气~
蘿	lo2	
螢	ɦiŋ2	
營	ɦioŋ2	
蕭	ɕiɔ1	
薩	səʔ7	
落	loʔ8	
著	dʑy6	显~
葛	kəʔ7	
董	toŋ3	
葫	ʋu2	
葬	tsɤ̃5	
葱	tsʰoŋ1	
葵	ɡuai2	
蒙	moŋ2	
蒜	ɕʏ5	
蒲	bu2	
蒸	tɕiŋ1	
蒿	hɔ1	
蓄	ɕyøʔ7	储~
蓉	ɦioŋ2	
藍	le2	
蓬	boŋ2	
蔗	tsɿ5	
蔡	tsʰe5	
蔫	i5	花萎
蔫	i1	食物不新鲜
蔬	su1	
藹	e3	
蔽	bi6	
蕉	tɕiɔ1	香~
薄	boʔ8	~荷,厚~
薛	ɕieʔ7	
薪	ɕiŋ1	
薯	ɕy3	
薰	ɕioŋ1	
藉	ʑie6	
藉	ʑieʔ8	狼~
藏	dzɤ̃6	西~
藏	dzɤ̃2	隐~
藐	miɔ3	
藕	ŋɛu3	
藤	dʌŋ2	
藩	ʋe2	
藿	hoʔ7	~香
蘸	tse5	
虎	fu3	
虜	lu3	
虐	ɦieʔ8	
慮	ly6	
虚	ɕy1	
虞	y1	
蟲	dʑioŋ2	
虱	səʔ7	
虻	mɤ̃2	牛~
