#漢字	音標	解釋
□	ki5	近指代词
減	tɕi3	
湊	tsʰɛu5	
凝	niŋ2	
几	tsɿ3	~个
几	tsɿ1	茶~,~乎
凡	ʋe2	
鳳	ɦoŋ6	
凭	biŋ2	
凱	kʰe3	
凶	ɕioŋ1	
出	tɕʰyøʔ7	
擊	tɕieʔ7	
函	ɦe2	
鑿	dzoʔ8	
刀	tɔ1	
刁	tiɔ1	
刃	ɕioŋ3	
分	fʌŋ1	~开
切	tɕʰieʔ7	~开
刊	kʰe1	
刎	ʋʌŋ3	
刑	ɦiŋ2	
划	ʋa2	
划	ʋəʔ8	笔~,~船
列	leʔ8	
劉	liɯ2	
則	tsəʔ7	
剛	kɤ̃1	
創	tsʰɤ̃5	
初	tsʰu1	
删	se1	
判	pʰʏ5	
刨	bɔ6	~地
利	li6	
别	beʔ8	区~,离~
刮	kuəʔ7	
到	tɔ5	
制	tsɿ5	
刷	soʔ7	
券	tɕʰʏ5	
刺	tsʰɿ5	
刻	kʰəʔ7	时~,用刀~
劊	kuai5	~子手
刴	to5	
劑	tsɿ5	一~药
剃	tʰi5	
削	ɕieʔ7	
前	dzi2	
劍	tɕi5	
剔	tʰeʔ7	
剖	pʰo5	
剜	ʏ3	
剝	poʔ7	
劇	dʑyøʔ8	~烈,戏~
剩	dʑiŋ6	
剪	tɕi3	
副	fu5	
割	kəʔ7	
劄	tsəʔ7	用针~
劈	pʰeʔ7	
劐	hoʔ7	用刀~开
力	leʔ8	
勸	tɕʰʏ5	
辦	be6	
功	koŋ1	
加	tɕia1	
務	ʋu6	
劣	leʔ8	
動	doŋ6	
助	zu6	
努	nu6	
劫	tɕieʔ7	
勵	li6	
勁	tɕiŋ5	有~,~敌
勞	lɔ2	
勢	sɿ5	
勃	bəʔ8	
勇	ioŋ3	
勉	mi3	
勳	ɕioŋ1	
勘	kʰe3	
募	mo6	
勤	dʑiŋ2	
勾	kɛu1	~结,~当
勿	ʋəʔ8	
匀	ɦioŋ2	
包	pɔ1	
匆	tsʰoŋ1	
化	fa5	
北	poʔ7	
匠	dʑiɤ̃6	
匡	kʰuɤ̃1	
匪	fi3	
匹	pʰeʔ7	一~马
區	tɕʰy1	~域
醫	i1	
匾	pi3	
匿	neʔ8	
十	ʑyøʔ8	
千	tɕʰi1	
升	ɕiŋ1	
午	ʋu3	
半	pʏ5	
華	ʋa2	姓,~山,中~
協	ɦieʔ8	
卑	pai1	
卒	tsəʔ7	兵~
卓	tɕyøʔ7	
單	te1	~独
單	ʑi2	姓
賣	me6	
南	ne2	
博	poʔ7	
卜	pu3	
占	tɕi1	~卜
占	tɕi5	~领
盧	lu2	
卦	kua5	
臥	ŋo5	
衛	ʋai6	
卯	mo3	
危	ʋai1	
即	tɕieʔ7	
卻	tɕʰi5	
卵	lʌŋ3	
卷	tɕʏ5	
卸	ɕia3	
卿	tɕʰiŋ1	关汉~
廠	tɕʰiɤ̃3	
廳	tʰiŋ1	
历	leʔ8	
厲	li6	
壓	ieʔ7	
厭	i5	
廁	tsʰəʔ7	
厘	li1	
厚	ɡɛu6	~薄
厚	ɦɛu6	忠~
原	ɦʏ2	
廂	ɕiɤ̃1	
厦	ia5	文
厦	sa5	白
廚	dʑy2	
去	tɕʰy5	文
去	kʰi5	白
縣	ɦi6	
参	tsʰe1	~差
又	ɦiɯ6	
叉	tsʰa1	
及	dʑieʔ8	
友	iɯ3	
雙	ɕyɤ̃1	
反	fe3	
发	fəʔ7	~射
发	fəʔ7	头~
叔	ɕyøʔ7	
取	tɕʰy3	
受	ʑiɯ6	
變	pi5	
敍	ʑy6	
叛	bʏ6	
疊	deʔ8	
口	kʰɛu3	
古	ku3	
句	tɕy5	
另	liŋ2	
另	liŋ6	
叨	tɔ1	
只	tsɿ3	~有
只	tɕieʔ7	量词
叫	tɕiɔ5	
召	dʑiɔ6	
可	ko3	
台	tʰe1	~州
台	de2	天~,台~
史	sɿ3	
右	ɦiɯ6	
葉	ɦieʔ8	
號	ɦɔ6	~码
司	sɿ1	
嘆	tʰe5	
吁	ɦy2	
吃	tɕʰieʔ7	
各	koʔ7	
合	ɦəʔ8	
吉	tɕieʔ7	
吊	tiɔ5	
同	doŋ2	
名	miŋ2	
后	ɦɛu6	~来,皇~
吏	li6	
吐	tʰu5	呕~,~痰
向	ɕiɤ̃5	
嚇	həʔ7	
呂	ly3	
君	tɕioŋ1	
吝	səʔ7	
吞	tʰʌŋ1	
吟	niŋ2	
否	fɛu3	
含	ɦe2	
聽	tʰiŋ1	~见
啓	tsʰɿ3	
吳	ʋu2	
吵	tsʰɔ3	
吸	ɕieʔ7	
吹	tsʰai1	
吻	ʋʌŋ3	
吾	ʋu2	
呆	ŋe2	
呈	dʑiŋ2	
告	kɔ5	
員	ɦʏ2	
周	tɕiɯ1	
味	ʋi6	
呼	fu1	
命	miŋ6	
和	ɦo2	~气
咒	tɕiɯ5	
咨	tsɿ1	
咬	iɔ3	
咳	kʰəʔ7	
咸	ɦi2	
哀	e1	
哄	hoŋ1	~骗
啞	ɦia2	
哥	ko1	
哪	na3	
哭	kʰoʔ7	
哲	tɕieʔ7	
哼	hʌŋ1	~
唆	su1	
脣	ʑioŋ2	
唐	dɤ̃2	
嘮	lɔ2	~叨
喚	hʏ5	
售	dziɯ6	
唯	ʋi2	
唱	tɕʰiɤ̃5	
啄	dʑyøʔ8	
商	ɕiɤ̃1	
囉	lo1	
啼	di2	
喂	ʋai5	~饭
善	ʑi6	
喉	ɦɛu2	
喊	he3	
喘	tɕʰʏ3	
喜	sɿ3	
喝	həʔ7	
喧	ɕʏ1	
噴	pʰʌŋ1	~水,~嚏,~香
喻	y1	
嗅	ɕiɯ5	
嗓	sɤ̃3	
嗜	zɿ2	
嗣	zɿ2	
嗤	tsʰɿ1	
嗽	sɛu5	咳~
嘉	tɕia1	
嘘	ɕy1	吹~
囑	dʑyøʔ8	
嘴	tsai3	
噎	ieʔ7	
器	tsʰɿ5	
囂	ɕiɔ1	
嚥	i5	
嚷	dʑiɤ̃6	
囚	dziɯ2	
四	sɿ5	
回	ʋai2	
因	iŋ1	
团	dʏ2	
囤	dʌŋ2	
囥	kʰɤ̃5	藏
園	ɦʏ2	
困	kʰuʌŋ5	
囱	tɕʰioŋ1	烟~
圍	ʋai2	
圍	dzi6	~巾
固	ku5	
國	koʔ7	
圖	du2	
圓	ɦʏ2	
圈	tɕʰʏ1	
土	tʰu3	
聖	ɕiŋ5	
在	dze6	
圭	kuai1	乌拉~
地	di6	
場	dʑiɤ̃2	
址	tsɿ3	
均	tɕioŋ1	
坍	tʰe1	~下来
坎	kʰe5	
壞	ʋe6	
坐	dzo6	
坑	kʰʌŋ1	
塊	kʰue5	
堅	tɕi1	
坛	de2	
壩	pa5	堤~:平川
墳	ʋʌŋ2	
坡	pʰo1	
