#漢字	音標	解釋
俯	fu̜3	
俱	tɕyᶽ5	
俸	fə̃5	
倌	kõ1-	
倌	kuã1=	
倍	pei5	
倒	tɔ3	
倒	tɔ5	
倘	tʰɑŋ3	
候	xiy5	
借	tɕiᴀ5-	
借	tɕiᶽ5	
倡	tsʰɑŋ5	
倦	tɕyẽ5	
倭	ʊ1	
債	tsɛ5	
傾	tɕʰĩ3	
假	tɕiᴀ3	
假	tɕiᴀ5	
偏	pʰiẽ1	
做	tsʊ5	
停	tʰĩ2	
健	tɕiẽ5	
偶	ŋiy3	
偷	tʰiy1	
償	tsʰɑŋ2	
傀	kʰuei2	
傍	pʰɑŋ2	
儲	tɕʰyᶽ2	
催	tsʰei1	
傲	ŋɔ5	
傻	sᴀ3	
僧	sə̃1	
僵	tɕiɑŋ1	
僻	pʰieʔ7	
儒	yᶽ3	
兒	ŋɚ2	
允	ʐuə̃3-	中派
允	yə̃3-	老派
元	yẽ2	
兄	ɕyə̃1	
充	tʂʰuə̃1	
兆	tsɔ5	
先	ɕiẽ1	
光	kuɑŋ1	
免	miẽ3	
兑	tei5	
兑	tei2	一~:一对一勾销
兔	tʰu̜5	
黨	tɑŋ3	
兜	tiy1	
入	ʐuəʔ7	
全	tɕʰyẽ2	
八	pᴀʔ7	
公	kuə̃1	
蘭	lã2	
共	kuə̃5	
關	kuã1	
興	ɕĩ1	
興	ɕĩ5	
兵	pĩ1	
具	tɕyᶽ5	
典	tiẽ3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiẽ1	
獸	ɕiy5	
冀	tɕiᶽ5	
内	lei5	
冇	mɔ3	~~:没有
冉	ʐã3	
再	tsɛ5	
冒	mɔ5	
寫	ɕiᶽ3	
軍	tɕyə̃1	
農	lə̃2	
冠	kuã5	
冤	yẽ1	
冬	tə̃1	
馮	fə̃2	
冰	pĩ1	
冲	tʂʰuə̃1	
冲	tʂʰuə̃5	
決	tɕyeʔ7	
况	kʰuɑŋ5	
冷	lə̃3	
凍	tə̃5	
淨	tɕĩ5	
凄	tɕʰiᶽ1	
準	tʂuə̃3	
涼	liɑŋ2	
凋	tiɔ1	
凌	lĩ2	
減	tɕiẽ3	
湊	tɕʰiy5	
凝	lĩ2	
几	tɕiᶽ3	
凡	fã2	
鳳	fə̃5	
