#漢字	音標	解釋
□	ɡia1	播撒
㪗	tʰɔ3	
䀁	huɨ2	陶瓷
䋎	tʰn̩5	縫
䨀	tia4	
䭕	tsiã3	
一	ieʔ7	
七	tsʰieʔ7	
丈	tiŋ4	
三	sã1	
上	tsiŋ4	
下	a4	
世	sɨ5	
中	tioŋ1	
主	tsu3	做主，主席
久	ku3	
乖	kuɛ1	
乘	sin2	
九	kɔ3	
乞	kʰieʔ7	
亂	luan4	
事	su4	
二	lɨ2	
互	hu4	
五	ɡu4	
井	tsiã3	
交	kiɔ1	
京	kiã1	
人	ɡin2	
仁	ɡin2	
仇	tsʰiu2	
今	kiam1	
介	kɛ5	
仙	sien1	
代	tɛ4	
件	kiã4	
任	ɡiam4	
份	hun4	
伯	pa5	
伴	pʰuã4	
伸	tsʰun1	
位	ɡuɨ1	
佔	tsiam5	
佛	huoʔ8	
作	tsuoʔ7	
你	lɨ3	
來	lɛ2	
侵	tsʰiam1	
便	pan2	便宜
便	pien4	方便
保	pɯ3	
信	sin5	
修	siu1	
倉	tsʰŋ̍1	
個	kɛ5	
倍	pui4	
倒	tɯ5	
倚	ua3	閩南西片少用「倚」字，一般常用的是「靠」
借	tsiɯ5	
假	kia3	
偉	ɡuɨ3	
偏	pʰien1	
做	tsɯ5	
停	tʰin2	
健	kien4	
偷	tʰɔ1	
傅	hu4	
傑	kieʔ8	
傘	suã5	
備	pɨ4	
傲	ŋɔ̃4	
傳	tsʰuan2	
債	tsia5	
傷	sioŋ1	
像	tsʰiŋ4	
價	kia5	
儂	laŋ2	
億	ieʔ7	
儉	kʰiam4	
優	ɡiu1	
兄	hiã1	
充	tsʰioŋ1	
先	sien1	
光	kun1	
兔	tʰu5	
入	lieʔ8	
内	lɛ4	
全	tsun2	
兩	nŋ̍4	兩個
兩	liŋ3	幾兩
八	pi5	
公	kaŋ1	
六	laʔ8	
共	koŋ4	
兵	pin1	
典	tien3	
册	tsʰia5	
冠	kuan5	
冤	ɡuan1	
冬	taŋ1	
冰	pin1	
冷	lin3	
凡	huan2	
凶	hioŋ1	
出	tsʰieʔ7	
刀	tɯ1	
分	pun1	動詞
分	hun1	分數
切	tsʰie5	
初	tsʰuɨ1	初一
初	tsʰu1	初中
判	pʰuã5	
别	pieʔ8	
利	lɛ1	刀利
利	lɨ4	利益
刺	tsʰɨ5	
削	sia5	
前	tsn̩2	
剪	tsn̩3	
副	hu5	
割	kua5	
劉	lɔ2	
劍	kiam5	
力	laʔ8	出力
力	lieʔ8	力量
功	koŋ1	
加	kia1	
助	tsu4	
努	nũ3	
勇	ɡioŋ3	
勉	bien3	
動	taŋ4	動詞
動	toŋ4	運動
勞	lɔ2	
勤	kʰin2	
勵	li4	
勸	kʰun5	
勾	kɔ1	
包	pɔ1	
北	paʔ7	
匠	tsʰiŋ5	
匪	huɨ3	
匯	hui4	
區	kʰɨ1	
十	tsaʔ8	
千	tsʰan1	
升	sin1	
午	ɡu3	
半	puã5	
卒	tsuoʔ7	
南	lam2	
博	pʰuoʔ7	
印	in5	
危	ɡuɨ2	
卵	lun4	
卷	kun5	
厚	kɔ4	
厝	tsʰɨ5	
原	ɡuan2	
厭	ɡiam5	
厲	lɨ4	
去	kʰɨ5	
參	tsʰam1	
友	ɡiu3	
反	huan3	
叔	tsieʔ7	
受	siu4	
口	kʰɔ3	
古	ku3	
句	ku5	
可	kʰɯ3	
史	su3	
右	ɡiu4	
司	sɨ1	
合	haʔ8	
吉	kieʔ7	
名	miã2	
吐	tʰu5	
向	hiŋ5	
君	kun1	
吞	tʰun1	
吠	puɨ1	
吵	tsʰa3	
吹	tsʰui1	
告	kɯ5	
周	tsiu1	
味	bɨ1	
命	miã1	生命
命	bin4	革命
和	hui2	
品	pʰin3	
員	ɡuan2	
哲	tieʔ7	
唱	tsʰioŋ5	
問	bun5	
啞	a3	
善	sien4	
喉	ɔ2	
喘	tsʰuan3	
喜	hɨ3	
單	tuã1	被單
單	tan1	單獨
嗽	sɔ5	
噴	pʰun5	
嚇	hia5	
嚴	ɡiam2	
四	sɨ5	
囝	kiã3	
因	in1	
囥	kʰŋ̍5	
國	kuoʔ7	
園	ɡuɨ2	
園	hun2	菜園
園	ɡien2	西園鎮，公園
圓	n̩2	
圖	tu2	
團	tʰuan2	
土	tʰu3	
地	ti4	
均	kin1	
坐	tsi4	
坑	kʰiã1	
坪	pã2	
城	siã2	
基	kɨ1	
堂	tŋ̍2	
堂	tʰaŋ2	食堂
報	pɯ5	
場	tiŋ2	
塍	tsʰan2	田
塔	tʰa5	
墓	bu5	
增	tsin1	
墟	hɨ1	
墨	bak8	
壁	pia5	
壓	aʔ7	
壩	pa5	
壺	hu2	
壽	siu4	
外	ɡua4	
外	ɡuɛ4	
多	tɯ1	
够	kɔ5	
夢	baŋ5	
大	tua1	
天	tʰn̩1	
太	tʰɛ5	
央	ŋ̍1	
失	sieʔ7	
奇	kɨ2	
奉	hoŋ4	
套	tʰɯ5	
女	nɨ̃3	婦女
奸	kan1	
好	hɯ3	
妹	bui5	
姆	m̩3	嬸嬸
姑	ku1	
姓	sin5	
委	ɡuɨ3	
姨	ɨ2	
威	ɡuɨ1	
