#漢字	音標	解釋
㔶	kã3	盖子
一	ieʔ7	
七	tɕʰieʔ7	
万	vã6	
丈	tɔ̃6	单位
丈	tiɔ̃6	
三	sã1	
上	ɕiɔ̃6	动
下	a6	方位
不	pəuʔ7	
丑	tʰiou3	
世	ɕie5	
丘	kʰiou1	
業	ȵiɛʔ8	
東	təŋ1	
絲	sɿ1	
兩	lɔ̃6	~个
嚴	ȵi2	
个	kuə5	一~
中	təŋ1	~秋
中	tsəŋ1	~秋
主	tɕyəu3	
久	tɕiou3	
義	ȵi6	
烏	ou1	
烏	u1	
九	kau3	
習	ɕieʔ8	
鄉	ɕiɔ̃1	
書	ɕy1	
買	me3	
亂	lɔ̃6	
爭	tsã1	
爭	tsɛ̃1	战~
事	sai6	物~
二	ȵi6	
于	yəu1	
虧	kʰue1	
云	yŋ2	
五	ŋ̍6	
井	tsã3	
井	tɕieŋ3	
交	kau1	
產	sã3	
京	tɕieŋ1	
親	tɕʰieŋ1	~戚
从	səŋ2	介
仑	leŋ2	
倉	tsʰɔ̃1	
仗	tʰiɔ̃6	
令	leŋ6	
件	tɕi6	
份	feŋ6	
仿	fɔ̃3	
伏	fəuʔ8	埋~
休	ɕiou1	
衆	tsəŋ5	
優	iou1	
會	və6	开~
傘	sã3	
傳	tỹɛ2	
傷	ɕiɔ̃1	
伴	pã6	
伸	tɕʰỹɛ1	
位	ve6	
低	te1	
體	tʰe3	
何	hou2	
佛	feʔ8	
作	tsɔʔ7	
佳	ka1	
使	sɿ3	
侄	tɕieʔ8	
側	tɕieʔ7	
側	tsʰɛʔ7	
儂	nəŋ2	人,原文记作农
便	pi6	方~
俗	ɕiɔʔ8	
修	ɕiou1	
借	tɕia5	
債	tsa5	
值	tʰeʔ8	
假	ka3	真~
做	tsou5	
停	teŋ2	
偷	tʰau1	
像	tɕʰiɔ̃6	
僻	pʰeʔ7	
兒	ȵi2	~婿
允	yŋ3	
元	ŋuə2	
兄	ɕiã1	
先	sɛ̃1	
先	ɕi1	
光	kɔ̃1	
克	kʰɛʔ7	
黨	tɔ̃3	
全	ɕỹɛ2	
