#漢字	音標	解釋
□	tia1	提
傲	ŋaɤ5	
傻	sa3	
傻	xa3	俗
像	ɕiaɣ̃5	
僚	niaɤ2	
僧	sən1	
僵	tɕiaɣ̃1	
僻	pʰie7	
儡	nei3	
兒	ɚ2	
允	ioŋ3	
元	yæ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsaɤ5	
先	ɕiæ̃1	
光	kuaɣ̃1	
光	kuaɣ̃5	口
克	kʰæ7	
免	miæ̃3	
兑	tuei5	
兔	tʰu5	
黨	taɣ̃3	
兜	təu1	
入	zuɵ7	
全	tɕʰyæ̃2	
八	pa7	
公	koŋ1	
六	nuɵ7	
兮	ɕi1	
蘭	naɹ̃2	
共	koŋ5	
關	kuaɹ̃1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiæ̃3	
兹	tsɿ1	
養	iaɣ̃3	
兼	tɕiæ̃1	
獸	səu5	
冀	tɕi5	
内	nei5	
岡	kaɣ̃1	
冉	zaɹ̃3	
册	tsʰæ7	
再	tsae5	
冒	maɤ5	
寫	ɕi3	
軍	tɕyn1	
農	noŋ2	
冠	kuaɹ̃5	
冤	yæ̃1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
決	tɕio7	
况	kʰuaɣ̃5	
冷	nən3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tsuən3	
涼	niaɣ̃2	
凋	tiaɤ1	
凌	nin2	
減	tɕiæ̃3	
湊	tsʰəu5	
凜	nin3	
凝	ȵin2	
几	tɕi3	
凡	faɹ̃2	
鳳	foŋ5	
凭	pʰin2	
凭	pʰən1-	凭靠
凱	kʰae3	
凰	xuaɣ̃2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰuɵ7	
凹	ua5	
出	tsʰuɵ7	
擊	tɕie7	
函	xaɹ̃2	
鑿	tsʰuɵ7	
刀	taɤ1	
刁	tiaɤ1	
刃	zən3	
分	fən1	
切	tɕʰie7	
刈	i5	
刊	kʰaɹ̃1	
刑	ɕin2	
划	xua5	
列	nie7	
劉	niəu2	
則	tsʰæ7	
剛	kaɣ̃1	
創	tsʰuaɣ̃5	
初	tsʰu1	
删	suaɹ̃1	
判	pʰaɹ̃5	
刨	pʰaɤ2	
刨	paɤ5	
利	ni5	
别	pie7	
刮	kua7	
到	taɤ5	
制	tsɿ5	
刷	sua2	
券	tɕyæ̃5	
刺	tsʰɿ2	
刻	kʰæ7	
劊	kʰuae5	
刴	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
削	ɕye7	
前	tɕʰiæ̃2	
剮	kua3	
劍	tɕiæ̃5	
剔	tʰi5	
剖	pʰo3	
剖	pʰo5	
剜	uaɹ̃1	
剝	pɵ7	
劇	tɕy5	
剩	sən5	
剪	tɕiæ̃3	
副	fuᶹ5	
割	kɤ7	
剿	tɕiaɤ3	
劈	pʰie7	
力	nie7	
勸	tɕʰyæ̃5	
辦	paɹ̃5	
功	koŋ1	
加	tɕia1	
務	vuᶹ5	
劣	nie7	
動	toŋ5	
助	tsu5	
努	nu3	
劫	tɕie7	
劫	tɕʰie7	
勵	nie7	
勁	tɕin5	
勞	naɤ2	
勢	sɿ5	
勃	pʰɵ7	
勇	ioŋ3	
勉	miæ̃3	
勳	ɕyn1	
勒	næ7	
勘	kʰaɹ̃1	
募	mu5	
勤	tɕʰin2	
勾	kəu1	
匀	yn2	
包	paɤ1	
匈	ɕioŋ1	
化	xua5	
北	pæ7	
匙	sɿ5	
匠	tɕiaɣ̃5	
匡	kʰuaɣ̃1	
匣	ɕiæ7	
匪	fei3	
匹	pʰie7	
區	tɕy1	
區	tɕʰy1	
醫	i1	
匾	piæ̃3	
匿	ȵi5	
十	sɘ7	
千	tɕʰiæ̃1	
升	sən1	
午	vuᶹ3	
卉	xuei5	
半	paɹ̃5	
華	xua2	
協	ɕie7	
卑	pei1	
卒	tsuɵ7	
卒	tɕio7	
卓	tsuɵ7	
單	taɹ̃1	
賣	mae5	
南	naɹ̃2	
博	pɵ7	
卜	pu5	
占	tsaɹ̃5	
卡	kʰa3	
卡	tɕʰia3	
盧	nu2	
卤	nu3	
卦	kua5	
臥	o5	
衛	uei5	
卯	maɤ3	
印	in5	
危	uei2	
即	tɕie7	
卻	tɕʰio7	
卵	nuaɹ̃3	
卷	tɕyæ̃3	
卷	tɕyæ̃5	
卸	ɕi5	
卿	tɕʰin1	
廠	tsʰaɣ̃3	
廳	tʰin1	
历	nie7	
厲	nie7	
壓	ia5	
厭	iæ̃5	
廁	tsʰæ7	
厘	ni3	
厚	xəu5	
原	yæ̃2	
廂	ɕiaɣ̃1	
厦	ɕia5	
廚	tsʰu2	
厮	sɿ1	
去	tɕʰy5	
縣	ɕiæ̃5	
参	tsʰaɹ̃1	
参	sən1	
又	iəu5	
叉	tsʰa1	
及	tɕʰie7	
友	iəu3	
雙	suaɣ̃1	
反	faɹ̃3	
发	fa2	
叔	suɵ7	
取	tɕʰy3	
受	səu5	
變	piæ̃5	
敍	ɕy5	
叛	pʰaɹ̃5	
叟	səu5	
疊	tie7	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	nin5	
叨	taɤ1	
叩	kʰəu5	
只	tsɿ1	
只	tsɿ3	
叫	tɕiaɤ5	
召	tsaɤ5	
叮	tin1	
可	kʰo3	
可	kʰɤ3	
台	tʰae2	
史	sɿ3	
右	iəu5	
葉	ie7	
號	xaɤ5	
司	sɿ1	
嘆	tʰaɹ̃5	
吁	ɕy1	
吃	tsʰɘ7	
各	kɤ7	
吆	iaɤ1	
合	xɤ7	
吉	tɕie7	
吊	tiaɤ5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	ni5	
吐	tʰu3	
向	ɕiaɣ̃5	
嚇	ɕia5	
呂	ny3	
君	tɕyn1	
吝	nin2	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fuᶹ3	
吧	pa1	
吩	fən1	
含	xaɹ̃2	
聽	tʰin5	
吮	suən3	
啓	tɕʰi3	
吳	vuᶹ2	
吵	tsʰaɤ3	
吸	tɕie7	
吸	tɕʰie7	
吹	tsʰuei1	
吻	uən2	
吼	xəu3	
吾	vuᶹ5	
呆	tae1	
呈	tsʰən2	
告	kaɤ5	
員	yæ̃2	
嗆	tɕʰiaɣ̃5	
呢	ȵi2	
周	tsəu1	
味	uei5	
呼	fuᶹ1	
命	min5	
和	xo2	
和	xo5	~面
咎	tɕiəu1	
詠	yn3	
咐	fuᶹ5	
咒	tsəu5	
嚨	noŋ2	
咨	tsɿ1	
咬	ŋaɤ3	
咬	ȵiaɤ3	
咱	tsa2	
咳	kʰæ7	
咸	xaɹ̃2	
咽	iæ̃1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
響	ɕiaɣ̃3	
啞	ia3	
哥	ko1	
哥	kɤ1	
哨	saɤ5	
哪	næ7	
哭	kʰuɵ7	
哮	ɕiaɤ5	
哲	tsæ7	
哺	fuᶹ3	
哼	xən1	
哽	kən3	
唆	so1	
脣	suən2	
唐	tʰaɣ̃2	
嘮	naɤ1	
喚	xuaɹ̃5	
售	səu5	
唯	uei2	
唱	tsʰaɣ̃5	
唾	tʰo5	
啄	tsuɵ7	
啄	tsuæ7	
商	saɣ̃1	
嗇	sæ7	
囉	no1	
啼	tʰi2	
喂	uei5	
善	saɹ̃5	
喉	xəu2	
喊	xaɹ̃3	
喘	tsʰuae3	
喜	ɕi3	
喝	xo1	
喧	ɕyæ̃1	
噴	fən5	
喻	y5	
嗅	ɕiəu5	
嗓	saɣ̃3	
嗜	sɿ5	
嗝	kɤ7	
嗣	sɿ5	
嗽	səu5	
嘉	tɕia1	
嘘	ɕy1	
囑	suɵ7	
嘴	tsuei3	
嘻	ɕi1	
噎	ie7	
器	tɕʰi5	
囂	ɕiaɤ1	
嚷	zaɣ̃3	
嚼	tɕiaɤ5	
囊	naɣ̃2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰaɹ̃2	
園	yæ̃2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kuæ7	
圖	tʰu2	
圓	yæ̃2	
圈	tɕʰyæ̃1	
土	tʰu3	
聖	sən5	
在	tsae5	
圭	kuei1	
地	ti5	
圳	tsən5	
場	tsʰaɣ̃2	
址	tsʰɿ3	
均	tɕyn1	
坊	faɣ̃3	
坍	tʰaɹ̃1	
坎	kʰaɹ̃3	
壞	xuae5	
坐	tso5	
坑	kʰən1	
塊	kʰuae3	
堅	tɕiæ̃1	
坛	tʰaɹ̃2	
壩	pa5	
塢	vuᶹ1	
墳	fən2	
墜	tsuei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰaɹ̃3	
坪	pʰin2	
坯	pʰei1	
垂	tsʰuei2	
垃	na1	
壟	noŋ3	
型	ɕin2	
垒	nei3	
垢	kəu5	
墊	tiæ̃5	
垮	kʰua3	
埂	kən5	
埋	mae2	
城	tsʰən2	
域	io7	
培	pʰei2	
基	tɕi1	
堂	tʰaɣ̃2	
堆	tei1	
墮	to5	
堡	paɤ3	
堤	tʰi2	
堪	kʰaɹ̃1	
堰	tʰaɹ̃2	
堰	iæ̃5	
堵	tu3	
塌	tʰæ7	
塑	su5	
塔	tʰæ7	
塘	tʰaɣ̃2	
塞	sae5	边~
填	tʰiæ̃2	
境	tɕin3	
墅	su3	
墓	mu5	
牆	tɕʰiaɣ̃2	
增	tsən1	
墟	ɕy1	
墨	mæ7	
墩	tən1	
壁	pie7	
壅	ioŋ1	
壤	zaɣ̃3	
士	sɿ5	
壬	zən5	
壯	tsuaɣ̃5	
聲	sən1	
殼	kʰɤ7	
壺	fuᶹ2	
壹	ie7	
處	tsʰu3	~理、~所
處	tsʰu5	~所
備	pi5	
复	fɵ7	
夏	ɕia5	
夕	ɕie7	
外	uae5	
多	to1	
夜	i5	
够	kəu5	
大	tʰae3-	
大	ta5	
天	tʰiæ̃1	
太	tʰae5	
夫	fuᶹ1	
夭	iaɤ1	
央	iaɣ̃1	
夯	xaɣ̃3	
失	sɘ7	
頭	tʰəu2	
夷	i2	
夸	kʰua1	
夾	tɕiæ7	
奪	tuɵ7	
奇	tɕʰi2	
奈	nae5	
奉	foŋ5	
奮	fən1	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiaɣ̃3	
套	tʰaɤ5	
奚	ɕi1	
奠	tiæ̃5	
奧	ŋaɤ5	
女	ȵy3	
奴	nu2	
奶	nae3	
奶	nae1-	喂~
奸	tɕiæ̃1	
好	xaɤ3	
好	xaɤ5	
如	zu2	
妃	fei1	
妄	uaɣ̃5	
妝	tsuaɣ̃1	
婦	fuᶹ5	
媽	ma1	
妒	tu5	
妓	tɕi5	
妖	iaɤ1	
妙	miaɤ5	
妥	tʰo3	
妨	faɣ̃3	
妹	mei5	
妻	tɕʰi1	
妾	tɕie7	
妾	tɕʰie7	
姊	tsɿ3	
始	sɿ5	
姐	tɕi3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iaɤ2	
姜	tɕiaɣ̃1	
姥	naɤ3	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uei5	
娃	ua2	
嬌	tɕiaɤ1	
娘	ȵiaɣ̃2	
娠	sən2	
娩	miæ̃3	
娛	y5	
娶	tɕʰy3	
