#漢字	音標	解釋
□	tia1	提
攪	kʰaɤ2	俗
搓	tsʰo1	
搜	səu1	
搞	kaɤ3	
搬	paɹ̃1	
搭	tæ7	
攜	ɕi1	
搽	tsʰa2	
攝	sæ7	
摆	pae3	
摇	iaɤ2	
攤	tʰaɹ̃1	
摔	suae1	
摔	suae3	
摘	tsæ7	
摞	no5	
摧	tsʰuei1	
摩	mo1	
摸	mo1	
摹	mu2	
撇	pʰie7	
撑	tsʰən1	
撒	sa3	
撕	sɿ1	
撙	tsən1	
撞	tsuaɣ̃5	
撤	tsʰæ7	
撩	niaɤ1	
撬	tɕʰiaɤ1	
播	po5	
撮	tsʰuɵ7	
撼	xaɹ̃5	
擀	kaɹ̃3	
擂	nei2	
操	tsʰaɤ1	
擒	tɕʰin2	
擦	tsʰæ7	
攀	pʰaɹ̃1	
攢	tsaɹ̃3	
攘	zaɣ̃3	
支	tsɿ1	
收	səu1	
改	kae3	
攻	koŋ1	
放	faɣ̃5	
政	tsən5	
故	ku5	
效	ɕiaɤ5	
敵	tie7	
敏	min3	
救	tɕiəu5	
教	tɕiaɤ1	
教	tɕiaɤ5	
斂	niæ̃3	
敝	pi5	
敢	kaɹ̃3	
散	saɹ̃5	
敦	tən1	
敬	tɕin5	
數	su3	
數	su5	
敲	kʰaɤ1	
敲	tɕʰiaɤ1	
整	tsən3	
敷	fuᶹ1	
文	uən2	
齋	tsae1	
斑	paɹ̃1	
斗	təu3	
斗	təu5	
料	niaɤ5	
斜	ɕi2	
斜	ɕia2	
斟	tsən1	
斤	tɕin1	
斥	tsʰɘ7	
斧	fuᶹ3	
斬	tsaɹ̃3	
斷	taɹ̃5	
斯	sɿ1	
新	ɕin1	
方	faɣ̃1	
施	sɿ1	
旁	pʰaɣ̃2	
旅	ny3	
旋	ɕyæ̃5	
族	tsʰuɵ7	
旗	tɕʰi2	
無	vuᶹ2	
既	tɕi5	
日	zɘ7	
旦	taɹ̃5	
舊	tɕiəu5	
旨	tsɿ3	
早	tsaɤ3	
旬	ɕyn2	
旱	xaɹ̃5	
時	sɿ5	
曠	kʰuaɣ̃5	
旺	uaɣ̃5	
昂	ŋaɣ̃2	
昆	kʰuən1	
昌	tsʰaɣ̃1	
明	min2	
昏	xuən1	
易	i5	
昔	ɕie7	
星	ɕin1	
映	in5	
春	tsʰuən1	
昧	mei5	
昨	tsuɵ7	
昭	tsaɤ1	
是	sɿ5	
晝	tsəu5	
顯	ɕiæ̃3	
晃	xuaɣ̃3	~眼
晃	xuaɣ̃5	摇~
晉	tɕin5	
晌	saɣ̃3	
晏	iæ̃5	
曬	sae5	
曉	ɕiaɤ3	
暈	yn1	
晚	uaɹ̃3	
晦	xuei3	
晨	sən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
暫	tsaɹ̃5	
暇	ɕia2	
暑	su3	
暖	nuaɹ̃3	
暗	ŋaɹ̃5	
暮	mu5	
暴	paɤ5	
曝	paɤ5	
曰	io7	
曲	tɕʰio7	
更	kən1	
更	kən5	
曹	tsʰaɤ2	
曾	tsən1	
曾	tsʰən2	
替	tʰin5	
最	tsuei5	
月	ye7	
有	iəu3	
朋	pʰoŋ2	
服	fɵ7	
朗	naɣ̃3	
望	uaɣ̃5	
朝	tsaɤ1	
朝	tsʰaɤ2	
期	tɕʰi1	
木	mɵ7	
未	uei5	
末	mɵ7	
本	pən3	
札	tsæ7	
术	su5	
朱	tsu1	
朴	pʰɵ7	
朶	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sæ7	
雜	tsæ7	
權	tɕʰyæ̃2	
杆	kaɹ̃1	
杈	tsʰa1	
杉	sa1	
李	ni3	
杏	ɕin5	
材	tsʰae2	
村	tsʰən1	
杖	tsaɣ̃5	
杜	tu5	
杞	tɕi3	
杠	kaɣ̃5	
條	tʰiaɤ2	
來	nae2	
楊	iaɣ̃2	
杭	xaɣ̃2	
杯	pei1	
杰	tɕie7	
杳	miaɤ3	
杳	iaɤ3	
杵	tsʰu3	
杷	pʰa2	
松	soŋ1	
板	paɹ̃3	
極	tɕie7	
構	kəu5	
枇	pʰi2	
枉	uaɣ̃5	
析	ɕie7	
枕	tsən3	
林	nin2	
枚	mei2	
果	ko3	
枝	tsɿ1	
樞	su1	
棗	tsaɤ3	
槍	tɕʰiaɣ̃1	
楓	foŋ1	
枯	kʰu1	
架	tɕia5	
柄	pin3	
柏	pæ7	
某	moŋ3	
柑	kaɹ̃1	
染	zaɹ̃3	
柔	zəu2	
柚	iəu5	
櫃	kuei5	
查	tsa1	
查	tsʰa2	
柩	tɕiəu5	
柬	tɕiæ̃3	
柱	tsu5	
柳	niəu3	
柴	tsʰae2	
柿	sɿ5	
柿	fei5	
梔	tsɿ1	
栅	tsa5	
標	piaɤ1	
棧	tsaɹ̃5	
棟	toŋ5	
欄	naɹ̃2	
樹	su5	
栖	tɕʰi1	
栗	nie7	
校	ɕiaɤ5	
校	kaɤ5-	~钟表
校	tɕiaɤ5	校钟表
株	tsu1	
樣	iaɣ̃5	
核	xæ7	
根	kən1	
格	kæ7	
栽	tsae1	
桂	kuei5	
桃	tʰaɤ2	
桅	uei2	
框	kʰuaɣ̃1	
案	ŋaɹ̃5	
桌	tsuɵ7	
桐	tʰoŋ2	
桑	saɣ̃1	
桓	xuaɹ̃2	
椏	ia5	
檔	taɣ̃3	
橋	tɕʰiaɤ2	
樺	xua2	
檜	xuei5	
槳	tɕiaɣ̃3	
樁	tsuaɣ̃1	
桶	tʰoŋ3	
梁	niaɣ̃2	
梅	mei2	
梓	tsɿ3	
梗	kən3	
梢	saɤ1	
梧	vuᶹ5	
梨	ni2	
梭	so1	
梯	tʰi1	
械	tɕiæɛ5	
梳	su1	
梵	faɹ̃5	
檢	tɕiæ̃3	
棉	miæ̃2	
棋	tɕʰi2	
棍	kuən5	
棒	paɣ̃5	
棕	tsoŋ1	
棘	tɕie7	
棚	pʰoŋ2	
棠	tʰaɣ̃2	
森	sən1	
棱	nən2	
棵	kʰo1	
棺	kuaɹ̃1	
椅	i3	
植	tsɘ7	
椒	tɕiaɤ1	
橢	tʰo3	
椰	ie7	
椴	taɹ̃5	
椿	tsʰuən1	
楔	ɕi1	
楚	tsʰu3	
楝	niæ̃5	
楣	mei2	
楦	ɕyæ̃1	
楷	kʰae3	
樓	nəu2	
概	kʰae5	
欖	naɹ̃3	
榆	y5	
榛	tsən1	
榜	paɣ̃3	
榧	fei3	
榨	tsa5	
榴	niəu2	
榻	tʰæ7	
槌	tsʰuei2	
槐	xuae2	
檻	kʰaɹ̃3	
檳	pin1	
槽	tsʰaɤ2	
樟	tsaɣ̃1	
模	mu1	
模	mu2	
模	mo2	
橫	xuən2	
橫	xuən5	
櫻	ŋən1	
櫻	in1	
樵	tɕʰiaɤ2	
橄	kaɹ̃3	
橘	tɕio7	
橙	tsʰən2	
櫥	tsʰu2	
櫓	nu3	
檀	tʰaɹ̃2	
檐	iæɛ2	
檁	nin3	
欠	tɕʰiæ̃5	
次	tsʰɿ2	
歡	xuaɹ̃1	
欣	ɕin1	
欲	io7	
欺	tɕʰi1	
款	kʰuaɹ̃3	
歇	ɕie7	
歉	tɕʰiæ̃5	
歌	ko1	
歌	kɤ1	
止	tsʰɿ3	
正	tsən5	
此	tsʰɿ3	
步	pu5	
武	vuᶹ3	
歪	uae1	
歪	uae3	口
死	sɿ3	
殲	tɕʰiæ̃1	
殃	iaɣ̃1	
殆	tae5	
殉	ɕyn5	
殊	su1	
殘	tsʰaɹ̃2	
殮	niæ̃3	
殖	tsɘ7	
殯	pin1	
段	taɹ̃5	
殷	in1	
殿	tiæ̃5	
毁	xuei3	
毅	ȵi5	
母	mu3	
每	mei3	
毒	tuɵ7	
比	pi3	
畢	pie7	
斃	pi5	
毛	maɤ2	
毡	tsaɹ̃1	
毫	xaɤ2	
毯	tʰaɹ̃3	
毽	tɕiæ̃5	
氏	sɿ5	
民	min2	
氓	maɣ̃3	
气	tɕʰi5	
水	suei3	
永	yn3	
汀	tʰin1	
汁	tsɘ7	
求	tɕʰiəu2	
汇	xuei5	
漢	xaɹ̃5	
汗	xaɹ̃5	
汝	zu3	
汞	koŋ3	
江	tɕiaɣ̃1	
池	tsʰɿ2	
污	vuᶹ1	
湯	tʰaɣ̃1	
汪	uaɣ̃1	
汽	tɕʰi5	
沂	i2	
沃	uɵ7	
沈	sən3	
沉	tsʰən2	
沐	mɵ7	
沓	tæ7	
沙	sa1	
沛	pʰei5	
溝	kəu1	
没	mɵ7	
淪	nən2	
滬	fuᶹ5	
沫	mɵ7	
河	xo2	
沸	fei5	
油	iəu2	
治	tsɿ5	
沼	tsaɤ1	
沾	tsaɹ̃1	
沿	yæ̃2	
泄	ɕi5	
泅	tɕʰiəu2	
泉	tɕʰyæ̃2	
泊	pæ7	
泌	mie7	
泔	kaɹ̃1	
法	fa2	
泛	faɹ̃2	
泡	pʰaɤ5	
泡	pʰaɤ1	水~,又,口
波	po1	
泣	ɕie7	
泥	ȵi2	
注	tsu5	
淚	nei5	
泰	tʰae5	
泳	yn3	
泳	yn5	
瀉	ɕi3	
潑	pʰɵ7	
澤	tsʰæ7	
潔	tɕie7	
洋	iaɣ̃2	
洒	sa3	
洗	ɕi3	
洛	nuɵ7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tsəu1	
活	xuɵ7	
洼	ua1	
洽	tɕʰiæ7	
派	pʰae5	
流	niəu2	
淺	tɕʰiæ̃3	
漿	tɕiaɣ̃5	
澆	tɕiaɤ1	
濁	tsuɵ7	
測	tsʰæ7	
濟	tɕi5	
渾	kʰuən2-	
渾	xuən1	
渾	xuən2=	
滸	fuᶹ3	
濃	noŋ2	
浙	tsæ7	
浜	paɣ̃1	
浦	pʰu2	
浩	xaɤ5	
浪	naɣ̃5	
浮	fuᶹ2	
浴	io7	
海	xae3	
浸	tɕʰin5	
涂	tʰu2	
消	ɕiaɤ1	
涉	sæ7	
涌	ioŋ3	
涎	ɕiæ̃2	
涕	tʰi5	
濤	tʰaɤ2	
澇	naɤ5	
滌	tie7	
潤	zuən5	
澗	tɕiæ̃5	
漲	tsaɣ̃3	
澀	sæ7	
涮	suaɹ̃5	
涯	ia2	
液	i5	
涿	tsuɵ7	
淀	tiæ̃5	
淆	ɕiaɤ5	
淋	nin2	
淑	suɵ7	
淘	tʰaɤ2	
淡	taɹ̃5	
淤	y1	
淫	in2	
淮	xuae2	
深	sən1	
混	xuən5	
淹	iæ̃1	
添	tʰiæ̃1	
清	tɕʰin1	
淵	yæ̃1	
漸	tɕiæ̃5	
澠	miæ̃3	
漁	y2	
滲	sən1	
渠	tɕʰy5	
渡	tu5	
渣	tsa1	
溫	uən1	
港	kaɣ̃3	
渴	kʰɤ7	
游	iəu2	
渺	miaɤ3	
湃	pae5	
湖	fuᶹ2	
湘	ɕiaɣ̃1	
灣	uaɹ̃1	
溼	sɘ7	
潰	kʰuei2	
濺	tɕiæ̃5	
溉	kʰae5	
源	yæ̃2	
溜	niəu1	
溪	tɕʰi1	
溶	ioŋ2	
溺	ȵie7	
滂	pʰaɣ̃2	
滋	tsɿ1	
滑	xuæ7	
滓	tsɘ7	
滔	tʰaɤ1	
滚	kuən3	
滯	ti5	
滯	tsʰɿ5	
滿	maɹ̃3	
濾	ni5	
濾	ny5	
濫	naɹ̃2	
濱	pin1	
灘	tʰaɹ̃1	
滴	tie7	
漂	pʰiaɤ2	
漂	pʰiaɤ1	~浮
漂	pʰiaɤ5	~亮
漆	tɕʰie7	
漏	nəu5	
演	iæ̃3	
漫	maɹ̃5	
漱	su5	
潘	pʰaɹ̃1	
潛	tɕʰiæ̃3	
潛	tsaɹ̃5	
潭	tʰaɹ̃2	
潮	tsʰaɤ2	
澄	tsʰən2	
澄	tən5	
澈	tsʰæ7	
澡	tsaɤ3	
激	tɕie7	
瀑	pʰɵ7	
灌	kuaɹ̃5	
火	xo3	
滅	mie7	
燈	tən1	
灰	xuei1	
靈	nin2	
灸	tɕiəu1	
災	tsae1	
燦	tsʰaɹ̃5	
爐	nu2	
炊	tsʰuei1	
炎	iæ̃1	
炒	tsʰaɤ3	
炕	kʰaɣ̃5	
炙	tsɿ5	
炭	tʰaɹ̃5	
炮	pʰaɤ5	
炯	tɕyn3	
炸	tsa5	
點	tiæ̃3	
煉	niæ̃5	
爛	naɹ̃5	
烈	nie7	
烊	iaɣ̃2	
烘	xoŋ1	
烙	nuɵ7	
燭	tsuɵ7	
烟	iæ̃1	
烤	kʰaɤ3	
煩	faɹ̃2	
燒	saɤ1	
燙	tʰaɣ̃5	
熱	zæ7	
烹	pʰən1	
焉	iæ̃1	
煥	xuaɹ̃5	
焙	pei5	
焚	fən2	
焦	tɕiaɤ1	
焰	iæ̃5	
然	zaɹ̃2	
煎	tɕiæ̃1	
煤	mei2	
照	tsaɤ5	
煨	uei1	
煮	tsu3	
熄	ɕie7	
熊	ɕioŋ2	
熏	ɕyn1	
熔	ioŋ2	
熙	ɕi1	
熟	suɵ7	
熨	yn5	
熬	ŋaɤ2	
熬	ŋaɤ5	
燃	zaɹ̃2	
燎	niaɤ2	
燕	iæ̃1	
燕	iæ̃5	
燥	saɤ5-	
燥	tsʰaɤ5	
爆	paɤ5	
爪	tsaɤ3	
爪	tsua3	
爬	pʰa2	
父	fuᶹ5	
爺	i2	
爸	pa5	
爹	ti1	
爽	suaɣ̃3	
片	pʰiæ̃5	
版	paɹ̃3	
牌	pʰae2	
牒	tie7	
牙	ia2	
牛	ȵiəu2	
牡	mu3	
牢	naɤ2	
物	uɵ7	
牲	sən1	
牽	tɕʰiæ̃1	
特	tʰæ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犍	tɕiæ̃5	
犒	kʰaɤ5	
犬	tɕʰyæ̃3	
犯	faɹ̃5	
狀	tsuaɣ̃5	
猶	iəu2	
狂	kʰuaɣ̃2	
狄	tie7	
狽	pei5	
狐	fuᶹ2	
狗	kəu3	
狡	tɕiaɤ3	
獨	tuɵ7	
狹	ɕiæ7	
獅	sɿ1	
獄	io7	
狸	ni3	
狼	naɣ̃2	
猛	moŋ3	
猜	tsʰae1	
猝	tsʰuɵ7	
猩	ɕin3	
豬	tsu1	
猫	maɤ1	
蝟	uei2	
獻	ɕiæ̃5	
猴	xəu2	
猿	yæ̃2	
玄	ɕyæ̃2	
率	suae5	
率	suɵ7	
玉	y5	
王	uaɣ̃2	
玩	uaɹ̃2	
玫	mei2	
環	xuaɹ̃2	
現	ɕiæ̃5	
璽	ɕi3	
玻	po1	
珀	pʰæ7	
珍	tsən1	
珠	tsu1	
班	paɹ̃1	
球	tɕʰiəu2	
理	ni3	
琉	niəu2	
瑣	so3	
琢	tsuɵ7	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa2	
瓊	tɕʰyn2	
瑕	ɕia2	
瑞	suei5	
瑟	sæ7	
瑰	kuei5	
璃	ni2	
璧	pie7	
瓜	kua1	
瓠	fuᶹ2	
瓢	pʰiaɤ2	
瓣	paɹ̃5	
瓤	zaɣ̃3	
瓦	ua3	
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甑	tsən5	
甘	kaɹ̃1	
甚	sən5	
甜	tʰiæ̃2	
生	sən1	
甥	sən1	
用	ioŋ5	
甫	pʰu3	
甬	ioŋ3	
田	tʰiæ̃2	
由	iəu2	
甲	tɕiæ7	
申	sən1	
電	tiæ̃5	
男	naɹ̃2	
畫	xua5	
暢	tsʰaɣ̃5	
界	tɕiæɛ5	
畏	uei5	
畔	pʰaɹ̃5	
留	niəu2	
畜	ɕio7	
略	nio7	
畦	tɕʰi2	
番	faɹ̃1	
疆	tɕiaɣ̃1	
疏	su1	
疑	ȵi2	
疑	ȵi5	
療	niaɤ2	
瘍	iaɣ̃2	
疤	pa1	
疥	tɕiæɛ5	
疫	io7	
瘡	tsʰuaɣ̃1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ1	
疸	taɹ̃3	
疹	tsən1	
疾	tɕie7	
痂	tɕia1	
痂	ma2	
病	pin5	
症	tsən5	
痍	fei5	
痒	iaɣ̃3	
痔	tsɿ5	
痕	xən5	
痘	təu5	
痛	tʰoŋ5	
痞	pʰi3	
痢	ni5	
痣	tsɿ5	
痧	sa1	
癆	naɤ2	
痰	tʰaɹ̃2	
癡	tsʰɿ1	
痹	pʰi2	
瘟	uən1	
瘦	səu5	
癟	pia3	扁
癱	tʰaɹ̃1	
瘴	tsaɣ̃5	
瘸	tɕy2	
癮	in3	
癩	nae5	
癬	ɕyæ̃3	
癲	tiæ̃1	
癸	kʰuei2	
登	tən1	
白	pæ7	
百	pæ7	
皂	tsaɤ5	
的	ne1-	
的	tie7	
皆	tɕiæɛ1	
皇	xuaɣ̃2	
皖	uaɹ̃3	
皮	pʰi2	
皺	tsəu5	
皺	tsoŋ5	
皿	min3	
盅	tsoŋ1	
盆	pʰən2	
盈	in2	
益	ie7	
盞	tsaɹ̃3	
鹽	iæ̃2	
監	tɕiæ̃1	
監	tɕiæ̃5	
盒	xɤ7	
盔	kʰuei1	
盖	kae5	
盜	taɤ5	
盤	pʰaɹ̃2	
盛	tsʰən2	
盛	sən5	
盟	moŋ2	
盲	maɣ̃2	
直	tsɘ7	
相	ɕiaɣ̃1	
相	ɕiaɣ̃5	
盼	pʰaɹ̃5	
盾	tən5	
省	sən3	
省	ɕin3	
眉	mi2	
眉	mei2	
看	kʰaɹ̃5	
真	tsən1	
眠	miæ̃2	
眨	tsæ7	
眩	ɕyæ̃2	
眶	kʰuaɣ̃1	
眷	tɕyæ̃5	
眼	iæ̃3	
着	tsu5	
着	tsuɵ7	
着	tsaɤ2-	遭
睜	tsən1	
睏	kʰuən5	
睛	tɕin1	
睡	suei5	
督	tuɵ7	
睬	tsʰae3	
瞎	ɕiæ7	
瞑	min2	
瞞	maɹ̃2	
瞧	tɕʰiaɤ2	
瞳	tʰoŋ2	
瞻	tsaɹ̃1	
瞿	tɕʰy2	
矛	maɤ2	
矢	sɘ7	
矣	i3	
知	tsɿ1	
矩	tɕy3	
矯	tɕiaɤ3	
短	taɹ̃3	
矮	ŋae3	
石	sɘ7	
礬	faɹ̃2	
礦	kʰuaɣ̃5	
碼	ma3	
砂	sa1	
砌	tɕʰie7	
砍	kʰaɹ̃3	
研	ȵiæ̃1	
研	ia2	
磚	tsuaɹ̃1	
砧	tsaɹ̃1	
破	pʰo5	
礫	nie7	
礎	tsʰuɵ7	
硃	tsu1	
碩	suɵ7	
硝	ɕiaɤ1	
硫	niəu2	
硬	kən5	
硬	ŋən5	
確	tɕʰio7	
礆	tɕiæ̃3	
礙	ŋae5	
碎	tsʰuei5	
碎	suei5	
碑	pei1	
碗	uaɹ̃3	
碟	tie7	
碧	pie7	
碰	pʰoŋ5	
碾	ȵiæ̃3	
磁	tsʰɿ2	
磕	kʰɤ7	
磨	mo2	
磨	mo5	石~
磷	nin2	
示	sɿ5	
禮	ni3	
社	sei5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi3	
祐	iəu5	
祖	tsu3	
祝	tsuɵ7	
神	sən2	
祠	tsʰɿ2	
祥	tɕʰiaɣ̃2	
票	pʰiaɤ5	
祭	tɕi5	
禱	taɤ3	
禍	xo5	
稟	pin3	
禁	tɕin5	
祿	nuɵ7	
禪	saɹ̃2	
禪	saɹ̃5	
福	fɵ7	
禧	ɕi3	
禹	y3	
离	ni2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰuɵ7	
稈	kaɹ̃3	
秉	pin3	
秋	tɕʰiəu1	
種	tsoŋ3	
科	kʰo1	
秒	miaɤ3	
秘	pei5	
秘	mie7	
租	tsu1	
秤	tsʰən5	
秦	tɕʰin2	
秧	iaɣ̃1	
秩	tsʰɘ7	
積	tɕie7	
稱	tsʰən1	
稱	tsʰən5	
移	i2	
穢	xuei5	
稀	ɕi1	
程	tsʰən2	
稍	saɤ1	
稍	saɤ5	
税	suei5	
稗	pae5	
稚	tsɿ5	
稠	tsʰəu2	
穩	uən3	
稻	taɤ5	
稼	tɕia1	
稽	tɕi1	
稿	kaɤ3	
穗	ɕy5	
穴	ɕie7	
究	tɕiəu5	
窮	tɕʰioŋ2	
空	kʰoŋ1	
穿	tsʰuaɹ̃1	
突	tʰuɵ7	
竊	tɕʰie7	
窄	tsæ7	
竅	tɕʰiaɤ5	
窯	iaɤ2	
窖	kaɤ5	
窗	tsʰaɣ̃1	
竄	tsʰuaɹ̃5	
窩	o1	
窟	kʰuɵ7	
窺	kʰuei1	
窨	in1	
窿	noŋ2	
立	nie7	
豎	su5	
站	tsaɹ̃5	
競	tɕin5	
竟	tɕin5	
章	tsaɣ̃1	
童	tʰoŋ2	
竭	tɕie7	
端	taɹ̃1	
竹	tsuɵ7	
竿	kaɹ̃1	
篤	tu3	
笆	pa1	
笊	tsaɤ3	
笋	sən3	
笑	ɕiaɤ5	
筆	pie7	
笙	sən1	
笛	tie7	
笠	nie7	
符	fuᶹ5	
笨	pən5	
第	ti5	
箋	tɕʰiæ̃1	
籠	noŋ2	
等	tən3	
筋	tɕin1	
筏	fa2	
筐	kʰuaɣ̃1	
筑	tsuɵ7	
筒	tʰoŋ2	
答	tæ7	
策	tsʰæ7	
篩	sae1	
箏	tsən1	
筵	iæ̃5	
筷	kʰuae5	
籌	tsʰəu2	
签	tɕʰiæ̃1	
簡	tɕiæ̃3	
箅	pi5	
箍	kʰu1	
箕	tɕi1	
算	suaɹ̃5	
管	kuaɹ̃3	
籮	no2	
簫	ɕiaɤ1	
箬	zuɵ7	
箭	tɕiæ̃5	
箱	ɕiaɣ̃1	
箸	tsu5	
篇	pʰiæ̃1	
簍	nəu3	
篙	kaɤ3	
篦	pi5	
籃	naɹ̃2	
籬	ni2	
篷	pʰoŋ2	
篾	mi2	
簧	xuaɣ̃2	
簪	tsaɹ̃1	
簸	po3	
簿	pu5	
籍	tɕie7	
米	mi3	
類	nei5	
粉	fən3	
粒	nie7	
粗	tsʰu1	
粘	tsaɹ̃1	
粤	io7	
粥	tsəu1	
粥	tsuɵ7	
糞	fən5	
糧	niaɣ̃2	
粱	niaɣ̃2	
粹	tsʰuei5	
糉	tsoŋ5	
精	tɕin1	
糊	fuᶹ2	
糍	tsʰɿ2	
糕	kaɤ1	
糖	tʰaɣ̃2	
糙	tsʰaɤ1	
糟	tsaɤ1	
糠	kʰaɣ̃1	
糯	no5	
系	ɕi5	
紆	zən5	
素	su5	
索	suɵ7	
緊	tɕin3	
紫	tsɿ3	
累	nei3	
累	nei5	
絜	tɕin1	
絮	ɕy5	
繁	faɹ̃2	
纔	tsʰae2	
糾	tɕiəu1	
紅	xoŋ2	
紂	tsəu5	
纤	tɕʰiæ̃1	
約	io7	
級	tɕʰie7	
紈	uaɹ̃2	
紀	tɕi5	
緯	uei2	
純	suən2	
紗	sa1	
綱	kaɣ̃1	
納	næ7	
縱	tsoŋ5	
紛	fən1	
紙	tsɿ3	
紋	uən2	
紡	faɣ̃3	
紐	ȵiəu3	
線	ɕiæ̃5	
練	niæ̃5	
組	tsu3	
細	ɕi5	
織	tsɘ7	
終	tsoŋ1	
縐	tsəu1	
絆	paɹ̃5	
紹	saɤ5	
經	tɕin1	
綁	paɣ̃3	
絨	zoŋ2	
結	tɕie7	
繞	zaɤ3	
繪	xuei5	
給	ki1-	
給	tɕie7=	
絡	nuɵ7	
絶	tɕio7	
絞	tɕiaɤ3	
統	tʰoŋ3	
絹	tɕyæ̃1	
繡	ɕiəu5	
繼	tɕi5	
績	tɕie7	
緒	ɕy5	
續	ɕio7	
綽	tsʰuɵ7	
繩	suən2	
維	uei5	
綿	miæ̃2	
繃	pən1	
繃	poŋ1	
綢	tsʰəu2	
綜	tsoŋ1	
綻	tsaɹ̃5	
綠	nuɵ7	
綴	tsuei5	
緬	miæ̃3	
纜	naɹ̃3	
緝	tɕie7	
緞	taɹ̃5	
緩	xuaɹ̃3	
縷	ny3	
編	piæ̃1	
緣	yæ̃2	
縛	pɵ7	
縫	foŋ2	
縫	foŋ5	
纏	tsʰaɹ̃2	
縊	i5	
纓	in1	
縮	suɵ7	
繮	tɕiaɣ̃1	
繳	tɕiaɤ3	
缸	kaɣ̃1	
缺	tɕʰye7	
罐	kuaɹ̃5	
网	uaɣ̃3	
罕	xaɹ̃3	
羅	no2	
罰	fa2	
罷	pa5	
罩	tsaɤ5	
罪	tsuei5	
置	tsɘ7	
署	su3	
羈	tɕi1	
羊	iaɣ̃2	
羌	tɕʰiaɣ̃1	
美	mei3	
羔	kaɤ1	
羞	ɕiəu1	
羡	ɕiæ̃5	
群	tɕʰyn2	
羹	kən1	
羽	y3	
翁	oŋ1	
翅	tsɿ5	
翎	nin3	
翔	ɕiaɣ̃3	
翹	tɕʰiaɤ5	
翠	tsʰuei5	
翡	fei3	
翰	xaɹ̃5	
翻	faɹ̃1	
翼	i5	
耀	iaɤ5	
老	naɤ3	
考	kʰaɤ3	
者	tsae3	
而	ɚ2	
耍	sua3	
耐	nae5	
耕	kən1	
耗	xaɤ5	
耘	yn2	
耙	pʰa2	
耳	ɚ3	
耻	tsʰɿ3	
耽	taɹ̃1	
耿	kən3	
聶	ȵie7	
聊	niaɤ2	
聾	noŋ1	
聾	noŋ2	
職	tsɘ7	
聯	niæ̃2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	ɕio7	
肄	i5	
肆	sɿ5	
肇	saɤ5	
肉	zəu5	
肉	zuɵ7	
肌	tɕi1	
肖	ɕiaɤ1	
肘	tsəu3	
肚	tu5	
肚	tu3	动物胃
肛	kaɣ̃1	
肝	kaɹ̃1	
腸	tsʰaɣ̃2	
股	ku3	
肢	tsɿ1	
膚	fuᶹ1	
肥	fei2	
肩	tɕiæ̃1	
肪	faɣ̃3	
骯	ŋaɣ̃1	
肯	kʰən3	
育	io7	
肴	ɕiaɤ2	
肴	iaɤ2	
肺	fei5	
腎	sən5	
腫	tsoŋ3	
脹	tsaɣ̃5	
胃	uei5	
膽	taɹ̃3	
背	pei1	~负
背	pei5	后~,~诵
胎	tʰae1	
胖	pʰaɣ̃5	
胛	tɕiæ7	
勝	sən5	
胞	paɤ1	
胡	fuᶹ2	
胥	ɕi5	
朧	noŋ2	
胭	iæ̃1	
胳	kuɵ7	
膠	tɕiaɤ1	
胸	ɕioŋ1	
能	nən2	
脂	tsɿ3	
脆	tsʰuei5	
脉	mæ7	
脊	tɕie7	
脏	tsaɣ̃1	
脏	tsaɣ̃5	
臍	tɕʰi2	
腦	naɤ3	
膿	noŋ2	
脖	pɵ7	
脚	tɕio7	
脯	pʰu3	
脱	tʰuɵ7	
臉	niæ̃3	
脾	pʰi2	
腆	tʰiæ̃3	
臘	næ7	
腋	i5	
腌	iæ̃1	
腐	fuᶹ3	
腑	fuᶹ3	
腔	tɕʰiaɣ̃1	
腕	uaɹ̃3	
腥	ɕin1	
腮	sae1	
腰	iaɤ1	
腱	tɕiæ̃5	
腹	fɵ7	
膩	ȵi5	
騰	tʰən2	
腿	tei3	
膏	kaɤ1	
膘	piaɤ1	
膜	mu2	
膝	tɕʰie7	
膝	ɕie7	
膨	pʰən2	
膳	saɹ̃5	
臂	pei5	
臂	pʰei5	
臃	ioŋ1	
臊	saɤ1	
臣	tsʰən2	
自	tsɿ5	
臭	tsʰəu5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
臼	tɕiəu5	
舀	iaɤ3	
舅	tɕiəu5	
舌	sæ7	
舍	sei5	宿~
舒	su1	
舔	tʰiæ̃3	
舜	suən5	
舞	vuᶹ3	
舟	tsəu1	
航	xaɣ̃2	
般	paɹ̃1	
艦	xaɹ̃3	
艦	tɕiæ̃5	
艙	tsʰaɣ̃1	
舵	to5	
