#漢字	音標	解釋
□	tsiɛ1	撕
一	i7	
丁	tiaŋ1	
七	dzi7	
万	uan6	
丈	dʐɔŋ6	
三	san1	
上	ʂɔŋ6	
下	xa3	方位
下	xa6	下降
不	pɛ7	
与	uei3	
丐	kai5a	
丑	dʐeu3	
專	tʂɛn1	
且	dziɛ3	
丕	bi1	
世	ʂʅ5a	
丘	dziu1	
丙	piaŋ3	
業	ȵiɛ7	
叢	dzeŋ2	
東	teŋ1	
絲	sɿ1	
丞	dʐeŋ2	
丟	tiu1	
兩	liɔŋ3	
嚴	ȵiɛn2	
並	piŋ5a	
喪	sɔŋ1	婚～
喪	sɔŋ5a	～失
个	ko5a	
丫	ŋa1	
中	tʂeŋ1	当～
中	tʂeŋ5a	射～
丰	xeŋ1	
串	dʐɛn5b	
臨	din2	
丸	uan2	
爲	uei2	作～
爲	uei6	～什么
主	tʂu3	
丽	di5a	
舉	kuei3	
乃	nai3	
久	tɕiu3	
義	li6	
之	tʂʅ1	
烏	u1	
乎	fu1	
乏	fa6	
樂	uɛ7	～器
樂	lo7	快～
喬	dʑiau2	
乖	kuai1	
乘	dʐeŋ2	
乙	i7	
九	tɕiu3	
乞	dʑi7	
也	ia3	
習	si6	
鄉	ɕiɔŋ1	
書	ʂu1	
買	mai3	
亂	lon2	
乳	lu3	
乾	dʑiɛn2	
了	diau3	
爭	tsaŋ1-	
爭	tseŋ1=	
事	sɿ6	
二	o6	
于	uei1	
亏	ɡuei1	
云	uin1	
互	fu6	
井	tsiaŋ3	
亞	ŋa5a	
亡	uɔŋ2	
交	tɕiau1	
亥	xai6	
亦	i7	
產	tsan3	
亨	xeŋ1	
畝	mɛu3	
享	ɕiɔŋ3	
亭	diŋ2	
亮	liɔŋ6	
親	dzin1	～人
親	dzin5b	～家
人	n2-	
人	ȵin2=	
億	i7	
什	sɿ6	
仁	len2	
仅	dʑin3	
仆	bu7	
仇	dʐeu2	
今	tɕin1	
介	kai5a	
仍	leŋ2	
从	dzeŋ2	
仑	len2	
倉	dzɔŋ1	
仕	sɿ6	
他	xɛ1	
仗	dʐɔŋ5a	
付	fu5a	
仙	siɛn1	
代	dai6	
令	diaŋ6-	
令	diŋ6=	
以	i3	
儀	i2	
仰	ȵiɔŋ3	
仲	dʐeŋ3	
件	dʑiɛn6	
价	ka5a	
任	len6	
份	fen3	
仿	fɔŋ3	
企	dʑi3	
伊	i1	
伍	u3	
伏	fu6	
伐	fa6	
休	ɕiu1	
众	tʂeŋ3	
优	iu1	
伙	fu3	
會	fei6	开～
會	uei6	～不～
傘	san3	
偉	uei3	
傳	dɛn2	～下来
傳	dʐɛn6	～记
伢	ŋa2	
傷	ʂɔŋ1	
倫	len2	
僞	uei6	
伯	pɛ7	
估	ku1	
伴	bon6	
伶	diaŋ2	
伸	ʂen1	
伺	dzɿ5a	
似	sɿ6	
佃	diɛn6	
但	dan6	
位	uei6	
低	ti1	
住	du6	
佐	tso3	
佑	iu6	
体	di3	
何	xo2	
佘	ʂa1	
余	uei2	
佛	fo6	～像
佛	fu7	仿～
作	tso7	
佞	ȵiŋ5a	
你	n̩3	
佩	bi5a	
佳	ka1	
使	sɿ3	
侄	dzɛ6	
侈	dʐʅ3	
例	di6	
侍	ʂʅ5a	
供	tɕiŋ1-	
供	keŋ1=	
依	i1	
僥	tɕiau3	
偵	dʐen1	
側	tsɛ7	
僑	dʑiau2	
儂	neŋ2	
侮	u1	
侯	xɛu2	
侵	dzin1	
便	biɛn2	～宜
便	biɛn6	方～
促	dzu5b	
俄	ŋo2	
俊	tsin5a	
俏	dziau5b	
俗	su6	
俘	fu7	
保	pau3	
信	sin5a	
儼	ŋan2	
儉	dʑiɛn3	
修	siu1	
俯	fu3	
俱	kuei3	
俸	xeŋ5a	
倍	bi6	
倒	tau3	打～
倒	tau5a	～水
倔	uei1	～服
倔	tɕuɛ7	脾气～
倘	dɔŋ3	
候	xɛu6	
倚	i3	
借	tsia5a	
倡	dʐɔŋ5b	
倦	ɡuiɛn2	
倪	ȵi2	
倭	uo1	
債	tsai5a	
值	dʐɛ6	
傾	dzin1	
假	ka3-	
假	tɕia3=	
偏	biɛn1	
做	tsɿ5a	
停	diŋ2	
健	dʑiɛn6	
偶	ŋɛu3	
偶	ŋɛu6	
偷	dɛu1	
償	dʐɔŋ2	
傅	fu5a	
傍	bon6	
儲	dzu5b	
催	dzi1	
傲	ŋau5a	
傻	sa3	
像	dziɔŋ6	
僧	seŋ1	
僵	tɕiɔŋ1	
僻	bi6	
儒	lu2	
儡	di3	
儿	o1	
元	uiɛn2	
兄	ɕiaŋ1-	
兄	ɕiŋ1=	
充	deŋ1	
兆	dʐau6	
先	siɛn1	
光	kuɔŋ1	
克	ɡɛ5b	
免	miɛn3	
兌	di6	
兔	du5b	
党	tɔŋ3	
兜	tɛu1	
入	ɛ7-	
入	lu7=	
全	tsiɛn2	
八	pa7	
公	keŋ1	
六	diɔ6	
兮	si1	
蘭	lan2	
共	ɡeŋ6	
關	kuan1	
興	ɕin1	～奋
興	ɕin5a	高～
兵	piŋ1	
其	dʑi2	
具	kuei3	
典	tiɛn3	
兹	tsɿ1	
養	iɔŋ3	
兼	tɕiɛn1	
獸	ʂeu6	
冀	tɕi5a	
內	ȵi6	
岡	kɔŋ1	
冉	lan3	
冊	dzɛ5b	
再	tsai5a	
冒	mau6	
