#漢字	音標	解釋
拙	tʂuo2	
拚	pʰiŋ5	拚命
招	tʂau1	
拜	pai5	
擬	ni5	
攏	luŋ2	
揀	tɕian2	
擁	yŋ1	
攔	lan2	
撥	pɤ1	
擇	tsɤ2	择菜，选择
括	kʰuo1	包括
拯	tʂɤŋ2	拯救
拱	kuŋ2	拱手
拳	tɕʰyan2	
拴	ʂuan1	
拼	pʰiŋ1	
拽	iɤ5	拖
拾	ʂʅ2	拾起来
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tsɿ2	
按	an5	
挑	tʰiau2	
挖	va1	
挾	ɕiɤ2	挟菜
撓	nau2	
擋	taŋ2	阻挡
擠	tɕi2	
揮	xuei2	
挨	ai1	挨近，挨住
挪	nuo2	
振	tʂɤŋ5	
挺	tʰiŋ2	
挽	van2	
捅	tʰuŋ2	捅破了
捆	kʰuɤŋ2	
捉	tʂuo5	
捋	ly2	捋袖
捎	sau1	捎带
捏	ȵiɤ5	
捐	tɕyan1	
捕	pʰu2	
撈	lau2	
損	suɤŋ2	
換	xuan5	
捧	pʰɤŋ2	
据	tɕy5	
捱	ai2	捱打，捱骂
捷	tɕiɤ2	
捺	na5	撇捺
捻	ȵian2	以指捻碎
掀	ɕyan1	
掂	tian1	掂掇
掇	tuo1	拾掇，两手掇起
授	ʂou5	
掉	tiau5	
掌	tʂaŋ2	
掏	tʰau1	掏出来
掐	tɕʰia5	
排	pʰai2	
掘	tɕyɤ2	
掠	lyɤ5	
探	tʰan5	试探，侦探
接	tɕiɤ5	
控	kʰuŋ5	
推	tʰuei1	
掩	ian2	
措	tsʰuo5	措施
掬	tɕy1	一掬，一捧
擲	tʂʅ5	
撣	tan2	鸡毛掸子
揈	xuɤŋ1	揈出去
揉	ʐou2	
描	miau2	
提	tʰi2	
插	tsʰa5	
揖	i1	作揖
握	vuo5	
揣	tʂʰuai2	揣度
揩	kʰai1	
揫	tɕiou1	一把揫住
揭	tɕiɤ5	
援	yan2	援救
攬	lan2	
攙	tsʰan1	
擱	kɤ5	
摟	lou2	抱
摟	lou1	搂取
攪	tɕiau2	
搉	tɕʰyɤ5	击，搉蒜
搊	tsʰou1	搊起来
搓	tsʰuo1	
搛	tɕian1	搛菜
搜	sou1	
搜	sou1	搜集
搞	kau2	
搡	saŋ2	
搧	ʂan1	
搨	tʰa5	搨本
搬	pan1	
搭	ta5	
攜	ɕi5	
搽	tsʰa5	
攝	ʂɤ5	
摆	pai2	
摇	iau2	
攤	tʰan1	
摔	ʂuai1	
摘	tsai1	
摞	luo5	摞起来
摩	mɤ5	
摸	mɤ1	
摹	mɤ1	摹仿
撇	pʰiɤ5	撇捺，撇开
撑	tʂʰɤŋ1	
撒	sa2	撒手，撒种
撕	sɿ1	
撞	tʂuaŋ5	
撤	tʂʰɤ5	
撩	liau2	撩起来
撮	tsʰuo1	一撮米
撰	tʂuan5	
攆	ȵian2	
撼	xan5	
擀	kan2	擀面
操	tsʰau1	操作，操演
擎	tɕʰiŋ2	
擒	tɕʰiŋ2	
擘	pai1	用手擘(掰)开
擦	tsʰa1	
擩	ʐu2	擩进去
攀	pʰan1	
攢	tsan2	积攒
攘	ʐaŋ2	
攮	naŋ2	用刀子攮
支	tsɿ1	
收	ʂou1	
改	kai2	
攻	kuŋ1	攻击
放	faŋ5	
政	tʂɤŋ5	
故	ku2	
效	ɕiau5	
敵	ti2	
敏	miŋ2	
救	tɕiou5	
教	tɕiau1	教书
教	tɕiau5	教育，教他去
斂	lian2	
敝	pi5	
敢	kan2	
散	san5	分散
散	san2	鞋带散了
敦	tuŋ1	敦厚
敬	tɕiŋ5	
數	ʂu2	动词
數	ʂu5	名词
敲	tɕʰiau1	
整	tʂɤŋ2	
敷	fu5	
文	vɤŋ2	
齋	tsai1	
斑	pan1	
斗	tou2	
斗	tou5	
料	liau5	
斜	ɕiɤ2	
斟	tʂɤŋ1	
斤	tɕiŋ1	
斥	tʂʰʅ5	
斧	fu2	
斬	tsan2	
斷	tuan5	决断
斷	tuan5	断绝
斯	sɿ1	
新	ɕiŋ1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ2	
旅	ly5	
旋	ɕyan2	
旋	ɕyan5	旋吃旋做
旋	ɕyan5	旋床
族	tsʰu5	
旗	tɕʰi2	
無	vu2	
既	tɕi5	
日	ʐʅ5	
旦	tan5	
舊	tɕiou5	
旨	tsɿ1	
早	tsau2	
旬	ɕyŋ2	
旱	xan5	
時	sɿ2	
曠	kʰuaŋ5	
旺	vaŋ5	兴旺，火旺
昂	aŋ2	
昆	kʰuɤŋ1	
昌	tʂʰaŋ1	
明	miŋ2	
昏	xuɤŋ1	
易	i5	交易
易	i5	难易
昔	ɕi1	
星	ɕiŋ1	
映	iŋ5	
春	tʂʰuŋ1	
昧	mei5	
昨	tsuo2	
昭	tʂau1	
是	sɿ5	
晝	tʂou5	
顯	ɕian2	
晃	xuaŋ5	晃眼
晉	tɕiŋ5	
晌	ʂaŋ2	晌午
晏	ian5	晚也
曬	sai5	
曉	ɕiau2	
暈	yŋ1	
晚	van2	
晦	xuei2	
晨	tʂʰɤŋ2	
普	pʰu2	
景	tɕiŋ2	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
暫	tsan5	
暇	ɕia2	
暑	ʂu2	
暖	nuan2	
暗	an5	
暮	mu5	
暴	pau5	
曝	pʰu5	
曰	yɤ5	
曲	tɕʰy2	曲折，歌曲
曲	tɕʰy2	酒曲
更	kɤŋ1	更换，五更
更	kɤŋ5	更加
曹	tsʰau2	
曾	tsɤŋ1	姓
曾	tsʰɤŋ2	曾经
替	tʰi5	
最	tsuei5	
月	yɤ5	
有	iou2	
朋	pʰɤŋ2	
服	fu2	
朔	ʂuo5	
朗	laŋ5	
望	vaŋ5	
朝	tʂau1	今朝
朝	tʂʰau2	朝代
期	tɕʰi1	时期
木	mu5	
未	vei5	
末	mɤ5	
本	pɤŋ2	
札	tsa1	用针札
朮	ʂu5	白朮，苍朮
术	ʂu5	
朱	tʂu1	
朴	pʰu2	
朶	tuo2	
機	tɕi1	
朽	ɕiou2	
殺	sa5	
雜	tsa2	
權	tɕʰyan2	
杆	kan1	
杈	tsʰa1	枝杈
杉	ʂan1	
李	li2	
杏	xɤŋ5	
材	tsʰai2	
村	tsʰuŋ1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕi5	
束	ʂu5	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɤ2	
杳	iau2	杳无音信
杴	ɕian1	锹属
杵	tʂʰu2	
杷	pʰa5	枇杷
松	suɤŋ1	
松	suŋ1	
板	pan2	
極	tɕi2	
構	kou5	
枇	pʰi2	枇杷
枉	vaŋ2	
析	ɕi5	
枕	tʂɤŋ2	
枕	tʂɤŋ2	动词
林	liŋ2	
枚	mei2	
果	kuo2	
枝	tsɿ1	
樞	ʂu1	
棗	tsau5	
槍	tɕʰiaŋ1	
楓	fɤŋ1	
枯	kʰu1	
架	tɕia5	
柄	piŋ2	
柏	pei5	
某	mu2	
柑	kan1	
染	ʐan2	
柔	ʐou2	
柚	iou5	
櫃	kuei5	
查	tsʰa2	山查
查	tsʰa2	调查
柩	tɕiou5	
柬	tɕian2	
柱	tʂu5	
柳	liou2	
柴	tsʰai2	
柿	sɿ5	
梔	tʂʅ1	栀子花
栅	tsa5	栅栏
標	piau1	
棧	tsan5	
棟	tuŋ5	
欄	lan2	
樹	ʂu5	
栖	ɕi1	
栗	li5	
校	ɕiau5	上校
校	ɕiau5	学校
校	ɕiau5	校对
株	tʂu1	
樣	iaŋ5	
核	xu2	
核	xɤ2	审核
核	xu2	果子核
根	kɤŋ1	
格	kɤ2	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
桅	vei2	船桅杆
案	an5	
桌	tʂuo5	
桐	tʰuŋ2	
桑	saŋ1	
桓	xuan2	
椏	ia1	桠杈
橋	tɕʰiau2	
樺	xua1	桦树
檜	xuei5	
槳	tɕiaŋ2	
樁	tʂuaŋ1	
桶	tʰuŋ2	
梁	liaŋ2	
梅	mei2	
梓	tsɿ5	
梗	kɤŋ2	梗子，茎
梢	sau1	树梢
夢	mɤŋ5	
梧	vu2	梧桐
梨	li2	
梭	suo1	织布梭
梯	tʰi1	
械	tɕiɤ5	
梳	ʂu1	梳头
檢	tɕian2	
棉	mian2	
棋	tɕʰi2	
棍	kuɤŋ5	
棒	paŋ5	
棚	pʰɤŋ2	
棠	tʰaŋ2	
森	sɤŋ1	
棵	kʰuo1	
棹	tsau5	桨
棺	kuan1	
椅	i2	
植	tʂʅ2	
椒	tɕiau1	
橢	tʰuo2	椭圆
椶	tsuŋ1	
椽	tʂʰuan2	
楔	ɕiɤ5	楔子，楔橛子
楚	tʂʰu2	
楞	lɤŋ5	
楣	miɤ2	
楦	ɕyan5	鞋楦
楷	kʰai2	
樓	lou2	
欖	lan2	橄榄
榆	y1	
榛	tʂɤŋ1	
榜	paŋ2	
榨	tsa5	榨油
榫	suŋ2	榫头
榴	liou2	石榴
榻	tʰa5	
槌	tʂʰuei2	
槐	xuai2	
檳	piŋ1	槟榔
槪	kai5	
槽	tsʰau2	马槽
樟	tʂaŋ1	
模	mɤ1	模范
模	mu2	模子
橫	xɤŋ2	横直
橫	xɤŋ5	蛮横
櫻	iŋ1	樱桃
樵	tɕʰiau2	
橄	kan2	橄榄
橘	tɕy5	
橙	tʂʰɤŋ2	
橙	tʂʰɤŋ2	橙子
橛	tɕyɤ2	橛子
橡	ɕiaŋ5	橡树
櫓	lu2	
檀	tʰan2	
檐	ian2	
檗	pei5	黄檗(柏)，药名
檁	liŋ2	
欛	pa5	柄
欠	tɕʰian5	
次	tsʰɿ2	
歡	xuan1	
欣	ɕiŋ1	
歐	ou1	
欲	y5	
欺	tɕʰi1	
款	kʰuan2	
歇	ɕiɤ1	
歉	tɕʰian5	
歌	kɤ1	
止	tsɿ2	
正	tʂɤŋ5	
正	tʂɤŋ1	正月
此	tsʰɿ2	
步	pu5	
武	vu2	
歪	vai1	
死	sɿ2	
殲	tɕʰian1	歼灭
殃	iaŋ1	
殆	tai5	
殉	ɕyŋ5	
殊	ʂu1	
殘	tsʰan2	
殮	lian2	
殖	tʂʅ2	
殯	piŋ1	
毆	ou2	
段	tuan5	
殷	iŋ1	
殿	tian5	
毁	xuei2	
毅	i2	
母	mu2	
每	mei2	
毒	tu2	
比	pi2	比较
畢	pi5	
斃	pi5	
毛	mau2	
毡	tʂan1	
毫	xau2	
毯	tʰan2	
氏	sɿ5	
民	miŋ2	
气	tɕʰi5	
水	ʂuei2	
永	yŋ2	
汀	tʰiŋ1	
汁	tʂʅ5	
求	tɕʰiou2	
汆	tsʰuan1	汆丸子
汇	xuei5	
漢	xan5	
汗	xan5	
汝	ʐu2	
汞	kuŋ2	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	vu1	
湯	tʰaŋ1	
汪	vaŋ1	一汪水
汴	pian5	
汽	tɕʰi5	
沂	i2	沂河
沃	vɤ5	
沈	ʂɤŋ2	
沉	tʂʰɤŋ2	
沌	tuŋ5	
沓	tʰa2	一沓纸
沙	sa1	
沛	pʰei5	
溝	kou1	
没	mɤ5	沉没，没有
漚	ou2	久浸水中
淪	lyŋ2	
滬	xu5	
沫	mɤ5	
河	xɤ2	
油	iou2	
治	tʂʅ5	
沼	tʂau2	池沼，沼气
沾	tʂan1	
沿	ian2	
泄	ɕiɤ5	泄漏
泅	tɕʰiou1	游水
泉	tɕʰyan2	
泊	pʰɤ1	
泊	pʰɤ1	梁山泊
泌	mi5	
泔	kan1	泔水
法	fa5	方法，法子
泛	fan5	
泡	pʰau5	
泡	pʰau5	泡在水里
波	pɤ1	
泣	tɕʰi5	
泥	ȵi2	
注	tʂu5	
淚	luei5	
泰	tʰai5	
泳	yŋ2	
瀉	ɕiɤ2	
潑	pʰɤ5	
澤	tsɤ2	
潔	tɕiɤ2	
洇	iŋ5	
洋	iaŋ2	
洒	sa2	
洗	ɕi2	
洛	luo5	
洞	tuŋ5	
津	tɕiŋ1	
洪	xuɤŋ2	
洲	tʂou1	
活	xuo2	
洼	va5	
洽	tɕʰia5	
派	pʰai5	
流	liou2	
淺	tɕʰian2	
漿	tɕiaŋ5	
澆	tɕiau1	
濁	tʂuo2	
測	tsʰɤ5	
濟	tɕi2	
渾	xuɤŋ5	浑浊
滸	xu2	水浒
濃	nuŋ2	
浙	tʂɤ5	
浜	paŋ1	一条浜
浦	pʰu5	
浩	xau5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai2	
浸	tɕʰiŋ2	
涂	tʰu2	
消	ɕiau1	
涉	ʂɤ5	
涌	yŋ2	
涎	ɕian2	
涕	tʰi5	鼻涕
濤	tʰau2	
澇	lau2	旱涝
潤	ʐuŋ5	
澗	tɕian5	
漲	tʂaŋ2	
澀	sɤ5	
涮	ʂuan5	涮洗
涯	ia2	天涯
液	iɤ5	
涿	tʂuo2	涿县，涿鹿
淆	ɕiau1	
淋	liŋ2	淋漓，淋湿
淑	ʂu1	
淘	tʰau2	淘米
淡	tan5	
淤	y1	
淫	iŋ2	
淮	xuai2	
深	ʂɤŋ1	
混	xuɤŋ5	相混，混沌
淹	ian1	
添	tʰian1	
清	tɕʰiŋ1	
淵	yan1	
漸	tɕian5	
澠	mian2	渑池
漁	y2	
滲	sɤŋ5	水渗透
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	vɤŋ1	
港	kaŋ2	港口
渴	kʰɤ5	
游	iou2	
渺	miau2	
湖	xu2	
湘	ɕiaŋ1	
灣	van1	
溼	ʂʅ5	
潰	kʰuei2	溃脓
濺	tɕian5	溅一身水
源	yan2	
溜	liou1	
溪	ɕi1	
溺	ȵi5	溺死
溻	tʰa5	汗溻湿了
滂	pʰaŋ1	滂沱
滋	tsɿ1	
滑	xua2	
滓	tsɿ1	
滔	tʰau1	
滚	kuɤŋ2	
滯	tʂʅ5	停滞，积滞
滿	man2	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti1	
漂	pʰiau1	
漂	pʰiau5	漂亮
漆	tɕʰi5	
漏	lou5	
漑	kai5	
演	ian2	
漫	man5	
漱	ʂu5	漱口
潘	pʰan1	
潛	tɕʰian2	
潭	tʰan2	
潮	tʂʰau2	
澄	tʂʰɤŋ2	
澄	tɤŋ5	水浑，澄一澄
澡	tsau5	
激	tɕi5	
瀑	pʰu5	瀑布
灌	kuan5	
灒	tsan5	溅
火	xuo2	
滅	miɤ5	
燈	tɤŋ1	
灰	xuei1	
靈	liŋ2	
竈	tsau5	
灸	tɕiou2	针灸
災	tsai1	
燦	tsʰan5	
爐	lu2	
炊	tʂʰuei2	
炎	ian2	
炒	tsʰau2	
炕	kʰaŋ5	
炙	tʂʅ5	
炭	tʰan5	
炮	pʰau5	枪炮
炸	tsa5	炸弹
炸	tsa2	用油炸
點	tian2	
煉	lian5	
爛	lan5	
烈	liɤ5	
烊	iaŋ2	融化
烘	xuɤŋ1	烘干
烙	luo5	
燭	tʂu2	
烟	ian1	
烤	kʰau2	
煩	fan2	
燒	ʂau1	
燙	tʰaŋ5	
熱	ʐɤ5	
烹	pʰɤŋ1	
焉	ian1	心不在焉
焊	xan5	焊铁壶
煥	xuan5	
焙	pʰei5	焙干
焚	fɤŋ2	
焦	tɕiau1	
焯	tʂʰau1	把菜放在开水里焯焯
焰	ian1	
然	ʐan2	
煎	tɕian1	
煑	tʂu2	
煤	mei2	
照	tʂau5	
煨	vei1	
熄	ɕi5	
熊	ɕyŋ2	
熏	ɕyŋ1	
熙	ɕi1	
熟	ʂu2	煮熟，熟悉
熥	tʰɤŋ1	把包子熥熥
熨	yŋ5	
熬	au2	
燃	ʐan2	
燎	liau2	
燎	liau2	火燎眉毛
燕	ian1	燕京，姓
燕	ian5	燕子
爆	pau5	
爪	tsau2	爪牙，爪子
爬	pʰa2	
愛	ai5	
爵	tɕyɤ2	
父	fu5	
爺	iɤ2	
爸	pa2	
爹	tiɤ1	
爽	ʂuaŋ2	
片	pʰian2	
版	pan2	
牌	pʰai2	
牘	tu2	
牒	tiɤ2	
牙	ia2	
牚	tʂʰɤŋ5	椅子牚儿
牛	ȵiou2	
牡	mu2	
牢	lau2	
牧	mu5	
物	vɤ5	
牲	ʂɤŋ1	
牽	tɕʰian1	
特	tʰɤ5	
犧	ɕi1	
犀	ɕi1	
犂	li2	
犢	tu2	牛犊子
犒	kʰau5	
犬	tɕʰyan2	
犯	fan5	
狀	tʂuaŋ5	
猶	iou2	
狂	kʰuaŋ2	
狄	ti2	
狍	pʰau1	
狐	xu2	
狗	kou2	
狡	tɕiau2	
獨	tu2	
狹	ɕia2	
獅	sɿ1	
獄	y5	
狸	li2	狸猫
狼	laŋ2	
獵	liɤ5	
猛	mɤŋ2	
猜	tsʰai2	
猝	tsʰu5	仓猝
豬	tʂu1	
猫	mau2	
蝟	vei2	
獻	ɕian5	
猴	xou2	
猾	xua2	狡猾
獺	tʰa5	水獭
玄	ɕyan2	
率	ʂuai5	率领
率	ly5	速率
玉	y5	
王	vaŋ2	
玩	van2	古玩，游玩
環	xuan2	
現	ɕian5	
璽	ɕi2	
玻	pɤ1	玻璃
珊	ʂan1	
珍	tʂɤŋ1	
珠	tʂu1	
班	pan1	
球	tɕʰiou1	
理	li2	
琉	liou2	琉璃
瑣	suo2	琐碎
琢	tʂuo2	
琴	tɕʰiŋ2	
琵	pʰi2	琵琶
琶	pʰa5	琵琶
瓊	tɕʰyŋ2	
瑕	ɕia2	
瑞	ʐuei5	
瑟	sɤ5	
璃	li2	玻璃
璧	pi5	
璺	vɤŋ5	裂璺
瓜	kua1	
瓠	xu2	瓠卢
瓢	pʰiau2	
瓣	pan5	
瓤	ʐaŋ2	瓜瓤
瓦	va2	
瓦	va2	动词
瓮	vɤŋ1	
甌	ou1	
瓷	tsʰɿ2	瓷器
瓶	pʰiŋ2	
甘	kan1	
甚	ʂɤŋ5	
甜	tʰian2	
生	ʂɤŋ1	
甥	ʂɤŋ1	
用	yŋ5	
甫	pʰu2	
甬	yŋ2	甬道
田	tʰian2	
由	iou2	
甲	tɕia2	
申	ʂɤŋ1	
電	tian5	
男	nan2	
畫	xua5	
暢	tʂʰaŋ5	
界	tɕiɤ5	
畏	vei1	
留	liou2	
畜	ɕy5	畜牲
畜	ɕy5	畜牧
略	lyɤ5	
畦	ɕi5	菜畦
番	fan1	几番
畲	ʂɤ2	姓
疆	tɕiaŋ1	
疏	ʂu1	注疏
疏	ʂu1	疏远
疑	i2	
療	liau2	
疝	ʂan5	疝气
瘧	nyɤ5	疟疾，发疟子
瘍	iaŋ2	溃疡
疤	pa1	
疥	tɕiɤ5	
疫	i5	
瘡	tʂʰuaŋ1	
瘋	fɤŋ1	
疲	pʰi2	
疵	tsʰɿ1	吹毛求疵
疹	tʂɤŋ1	
疼	tʰɤŋ2	
疾	tɕi2	
疿	fei1	疿子
痂	tɕia1	
病	piŋ5	
症	tʂɤŋ5	
痒	iaŋ2	
痔	tsɿ5	
痕	xɤŋ2	
痛	tʰuŋ5	
痢	li5	
痣	tsɿ5	
痰	tʰan2	
癡	tʂʰʅ2	
痹	pi5	麻痹
瘊	xou2	瘊子
瘌	lai5	
瘟	vɤŋ1	
瘦	sou5	
瘴	tʂaŋ1	瘴气
瘸	tɕʰyɤ2	瘸腿
癩	lai5	
癬	ɕyan2	
癸	kuei5	
登	tɤŋ1	
白	pei2	
百	pei5	
皂	tsau5	
的	ti5	目的
皆	tɕiɤ1	
皇	xuaŋ2	
皖	van2	安徽
皮	pʰi2	
皺	tsou5	
皴	tsʰuɤŋ1	脸皴
皿	miŋ2	
盂	y2	
盅	tʂuŋ1	
盆	pʰɤŋ2	
盈	iŋ2	
益	i5	
盞	tʂan2	
鹽	ian2	
鹽	ian2	腌
監	tɕian5	国子监
監	tɕian1	监察，监视，监牢
盒	xɤ2	烟盒
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	pʰan2	
盛	ʂɤŋ5	兴盛
盛	tʂʰɤŋ2	盛满了
盟	mɤŋ2	
目	mu5	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ1	互相
相	ɕiaŋ5	相貌
盼	pʰan5	
盾	tuŋ5	矛盾，赵盾
盾	tuŋ5	矛盾
省	ɕiŋ2	反省
省	ʂɤŋ2	省长
省	ʂɤŋ2	节省
眉	miɤ2	
看	kʰan1	看守
看	kʰan5	看见
真	tʂɤŋ1	
眠	mian2	
眨	tsa2	眨眼
眩	ɕyan2	
眶	kʰuaŋ5	眼眶
眷	tɕyan5	
眼	ian2	
着	tʂu5	显著
着	tʂuo2	着衣
着	tʂau2	睡着，附着
睜	tsɤŋ1	
睛	tɕiŋ1	眼睛
睡	ʂuei5	
督	tu1	
睬	tsʰai2	
瞎	ɕia5	
瞞	man2	
瞖	i5	目瞖
瞧	tɕʰiau2	
瞪	tɤŋ5	瞪眼
瞭	liau2	
瞳	tʰuŋ2	
瞻	tʂan1	
瞿	tɕʰy1	
矁	tsʰou2	
矛	mau2	
矢	ʂʅ1	
矣	i5	
知	tʂʅ1	
矩	tɕy5	规矩
矯	tɕiau2	矫诈
矬	tsʰuo2	矮
短	tuan2	
矮	ai2	
石	ʂʅ2	
礬	fan2	
礦	kʰuaŋ5	
碼	ma2	码子
砌	tɕʰi5	
砍	kʰan2	
砑	ia2	砑平
研	ian2	
磚	tʂuan1	
硯	ian5	
破	pʰɤ5	
礎	tʂʰu2	柱下石
硝	ɕiau1	
硫	liou2	硫黄
硬	iŋ5	
確	tɕʰyɤ5	
礙	ai2	
碎	suei5	
碑	pei1	
碗	van2	
碟	tiɤ2	
碧	pi5	
碾	ȵian2	
磁	tsʰɿ2	磁石
磕	kʰɤ5	
磨	mɤ2	磨刀
磨	mɤ5	磨面，石磨
磬	tɕʰiŋ5	钟磬
磷	liŋ2	
示	sɿ5	
禮	li2	
社	ʂɤ5	
祀	sɿ5	祭祀
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsu2	
祝	tʂu5	
神	ʂɤŋ2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	车票
祭	tɕi5	
禱	tau2	
禍	xuo5	
稟	piŋ2	
禁	tɕiŋ1	禁不住
禁	tɕiŋ5	禁止
祿	lu5	
禪	ʂan1	禅让
禪	tʂʰan2	禅宗
福	fu5	
禹	y2	
离	li2	离别
离	li2	离开半寸
禽	tɕʰiŋ2	
禾	xɤ5	
秀	ɕiou5	
私	sɿ1	
秃	tʰu1	
稈	kan2	稻秆
秉	piŋ2	
秋	tɕʰiou1	秋天
秋	tɕʰiou1	秋千
種	tʂuŋ2	种类
種	tʂuŋ5	种树
科	kʰuo1	
秒	miau2	
秕	pi5	秕子，秕谷
秘	mi5	
租	tsu1	
秤	tʂʰɤŋ5	一杆秤
秦	tɕʰiŋ2	
秧	iaŋ1	
秩	tʂʅ5	
積	tɕi5	
稱	tʂʰɤŋ5	相称
稱	tʂʰɤŋ1	称呼，称重量
秸	tɕiɤ5	麦秸
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʂʰɤŋ2	
稍	sau1	
税	ʂuei5	
稗	pai5	
稙	tʂʅ2	早种禾
稚	tʂʅ5	幼稚
稠	tʂʰou2	
穩	vɤŋ2	
稻	tau5	
稼	tɕia5	
稽	tɕiɤ1	
稿	kau2	
穆	mu5	
穗	suei5	
穴	ɕyɤ2	
究	tɕiou5	
窮	tɕʰyŋ2	
空	kʰuŋ1	空虚
空	kʰuŋ5	空缺
穿	tʂʰuan1	
突	tʰu2	
窄	tsei1	
竅	tɕʰiau5	
窯	iau2	
窖	tɕiau5	
窗	tʂʰuaŋ1	
窘	tɕyŋ2	
竄	tsʰuan5	
窩	vuo1	
窟	kʰu1	窟窿
窺	kʰuei1	
窨	iŋ1	地窨子
立	li5	
豎	ʂu5	
站	tsan5	立
站	tsan5	车站
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰuŋ2	
端	tuan1	
竹	tʂu5	
竿	kan1	竹竿
篤	tu2	
笊	tsau5	笊篱
笋	suŋ2	
笑	ɕiau5	
筆	pi5	
笙	ʂɤŋ1	
笛	ti2	
笠	li5	
符	fu5	
笨	pɤŋ5	
第	ti5	
箋	tɕʰian1	
籠	luŋ2	
等	tɤŋ2	
筋	tɕiŋ1	
筏	fa2	
筐	kʰuaŋ1	
筑	tʂu5	
筒	tʰuŋ2	
答	ta5	
策	tsʰɤ5	
篩	sai1	筛子
箏	tsɤŋ1	
筵	ian5	
筷	kʰuai5	
籌	tʂʰou1	
签	tɕʰian1	
簡	tɕian2	
箅	pi5	箅子
箍	ku1	
算	suan5	
管	kuan2	
籮	luo2	
簫	ɕiau1	
箭	tɕian5	
箱	ɕiaŋ1	
篆	tʂuan5	
篇	pʰian1	
簍	lou2	
篙	xau1	进船竿
篡	tsʰuan1	
篦	pi5	
籃	lan2	
籬	li2	
篷	pʰɤŋ2	
篾	miɤ5	竹篾
簧	xuaŋ2	锁簧
簪	tsan1	
簸	pɤ2	簸一簸
簸	pɤ2	簸箕
簿	pɤ1	
籍	tɕi5	
米	mi2	
類	luei2	
粉	fɤŋ2	
粒	li5	
粗	tsʰu1	
粘	tʂan1	粘贴
糶	tʰiau5	
粟	su5	
粤	yɤ5	
粥	tʂou1	
糞	fɤŋ5	
糧	liaŋ2	
粱	liaŋ2	
粳	kɤŋ2	粳米
粹	tsʰuei5	纯粹
精	tɕiŋ1	
糉	tsuŋ5	
糕	kau1	
糖	tʰaŋ2	
糗	tɕʰiou1	面煮糗了
糙	tsʰau2	粗糙，糙米
糜	mi2	粥
糟	tsau1	
糠	kʰaŋ1	
糯	luo5	糯米
系	ɕi5	
系	tɕi5	系鞋带
系	ɕi5	连系
素	su5	
索	suo1	绳索
緊	tɕiŋ2	
紫	tsɿ2	
累	luei5	极困
累	lei2	累积
累	lei5	连累
絮	ɕy5	
綠	lu5	
繁	fan2	
纂	tsuan5	编纂
纔	tsʰai2	
糾	tɕiou1	纠缠
糾	tɕiou1	纠正
紅	xuɤŋ2	
紂	tʂou5	桀纣
約	yɤ5	
級	tɕi5	
紀	tɕi5	纪律，世纪，年纪
緯	vei2	
純	tʂʰuŋ2	
紗	sa1	
綱	kaŋ1	
納	na5	
紝	ʐɤŋ5	缝纴
縱	tsuŋ5	放纵
縱	tsuŋ5	纵横
紛	fɤŋ1	
紙	tsɿ2	
紋	vɤŋ2	
紡	faŋ2	
紐	ȵiou2	
線	ɕian5	
練	lian5	
組	tsu2	
細	ɕi5	
織	tʂʅ5	
終	tʂuŋ1	
縐	tsou5	
絆	pan5	
紹	ʂau5	
經	tɕiŋ1	
經	tɕiŋ1	经纬，经线
綁	paŋ2	
絨	ʐuŋ2	
結	tɕiɤ2	
繞	ʐau2	围绕
繞	ʐau5	绕线
繪	xuei5	
給	kei2	给你，供给
絡	luo5	
絶	tɕyɤ2	
絞	tɕiau2	
統	tʰuŋ2	
絹	tɕyan1	
繡	ɕiou5	
綏	suei2	
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
續	ɕy5	
綽	tʂʰuo1	宽绰
繩	ʂɤŋ2	
維	vei1	
綿	mian2	
綢	tʂʰou2	
綜	tsuŋ1	织布机上的综
綻	tʂan5	破绽
綴	tʂuei5	点缀
緬	mian2	
纜	lan2	
緝	tɕi5	缉鞋口
緞	tuan5	
緩	xuan2	
縷	ly2	丝缕
編	pian1	
緣	yan2	
縛	fu5	
縫	fɤŋ5	一条缝
縫	fɤŋ2	缝衣服
纏	tʂʰan2	
縊	i5	
纓	iŋ1	
縮	suo1	
繮	tɕiaŋ1	缰绳
繳	tɕiau1	上缴
缸	kaŋ1	
缺	tɕʰyɤ5	
罐	kuan5	
