#漢字	音標	解釋
仿	faŋ2	相似
企	tɕʰi2	
伊	i1	
伍	vu2	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʂuŋ5	
優	iou1	
伙	xuo2	
會	kʰuai2	会计
會	xuei5	会不会
會	xuei5	开会
傘	san2	
偉	vei5	
傳	tʂʰuan2	传达
傳	tʂuan5	传记
伢	ia2	小孩子
傷	ʂaŋ1	
倫	lyŋ2	
僞	vei2	
伯	pei1	
估	ku1	估计
伴	pan5	
伶	liŋ2	
伸	ʂɤŋ1	
伺	sɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
位	vei5	
低	ti1	
住	tʂu5	
佐	tsuo2	
佑	iou5	
體	tʰi2	
何	xɤ2	
余	y2	
佛	fɤ2	
佛	fu2	彷佛
作	tsuo5	作坊，工作
佞	niŋ5	
你	ȵi2	
佩	pʰei5	
佳	tɕia1	
使	sɿ2	
侄	tʂʅ2	
侈	tʂʰʅ1	奢侈
例	liɤ5	
侍	sɿ5	
供	kuŋ1	供给，供不起
供	kuŋ5	供养，上供
依	i1	
僥	tɕiau2	侥幸
偵	tʂɤŋ1	
側	tsʰɤ5	
僑	tɕʰiau2	
儂	nuŋ2	我，你
侮	vu2	
侯	xou2	
侵	tɕʰiŋ1	
便	pʰian2	便宜
便	pian5	方便
促	tsʰu5	
俄	ŋɤ2	
俊	tɕyŋ5	
俏	tɕʰiau1	
俗	su2	
俘	fu5	俘虏
保	pau2	
信	ɕiŋ5	
儼	ian2	俨然
儉	tɕian2	
修	ɕiou1	
俯	fu2	
俱	tɕy5	
俸	fɤŋ5	
併	piŋ5	合倂
倍	pʰei5	
倒	tau5	倒水
倒	tau2	打倒，顚倒
倔	tɕyɤ2	倔强
倘	tʰaŋ2	倘使
候	xou5	
倚	i2	
借	tɕiɤ5	
倡	tʂʰaŋ5	提倡
倦	tɕyan5	
倪	ȵi2	
倭	vuo1	
債	tsai1	
值	tʂʅ2	
傾	tɕʰiŋ1	
假	tɕia5	放假
假	tɕia5	真假
偏	pʰian1	
做	tsuo5	
停	tʰiŋ2	
健	tɕian5	
偶	ou2	偶然
偶	ou2	配偶
偷	tʰou1	
償	tʂʰaŋ2	
傀	kʰuei2	傀儡
傅	fu5	
傍	paŋ5	
儲	tʂʰu2	储蓄
催	tsʰuei1	
傲	au5	
傻	ʂa2	
像	ɕiaŋ5	
僧	sɤŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	ʐu2	
儡	luei2	傀儡
兒	ɚ2	
允	yŋ2	
元	yan2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
兆	tʂau5	
先	ɕian1	
光	kuaŋ1	
克	kʰɤ5	
免	mian2	
兑	tuei5	
兔	tʰu5	
兗	ian2	
黨	taŋ2	
兜	tou1	
入	ʐu5	
全	tɕʰyan2	
八	pa1	
公	kuŋ1	
六	liou5	
兮	ɕi1	
蘭	lan2	
共	kuŋ5	
關	kuan1	
興	ɕiŋ1	兴旺
興	ɕiŋ5	高兴
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tian2	
兹	tsɿ1	
養	iaŋ2	
兼	tɕian1	
獸	ʂou5	
冀	tɕi5	
内	luei5	
岡	kaŋ1	
冉	ʐan2	
册	tsʰɤ5	
再	tsai5	
冒	mau5	
冗	ʐuŋ2	拨冗，冗长
寫	ɕiɤ2	
軍	tɕyŋ1	
農	nuŋ2	
冠	kuan1	冠军
冠	kuan1	衣冠
冢	tʂuŋ2	
冤	yan1	
冬	tuŋ1	
馮	fɤŋ2	
冰	piŋ1	
冲	tʂʰuɤŋ1	
決	tɕyɤ2	
况	kʰuaŋ5	
冷	lɤŋ2	
凍	tuŋ5	
