#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。～一脚过来
㫰	nɑŋ5	指晾衣服被褥。～衣服
䍉	tsʰɛ2	指器皿或水果上有破损的痕迹。
䯉	uɑ3	指肠胃不适，产生想要呕吐的感觉
一	ɪ7	
丁	tiɪ̃1	
七	tɕʰɪ7	
万	uɑ̃5	
丈	tʂɑŋ5	
三	sɑ̃1	
上	ʂɑŋ5	～山，～面
下	ɕiɑ5	底～，～来
不	pʊ3	
不	pʊ7	
与	ʏ3	
丐	kɛ5	
丑	tʂʰəʊ3	子～寅卯；～陋
專	tʂuɑ̃1	
且	tɕʰiɛ3	
丕	pʰɪ1	
世	ʂʅ5	
丘	tɕʰiəʊ1	
丙	iɪ̃3	
業	niɛ7	
業	iɛ7	
業	iɛ̃7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰẽ2	
丟	tiəʊ1	
兩	niɑŋ3	～个，二～
嚴	iɛ̃2	
喪	sɑŋ1	婚～
喪	sɑŋ5	～失
个	kv5	
丫	n̩1	
丰	xoŋ1	
串	tʂʰuɑ̃5	
臨	niɪ̃2	
丸	uɑ̃2	
丹	tɑ̃1	
爲	uei2	
爲	uei5	
主	tʂʊ3	
丽	nɪ5	
舉	tɕʏ3	
乃	nɛ3	
久	tɕiəʊ3	
麼	mo1	
義	ɪ5	
之	tʂʅ1	
烏	vʊ1	
乍	tʂɑ5	
乎	fʊ2	
乏	xuɑ7	
樂	nuo7	快～，音～
喬	tɕʰiʌ2	
乖	kuɛ1	
乘	tʂʰẽ2	
乙	ɪ3	
乙	ɪ7	
九	tɕiəʊ3	
乞	tɕʰɪ7	
也	iɛ3	
習	ɕɪ7	
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mɛ3	
亂	nuɑ̃5	
乳	ʐʯ3	
了	niʌ3	
爭	tʂẽ1	
事	sɿ5	
二	ɚ5	
于	ʏ1	
于	ʏ2	
虧	kʰuei1	
雲	yɪ̃2	不知所～，～彩
互	fʊ5	
五	vʊ3	
井	tɕiɪ̃3	
亞	n̩5	
些	ɕiɛ1	
亡	uɑŋ2	
交	tɕiʌ1	
亥	xɛ5	
亦	ɪ7	
亨	xẽ1	
畝	mʊ3	
京	tɕiɪ̃1	
亭	tʰiɪ̃2	
亮	niɑŋ5	
親	tɕʰiɪ̃1	～嘴
親	tɕʰiɪ̃1	
親	tɕʰiɪ̃5	～家
人	ʐẽ2	
億	ɪ7	
什	ʂʅ7	
仁	ʐẽ2	
僅	tɕiɪ̃5	
仆	pʰʊ1	前～后继
仆	pʰʊ7	～人
仇	tʂʰəʊ2	
今	tɕiɪ̃1	
介	kɛ5	
仍	ʐẽ2	
从	tsʰoŋ2	跟～
仑	nẽ2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰɑ1	
仗	tʂɑŋ5	
付	fʊ5	
仙	ɕiɛ̃1	
代	tɛ5	
令	niɪ̃5	
以	ɪ3	
儀	ɪ2	
仰	iɑŋ3	
件	tɕiɛ̃5	
價	tɕiɑ5	
任	ʐẽ2	
任	ʐẽ5	
份	xuẽ5	
仿	xuɑŋ3	
企	tɕʰɪ3	
伊	ɪ1	
伍	vʊ3	
伏	fʊ7	
伐	xuɑ7	
休	ɕiəʊ1	
優	iəʊ1	
伙	xuo3	
會	kʰuei5	～计
會	xuei5	开～，不～
偉	uei3	
傳	tʂʰuɑ̃2	
傳	tʂuɑ̃5	
伢	n̩2	
傷	ʂɑŋ1	
倫	nuẽ2	
僞	uei5	
伯	pɛ7	
估	kʊ3	
伴	pɑ̃5	
伶	niɪ̃2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɛ̃5	
但	tɑ̃5	
位	uei5	
低	tɪ1	
住	tʂʊ5	
佐	tsuo5	
體	tʰɪ3	
何	xuo2	
佘	ʂɛ2	
余	ʏ2	
佛	fo7	
作	tsuo7	
佞	niɪ̃5	
你	nɪ3	
佩	pʰei5	
佳	tɕiɑ1	
侄	tʂʅ7	
侈	tʂʰʅ3	
侉	kʰuɑ3	
例	nɪ5	
侍	ʂʅ5	
供	koŋ1	～不起
供	koŋ5	～养
依	ɪ1	
僥	tɕiʌ3	
偵	tʂẽ1	
側	tsɛ7	
僑	tɕʰiʌ2	
儂	noŋ2	
侮	vʊ3	
侯	xəʊ2	
侵	tɕʰiɪ̃1	
便	piɛ̃2	
便	piɛ̃5	
促	tsʰəʊ5	
俄	uo2	
俏	tɕʰiʌ5	
俗	səʊ7	
俘	fʊ1	
保	pʌ3	
俟	sɿ5	
信	ɕiɪ̃5	
儼	iɛ̃3	
儉	niɛ̃5	
修	ɕiəʊ1	
俯	fʊ3	
俱	tɕʏ1	
俸	xoŋ5	
俾	pɪ3	
倂	piɪ̃5	
倍	pei5	
倒	tʌ3	
倒	tʌ5	
