#漢字	音標	解釋
㪗	tʰou2	~气
笨	pən5	
第	ti5	
箋	tɕian5	
籠	luŋ3	~罩
籠	luŋ2	竹~
等	təŋ3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tʂu5	
筒	tʰuŋ3	
答	ta2	回~
策	tsʰɤ5	
篩	ʂæ1	~子
箏	tʂəŋ1	
筲	ʂɔ1	~箕
筵	ian5	
筷	kʰuæ5	
籌	tʂʰou1	
签	tɕʰian5	
簡	tɕian3	
箅	pi5	~子
箍	ku1	
箔	po2	锡~
箕	tɕʰi1	簸~
算	suan5	
管	kuan3	
籮	luo2	
簫	ɕiɔ1	
箭	tɕian5	
箱	ɕiaŋ1	
箸	tʂu5	筷子
篆	tʂuan5	
篇	pʰian1	
簍	lou3	
篙	kɔ1	船~
篡	tsʰuan5	
篦	pi5	~子
籃	lan2	
籬	li2	
籬	tʂɔ5	
篷	pʰəŋ2	
篾	miɛ5	竹~
簧	xuaŋ2	弹~
簪	tsan1	~子
簪	tsan5	~花
簸	po5	1~一~
簸	po1	2~箕
簿	pu5	
籍	tɕi5	
米	mi3	
糴	ti2	买进(粮食)
類	lei5	
籽	tsɿ3	菜〜
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	nian2	1~米
粘	tʂan1	2~住
糶	tʰiɔ5	~米
粟	su5	
粤	yɛ5	
粥	tʂou1	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粳	tɕiŋ1	~米
粹	tsʰuei5	纯~
糉	tsuŋ5	
精	tɕiŋ1	
糍	tsʰɿ2	〜巴
糕	kɔ1	
糖	tʰaŋ2	
糗	tɕʰiou3	面煮~了
糙	tsʰɔ1	粗~
糜	mi2	肉~
糟	tsɔ1	
糠	kʰaŋ1	
糨	tɕiaŋ5	
糯	nuo5	~米
系	tɕi5	1~鞋子
系	ɕi5	联~
素	su5	
索	suo3	绳~
緊	tɕin3	
紫	tsɿ3	
累	lei5	1极困
累	lei3	2~积
絮	ɕy5	
繁	fan2	
纂	tsuan3	编~
糾	tɕiou1	~缠
紅	xuŋ2	
紂	tʂou5	
纤	ɕian3	
約	iɔ1	
級	tɕi1	
紀	tɕi5	~律
紉	ʐən3	缝~
緯	uei3	
純	tʂʰuən2	
紗	ʂa1	
綱	kaŋ1	
納	na5	~凉
縱	tsuŋ5	
紛	fən1	
紙	tʂʅ3	
紋	uən2	
紡	faŋ3	
紐	niou3	
線	ɕian5	
練	lian5	
組	tsu1	
細	ɕi5	
織	tʂʅ1	
終	tʂuŋ1	
縐	tʂou5	文~~
絆	pan5	
紹	ʂɔ5	
經	tɕiŋ1	
綁	paŋ3	
絨	ʐuŋ2	
結	tɕiɛ3	1~构
結	tɕiɛ1	2~实
繞	ʐɔ5	
繪	xuei5	
給	kei3	1~你
給	tɕi3	2供~
絡	luo5	
絶	tɕyɛ2	
絞	tɕiɔ3	
統	tʰuŋ3	
絹	tɕyan5	
繡	ɕiou5	
綏	suei2	~靖
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
綾	liŋ2	
續	ɕy5	
綽	tʂʰuo5	1宽~
綽	tʂʰɔ1	2~起棍子
繩	ʂəŋ2	
維	uei1	
綿	mian2	
繃	pəŋ1	
綢	tʂʰou2	
綹	liou3	一~头发
綜	tsuŋ1	
綻	tʂan5	破~
綠	ly5	
綴	tʂuei5	点~
緬	mian3	
纜	lan3	
緝	tɕʰi1	~鞋口
緞	tuan5	
緩	xuan3	
縷	ly3	丝~
編	pian1	
緣	yan2	
縛	fu5	
縫	fəŋ2	~衣服
縫	fəŋ5	一条~
纏	tʂʰan2	
纓	iŋ1	
縮	suo5	
繚	liɔ2	~乱
繮	tɕiaŋ1	~绳
繰	tɕʰiɔ1	~边
繳	tɕiɔ1	上~
缶	fou3	古代打击乐器
缸	kaŋ1	
缺	tɕʰyɛ1	
罐	kuan5	
网	uaŋ3	
罕	xan1	
羅	luo2	
羅	luo1	~唆
罰	fa2	
罷	pa5	
罩	tʂɔ5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu3	专~
罾	tsəŋ1	用木棍或竹竿做支架的方形渔网
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕian5	
群	tɕʰyn2	
羹	kəŋ1	
羽	y3	
翁	əŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翔	ɕiaŋ2	
翹	tɕʰiɔ5	
翠	tsʰuei5	
翡	fei3	~翠
翰	xan5	
翻	fan1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂɤ3	
而	ɚ3	
耍	ʂua3	
耐	næ5	
耕	kəŋ1	
耗	xɔ5	
耘	yn2	
耙	pʰa2	~子
耬	lou2	播种的农具
耩	tɕiaŋ3	~地
耳	ɚ3	
耶	iɛ1	
聳	suŋ3	~肩
耻	tʂʰʅ3	
耽	tan1	
耿	kəŋ3	
聶	niɛ5	姓
聊	liɔ2	
聾	luŋ2	
職	tʂʅ3	
聒	kuo1	~耳朵
聯	lian2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	su5	
肄	i5	~业
肆	sɿ5	
肇	tʂɔ5	~事
肉	ʐou5	
肋	lei5	
肌	tɕi1	
肘	tʂou3	
肚	tu3	1猪~
肚	tu5	2~子
肛	kaŋ1	
肝	kan1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肩	tɕian1	
肪	faŋ2	脂~
肫	tʂuən1	~肝
骯	aŋ1	~脏
肯	kən3	
育	y5	
肴	iɔ2	
肺	fei5	
腎	ʂən5	
腫	tʂuŋ3	
脹	tʂaŋ5	
脅	ɕiɛ1	~迫
胃	uei5	
膽	tan3	
背	pei5	1脊~
背	pei1	2~东西
胎	tʰæ1	
胖	pʰaŋ5	
胚	pʰei1	~胎
胛	tɕia3	肩~
勝	ʂəŋ5	~利
胞	pʰɔ2	
胭	ian1	
胯	kʰua5	~骨
胰	i2	~岛素
胱	kuaŋ1	
胳	kɤ1	~膊
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ2	
脂	tʂʅ3	
脆	tsʰuei5	
脉	mæ5	
脊	tɕi3	
脏	tsaŋ1	1不干净
脏	tsaŋ5	2内~
臍	tɕʰi2	
腦	nɔ3	
膿	nuŋ2	
脖	po2	
脚	tɕiɔ3	
脢	mei2	背脊肉
脬	pʰɔ1	尿~
脯	pʰu3	杏~
脯	pʰu2	胸~
脱	tʰuo1	
腡	luo2	手指纹
臉	lian3	
脾	pʰi3	
脾	niou5	
腆	tʰian3	~着肚子
臘	la5	
腋	iɛ5	
腌	ian1	~鱼
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan5	
腥	ɕiŋ1	
腭	nɤ5	
腮	sæ1	
腰	iɔ1	
腱	tɕian5	~鞘
腹	fu3	
膩	ni5	
騰	tʰəŋ2	
腿	tʰuei3	
膀	paŋ3	1肩~
膀	pʰaŋ1	2~肿
膈	kɤ1	~膜
膊	po1	
膏	kɔ1	1牙~
膏	kɔ5	2~油
膘	piɔ1	肥~
膜	mo2	
膝	tɕʰi2	
膨	pʰəŋ2	~胀
膳	ʂan5	
膻	ʂan1	~味
臀	tʰuən2	
臂	pi5	
臃	yŋ1	~肿
臊	sɔ1	~气
臣	tʂʰən2	
自	tsɿ5	
臭	tʂʰou5	
至	tʂʅ5	
致	tʂʅ5	
臻	tʂən1	日~佳境
臼	tɕiou1	
舀	iɔ3	~水
舂	tʂʰuŋ1	~米
舅	tɕiou5	
舌	ʂɤ2	
舍	ʂɤ5	1校~
舍	ʂɤ3	2~弃
舒	ʂu1	
舔	tʰian3	以舌取物
舜	ʂuən5	
舞	u3	
舟	tʂou1	
航	xaŋ2	
般	pan1	
艦	tɕian5	
艙	tsʰaŋ1	
舵	tuo5	掌~
舶	po2	船~
舷	ɕyan2	
船	tʂʰuan2	
艇	tʰiŋ3	
艘	sou1	
良	liaŋ2	
艱	tɕian1	
色	ʂæ3	
豔	ian5	
藝	i5	
艾	næ5	
節	tɕiɛ3	
芋	y2	
芍	ʂɔ2	~药花
芒	maŋ2	
芙	fu1	~蓉
芝	tʂʅ1	
芡	tɕʰian5	~粉
芥	tɕiɛ5	
蘆	lu2	~苇
芫	ian2	~荽
芬	fən1	
芭	pa1	
芮	ʐuei5	姓
花	xua1	开~
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	芦~
莧	ɕian5	~菜
蒼	tsʰaŋ1	
苧	tʂu5	~麻
苏	su1	
苔	tʰæ2	1~藓
苔	tʰæ2	2舌~
苗	miɔ2	
苘	tɕʰiŋ3	~麻
苛	kʰɤ3	
苞	pɔ1	
苟	kou3	
若	ʐuo5	
苦	kʰu3	
英	iŋ1	
苶	niɛ2	发~
蘋	pʰiŋ2	
茂	mɔ5	
范	fan5	规~
茄	tɕʰiɛ2	~子
茅	mɔ2	
茉	mo5	
莖	tɕiŋ1	
繭	tɕian3	
茨	tsʰɿ2	用茅草或芦苇盖屋顶
茫	maŋ2	
茬	tʂʰa2	
茭	tɕiɔ1	
茴	xuən2	~香
茶	tʂʰa2	
茸	ʐuŋ2	~毛
茼	tʰuŋ2	~蒿
荀	ɕyn3	
荆	tɕiŋ1	
草	tsʰɔ3	
薦	tɕian5	
荒	xuaŋ1	
荒	niou5	
荔	li5	~枝
蕎	tɕʰiɔ2	
薺	tɕʰi2	2~菜
薺	tɕʰi2	荸~
蕩	taŋ5	放~
榮	ʐuŋ2	
葷	xuən1	
蔭	in5	屋子很~
藥	iɔ5	
荷	xɤ2	1~花
荷	xɤ2	2负~
荸	pʰi2	~荠
荻	ti2	
荽	suei2	香菜
莉	li5	
莎	ʂuo1	~草
莓	mei2	
莠	iou3	良~不齐
莫	mo5	
蓮	lian2	
萵	uo1	
获	xuo5	
鶯	iŋ1	
蓴	tʂʰuən2	~菜
莽	maŋ3	
菇	ku1	
菊	tɕy3	
菌	tɕyn5	
菖	tʂʰaŋ1	~蒲
菜	tsʰæ5	
菠	po1	~菜
菩	pʰu2	~萨
菱	liŋ2	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
萎	uei3	~缩
蘿	luo2	~卜
螢	iŋ2	
營	iŋ2	
蕭	ɕiɔ1	
薩	sa1	
落	tʂuo2	
落	luo5	
著	tʂu5	显~
葚	ʂən5	桑~
葛	kɤ3	
葡	pʰu2	
董	tuŋ3	
葬	tsaŋ5	
葱	tsʰuŋ1	
葵	kʰuei2	
蒂	tʰi5	
蔣	tɕiaŋ3	
蒙	məŋ1	
蒜	suan5	
蒲	pʰu2	
蒸	tʂəŋ1	
蒿	xɔ1	蓬~
蓄	ɕy5	储~
蓉	ʐuŋ2	芙~
蓑	suo2	~衣
蓖	pi5	~麻
藍	lan2	
蓬	pʰəŋ2	
蔓	uan5	瓜~子
蔗	tʂɤ3	甘~
蔡	tsʰæ5	
蔫	nian1	花萎
蔬	ʂu1	
薔	tɕʰiaŋ2	
藺	lin5	姓
藹	æ3	和~
蔽	pi5	
蕉	tɕiɔ1	香~
蕊	ʐuei3	
蕨	tɕyɛ2	~菜
蕹	əŋ5	~菜
蕾	lei2	
薄	po5	1~荷
薄	po2	2厚~
薅	xɔ1	~草
薛	ɕyɛ3	
薪	ɕin1	
薯	ʂu3	白~
薰	ɕyn1	
藉	tɕi5	狼~
藋	tiɔ5	灰~菜
藏	tsʰaŋ2	1隐~
藏	tsaŋ5	2西~
藐	miɔ3	
藕	ou3	
藤	tʰəŋ2	
藩	fan1	
藻	tsɔ3	
藿	xuo5	~香
蘑	mo2	
蘸	tʂan5	~酱油
虜	luo3	俘虏
虐	nyɛ5	
慮	ly5	
虔	tɕʰian2	
虚	ɕy1	
虞	y2	
蟲	tʂʰuŋ2	
蟣	tɕi3	~子
虱	ʂʅ1	
虹	tɕiaŋ5	天上的~
虹	xuŋ2	彩~
虻	maŋ2	牛~
虼	kɤ5	~蚤(跳蚤)
雖	suei2	
蝦	ɕia1	1鱼~
蝦	xa2	2~蟆
蝕	ʂʅ2	
蟻	i2	
螞	ma5	
蚊	uən2	
蚌	paŋ5	软体动物
蚓	in3	
蠶	tsʰan2	
蚣	kuŋ1	娱~
蚤	sɔ1	
蚪	tou3	
蚯	tɕʰiou1	
蚶	xan1	~子
蛀	tʂu5	
蛆	tɕʰy1	生~
蛇	ʂɤ2	
蛋	tan5	
蟶	tʂʰəŋ1	~子
蛔	xuei2	~虫
蛙	ua1	
蛛	tʂu1	
蛟	tɕiɔ3	~龙
蛤	kɤ3	~蜊
蠻	man2	
蟄	tʂɤ5	惊~
螄	sɿ1	螺〜
蛹	yŋ3	
蛾	nɤ2	
蜀	ʂu3	
蜂	fəŋ1	
蜇	tʂɤ1	蝎子~人
蜈	u2	~蚣
蜊	li5	
蜓	tʰiŋ2	蜻~
蜕	tʰuei5	~化
蝸	uo1	~牛
蜘	tʂʅ1	〜蛛
蜜	mi5	
蠟	la5	
蜷	tɕʰyan2	~曲
蜻	tɕʰiŋ1	~蜓
蠅	iŋ2	
蟈	kuo1	~~儿
蟬	tʂʰan2	
蝌	kʰɤ1	
蠍	ɕiɛ1	~子
蝗	xuaŋ2	
蝙	pian3	
蝠	fu3	蝙~
蝶	tiɛ2	
螂	laŋ2	
螃	pʰaŋ2	~蟹
融	ʐuŋ2	
螟	miŋ2	~虫
螳	tʰaŋ2	
螺	luo2	~蛳
蟀	ʂuæ5	
蟆	ma1	蛤~
蟋	ɕi1	
蟑	tʂaŋ1	
蟒	maŋ3	
蟢	ɕi3	~子
蟥	xuaŋ2	蚂~
蟹	ɕiɛ5	
蟾	tʂʰan2	~蜍
蠓	məŋ3	昆虫
蠢	tʂʰuən3	
血	ɕyɛ3	
衅	ɕiŋ5	挑~
行	xaŋ2	1银~
行	ɕiŋ2	~为
衍	ian2	敷~
銜	ɕian2	
街	tɕiɛ1	
衙	ia2	~门
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔ3	
衩	tʂʰa5	旗袍开~
衫	ʂan1	
襯	tʂʰən5	
衰	ʂuæ1	
袁	yan2	
襖	nɔ3	
袈	tɕia1	~裟
袋	tæ5	
袍	pʰɔ2	
袖	ɕiou5	
袜	ua5	
被	pei5	1~子
被	pei5	2~打
襲	ɕi3	
袱	fu2	
袱	fu2	房梁
裁	tsʰæ2	
裂	liɛ5	
裝	tʂuaŋ1	
襠	taŋ1	开~裤
裌	tɕia1	2~衣
裕	y5	
裙	tɕʰyn2	
褲	kʰu5	
襇	tɕian3	衣服缝纫的褶子
裳	ʂaŋ5	衣~
裴	pʰei2	
裸	luo3	~体
裹	kuo3	
褂	kua5	
褐	xɤ5	~色
褒	pɔ3	~奖
褚	tʂʰu3	姓
褥	ʐu5	
褪	tʰuei5	
褯	tɕiɛ5	~子(尿布)
褶	tʂɤ3	~子(皱纹)
襄	ɕiaŋ1	
襟	tɕin1	
襻	pʰan5	纽~
西	ɕi1	
要	iɔ1	1~求
要	iɔ5	2~东西
覆	fu5	~盖
見	tɕian5	
觀	kuan1	1参~
觀	kuan5	2寺~
規	kuei1	
覓	mi5	
視	ʂʅ5	
覽	lan3	
覺	tɕiɔ5	1睡~
覺	tɕiɔ3	2感~
角	tɕiɔ3	
解	tɕiɛ3	1~开
解	ɕiɛ5	2姓
觸	tʂʰu5	
言	ian2	
譽	y5	荣~
謄	tʰəŋ2	~写
誓	ʂʅ5	
警	tɕiŋ3	
譬	pʰi5	~喻
計	tɕi5	
訂	tiŋ5	~约
訃	fu5	~告
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐaŋ5	
訖	tɕʰi5	收~
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
許	ɕy3	
訛	nɤ1	
論	luən2	1~语
論	luən5	2议~
訟	suŋ5	
諷	fəŋ3	
設	ʂɤ5	
訪	faŋ3	
訣	tɕyɛ2	
證	tʂəŋ5	验也
評	pʰiŋ2	
識	ʂʅ2	
詐	tʂa5	
訴	su5	
診	tʂən3	
詞	tsʰɿ2	
詔	tʂɔ1	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰəŋ2	
誅	tʂu1	
話	xua5	
誕	tan5	
詭	kuei3	
該	kæ1	
詳	ɕiaŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iou5	
説	ʂuo1	
誦	suŋ5	
請	tɕʰiŋ3	
諸	tʂu5	
諾	nuo5	
讀	tu2	
課	kʰɤ5	
誰	ʂuei2	
調	tʰiɔ2	1~和
調	tiɔ5	2~动
諒	liaŋ5	
談	tʰan2	
誼	i5	
謀	mou2	
諜	tiɛ2	
謊	xuaŋ3	
諫	tɕian5	
諧	ɕiɛ2	
謔	ɕyɛ5	戏~
謂	uei5	
讒	tʂʰan2	
諺	ian5	
謎	mi1	
謎	mi2	
謝	ɕiɛ5	
謡	iɔ2	
謗	paŋ5	
謙	tɕʰian1	
謹	tɕin3	
謬	niou5	
譚	tʰan2	
譜	pʰu3	
谷	ku3	
豁	xuo1	1~口
豁	xuo5	2~然
豆	tou5	
豇	tɕiaŋ1	~豆
豉	tʂʰʅ3	豆~
豌	uan3	~豆
豚	tʰuən2	
象	ɕiaŋ5	
豪	xɔ2	
豫	y5	
豹	pɔ5	
豺	tʂʰæ2	
貂	tiɔ1	
貌	mɔ5	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	kuŋ5	
財	tsʰæ2	
責	tsɤ2	
賢	ɕian2	
賬	tʂaŋ5	算~
貨	xuo5	
質	tʂʅ5	〜量
販	fan5	
貪	tʰan1	
貧	pʰin2	
貶	pian3	
購	kou5	
貯	tʂu5	缸里~满了水
貫	kuan5	
賤	tɕian5	
貼	tʰiɛ1	
貴	kuei5	
貸	tæ5	
貿	mɔ5	
費	fei5	~用
賀	xɤ5	
賊	tsei2	
賈	tɕia3	姓
賄	xuei5	~赂
賃	lin5	租~
賂	lu5	贿~
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɤ1	~账
賦	fu5	~予
賭	tu3	
贖	ʂu2	
賞	ʂaŋ3	
賜	sɿ5	
賠	pʰei2	
賴	læ5	
贅	tʂuei5	
賺	tʂuan5	
賽	sæ5	
贊	tsan5	
贈	tsəŋ5	
贏	iŋ2	
贛	kan5	江西简称
赤	tʂʰʅ5	
赦	ʂɤ5	~免
赫	xɤ5	显~
走	tsou3	
赴	fu5	
趙	tʂɔ5	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰɔ1	
越	yɛ5	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy3	
足	tsu3	
趴	pʰa1	
趾	tʂʅ3	
躍	yɛ5	
跌	tiɛ2	
跑	pʰɔ3	
跗	fu1	~面
跛	pʰo1	~足
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiɔ5	
踐	tɕian5	
蹺	tɕʰiɔ5	~~板
跥	tuo5	
踏	tʰa3	
踒	uo1	~了脚
踢	tʰi1	
踩	tsʰæ3	
蹤	tsuŋ1	
踮	tian5	
踱	tuo5	~步
蹄	tʰi2	
蹈	tɔ3	
躡	niɛ5	~脚走
蹬	təŋ1	
蹭	tsʰəŋ5	磨~
蹲	tuən1	
躁	tsɔ5	
身	ʂən1	
躬	kuŋ1	
躱	tuo3	
躺	tʰaŋ3	
車	tʂʰɤ1	1汽~
車	tɕy1	2~马炮
軋	ia5	~棉花
軌	kuei3	
軒	ɕyan1	
轉	tʂuan3	1~送
轉	tʂuan5	2~圆圈
輪	luən2	
軟	ʐuan3	
轟	xuŋ1	
軸	tʂou2	
輕	tɕʰiŋ1	
載	tsæ3	1一年半~
載	tsæ5	2~重
轎	tɕiɔ5	
較	tɕiɔ3	
輔	fu3	
輛	liaŋ5	
輩	pei5	
輝	xuei1	
輜	tsɿ1	〜重
輻	fu3	
輯	tɕi5	编~
輸	ʂu1	
轅	yan2	
轄	ɕia2	管~
轍	tʂɤ2	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰi5	开~
辣	la5	
辨	pian5	
辯	pian5	
辮	pian5	
辰	tʂʰən2	
辱	ʐu3	
邊	pian1	
遼	liɔ2	
達	ta2	
遷	tɕʰian1	
迂	y2	
迅	ɕyn5	
過	kuo5	~失
邁	mæ5	
迎	iŋ2	
運	yn5	
近	tɕin5	
返	fan3	
還	xuan2	1~原
還	xæ2	2~有
進	tɕin5	
遠	yan3	
違	uei1	
連	lian2	
遲	tʂʰʅ2	
迥	tɕyŋ3	~然
迪	ti2	
迫	pʰæ3	
述	ʂu5	
迷	mi2	
迸	pəŋ5	~裂
迹	tɕi5	
追	tʂuei1	
退	tʰuei5	
送	suŋ5	
適	ʂʅ5	
逃	tʰɔ2	
逆	ni5	~风
選	ɕyan3	
遜	ɕyn5	
透	tʰou5	
逐	tʂu5	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰuŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	~强
速	su5	
造	tsɔ5	建~
逢	fəŋ2	
逮	tæ3	
逵	kʰuei2	
逸	i5	
逼	pi1	
逾	y2	
遁	tuən5	
遂	suei2	
遇	y5	
遍	pʰian5	~地
遐	ɕia2	
道	tɔ5	
遺	i2	
遢	tʰa1	邋~
遣	tɕʰian3	
遥	iɔ2	
遭	tsɔ1	
遮	tʂɤ1	
遵	tsuən1	
避	pi5	
邀	iɔ1	
邋	la1	~遢
鄧	təŋ5	
那	na5	
邦	paŋ1	
邪	ɕiɛ2	
郵	iou2	
邱	tɕʰiou1	
邵	ʂɔ5	
鄒	tsou5	
鄰	lin2	
郁	y5	
郊	tɕiɔ1	
郎	laŋ2	
鄭	tʂəŋ5	
郝	xɔ3	姓
郡	tɕyn5	
部	pu5	
郭	kuo3	
都	tu1	1~城
都	tou1	2~是
鄂	nɤ5	
鄙	pi5	
鄱	pʰan2	~阳湖
酉	iou2	
酌	tʂuo2	
配	pʰei5	
酒	tɕiou3	
醞	yn5	
酣	xan1	~睡
酥	su1	
酪	lɔ5	
酬	tʂʰou3	
醬	tɕiaŋ5	
酵	ɕiɔ5	
酷	kʰu5	
酸	suan1	
釅	ian5	~茶
釀	niaŋ5	
醇	tʂʰuən2	酒味~
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醭	pu3	醋、酱油等表面的白色霉
醮	tɕiɔ5	打~
采	tsʰæ3	~煤
釉	iou5	
釋	ʂʅ5	
里	li3	
重	tʂʰuŋ2	~复
重	tʂuŋ5	轻~
野	iɛ3	
量	liaŋ2	~长短
量	liaŋ5	数~
金	tɕin1	
釜	fu2	
鑑	tɕian1	
鑾	luan2	
鏊	ɔ5	烙饼用具
鐾	pei5	~刀布
钁	tɕyɛ5	~头
針	tʂən1	
釘	tiŋ5	~住
釘	tiŋ1	铁~
釤	ʂan5	用镰刀大片割
釣	tiɔ5	
釵	tʂʰæ1	
鈍	tuən5	
鈔	tʂʰɔ1	钱~
钟	tʂuŋ1	
鋼	kaŋ1	1~铁
鋼	kaŋ5	2在布、石上磨刀使其锋利
鑰	iɔ5	~匙
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kou1	
鈕	niou3	
錢	tɕʰian2	
鉗	tɕʰian2	
鉢	po1	陶制器具
鈸	po2	打击乐器
鑽	tsuan1	1~眼子
鑽	tsuan5	2~子
鈿	tʰian3	铜~
鐵	tʰiɛ3	
鈴	liŋ2	
鉛	tɕʰian1	
鐸	tuo2	
銬	kʰɔ3	
鐃	nɔ2	打击乐器的一种
銅	tʰuŋ2	
鋁	ly3	
鍘	tʂa2	~刀
鋌	tʰiŋ3	
鏵	xua1	犁~
銘	miŋ2	
鉸	tɕiɔ3	剪
鏟	tʂʰan3	
銃	tʂʰuŋ5	放~
銀	in2	
鑄	tʂu5	
鋪	pʰu1	1~设
鋪	pʰu5	2店~
鏈	lian5	
銷	ɕiɔ1	
鎖	suo3	
鋥	tsəŋ5	~光闪亮
鋤	tʂʰu2	
鍋	kuo1	
鏽	ɕiou5	铁~
銼	tsʰuo5	~刀
鋒	fəŋ1	
銳	ʐuei3	
鋦	tɕy1	~碗
錯	tsʰuo5	~误
錨	mɔ2	
錫	ɕi1	
錮	ku5	禁~
鑼	luo2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕin3	
鍁	tɕʰian1	铁~
錠	tiŋ5	
鍵	tɕian5	
鋸	tɕy5	~子
鍬	tɕʰiɔ1	铁~
鍛	tuan5	~炼
鍍	tu5	
鎮	tʂən5	
鑷	niɛ5	~子
鎬	kɔ3	刨土用的工具
鎊	pən1	~子
鎔	ʐuŋ2	
鏡	tɕiŋ5	
鏇	ɕyan5	转着圈地削
鐐	liɔ5	~铐
鐙	təŋ5	鞍~
鐲	tʂuo2	~子
鐮	lian2	
鑞	la5	锡~
鑲	ɕiaŋ1	
長	tʂʰaŋ2	1~短
長	tʂaŋ3	2生~
門	mən2	
閂	ʂuan1	门~
閃	ʂan3	
閉	pi5	
問	uən5	
闖	tʂʰuaŋ3	
閏	yn5	
闲	ɕian2	
間	tɕian1	1空~
間	tɕian1	2~隔
悶	mən5	
閘	tʂa2	
鬧	nɔ5	
閨	kuei1	
聞	uən2	
閩	min3	~越
閥	fa2	
閣	kɤ1	
鬮	tɕiou1	抓~
閲	yɛ5	
閹	ian1	
閻	ian2	
闊	kʰuo5	
阜	fu3	
隊	tuei5	
阮	ʐuan3	
阱	tɕiŋ3	陷~
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən5	
階	tɕiɛ1	
阻	tsu3	
阿	nɤ2	1~胶
阿	a1	2~哥
陀	tʰuo2	~螺
附	fu5	
際	tɕi5	
陸	lu5	
隴	luŋ3	
陳	tʂʰən2	
陋	lou5	
陌	mo5	~生
降	tɕiaŋ5	下~
降	ɕiaŋ2	投~
限	ɕian5	
陝	ʂan3	~西
陛	pi5	~下
陡	tou3	
院	yan5	
除	tʂʰu2	
險	ɕian3	
陪	pʰei2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕian5	
隆	luŋ2	
隍	xuaŋ2	
隨	suei2	
隱	in3	
隔	kɤ1	
隘	æ3	
障	tʂaŋ5	保~
隧	suei2	~道
隶	li5	
難	nan2	1~易
難	nan5	2患~
雀	tɕʰyɛ5	麻~
雁	ian5	
雄	ɕyŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雉	tʂʅ5	〜鸡
雌	tsʰɿ2	
雍	yŋ1	
雛	tʂʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕyɛ3	
零	liŋ2	
雷	lei2	
雹	pɔ2	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
震	tʂən5	
黴	mei2	
霍	xuo5	
霎	ʂa5	
霓	ni1	
霖	lin2	甘~
霜	ʂuaŋ1	
霞	ɕia2	
露	lu5	1~水
露	lou5	2~马脚
霸	pa5	
霹	pʰi1	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
靛	tian5	~蓝
非	fei1	
靠	kʰɔ5	
靡	mi2	风~
面	mian5	脸~
靨	iɛ5	酒~
革	kɤ1	
靪	tiŋ1	补鞋底
靴	ɕyɛ1	
靿	iɔ5	靴或袜子的筒
鞋	ɕiɛ2	
鞍	nan1	
鞘	tɕʰiɔ5	刀~
鞠	tɕy3	
鞭	pian1	
韌	ʐən5	
韓	xan2	
韭	tɕiou3	
音	in1	
韻	yn5	
韶	ʂɔ2	~关
頁	iɛ5	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiaŋ5	
順	ʂuən5	
须	ɕy1	
頑	uan2	~皮
顧	ku5	
頓	tuən5	
頒	pan1	
頌	suŋ5	
