#漢字	音標	解釋
奴	nɷ2	
奶	na6	～～：祖母
好	xʌ3	
好	xʌ5	～色
如	lu2	
媽	mɑ3	
媽	mɑ6	～～;伯母
妒	tu5	
妥	tʰɷ3	
妹	me6	
妾	tɕʰie5	
姑	ku1	
姚	iʌ2	
姜	tɕiex1	
娃	uɑ2	
孌	lɷx2	
娘	ȵiex2	
婆	bɷ2	
嫑	piʌ5	
嫖	biʌ2	
嫩	nɛx6	
孃	ȵiex6	～～：姑母
孔	kʰoŋ3	
存	ʑyɛx2	
孫	ɕyɛx1	
孛	bəʔ8	
孟	moŋ6	
學	ʑiɑ？8	文读
學	ɣoʔ8	白读
孬	nʌ1	
安	ɷx1	
完	ɷx2	
宗	tsoŋ1	
定	din6	
宛	ɷx3	
宜	i2	
寶	pʌ3	
寵	tsʰoŋ3	
宣	ɕyɷx1	
宰	tsa3	
害	ɣa6	
寬	kʰɷx1	
宿	soʔ7	
密	miʔ8	
察	tsʰɑʔ7	
寡	kuo3	
寸	tɕʰyɛx5	
對	te5	
尋	ʑin2	
射	zɑ6	
將	tɕiex5	上～
尊	tɕyɛx1	
少	sʌ3	
少	sʌ5	～年
尖	tɕiɪx1	
尝	zɑŋ2	
尤	iɷ2	
就	ʑiɷ6	
尿	ȵiʌ6	小便（动词）
局	dzioʔ8	
屁	pʰi5	
屄	pi1	
居	tɕy1	
屋	oʔ7	
屌	tiʌ3	
展	tɕiɪx3	
屙	ɷ1	
山	sæx1	
歲	ɕy5	白
歲	ɕye5	文读
岔	tɕʰyo5	
島	tʌ3	
崇	dzoŋ3	
崔	tɕʰye1	
崩	poŋ1	
嵌	kʰæx5	
巡	ʑyn2	
左	tsɷ3	
巧	tɕiʌ3	
巩	koŋ3	
已	i3	
巴	po1	
巷	ɣɑŋ6	
幣	bi5	
布	pʰu5	
帥	ɕya5	
希	ɕi1	
帝	ti5	
幫	pɑŋ1	
常	dzɑŋ2	
幕	mɷx6	
幢	dʑyɑŋ6	
干	kɷx1	晒～
干	kɷx5	～部
平	bin2	
年	ȵiɪx2	
并	pin5	
幸	ʑin6	
幻	ɣuæx6	
幼	iɷ5	
广	kuɑŋ3	
庄	tɕyɑŋ1	
慶	tɕʰin5	
庇	pʰi3	
牀	ʑyɑŋ2	
庫	kʰu5	
應	in5	
底	ti3	
店	tiɪx5	
廟	miʌ6	
府	fu3	
廢	fe5	
度	du6	
康	kʰɑŋ1	
開	kʰa1	
弄	noŋ6	动词：摆～
弄	loŋ6	名词：～堂
弟	di6	
張	tsɑŋ1	
彎	uæx1	
强	tɕʰiex3	勉～
强	dʑiex2	
歸	kue1	
當	tɑŋ1	
影	in3	
很	xɛx3	
徐	ʑy2	
得	təʔ7	
心	ɕin1	
必	piʔ7	
忌	dʑi6	
忍	iɛx3	
忙	mɑŋ2	
快	kua5	
念	ȵiɪx6	
忽	xuəʔ7	
怀	ɣua2	
怒	nɷ6	
怕	pʰo5	
急	tɕiʔ7	
怨	yɷx5	又读
總	tsoŋ3	
恆	ɣɛx2	
恨	ɣɛx6	
恩	ŋɛx1	
恶	ŋoʔ7	
