#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。~一脚过来
㫰	nɑŋ5	指晾衣服被褥。~衣服
䍉	tsʰɛ2	指器皿或水果上有破损的痕迹。
䯉	uɑ3	指肠胃不适，产生想要呕吐的感觉
一	i7	
丁	tiẽ1	
七	tɕʰi7	
万	uɑ̃5	
丈	tʂɑŋ5	
三	sɑ̃1	
上	ʂɑŋ5	~山，~面
下	ɕiɑ5	底~，~来
不	pu3	
不	pu7	
与	y3	
丐	kɛ5	
丑	tʂʰou3	子~寅卯;~陋
專	tʂuɑ̃1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	iẽ3	
業	niɛ7	
業	iɛ7	
業	iɑ̃7	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰẽ2	
丟	tiou1	
兩	niɑŋ3	~个，二~
嚴	iɑ̃2	
喪	sɑŋ5	~失
喪	sɑŋ1	婚~
个	kv5	
丫	n̩1	
丰	xuŋ1	
串	tʂʰuɑ̃5	
臨	niẽ2	
丸	uɑ̃2	
丹	tɑ̃1	
爲	ue2	
爲	ue5	
主	tʂu3	
麗	ni5	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
麼	mo1	
義	i5	
之	tʂʅ1	
烏	vu1	
乍	tʂɑ5	
乎	fu2	
乏	xuɑ7	
樂	nuo7	快~，音~
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰẽ2	
乙	i3	
乙	i7	
九	tɕiou3	
乞	tɕʰi7	
也	iɛ3	
習	ɕi7	
鄕	ɕiɑŋ1	
書	ʂʯ1	
買	mɛ3	
亂	nuɑ̃5	
乳	ʐʯ3	
了	niɔ3	
爭	tʂẽ1	
事	sɿ5	
二	ɚ5	
于	y1	
于	y2	
虧	kʰue1	
雲	yẽ2	1不知所~，~彩
互	fu5	
五	vu3	
井	tɕiẽ3	
亞	n̩5	
些	ɕiɛ1	
亡	uɑŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	i7	
亨	xẽ1	
畝	mu3	
京	tɕiẽ1	
亭	tʰiẽ2	
亮	niɑŋ5	
親	tɕʰiẽ1	
親	tɕʰiẽ1	~嘴
親	tɕʰiẽ5	~家
人	ʐẽ2	
億	i7	
什	ʂʅ7	
仁	ʐẽ2	
僅	tɕiẽ5	
仆	pʰu7	~人
仆	pʰu1	前~后继
仇	tʂʰou2	
今	tɕiẽ1	
介	kɛ5	
仍	ʐẽ2	
从	tsʰuŋ2	跟~
仑	nẽ2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰɑ1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕiɑ̃1	
代	tɛ5	
令	niẽ5	
以	i3	
儀	i2	
仰	iɑŋ3	
件	tɕiɑ̃5	
價	tɕiɑ5	
任	ʐẽ2	
任	ʐẽ5	
份	xuẽ5	
仿	xuɑŋ3	
企	tɕʰi3	
伊	i1	
伍	vu3	
伏	fu7	
伐	xuɑ7	
休	ɕiou1	
優	iou1	
伙	xuo3	
會	kʰue5	~计
會	xue5	开~，不~
偉	ue3	
傳	tʂʰuɑ̃2	
傳	tʂuɑ̃5	
伢	n̩2	
傷	ʂɑŋ1	
倫	nuẽ2	
僞	ue5	
伯	pɛ7	
估	ku3	
伴	pɑ̃5	
伶	niẽ2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiɑ̃5	
但	tɑ̃5	
位	ue5	
低	ti1	
住	tʂu5	
佐	tsuo5	
體	tʰi3	
何	xuo2	
佘	ʂɛ2	
余	y2	
佛	fo7	
作	tsuo7	
佞	niẽ5	
你	ni3	
佩	pʰe5	
佳	tɕiɑ1	
侄	tʂʅ7	
侈	tʂʰʅ3	
侉	kʰuɑ3	
例	ni5	
侍	ʂʅ5	
供	kuŋ1	~不起
供	kuŋ5	~养
依	i1	
僥	tɕiɔ3	
偵	tʂẽ1	
側	tsɛ7	
僑	tɕʰiɔ2	
儂	nuŋ2	
侮	vu3	
侯	xou2	
侵	tɕʰiẽ1	
便	piɑ̃2	
便	piɑ̃5	
促	tsʰou5	
俄	uo2	
俏	tɕʰiɔ5	
俗	sou7	
俘	fu1	
保	pɔ3	
俟	sɿ5	
信	ɕiẽ5	
儼	iɑ̃3	
儉	niɑ̃5	
修	ɕiou1	
俯	fu3	
倶	tɕy1	
俸	xuŋ5	
俾	pi3	
倂	piẽ5	
倍	pe5	
倒	tɔ3	
倒	tɔ5	
倔	tɕyɛ7	
倘	tʰɑŋ3	
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tʂʰɑŋ5	
倣	xuɑŋ3	
倦	tɕyɑ̃5	
倪	ni2	
倭	uo1	
債	tʂɛ5	
値	tʂʅ7	
傾	tɕʰiẽ1	
假	tɕiɑ5	放~
