#漢字	音標	解釋
□	kuɑʔ7	kuɑʔ7開,表示“裂開”
㑚	nɑ6	1
㑚	nɑ2	2
㕭	ɔ5	
㦃	tsʰæ̃3	
㬦	hɒk7	1爀顯,表示“閃電”
㬦	hɒʔ7	2㬦晱,表示“閃電”
䌇	soʔ7	
䟿	lok8	
一	iʔ7	
丁	tiŋ1	
七	tsʰiʔ7	
丈	zɑŋ6	1長度單位
丈	dzɑŋ4	2
丈	dzɑŋ6	3丈人
丈	dzɑŋ2	4丈人
三	sæ̃1	
上	lɒŋ4	1船上
上	lɒŋ6	2世界上
上	zɑŋ4	3上帝
上	zɑŋ6	4上帝
上	zɒŋ4	5上頭
上	zɒŋ6	6上山
上	lɒŋ2	7地上
上	zɑŋ2	8上帝
上	zɒŋ2	9上等
下	ɦɔ4	1天下
下	ɦɔ6	2天下
下	ɦo4	3
下	ɦiɑ4	4下落
不	pəʔ7	1
不	pʌʔ7	2不過
不	piʔ7	3不過
丐	ke5	
丑	tsʰɤ3	
且	tsʰiɑ3	1而且
且	tsʰie3	2並且
且	tsʰiɑ1	3況且
世	sɿ5	1世界
世	sɿ1	2世界
丞	dzʌŋ2	
丢	tiɤ1	
並	biŋ6	
丫	ɔ1	1丫頭
丫	ɔ5	2丫頭
中	tsoŋ1	1當中
中	tsuŋ1	2中國
中	tsuŋ5	3中意
中	tsʌŋ1	4當中
串	tsʰẽ5	1一串珠子
串	tsʰẽ1	2一串珠
丸	ɦuẽ2	
丹	tæ̃1	
主	tsʮ3	1
主	tsy3	2
主	tsu3	3財主人家
乃	nɑ2	1
乃	ne2	2
久	ciɤ3	
之	tsɿ1	
乍	dzo6	
乎	ɦu2	1
乎	u1	2
乏	væʔ8	
乖	kuɑ1	1
乖	kue1	2
乖	kue5	3乖戾
乘	zʌŋ2	1相乘
乘	dzʌŋ2	2釋義爲“avail {one's self of}”
九	ciɤ3	
乞	tɕʰiʌʔ7	
也	ɦɑ4	1
也	ɦie4	2
也	ie3	3語氣詞
也	ɑ3	4
乳	zʮ4	
