#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪,地名
一	jɜt7a	
丁	tiɑŋ1	白讀
丁	tɪŋ1	
七	tsʰɜt7a	
丈	tsiøŋ6	
三	sɑm1	
上	siøŋ5	
上	siøŋ6	上面
下	hɑ5	打一下
下	hɑ6	下面
下	hɑ2	下車、下班,白讀
不	pɜt7a	
丐	kʰui1	
丑	tsʰɜu2	
且	tsʰiɑ2	
世	sɑi1	
丘	hɜu1	
丙	pɪŋ2	
丞	sɪŋ4	
丢	tiu1	
並	pɪŋ6	
丫	ʔɑ1	
中	tsəŋ1	
丰	fəŋ1	
串	tsʰin1	
丸	jin4	
丹	tɑn1	
主	tsi2	
乃	nɑi5	
久	kɜu2	
么	jiu1	
之	tsi1	
乍	tsɑ1	
乎	fu4	
乏	fɑt8	
乒	pɪŋ2	
乓	pɜm2	
乖	kuɑi1	
乘	sɪŋ4	乘船
乘	sɪŋ6	萬乘之國
乙	jit8	
九	kɜu2	
乞	hɑt7a	
也	jɑ5	
乳	ŋi5	
乳	ŋui5	汁液,白讀
乾	kun1	乾燥
乾	kun5	名詞,變調
乾	kʰin4	乾坤
亂	lun6	
了	liu2	了結
了	liu2	了解
予	ji5	給予
事	si6	
二	ŋi6	
于	ji1	
云	ʋɜn4	
互	fu6	老派
互	ʋu6	
五	m̩2	
井	tsiɑŋ2	
亙	kɑŋ2	
些	siɑ1	
亞	ʔɑ1	
亟	kɪk8	亟需
亟	kʰei1	亟請
亡	mɔŋ4	
亢	kʰɔŋ1	高亢
交	kɑu1	
亥	hui6	
亦	jɪk8	
亨	hɑŋ1	
享	hiøŋ2	
京	kɪŋ1	
亭	hiɑŋ4	天亭,地名
亭	hɪŋ4	
亮	liøŋ6	
人	ŋɜn4	
什	sɜm6	什麼
什	tsɑp8	什錦
仁	ŋɜn4	
仃	tɪŋ1	
仄	tsɑk7a	
仄	tsɪk7a	
仆	pək8	
仆	fu6	前仆後繼
仆	pʰək8	
仆	pʰək7a	仆倒
仇	kʰɜu4	姓仇
仇	sɜu4	仇人
今	kɜm1	
今	kɜm4	今日
介	kɑi1	
仍	ŋɪŋ4	
仔	tsɑi2	豬仔
仔	tsi2	仔細
仕	si6	
他	hɑ1	
仗	tsiøŋ1	打仗
仗	tsiøŋ6	仗義
付	fu6	
仙	sin1	
仝	həŋ4	
仞	ŋɜn6	
仟	tsʰin1	
代	tui6	
令	liɑŋ6	白讀
令	lɪŋ1	一令紙
令	lɪŋ4	令狐
令	lɪŋ6	命令
以	ji5	
仰	ŋiøŋ2	
仰	ŋɔŋ2	
仲	tsəŋ6	
件	kin6	
任	ŋɜm4	姓任
任	ŋɜm6	信任
份	fɜn6	
仿	fɔŋ2	仿佛
企	kʰei2	屋企,家
企	kʰei5	
伊	ji1	
伍	m̩2	
伏	fək8	
伐	fɑt8	
休	hɜu1	
伙	fuɔ2	
伯	pɑ1	春秋五伯
伯	pɑk8	
伯	pɑk9	阿伯
伯	pɑk7b	伯爺
估	ku1	估衣
估	ku2	估計
伴	pun6	
