#漢字	音標	解釋
㞞	ɕyŋ2	(精液)
䩩	yæ̃3	
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uæ̃5	
丈	tsaŋ5	
三	sæ̃1	
上	saŋ5	
下	ɕia5	
不	pu1	
与	y2	
丐	kɛ5	
丑	tsʰo3	
專	pfæ̃1	
且	tɕʰiə1	
丕	pʰi1	
世	sɿ5	
丘	tɕʰio1	
丙	piŋ3	
業	iə1	
叢	tɕʰyŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丢	tio1	
兩	liaŋ3	
嚴	iæ̃2	
喪	saŋ1	
喪	saŋ5	
个	kə5	
丫	ia1	
中	pfəŋ1	
中	pfəŋ5	
丰	fəŋ1	
串	pfʰæ̃5	
丸	uæ̃2	
丹	tæ̃1	
爲	ue2	
主	pfu3	
麗	li2	
舉	tɕy3	
乃	nɛ3	
久	tɕio3	
麽	ma2	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	fa2	
樂	luə1	
樂	yə1	
乒	pʰiŋ1	
乓	pʰa1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰəŋ2	
乙	i1	
九	tɕio3	
乞	tɕʰi1	
也	iə3	
習	ɕi2	
鄉	ɕiaŋ1	
書	fu1	
買	mɛ3	
亂	luæ̃5	
乳	vu3	
乾	tɕʰiæ̃2	
了	liɔ3	
予	y2	
爭	tsəŋ1	
事	sɿ5	
二	ɭɨ5	
于	y2	
虧	kʰue1	
云	yẽ2	
互	xu5	
五	u3	
井	tɕiŋ3	
亘	kẽ5	
亞	ia5	
些	ɕiə3	
亡	uaŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	i2	
產	tsʰæ̃3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ2	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰiẽ1	
人	zẽ2	
億	i5	
什	sẽ2	
仁	zẽ2	
仃	tiŋ1	
僅	tɕiẽ3	
仇	tɕʰio2	(姓)
仇	tsʰo2	
今	tɕiẽ1	
介	tɕiɛ5	
仍	zəŋ3	
从	tɕʰyŋ2	
仑	luẽ2	
倉	tsʰaŋ1	
他	tʰa1	
仗	tsaŋ5	
付	fu5	
仙	ɕiæ̃1	
仞	zẽ5	
代	tɛ5	
令	liŋ5	
以	i2	
儀	i2	
們	mẽ2	
仰	iaŋ3	
仲	pfəŋ5	
件	tɕiæ̃5	
價	tɕia5	
任	zẽ5	
份	fẽ5	
仿	faŋ3	
企	tɕʰi2	
伍	u3	
伎	tɕi5	
伏	fu1	
伐	fa2	
休	ɕio1	
衆	pfəŋ5	
優	io1	
伙	xuə3	
會	kʰuɛ5	(~计)
會	xue5	
傘	sæ̃3	
偉	ue3	
傳	pfʰæ̃2	
傷	saŋ1	
僞	ue5	
伯	pe1	
估	ku3	
伴	pæ̃5	
伸	sẽ1	
伺	tsʰɿ5	
似	sɿ5	
伽	tɕia1	
佃	tiæ̃5	
但	tæ̃5	
位	ue5	
低	ti1	
住	pfu5	
佐	tɕyə3	
佑	io5	
體	tʰi3	
何	xə2	
余	y2	
佛	fu2	
作	tɕyə1	
佟	tʰuŋ2	
佣	yŋ5	
佩	pʰe5	
佬	lɔ3	
佯	iaŋ2	
佰	pe1	
佳	tɕia1	
使	sɿ3	
侄	tsɿ2	
侈	tsʰɿ3	
例	li5	
侍	sɿ5	
供	kuŋ5	
依	i1	
俠	ɕia2	
侶	lu3	
僥	tɕiɔ3	
偵	tsəŋ1	
側	tsʰe1	
僑	tɕʰiɔ2	
儂	nuŋ2	
侮	u1	
侯	xo2	
侵	tɕʰiẽ1	
便	pʰiæ̃2	(~宜)
便	piæ̃5	
促	tɕʰy1	
俄	ə2	
俊	tɕyẽ5	
俏	tɕʰiɔ5	
俐	li5	
俗	ɕy2	
俘	fu2	
保	pɔ3	
俞	y2	
信	ɕiẽ5	
倆	lia3	
儉	tɕiæ̃3	
修	ɕio1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俺	æ̃3	
倍	pe5	
倒	tɔ3	
倒	tɔ5	
倔	tɕyə1	
候	xo5	
倚	i3	
借	tɕiə5	
倡	tsʰaŋ5	
倦	tɕyæ̃5	
倪	ni2	
債	tsɛ5	
值	tsɿ2	
傾	tɕʰyŋ1	
假	tɕia3	
偎	ue1	
偏	pʰiæ̃1	
做	tɕyə5	
停	tʰiŋ2	
健	tɕiæ̃5	
偶	o3	
偷	tʰo1	
償	saŋ3	
傀	kʰue2	
傅	fu5	
儐	piẽ1	
儲	pfʰu3	
催	tɕʰye1	
傲	ɔ5	
傻	sa3	
像	ɕiaŋ5	
僚	liɔ2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi1	
儒	vu3	
儡	le3	
兒	ɭɨ2	
允	yẽ3	
元	yæ̃2	
兄	ɕyŋ1	
充	pfʰəŋ1	
兆	tsɔ5	
先	ɕiæ̃1	
光	kuaŋ1	
克	kʰe1	
免	miæ̃3	
兑	tue5	
兔	tʰu5	
兗	iæ̃2	
黨	taŋ3	
兜	to1	
入	vu1	
全	tɕʰyæ̃2	
八	pa1	
公	kuŋ1	
六	lio5	
兮	ɕi1	
蘭	læ̃2	
共	kuŋ5	
關	kuæ̃1	
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiæ̃3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiæ̃1	
獸	so5	
冀	tɕi5	
内	ne5	
岡	kaŋ3	
册	tsʰe1	
再	tsɛ5	
冒	mɔ5	
冕	miæ̃3	
冗	vəŋ3	
寫	ɕiə3	
軍	tɕyẽ1	
農	nuŋ2	
冠	kuæ̃5	
冤	yæ̃1	
冥	miŋ2	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	pfʰəŋ1	
冲	pfʰəŋ5	
決	tɕyə1	
况	kʰuaŋ5	
冶	iə3	
冷	ləŋ3	
凍	tuŋ5	
冽	liə1	
淨	tɕiŋ5	
凄	tɕʰi1	
準	xuɛ2	
準	pfẽ3	
涼	liaŋ2	
凋	tiɔ1	
凌	liŋ2	
減	tɕiæ̃3	
湊	tsʰo5	
凝	niŋ2	
几	tɕi3	
凡	fæ̃2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凰	xuaŋ2	
凳	təŋ5	
凶	ɕyŋ1	
凸	tʰu1	
出	pfʰu1	
擊	tɕi1	
函	xæ̃2	
鑿	tɕyə2	
刀	tɔ1	
刁	tiɔ1	
刃	iẽ5	
分	fẽ1	
分	fẽ5	
切	tɕʰiə1	
刊	kʰæ̃1	
划	xua1	(~开)
划	xua5	
列	liə1	
劉	lio2	
則	tse1	
剛	kaŋ1	
創	pfʰaŋ5	
初	pfʰu1	
删	sæ̃1	
判	pʰæ̃5	
刨	pʰɔ2	
利	li5	
别	piə2	(分~)
刮	kua1	
到	tɔ5	
制	tsɿ5	
刷	fa1	
券	tɕyæ̃5	
刹	sa1	(~手)
刺	tsʰɿ1	
刺	tsʰɿ5	
刻	kʰe1	
劊	kʰuɛ5	
刴	tuə5	
劑	tɕi5	
剃	tʰi5	
削	ɕyə1	
前	tɕʰiæ̃2	
剮	kua2	(~破)
劍	tɕiæ̃5	
剔	tʰi1	
剜	uæ̃1	
剝	pə1	
劇	tɕy5	
剩	səŋ5	
剪	tɕiæ̃3	
副	fu5	
割	kə1	
剿	tsʰɔ1	
剿	tɕiɔ3	
劈	pʰi1	
劈	pʰi3	
力	li1	
勸	tɕʰyæ̃5	
辦	pæ̃5	
功	kuŋ1	
加	tɕia1	
務	u5	
劣	liə1	
動	tuŋ5	
助	pfu5	
努	nu3	
劫	tɕiə1	
勵	li5	
勁	tɕiẽ5	
勞	lɔ2	
勢	sɿ5	
勃	pə2	
勇	yŋ3	
勉	miæ̃3	
勳	ɕyẽ1	
勒	le1	
勘	kʰæ̃1	
勤	tɕʰiẽ2	
勺	fə2	
勾	ko1	
勿	u1	
匀	yẽ2	
包	pɔ1	
匈	ɕyŋ1	
匕	pi5	
化	xua5	
北	pe1	
匙	tsʰɿ3	
匝	tsa1	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia2	
匪	fi3	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	piæ̃3	
匿	ni5	
十	sɿ2	
千	tɕʰiæ̃1	
升	səŋ1	
午	u3	
卉	xue5	
半	pæ̃5	
華	xua2	
協	ɕiə2	
卓	pfə1	
賣	mɛ5	
南	næ̃2	
博	pə1	
卜	pu3	
卞	piæ̃1	
占	tsæ̃5	
卡	kʰa3	(~车)
卡	tɕʰia3	
卤	lu3	
卦	kua5	
臥	uə5	
衛	ue5	
卯	mɔ3	
印	iẽ5	
危	ue3	
即	tɕi1	
卻	tɕʰyə1	
卵	luæ̃3	
卷	tɕyæ̃3	
卸	ɕiə5	
卿	tɕʰiŋ1	
廠	tsʰaŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	ia1	
厭	iæ̃5	
廁	tsʰe1	
厘	li2	
厚	xo5	
原	yæ̃2	
廂	ɕiaŋ1	
厦	sa5	
廚	pfʰu2	
去	tɕʰy5	
縣	ɕiæ̃5	
叄	sæ̃1	
参	tsʰæ̃1	
参	sẽ1	
又	io5	
叉	tsʰa1	
及	tɕi2	
友	io3	
雙	faŋ1	
反	fæ̃3	
发	fa1	
取	tɕʰy3	
受	so5	
變	piæ̃5	
敍	ɕy5	
叛	pʰæ̃5	
叟	so3	
疊	tiə2	
口	kʰo3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɔ1	
叩	kʰo5	
只	tsɿ1	
叫	tɕiɔ5	
召	tsɔ1	
叭	pa1	
叮	tiŋ1	
可	kʰə3	
台	tʰɛ2	
叱	tsʰɿ5	
史	sɿ3	
右	io5	
葉	iə1	
號	xɔ5	
司	sɿ1	
嘆	tʰæ̃5	
叼	tɔ1	
叼	tiɔ1	
嘰	tɕi1	
吃	tsʰɿ1	
各	kə1	
吆	iɔ1	
合	xə2	
吉	tɕi1	
吊	tiɔ5	
同	tʰuŋ2	
名	miŋ2	
后	xo5	
吏	li5	
吐	tʰu3	
嚇	ɕia5	
呂	lu3	
君	tɕyẽ1	
吞	tʰuẽ1	
吟	iẽ2	
吠	fi5	
否	fɔ3	
吨	tuẽ1	
吨	tuẽ5	
吩	fẽ1	
含	xæ̃2	
聽	tʰiŋ1	
吭	kʰəŋ1	
啓	tɕʰi3	
吱	tsɿ2	
吳	u2	
