#漢字	音標	解釋
□	tɛ3	无此字,字意为多
以	i3	
儀	i2	
仰	liã3	
仲	tʂoŋ5	
件	tɕiẽ5	
價	tɕio5	
任	ʐən2	姓
任	ʐən5	责~
份	fən5	
企	tɕʰi3	
伍	u3	
伎	tɕi5	
伏	fuˀ7	
伐	foˀ7	
休	ɕiəɯ1	
衆	tʂoŋ5	
優	iəɯ1	
伙	xʊ3	
會	kʰuɛ5	~计
傘	sã3	
偉	uəi3	
傳	tʂʰõ2	~达
傷	ʂã1	
倫	lən2	
僞	uəi3	
伯	pɛˀ7	
估	ku3	
伴	põ5	
伶	lin2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiẽ5	
但	tã5	
位	uəi5	
低	ti1	
住	tʂu5	
體	tʰi3	
何	xʊ2	
佘	ʂe2	
佚	iˀ7	
佛	fuˀ7	
作	tʂʊˀ7	
你	li3	
佣	ioŋ5	
佩	pʰəi5	
佯	iã2	
佳	tɕio1	
使	ʂʅ3	
侄	tʂʅˀ7	
侈	tʂʰʅ3	
例	li5	
供	koŋ5	
依	i1	
侶	li3	
偵	tʂən1	
側	tsʰɛˀ7	
侯	xəɯ2	
侵	tɕin1	
便	piẽ5	
便	pʰiẽ2	~宜
促	tsʰuˀ7	
俄	ʊ2	
俏	tɕʰiɔ5	
俗	suˀ7	
俚	li3	
保	pɔ3	
俞	i2	
儉	tɕiẽ3	
修	ɕiəɯ1	
俯	fu3	
俱	tɕi5	
俸	fən5	
倍	pəi5	
倒	tɔ3	
倒	tɔ5	~挂
倔	tɕieˀ7	
倘	tʰã3	
候	xəɯ5	
借	tɕie5	
倡	tʂʰã5	
倦	tɕiẽ5	
倩	tsʰiẽ5	
倪	li2	
債	tʂɛ5	
傾	tɕʰin1	
假	tɕio5	放~
假	tɕio3	真~
偏	pʰiẽ1	
做	tsʊ5	
停	tʰin2	
健	tɕiẽ5	
偶	əɯ3	
偷	tʰəɯ1	
償	tʂʰã2	
傅	fu5	
傍	pʰã2	
儲	tʂʰu2	
催	tsʰuəi1	
傲	ɔ5	
傻	ʂo3	
像	ɕiã5	
僚	liɔ2	
僧	sən1	
僵	tɕiã1	
僻	pʰiˀ7	
兒	ɚ2	
允	in3	
元	iẽ2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂɔ5	
先	siẽ1	
光	kuã1	
克	kʰɛˀ7	
免	miẽ3	
兑	tuəi5	
兔	tʰu5	
兗	iẽ3	
黨	tã3	
兜	təɯ1	
全	tɕʰiẽ2	
八	poˀ7	
公	koŋ1	
六	luˀ7	
蘭	lã2	
共	koŋ5	
關	kuã1	
兵	pin1	
其	tɕʰi2	
具	tɕi5	
典	tiẽ3	
養	iã3	
兼	tɕiẽ1	
獸	ʂəɯ5	
冀	tɕi5	
内	luəi5	
岡	kã3	
冉	ʐã3	
册	tsʰɛˀ7	
再	tsɛ5	
冒	mɔ5	
冗	ioŋ3	
寫	sie3	
軍	tɕin1	
農	loŋ2	
冠	kõ5	~军
冠	kõ1	衣~
冢	tʂoŋ3	
冤	iẽ1	
冥	min3	
冬	toŋ1	
馮	fən2	
冰	pin1	
冲	tʂʰoŋ1	
決	tɕieˀ7	
况	kʰuã5	
冶	ie3	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tʂuən3	
涼	liã2	
凋	tiɔ1	
減	tɕiẽ3	
湊	tsʰəɯ5	
凜	lin3	
凝	lin2	
几	tɕi3	~个
几	tɕi1	茶~
凡	fã2	
鳳	fən5	
凭	pʰin2	
凱	kʰɛ3	
凰	xuã2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰuˀ7	
凹	ɔ5	
擊	tɕiˀ7	
函	xã2	
鑿	tʂʊˀ7	
刀	tɔ1	
刁	tiɔ1	
切	tɕʰieˀ7	
刈	i5	
刊	kʰã3	
刎	uən2	
刑	ɕin2	
划	xuo2	~船
划	xuoˀ7	计~
列	lieˀ7	
劉	liəɯ2	
則	tʂɛˀ7	
剛	kã1	
創	tʂʰuã5	
初	tsʰʊ1	
删	ʂã1	
判	pʰõ5	
刨	pɔ5	
利	li5	
别	pieˀ7	
刮	kuoˀ7	
到	tɔ5	
制	tʂʅ5	
刷	ʂuo1	
券	tɕiẽ5	
刺	tsʰɿ5	
刻	kʰɛˀ7	
刴	tʊ5	
劑	tɕi5	
剃	tʰi5	
削	ʂʊˀ7	
前	tsʰiẽ2	
剮	kuo3	
劍	tɕiẽ5	
剔	tʰiˀ7	
剖	pʰʊ5	
剝	pʊˀ7	
劇	tɕi5	
剩	tsʰən5	
剪	tsiẽ3	
副	fu5	
割	kʊˀ7	
剿	tɕʰiɔ2	
劈	pʰiˀ7	
力	liˀ7	
勸	tɕʰiẽ5	
辦	pã5	
功	koŋ1	
加	tɕio1	
務	u5	
劣	lieˀ7	
動	toŋ5	
助	tsu5	
努	lu3	
劫	tɕieˀ7	
勵	li5	
勁	tɕin5	
勞	lɔ2	
勢	ʂʅ5	
勃	pʰʊˀ7	
勉	miẽ3	
勳	ɕin1	
勘	kʰã5	
募	mʊ5	
勤	tɕʰin2	
勺	ʂʊˀ7	
勾	kəɯ1	
匀	in2	
包	pɔ1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匕	pi5	
化	xuo5	
北	pɛˀ7	
匙	tʂʰʅ2	
匝	tsoˀ7	
匡	kʰuã1	
匣	xoˀ7	
匪	fəi3	
區	tɕʰi1	
醫	i1	
匾	piẽ3	
十	ʂʅˀ7	
千	tsʰiẽ1	
升	ʂən1	
午	u3	
半	põ5	
華	xuo2	
卑	pəi1	
卒	tsuˀ7	
卓	tʂʊˀ7	
單	tã1	
賣	mɛ5	
南	lã2	
博	pʊˀ7	
卜	pʰuˀ7	
卜	pʊˀ7	
卞	piẽ5	
卡	kʰo3	~车
卡	tɕʰio3	~住
盧	lu2	
卤	lu3	
卦	kuo5	
臥	ʊ5	
衛	uəi5	
卯	mɔ3	
印	in5	
危	uəi2	
即	tɕiˀ7	
卻	tɕʰiʊˀ7	
卵	lõ3	
卷	tɕiẽ3	~发
卷	tɕiẽ5	试~
卸	sie5	
卿	tɕʰin1	
廠	tʂʰã3	
厄	ʊˀ7	
廳	tʰin1	
历	li5	
厲	li5	
壓	ioˀ7	
厭	iẽ5	
廁	sɿ1	茅~
厚	xəɯ5	
原	iẽ2	
廂	ɕiã1	
厦	ɕio5	
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰi5	
縣	ɕiẽ5	
参	tsʰã1	
参	sən1	人~
又	iəɯ5	
叉	tʂʰo1	
及	tɕiˀ7	
友	iəɯ3	
雙	ʂuã1	
反	fã3	
发	foˀ7	
叔	ʂuˀ7	
取	tɕʰi3	
受	ʂəɯ5	
變	piẽ5	
敍	ɕi5	
叛	pʰõ5	
疊	tieˀ7	
古	ku3	
句	tɕi5	
另	lin5	
叩	kʰəɯ5	
只	tʂʅˀ7	
召	tʂɔ1	
叮	tin1	
可	kʰʊ3	
台	tʰɛ2	
叱	tʂʰʅˀ7	
史	ʂʅ3	
右	iəɯ5	
叵	pʰʊ3	
葉	ieˀ7	
號	xɔ5	
司	sɿ1	
嘆	tʰã5	
吃	tʂʰʅˀ7	
各	kʊˀ7	
合	xʊˀ7	
吉	tɕiˀ7	
吊	tiɔ5	
同	tʰoŋ2	
名	min2	
后	xəɯ5	
吏	li5	
吐	tʰu5	
嚇	xɛˀ7	
呂	li3	
吞	tʰən1	
吟	in2	
吠	fəi3	
否	fəi3	
吨	tən1	
吩	fən1	
含	xã2	
聽	tʰin1	
聽	tʰin5	~任
吭	kʰən1	
啓	tɕʰi3	
吱	tʂʅ1	
吳	u2	
吵	tʂʰɔ3	
吸	ɕiˀ7	
吹	tʂʰuəi1	
吻	uən2	
吼	xəɯ3	
呆	tɛ1	
呈	tʂʰən2	
告	kɔ5	
嘔	əɯ5	
員	iẽ2	
嗆	tɕʰiã5	
嗚	u1	
呢	li2	
周	tʂəɯ1	
味	uəi5	
呵	xʊ1	
呻	ʂən1	
呼	xu1	
命	min5	
咂	tsoˀ7	
和	xʊ2	
咎	tɕiəɯ5	
咒	tʂəɯ5	
嚨	loŋ2	
咨	tsɿ1	
咬	iɔ3	
咸	ɕiẽ2	
咽	iẽ5	
哀	ɛ1	
品	pʰin3	
哄	xoŋ3	
哈	xo1	
哉	tʂɛ1	
響	ɕiã3	
啞	io3	
譁	xuo2	
哥	kʊ1	
哪	lo3	
哭	kʰuˀ7	
哲	tʂɛˀ7	
哺	pʰu3	
哼	xən1	
哽	kən3	
唆	sʊ1	
脣	tʂʰən2	
唐	tʰã2	
喚	xõ5	
售	səi5	
唯	uəi2	
唱	tʂʰã5	
唳	li5	
唾	tʰu5	
啃	kʰən3	
啄	tʂuˀ7	
啄	tuˀ7	~米
商	ʂã1	
啖	tã5	
啤	pʰi2	
嗇	sɛˀ7	
嘯	ɕiɔ5	
啼	tʰi2	
喂	uəi5	
喉	xəɯ2	
喊	xã3	
喘	tʂʰõ3	
喜	ɕi3	
喝	xʊˀ7	
喧	ɕiẽ1	
噴	pʰən1	
喻	i5	
嘍	ləɯ2	
嗅	ɕiəɯ5	
嗓	sã3	
嗜	ʂʅ5	
嗡	oŋ1	
嗣	tsʰɿ2	
嗦	sʊˀ7	
嗽	səɯ5	
嘈	tsʰɔ2	
嘉	tɕio1	
嘘	ɕi1	
囑	tʂuˀ7	
嘴	tsuəi3	
嘻	ɕi1	
器	tɕʰi5	
噩	ʊˀ7	
嚎	xɔ2	
嚏	tʰi5	
嚷	ʐã1	
嚼	tʂʊˀ7	
囊	lã2	
囚	tɕʰiəɯ2	
四	sɿ5	
因	in1	
团	tʰõ2	
囤	tʰən2	
園	iẽ2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uəi2	
固	ku5	
國	kuɛˀ7	
圖	tʰu2	
圃	pʰu3	
圓	iẽ2	
圈	tɕʰiẽ1	圆~
圈	tɕiẽ5	猪~
土	tʰu3	
聖	ʂən5	
在	tsɛ5	
地	ti5	
場	tʂʰã3	
址	tʂʅ3	
坂	fã3	
均	tɕin1	
坊	fã1	
坍	tʰã1	
坎	kʰã3	
壞	xuɛ5	
坐	tsʊ5	
坑	kʰən1	
堅	tɕiẽ1	
坛	tʰã2	
壩	po5	
墳	fən2	
坡	pʰʊ1	
坤	kʰuən1	
坦	tʰã3	
坪	pʰin2	
坯	pʰəi1	
垂	tʂʰuəi2	
壟	loŋ3	
型	ɕin2	
垒	luəi3	
垜	tʊ3	
垠	in2	
垢	kəɯ5	
墾	kʰən3	
墊	tiẽ5	
垮	kʰuo3	
埂	kən3	
埋	mɛ2	
培	pʰəi2	
基	tɕi1	
堂	tʰã2	
堆	tuəi1	
墮	tʊ5	
堡	pɔ3	
堤	tʰi2	
堪	kʰã1	
堵	tu3	
塌	tʰoˀ7	
塑	su5	
塔	tʰoˀ7	
塘	tʰã2	
塞	sɛˀ7	
塞	sɛ5	要~
填	tʰiẽ2	
境	tɕin5	
墅	ʂu5	
墓	mʊ5	
牆	tɕʰiã2	
增	tsən1	
墟	ɕi1	
墨	mɛˀ7	
墩	tən1	
壁	piˀ7	
壕	xɔ2	
壤	ʐã3	
士	sɿ5	
壬	ʐən2	
壯	tʂuã5	
聲	ʂən1	
殼	kʰʊˀ7	
壺	xu2	
處	tʂʰu5	
備	pəi5	
复	fuˀ7	
夏	ɕio5	
夕	ɕiˀ7	
外	uɛ5	
多	tʊ1	
夜	ie5	
够	kəɯ5	
大	to5	
天	tʰiẽ1	
太	tʰɛ5	
夫	fu1	
夭	iɔ1	
央	iã1	
夯	xã1	
失	ʂʅˀ7	
頭	tʰəɯ2	
夷	i2	
夸	kʰuo1	
夾	tɕioˀ7	
奪	tʊˀ7	
奇	tɕʰi2	
奈	lɛ5	
奉	fən5	
奮	fən5	
奏	tsəɯ5	
契	tɕʰi5	
奔	pən1	
奕	iˀ7	
獎	tɕiã3	
套	tʰɔ5	
奠	tiẽ5	
奢	ʂe1	
奧	ɔ5	
女	li3	
奴	lu2	
奶	lɛ3	
奸	tɕiẽ1	
她	tʰo1	
好	xɔ3	
好	xɔ5	爱~
妃	fəi1	
妝	tʂuã1	
婦	fu5	
媽	mo1	
妊	ʐən5	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
妙	miɔ5	
妥	tʰʊ3	
妨	fã3	
妯	tʂuˀ7	
妹	məi5	
妻	tɕʰi1	
妾	tɕʰieˀ7	
姆	mu3	
姊	tsɿ3	
始	ʂʅ3	
姐	tsie3	
姑	ku1	
委	uəi3	
姗	ʂã1	
姘	pʰin1	
姚	iɔ2	
姜	tɕiã1	
姥	lɔ3	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uəi1	
娃	uo2	
婁	ləɯ2	
娘	liã2	
娟	tɕiẽ1	
娩	miẽ3	
娛	i2	
娶	tɕʰi3	
娼	tʂʰã1	
婆	pʰʊ2	
婉	õ3	
婊	piɔ3	
婚	xuən1	
婪	lã2	
嬰	in1	
嬋	tʂʰã2	
嬸	ʂən3	
婿	ɕi5	
媒	məi2	
媚	məi5	
媳	ɕiˀ7	
嫁	tɕio5	
嫂	sɔ3	
嫌	ɕiẽ2	
嫖	pʰiɔ2	
嫡	tiˀ7	
嫦	tʂʰã2	
嬉	ɕi1	
嬴	in2	
孀	ʂuã1	
子	tsɿ3	
孔	kʰoŋ3	
孕	in5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孚	fu2	
孜	tsɿ1	
孟	mən5	
季	tɕi5	
孤	ku1	
學	ɕiʊˀ7	
孩	xɛ2	
孿	lõ2	
孰	ʂuˀ7	
孳	tsɿ1	
孽	lieˀ7	
寧	lin2	
它	tʰo1	
宇	i1	
守	ʂəɯ3	
安	ã1	
宋	soŋ5	
完	õ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kõ1	
宙	tʂəɯ5	
定	tin5	
宛	õ3	
宜	i2	
寶	pɔ3	
實	ʂʅˀ7	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰɛˀ7	
宣	ɕiẽ1	
室	ʂʅˀ7	
宦	xõ5	
宪	ɕiẽ5	
宮	koŋ1	
宰	tsɛ3	
害	xɛ5	
宴	iẽ5	
宵	ɕiɔ1	
家	tɕio1	
容	ioŋ2	
寬	kʰõ1	
賓	pin1	
宿	suˀ7	
宿	ɕiəɯ5	星~
寂	tɕiˀ7	
寄	tɕi5	
寅	in2	
密	miˀ7	
寇	kʰəɯ5	
富	fu5	
寐	məi5	
寒	xã2	
寓	i5	
寢	tɕʰin3	
寞	mʊˀ7	
察	tsʰoˀ7	
寡	kuo3	
寨	tʂɛ5	大~
寸	tsʰən5	
對	tuəi5	
寺	sɿ5	
尋	ɕin2	
導	tɔ3	
壽	ʂəɯ5	
封	fən1	
射	ʂe5	
將	tɕiã1	~军
將	tɕiã5	~领
尉	uəi5	
尊	tsən1	
小	ɕiɔ3	
少	ʂɔ3	
尖	tsiẽ1	
塵	tʂʰən2	
尚	ʂã5	
嘗	tʂʰã2	
尤	iəɯ2	
堯	iɔ2	
就	tɕiəɯ5	
尺	tʂʰʅˀ7	
尼	li2	
尽	tɕin5	
尾	i3	
尿	suəi1	
局	tɕiˀ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	tɕi1	
屈	tɕʰiˀ7	
屉	tʰi5	
屆	tɕie5	
屌	tiɔ3	
屎	ʂʅ3	
屏	pʰin2	
展	tʂã3	
屬	ʂuˀ7	
屠	tʰu2	
屢	luəi3	
履	li3	
屯	tʰən2	
山	ʂã1	
歲	suəi5	
豈	tɕʰi3	
岔	tʂʰo5	
嵐	lã2	
島	tɔ3	
巖	ie2	
嶺	lin3	
岳	iʊˀ7	
岷	min2	
岸	ã5	
峙	tʂʰʅ5	
峽	ɕioˀ7	
巒	lõ2	
峨	ʊ2	
峭	tɕʰiɔ5	
峰	fən1	
峻	tɕin5	
崇	tsʰoŋ2	
崎	tɕʰi2	
崔	tsʰuəi1	
崖	ie2	
崩	pən1	
崽	tsɛ3	
嵋	məi2	
嵌	tɕʰiẽ5	
嵩	soŋ1	
巔	tiẽ1	
川	tʂʰõ1	
州	tʂəɯ1	
巡	ɕin2	
工	koŋ1	
左	tsʊ3	
巨	tɕi5	
鞏	koŋ3	
巫	u1	
差	tʂʰo1	~错
差	tʂʰɛ1	出~
己	tɕi3	
已	i3	
巴	po1	
巾	tɕin1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuɛ5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帖	tʰieˀ7	
帘	liẽ3	
帚	tʂəɯ3	
帛	pʊˀ7	
帝	ti5	
帶	tɛ5	
席	ɕiˀ7	
幫	pã1	
帷	uəi2	
常	tʂʰã2	
帽	mɔ5	
幅	fuˀ7	
幕	mʊ5	
干	kã1	
干	kã5	~活
平	pʰin2	
年	liẽ3	
并	pin5	
幻	xõ5	
幼	iəɯ5	
幽	iəɯ1	
廣	kuã3	
莊	tʂuã1	
慶	tɕʰin5	
牀	tʂʰuã2	
序	ɕi5	
廬	lu2	
庫	kʰu5	
應	in1	~当
應	in5	答~
底	ti3	
店	tiẽ5	
廟	miɔ5	
庚	kən1	
府	fu3	
龐	pʰã2	
廢	fəi5	
度	tu5	
座	tsʊ5	
庭	tʰin2	
庵	ã1	
康	kʰã1	
庸	ioŋ2	
廉	liẽ3	
廊	lã2	
廓	kuɛˀ7	
延	iẽ2	
廷	tʰin2	
建	tɕiẽ5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	loŋ5	
式	ʂʅ5	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弟	ti5	
張	tʂã1	
弥	mi2	
弦	ɕiẽ2	
弩	lu3	
彎	uã1	
弱	iʊˀ7	
彈	tʰã2	~琴
彈	tã5	子~
强	tɕʰiã2	
强	tɕiã5	倔~
强	tɕʰiã3	勉~
弼	piˀ7	
當	tã1	
當	tã5	上~
形	ɕin2	
彤	tʰoŋ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	pʰən2	
彰	tʂã1	
影	in3	
徹	tʂʰɛˀ7	
彼	pəi3	
往	uã3	
征	tʂən1	
待	tɛ5	
很	xən3	
律	liˀ7	
徐	tɕʰi2	
徒	tʰu2	
徒	ɕi3	
得	tɛˀ7	
徘	pʰɛ2	
御	i5	
循	ɕin2	
徬	pʰã2	~徨
微	uəi2	
德	tɛˀ7	
心	ɕin1	
必	piˀ7	
忌	tɕi5	
忍	ʐən3	
忏	tʂʰã5	
志	tʂʅ5	
忘	uã5	
忙	mã2	
忠	tʂoŋ1	
忡	tʂʰoŋ1	
憂	iəɯ1	
快	kʰuɛ5	
念	liẽ5	
忽	xuˀ7	
忿	fən5	
懷	xuɛ2	
態	tʰɛ5	
怎	tsən3	
怒	lu5	
怕	pʰo5	
怖	pu5	
憐	liẽ3	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕiˀ7	
怪	kuɛ5	
怯	tɕʰieˀ7	
總	tsoŋ3	
恃	tʂʰʅ5	
恐	kʰoŋ3	
恆	xən2	
恙	iã5	
恤	ɕiˀ7	
恨	xən5	
恩	ən1	
恭	koŋ1	
息	ɕiˀ7	
恰	tɕʰioˀ7	
懇	kʰən3	
恶	ʊˀ7	
惻	tsʰɛˀ7	
惱	lɔ3	
悉	ɕiˀ7	
悍	xã5	
悚	ʂoŋ3	
悟	u5	
悠	iəɯ1	
患	xõ5	
悦	ieˀ7	
憫	min3	
悲	pəi1	
悴	tsʰuəi5	
悸	tɕi5	
悼	tɔ3	
情	tɕʰin2	
驚	tɕin1	
惋	õ3	
惑	xuˀ7	
惕	tʰiˀ7	
惜	ɕiˀ7	
惦	tiẽ5	
懼	tɕi5	
慘	tsʰã3	
懲	tʂʰən2	
慚	tsʰã2	
慣	kuã5	
惰	tʊ5	
想	ɕiã3	
惶	xuã2	
惹	ʐɚ3	
愁	tsʰəɯ2	
愈	i2	
意	i5	
愚	i2	
感	kã3	
慍	in5	
愣	lən5	
憤	fən5	
願	iẽ5	
慈	tsʰɿ2	
慌	xuã1	
慎	ʂən5	
慕	mʊ5	
慢	mã5	
慨	kʰɛ3	
慰	uəi5	
慷	kʰã1	
憋	pieˀ7	
憎	tsən1	
憔	tɕʰiɔ2	
憧	tʂʰoŋ1	
懂	toŋ3	
懊	ɔ5	
懶	lã3	
懦	lʊ5	
戈	kʊ1	
戊	u5	
戌	ɕiˀ7	
戎	ioŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ʊ3	
戒	tɕie5	
或	xuˀ7	
戰	tʂã5	
戚	tɕʰiˀ7	
戟	tɕi3	
截	tɕieˀ7	
戮	luˀ7	
戮	tʂʰʊˀ7	
戴	tɛ5	
戶	xu5	
戾	li5	
房	fã2	
所	sʊ3	
扁	piẽ3	
扈	xu5	
手	ʂəɯ3	
才	tsʰɛ2	
扎	tʂoˀ7	
扑	pʰuˀ7	
扒	po1	
扒	pʰo2	~手
打	to3	
托	tʰʊˀ7	
扛	kʰã2	
扣	kʰəɯ5	
扦	tsʰiẽ1	
執	tʂʅˀ7	
捫	mən2	
掃	sɔ3	
揚	iã2	
扮	pã5	
扯	tʂʰe3	
擾	ʐɔ3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ʊˀ7	
找	tʂɔ3	
技	tɕi5	
抄	tʂʰɔ1	
把	po3	
抓	tʂuo1	
投	tʰəɯ2	
抖	təɯ3	
抗	kʰã5	
折	tʂɛˀ7	
撫	fu2	
抛	pʰɔ1	
摳	kʰəɯ1	
搶	tɕʰiã3	
護	xu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	moˀ7	
押	ioˀ7	
抽	tʂʰəɯ1	
拂	fu2	
擔	tã1	
擔	tã5	~子
拆	tʂʰɛˀ7	
拇	mu3	
拇	mʊ3	
拈	liẽ1	
拉	lo1	
拌	põ5	
拍	pʰɛˀ7	
拎	lin1	
拐	kuɛ3	
拒	tɕi5	
拓	tʰʊˀ7	
拔	poˀ7	
拖	tʰʊ1	
拘	tɕi1	
招	tʂɔ1	
拜	pɛ5	
擬	i3	
攏	loŋ3	
擁	ioŋ1	
攔	lã2	
擰	lin3	
撥	pʊˀ7	
擇	tsɛˀ7	
括	kuoˀ7	
拭	ʂʅ5	
拯	tʂən3	
拱	koŋ3	
拳	tɕʰiẽ2	
拷	kʰɔ3	
拼	pʰin1	
拾	ʂʅˀ7	
拿	lo2	
持	tʂʰʅ2	
挂	kuo5	
指	tʂʅ3	
按	ã5	
挑	tʰiɔ1	
挑	tʰiɔ3	
挖	uoˀ7	
摯	tʂʅ5	
擋	tã3	
擠	tɕi3	
挨	ɛ1	
挪	lʊ2	
挫	tsʰʊ5	
振	tʂən5	
挺	tʰin3	
挽	uã3	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tʂʊˀ7	
捎	ʂɔ1	
捏	lieˀ7	
捐	tɕiẽ1	
捕	pʰu3	
撈	lɔ2	
損	sən3	
換	xõ5	
搗	tɔ3	
捧	pʰən3	
据	tɕi5	
捱	ɛ2	
捶	tʂʰuəi2	
捷	tɕieˀ7	
捺	loˀ7	
捻	liẽ3	
掀	ɕiẽ1	
掂	tiẽ1	
授	ʂəɯ5	
掉	tiɔ5	
掌	tʂã3	
掏	tʰɔ1	
掐	tɕʰioˀ7	
排	pʰɛ2	
探	tʰã5	
接	tɕieˀ7	
控	kʰoŋ5	
推	tʰuəi1	
掩	iẽ3	
措	tsʰʊ5	
掬	tɕiˀ7	
掭	tʰiẽ5	
掮	tɕʰiẽ2	
擲	tʂʅˀ7	
撣	tã3	
揉	iəɯ2	
揍	tsəɯ5	
描	miɔ1	
提	tʰi2	
插	tʂʰoˀ7	
揖	iˀ7	
揣	tʂʰuɛ1	~摩
揣	tʂuɛ5	拿着
揩	kʰɛ1	
揪	tɕiəɯ1	
揭	tɕieˀ7	
援	iẽ2	
攬	lã3	
攙	tʂʰã1	
擱	kʊˀ7	
摟	ləɯ3	
搏	pʊˀ7	
搓	tsʰʊ1	
搜	səɯ1	
搞	kɔ3	
搪	tʰã2	
搬	pã1	
搭	toˀ7	
攜	ɕi1	
搽	tʂʰo2	
摆	pɛ3	
摇	iɔ2	
攤	tʰã1	
摘	tsɛˀ7	
摧	tsʰuəi1	
摩	mʊ2	
摸	mʊ1	
摸	mʊ2	
摹	mʊ2	
撇	pʰieˀ7	
撑	tʂʰən1	
撒	so3	~种
撕	sɿ1	
撞	tʂuã5	
撤	tʂʰɛˀ7	
撩	liɔ2	
撬	tɕʰiɔ5	
播	pʊ1	
撮	tsʰuˀ7	
撼	xã5	
擂	luəi2	
操	tʂʰɔ1	
擒	tɕʰin2	
擦	tsʰoˀ7	
攀	pʰã1	
攢	tsã3	
支	tʂʅ1	
收	ʂəɯ1	
改	kɛ3	
攻	koŋ1	
放	fã5	
政	tʂən5	
故	ku5	
敵	tiˀ7	
敏	min3	
救	tɕiəɯ5	
敖	ɔ2	
斂	liẽ5	
敝	pi5	
敞	tʂʰã3	
敢	kã3	
散	sã3	
散	sã5	分~
敦	tən1	
數	su3	动词
數	su5	名词
整	tʂən3	
敷	fu1	
文	uən2	
齋	tʂɛ1	
斑	pã1	
斗	təɯ3	
斗	təɯ5	~争
料	liɔ5	
斜	sie2	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅˀ7	
斧	fu3	
斬	tʂã3	
斷	tõ5	
斯	sɿ1	
新	ɕin1	
方	fã1	
施	ʂʅ1	
旁	pʰã2	
旅	li3	
旋	ɕiẽ2	
