#漢字	音標	解釋
㕶	ʔŋ̍5	兒語屎
㹙	ã5	小牛㹙
㿭	tsʰaʔ7	皴㿭
䬵	ɡᴇ6	打嗝
䶕	bo6	䶕牙
一	ieʔ7	
丁	tiŋ1	
七	tɕʰieʔ7	
丈	dʑiã6	
三	sɛ1	
上	ʒɔ̃6	
下	ɦo6	
不	paʔ7	
且	tsʰᴇ3	
丕	pʰᴇɪ1	
世	ɕi1	白讀
世	ʃʯ5	文讀
丘	tɕʰiu1	
丙	piŋ3	
丞	dʑiŋ2	
丟	tiu1	
並	biŋ6	並且
丫	o1	丫頭
中	tʃoŋ1	中心
中	tʃoŋ5	射中
丰	foŋ1	
串	tʃʰø5	
丸	ɦuø6	
丸	ɦyø6	
丹	tɛ1	
主	tʃʯ3	
乃	nɛ6	
久	tɕiu3	
之	tsɿ1	
乍	tso5	忽然
乍	dzo2	乍浦
乎	vu2	
乏	vaʔ8	
乖	huɛ1	
乘	dʑiŋ2	
乙	ieʔ7	
九	tɕiu3	
乞	tɕʰieʔ7	
也	ɦia6	白讀
也	ɦiᴇ6	文讀
乳	ʒʯ2	
乾	dʑiɪ2	
亂	lø6	
了	lio2	來了
了	lᴇɪ2	算了
予	ɦy6	
事	zɿ6	
二	ȵi6	白讀
二	l̩6	文讀
于	y1	
云	ɦyoŋ2	
互	vu6	
五	vu6	文讀
五	ŋ̍2	白讀
井	tɕiŋ3	
亞	ia5	
亡	vɔ̃6	
亢	kʰɔ̃1	
交	tɕio1	文讀
交	kɔ1	白讀
亥	ɦᴇ6	
亦	ɦieʔ8	
亨	hã1	
享	ɕiã1	
京	tɕiŋ1	
亭	diŋ2	
亮	liã6	文讀
亮	ȵiã2	白讀 天亮
人	ȵiŋ2	白讀
人	ʒøŋ2	文讀
什	ʒøʔ8	
仁	ȵiŋ2	白讀
仁	ʒøŋ2	文讀
仄	tsaʔ7	
仆	pʰoʔ7	前仆後繼
仇	dʑiu2	
今	tɕiŋ1	
介	ka5	白讀
介	tɕiᴇ5	文讀
仍	dʑiŋ2	
仕	zɿ6	
他	tʰa1	
仗	tɕiã5	打仗
仗	dʑiã6	依仗
付	fu5	
仙	ɕiɪ1	
仞	ʒøŋ2	
代	dᴇ6	
令	liŋ6	
以	i3	
仰	ȵiã6	
仲	dʒoŋ6	
件	dʑiɪ2	
任	ȵiŋ6	白讀
任	ʒøŋ6	文讀
份	vəŋ6	
仿	fɔ̃3	
企	tɕʰi3	
伊	i1	
伍	vu6	
伏	boʔ8	白讀
伏	voʔ8	文讀
伐	vaʔ8	
休	ɕiu1	
伙	haʊ3	
伯	pã1	兒化變讀 伯伯
伯	paʔ7	
估	ku3	
伴	bø2	
伶	liŋ2	
伸	ʃøŋ1	
伺	zɿ6	
似	zɿ6	
佃	diɪ2	
但	dɛ6	
位	ɦuᴇɪ6	
低	ti1	
住	dʒʯ2	
