#漢字	音標	解釋
□	kʰɪŋ2	凝結成凍了
㪗	tʰɐu3	
㿭	tsʰak7b	
一	jɐt7a	
丁	tɪŋ1	
七	tsʰɐt7a	
丈	tsɛŋ2	
三	sam1	
上	sɛŋ2	~面
上	sɛŋ3	~落
下	ha2	
不	pɐt7a	
丐	kʰɔi5	
丑	tsʰɐu3	
且	tsʰɛ3	
丕	pʰei1	
世	sɐi5	
丘	jɐu1	
丙	pɪŋ3	
丞	sɪŋ2	
丢	tiu1	
並	pɪŋ5	
丫	ŋa1	
中	tsuŋ5	~奖
中	tsuŋ1	~国
串	tsʰin5	
丸	jin2	
丹	tan1	
主	tsi3	
乃	lai3	
久	kɐu3	
之	tsi1	
乎	fu1	
乏	fat8	a、ɐ之間
乖	kwai1	
乘	sɪŋ2	
乙	jit7b	
九	kɐu3	
乞	hɐt7a	
也	ja3	
乳	jui3	
乾	kɔn1	
乾	kʰin2	
亂	lin2	
了	liu3	
予	ji3	
爭	tsaŋ1/tsɐŋ1	
事	si2	
二	ji2	
于	ji1	
云	wɐn2	
互	fu2	
五	ŋ̍3	
井	tsɛŋ3	
些	sɛ1	
亞	a5	
亡	mɔŋ2	
交	kau1	
亥	hɔi2	
亦	jɪk8	
亨	hɐŋ1	
享	hɛŋ3	
京	kɪŋ1	
亭	tʰɪŋ2	
亮	lɵŋ2/lɵŋ5	
人	jɐn2	
什	sɐp8	
仁	jɐn2	
仆	pʰuk7a	
仇	sɐu2	
今	kɐm1	
介	kai5	
仍	jɪŋ2	
仕	si2	
他	tʰa1	
仗	tsɵŋ5/tsɵŋ2	
付	fu2	
仙	sin1	
代	tɔi2	
令	lɪŋ2	
以	ji3	
仰	jɵŋ3	
仲	tsuŋ2	
件	kin2	
任	jɐm2	
份	fɐn2	
仿	fɔŋ3	
企	kʰei3	
伊	ji1	
伍	ŋ̍3	
伏	fuk8	
伐	fat8/fɐt8	
休	jɐu1	
伙	fɔ3	
伯	pak7b	
估	ku1	
伴	pʰun3	
伶	lɪŋ2	
伸	sɐn1	
伺	si2	
似	tsʰi5	
但	tan2	
佈	pou5	
位	wɐi2	
低	tɐi1	
住	tsi2	
佐	tsɔ3	
佔	tsim5	
何	hɔ2	
佘	sɛ2	
余	ji2	
佛	fɐt8	
作	tsɔk7b	
佝	kʰɐu1	
佞	lɪŋ2	
你	lei3	
佢	kʰei5	
佩	pʰui5	
佳	kai1	
併	pɪŋ5/pʰɪŋ5	
使	sɐi3/si3	
侄	tsɐt8	
來	lɔi2	
例	lɐi2	
侍	si2	
供	kuŋ1	
依	ji1	
侮	mu3	
侯	hɐu2	
侵	tsʰɐm1	
便	pin2	
便	pʰɛŋ2	~宜
係	hɐi2	
促	tsʰuk7a	
俄	ɔ3/ɔ2	
俊	tsɐn5	
俗	suk8	
俘	fu1	
保	pou3	
信	sɐn5	
修	sɐu1	
俯	fu3	
俱	kei2	
俸	fuŋ2	
俾	pei3	
倉	tsʰɔŋ1	
個	kɔ5	
倍	pʰui3	
倒	tou3	
倔	kwɐt8	
候	hɐu2	
倚	ji3	
借	tsɛ5	
倡	tsʰɵŋ1	
倣	fɔŋ3	
倫	lɐn2	
倭	wɔ1	
值	tsɪk8	
假	ka3	真~
假	ka5	放~
偉	wɐi3	
偏	pʰin1	
做	tsou2	
停	tʰɪŋ2	
健	kin2	
側	tsɐk7a	
偵	tsɪŋ1	
偶	ŋɐu3	
偷	tʰɐu1	
傅	fu2	
傍	pʰɔŋ2	
傑	kit8	
傘	san5	
備	peɐi2	
傢	ka1	
催	tsʰui1	
傲	aɐu2	
傳	tsʰin2	~達
傳	tsʰin5	~奇
債	tsai5	
傷	sɵŋ1	
傻	sɔ2	
傾	kʰɪŋ1	
僅	kɐn3	
像	tsɵŋ2	
僑	kʰiu2	
僕	puk8	
僞	ŋɐi2/wɐi2	
僥	hiu3/hiu1	
僧	tsɐŋ1	
僵	kɵŋ1	
價	ka5	
僻	pʰɪk7a	
儀	ji2	
億	jɪk7a	
儉	kin2	
儒	ji2	
儘	kɐn3	
償	sɛŋ2	
優	jɐu1	
儲	tsʰi5/tsʰi3	
允	wɐn3	
元	jin2	
兄	hɪŋ1	
充	tsʰuŋ1	
兆	siu2/tsʰiu2	
兇	huŋ1	
先	sin1	
光	kɔŋ1	
克	hɐk7a	
免	min3	
兑	tui5	
兒	ji2	
兔	tʰu5	
兜	tɐu1	
入	jɐp8	
全	tsʰin2	
兩	lɵŋ2	
兩	lɵŋ3	
八	pat7b	
公	kuŋ1	
六	luk8	
共	kuŋ2	
兵	pɪŋ1	
其	kʰei2	
具	kei2	
典	tin3	
兼	kim1	
内	lɔi2	
册	tsʰɐk7b	
再	tsui5	
冒	mou2	
冠	kun5	
冠	kun1	
冤	jin1	
冬	tuŋ1	
冰	pɪŋ1	
况	kʰɔŋ5	
冷	laŋ3	
淨	tsɛŋ2	
凄	tsʰɐi1	
準	tsɐn3	
涼	lɵŋ2	
凋	tiu1	
凌	lɪŋ2	
凍	tuŋ5	
減	kam3	
凝	lɪŋ2	
几	kei1	
凡	fan2	
凰	wɔŋ2	
凱	hɔi3	
凳	tɐŋ5	
凶	huŋ1	
出	tsʰɐt7a	
函	hɐm2	
刀	tɐu1	
刁	tiu1	
刃	jɐn2	
分	fɐn1	
切	tsʰit7b	
刊	hɔn3	
刑	jɪŋ2	
划	kwɐt8	~船
列	lit7b	
初	tsʰɔ1	
删	san1	
判	pʰun5	
刨	pʰau2	
利	lei2	
别	pit8	
刮	kwat7b	
到	tou5	
制	tsɐi5	
刷	tsʰat7b	
券	kin5	
刺	tsʰi5	
刻	hɐk7a	
刴	tɔ5	
剃	tʰɐi5	
則	tsɐk7a	
削	sɵk7b	
前	tsʰin2	
剔	tʰɪk7a	
剖	pʰou3/pɐu3	
剛	kɔŋ1	
剝	mɔk7b/mɔk7a	
剩	tsɪŋ2	
剪	tsin3	
剮	kwa3	
副	fu5	
割	kɔt7b	
創	tsʰɔŋ5	
剿	tsiu3	
劃	wak8	
劄	tsat7b	
劇	kʰɛk8	戲~
劇	kʰɛk8	~烈
劈	pʰɛk8/pʰɛk7b	
劉	lɐu2	
劊	kʰui3	
劍	kim5	
劑	tsɐi1	
力	lɪk7b	
功	kuŋ1	
加	ka1	
劣	lit7b	
助	tsɔ2	
努	lou3	
劫	kip7b	
勁	kɪŋ2	
勃	put8	
勇	juŋ3	
勉	min3	
勒	lɐk8	
動	tuŋ2	
勘	hɐm5	
務	mou2/mu2	
勝	sɪŋ5	~任
勝	sɪŋ5	~利
勞	lɐu2	
募	mou2/mu2	
勢	sɐi5	
勤	kʰɐn2	
勳	fɐn1	
勵	lɐi2	
勸	hin5	
勾	ŋɐu1	
勿	mɐt8	
匀	wɐn2	
包	pau1	
匈	huŋ1	
化	fa5	
北	pɐk7a	
匙	si2	
匠	tsɵŋ2	
匡	hɔŋ1	
匣	kap8	
匪	fei3	
匯	wui2	
匹	pʰɐt7a	
匾	pɛn3	
區	kʰei1	
區	ŋɐu1	
十	sɐp8	
千	tsʰin1	
升	sɪŋ1	
午	ŋ̍3	
半	pun5	
卑	pei1	
卒	tsɐt7a	
卓	tsʰɵk7b	
協	hip8	
南	lam2	
博	pɔk7b	
卜	puk7a	
占	tsim1	
卦	kwa5	
臥	ŋɔ2	
卯	mau3	
印	jɐn5	
危	ŋɐi2	
即	tsɪk7a	
卻	kʰɛk7b	
卵	lin3	
卷	kin3	
卸	sɛ5	
卿	hɪŋ1	
厚	hɐu3	
原	jin2	
廁	tsʰi5	
廂	sɛŋ1	
厦	ha2	
厦	ha2	~门
廚	tsʰi2	
厭	jim5	
厲	lei2	
去	hei5	
參	tsʰam1	~加
參	tsʰam1	人~
參	sɐm1	人~
又	jɐu2	
叉	tsʰa1	
及	kɐp8	
友	jɐu3	
反	fan3	
叔	suk7a	
取	tsʰui3	
受	sɐu2	
敍	tsui2	
叛	pʰun5	
叢	tsʰuŋ2	
口	hɐu3	
古	ku3	
句	kei5	
另	lɪŋ2	
叨	tɐu1	
叩	kʰɐu5	
只	tsi3	
叫	kiu5	
召	tsiu1/tsiu2	
叮	tɪŋ1	
可	hɔ3	
台	tʰɔi2	
史	si3	
右	jɐu2	
司	si1	
吁	ji2	
吃	hɛk7b	
各	kɔk7b	
合	hap8	
吉	kɐt7a	
吊	tiu5	
同	tʰuŋ2	
名	mɛŋ2/mɪŋ2	
后	hɐu2	
吏	lei2	
吐	tʰu5	
向	hɵŋ5/hɔŋ5	
呂	lui3	
君	kwɐn1	
吞	tʰɐn1	
吟	jɐm2	
吠	fei2	
否	fɐu3	
吧	pa1	
吩	fɐn1	
含	hɐm2	
吳	ŋ̍2	
吵	tsʰau3	
吸	kʰɐp7a	
吹	tsʰui1	
吻	mɐn3	
吼	kʰuŋ3	
呈	tsʰɪŋ2	
告	kou5	
周	tsɐu1	
味	mei2	
呼	fu1	
命	mɛŋ2/mɪŋ2	
咎	kɐu5	
咐	fu5	
咒	tsɐu5	
咨	tsi1	
咬	ŋau3	
咳	kɐt7a	
咸	ham2	
咽	jin1	
哀	ŋɔi1	
品	pʰɐn3	
哄	huŋ3	
員	jin2	
哥	kɔ1	
哨	sau5	
哪	la2	
哭	huk7a	
哲	tsit7b	
哼	hɐŋ1	
哽	kʰɐŋ3	
唆	sɔ1	
脣	tsʰɐn2	
唐	tʰɔŋ2	
喚	wun2	
售	sɐu2	
唯	wɐi2	
唱	tsʰɵŋ5	
唾	tʰu5	
啄	tsɔk8	
商	sɵŋ1	
問	mɐn2	
啓	kʰɐi3/kʰai3	
啞	ŋa3	
啼	tʰɐi2	
善	sin2	
喉	hɐu2	
喊	ham5	
喘	tsʰin3	
喜	hei3	
喝	hɔt7b	
喪	sɔŋ5	
喬	kʰiu2	
單	tan1	
喻	ji2	
嗅	tsʰɐu5	
嗉	su5	
嗓	sɔŋ1	
嗜	si2	
嗽	sɐu5	
嘉	ka1	
嘔	ŋɐu3	
嘗	sɛŋ2	
嘮	lou2	
嘴	tsui3	
器	hei5	
噴	pʰɐn5	
嚇	hak7b	
嚥	jin1	
嚴	jim2	
嚷	jɛŋ3	
囂	hiu1	
囉	lɔ1	~唆
囊	lɔŋ2	
囑	tsuk7a	
囚	tsʰɐu2	
四	sei5	
回	wui2	
因	jɐn1	
囤	tʰin2	
囱	tsʰuŋ1	
困	kwʰɐn5	
固	ku5	
圈	hin1	
圈	kʰin1	
國	kɔk7b	
圍	wɐi2	
園	jin2	
圓	jin2	
圖	tʰu2	
團	tʰin2	
土	tʰou3	
在	tsɔi2	
圭	kwɐi1	
地	tei2	
圳	tsɐn5	
址	tsi3	
均	kwʰɐn1	
坊	fɔŋ1	
坍	tʰan1	
坎	hɐm5	
坐	tsʰɔ3	
坑	haŋ1	
坡	pʰɔ1	
坤	kwʰɐn1	
坦	tʰan3	
坪	pʰɪŋ2	
坯	pʰei1	
坳	ŋau5	
坼	tsʰak7b	
垂	sui2	
垃	lap8	
型	jɪŋ2	
垮	kwʰa1	
垻	pa5	
埃	ai1	
埋	mai2	
城	sɪŋ2	
域	wɪk8	
埠	fɐu2	
執	tsɐp7a	
培	pʰui2	
基	kei1	
堂	tʰɔŋ2	
堅	kin1	
堆	tui1	
堡	pou3	
堤	tʰɐi2	
堪	hɐm1	
堯	jiu2	
堰	jin5	
報	pou5	
場	tsʰɵŋ2	
堵	tu3	
塊	fai5	
塋	jɪŋ2	
塌	tʰap7b	
塑	sɔk7b	
塔	tʰap7b	
塗	tʰou2	
塘	tʰɔŋ2	
塞	tsʰɔi5/sɐk7a	
塢	wu1	
填	tʰin2	
塵	tsʰɐn2	
境	kɪŋ3	
墊	tʰim3	
墓	mou2	
墜	tsui2	
增	tsɐŋ1	
墟	hei1	
墨	mɐk8	
墩	tɐn1	
墳	fɐn2	
墾	hɐn3/hɐŋ3	
壁	pɛk7b	
壅	uŋ1	
壇	tʰan2	
壓	ŋat7b/at7b	
壕	hou2	
壘	lui3	
壞	wai2	
壟	luŋ3	
壤	jɛŋ3	
壩	pa5	
士	si2	
壬	jɐm2	
壯	tsɔŋ5	
壹	jɐt7a	
壺	wu2	
壽	sɐu2	
夏	ha2	
夕	tsɪk8	
外	ŋɔi2	
多	tɔ1	
夜	jɛ2	
够	kɐu5	
夢	muŋ2	
夥	fɔ3	
大	tai2	
天	tʰin1	
太	tʰai5	
夫	fu1	
夭	jiu1	
央	jɵŋ1	
失	sɐt7a	
夷	ji2	
夾	kap8	
奇	kʰei2	
