#漢字	音標	解釋
㞞	soŋ2	精液
一	i5	
七	tɕʰi5	
万	uan6	
丈	tʂaŋ6	单位
三	san1	
上	ʂaŋ6	
下	xa6	
下	ɕia6	方位
世	ʂʅ5	
丘	tɕʰiu1	
業	ȵiɛ5	
東	toŋ1	
絲	sɿ1	
兩	ȵiaŋ3	~个
嚴	ȵian2	
个	ko5	一~
中	tʂoŋ1	~秋
主	tʂʯ3	
烏	u1	
九	tɕiu3	
習	ɕi5	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	nan6	
爭	tsən1	
事	sɿ6	
二	ɚ6	
虧	kʰui1	
雲	ʯən2	
五	u3	
井	tɕin3	
交	tɕiau1	
產	tsʰan3	
親	tɕʰin1	~戚
从	tsʰoŋ2	介词
倉	tsʰaŋ1	
件	tɕian6	
任	ʐən5	责~
份	xun6	
休	ɕiəu1	
衆	tʂoŋ5	
會	xui6	开~
傘	san3	
傷	ʂaŋ1	
伴	pan6	
伸	ʂən1	
位	uei6	
低	ti1	
佛	xu6	
作	tso5	
侄	tʂʅ6	
依	i1	
側	tsʰɛ5	
便	pian6	方~
俗	səu6	
修	ɕiu1	
借	tɕiɛ5	
值	tʂʅ6	
假	tɕia3	真~
偷	tʰəu1	
像	ɕiaŋ6	
僻	pʰi5	
兒	ɚ2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
先	ɕian1	
光	kuaŋ1	
黨	taŋ3	
八	pa5	
六	nəu5	
共	koŋ6	
關	kuan1	~门
興	ɕin1	振~
兵	pin5	
典	tian3	
養	iaŋ3	
兼	tɕian1	
册	tsʰɛ5	
寫	ɕiɛ3	
軍	tʂʯən1	
農	noŋ2	
冤	ʯan1	
冬	toŋ1	
馮	xoŋ2	
冰	pin1	
準	tsən3	
減	tɕian3	
湊	tsʰəu5	
几	tɕi3	~个
出	tʂʰʯ5	
擊	tɕi5	
鑿	tsʰo6	
刀	tau1	
切	tɕʰiɛ5	
划	xua6	
初	tsʰəu1	
删	san1	
别	piɛ6	特~
刮	kua5	
到	tau5	
刷	ʂʯa5	
刺	tsʰɿ5	
刻	kʰɛ5	
削	ɕio5	
前	tɕʰian2	
剝	po5	
劇	tʂʯ6	
割	ko5	
力	ni5	
勸	tʂʰʯan5	
辦	pan6	
加	tɕia1	
動	toŋ6	
劫	tɕʰiɛ5	
劫	tɕiɛ5	
勁	tɕin5	有~
勤	tɕʰin2	
匀	ʯən2	
北	pɛ5	
匠	tɕiaŋ6	
匹	pʰi5	
區	tʂʰʯ1	
醫	i1	
十	ʂʅ6	
千	tɕʰian1	
升	ʂən1	单位
半	pan5	
卒	tsəu5	
單	tan1	简~
賣	mai6	
南	nan2	
印	in5	
卵	nan3	
卷	tʂʯan3	~起
厭	ian5	
厚	xəu6	
廚	tʂʰʯ2	
去	tʂʰʯ5	来~
縣	ɕiɛn6	
参	sən1	人~
雙	ʂʯaŋ1	
反	xuan3	
叔	ʂəu5	
取	tɕʰi3	
受	ʂəu6	
變	pian5	
疊	tiɛ5	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
叫	tɕiau5	
台	tʰai2	戏~
右	iəu6	
葉	iɛ5	
號	xau6	
吃	tʂʰʅ5	
各	ko5	
吉	tɕi5	
名	min2	
后	xəu6	
向	ɕiaŋ5	
吞	tʰən1	
含	xan2	
聽	tʰin1	
吳	u2	
吹	tʂʰʯei1	
告	kau5	
周	tʂəu1	
咒	tʂəu5	
咸	xan2	~味
品	pʰin3	
啞	ŋa3	
啞	ia3	
脣	tʂʰʯən2	
唱	tʂʰaŋ5	
啼	tʰi2	
善	ʂan6	
喜	ɕi3	
嘴	tsei3	
嚼	ɕio6	
四	sɿ5	
回	xui2	
園	ʯan2	
困	kʰun5	~倦
圍	uei2	
國	kuɛ5	
土	tʰəu3	
在	tsai6	
地	ti6	天~
均	tʂʯən1	
坐	tso6	
坑	kʰən1	
塊	kʰuai5	
埂	kən3	
城	tʂʰən2	
域	ʯ5	
基	tɕi1	
堆	tei1	
塔	tʰa5	
塞	sai5	
塞	sɛ5	
牆	tɕʰiaŋ2	
墨	mɛ5	
壁	pi5	
壯	tʂʯaŋ5	
聲	ʂən1	
殼	kʰo5	
外	uai6	
多	to1	
够	kəu5	
大	ta6	~小
天	tʰian1	
頭	tʰəu2	脑袋
奪	to6	
女	ɳʯ3	女儿
奶	nai3	乳
奸	tɕian1	
好	xau3	形容词，~坏
妖	iau1	
妹	mei6	
姊	tsɿ3	
姓	ɕin5	
姜	tɕiaŋ1	
姨	i2	
娘	ȵiaŋ2	
婆	pʰo2	
婿	ɕi5	
嫁	tɕia5	
嫖	pʰiau2	~赌
嫩	nən6	
子	tsɿ3	
字	tsɿ6	
存	tsʰən2	
孫	sən1	
孝	ɕiau5	
孟	moŋ6	
學	ɕio6	
宅	tsɛ6	
安	ŋan1	
宋	soŋ5	
宗	tsəŋ1	
定	tin6	
寶	pau3	
實	ʂʅ6	
客	kʰɛ5	
害	xai6	
容	ioŋ2	
寬	kʰuan1	
寄	tɕi5	
密	mi5	
富	xəu5	
寒	xan2	
寢	tɕʰin3	
寡	kua2	
對	tei5	
尋	ɕin2	
射	ʂɛ6	
少	ʂau3	多~
尖	tɕian1	
嘗	ʂaŋ2	
尺	tʂʰʅ5	
尾	uei3	~巴
局	tʂʯ6	
層	tsʰən2	
屈	tʂʰʯ5	
屋	u5	
山	ʂan1	
歲	sei5	
嶺	ȵin3	
岸	ŋan6	
峽	ɕia6	
工	koŋ1	
左	tso3	
巾	tɕin1	
市	ʂʅ6	
布	pu5	
帥	ʂʯai5	
師	ʂʅ1	
帳	tʂaŋ5	蚊~
帘	nian2	
帚	tʂəu3	
帶	tai5	名词
席	ɕi6	
幫	paŋ1	
帽	mau6	
平	pʰin2	
年	ȵian2	
幽	iəu1	
慶	tɕʰin5	
牀	tʂʰʯaŋ2	
應	in5	~答
店	tian5	
廟	miau6	
庵	ian1	
延	ian2	
建	tɕian5	
開	kʰai1	
弓	koŋ1	
引	in3	
弟	ti6	
張	tʂaŋ1	量
弦	ʂʯan2	
彎	uan1	
弱	ʐo5	
歸	kui1	
當	taŋ5	~铺
形	ɕin2	
彭	pʰən2	
影	in3	
役	ʯ5	
律	ȵi5	
徐	ɕi2	
得	tɛ5	
心	ɕin1	
憶	in5	
忙	maŋ2	
快	kʰuai5	
念	ȵian6	
忽	xu5	
懷	xuai2	
急	tɕi5	
怨	ʯan5	
怪	kuai5	
恨	xən6	
恩	ŋən1	
恭	koŋ5	
息	ɕi5	
恶	ŋo5	形容词
惜	ɕi5	
愁	tʂʰəu2	
感	kan3	
慌	xuaŋ1	
慢	man6	
懂	toŋ3	
我	ŋo3	
戒	tɕiɛi5	
或	xuɛ6	
戰	tʂan5	
戚	tɕʰi5	
截	tɕiɛ5	
戳	tʂʰo5	
戴	tai5	动词
房	uaŋ2	
扁	pian3	
扇	ʂan5	名词
手	ʂəu3	
打	ta3	
托	tʰo5	
掃	sau3	动词
扶	xu2	
承	tʂʰən2	
技	tɕi6	
抓	tʂʯa1	~牌
抗	kʰaŋ5	
折	ʂɛ6	~本
搶	tɕʰiaŋ3	
報	pau5	
抱	pau6	
抽	tʂʰəu1	
擔	tan5	名词
拆	tsʰɛ5	
拔	pa6	
拖	tʰo1	
拜	pai5	
攔	nan2	
撥	po5	
拳	tʂʰʯan2	
挂	kua5	
指	tʂʅ3	
挖	ua5	
挾	tɕia5	~菜
捏	ȵiɛ5	
換	xuan6	
掀	ɕian1	
掌	tʂaŋ3	
排	pʰai2	
接	tɕiɛ5	
插	tsʰa5	
揖	i5	作~
搓	tsʰo1	
搬	pan1	
摆	pai3	
摘	tʂɛ5	
撑	tsʰən1	
撒	san6	
撞	tʂʯaŋ6	
撤	tʂʰɛ5	
撮	tso5	
擦	tsʰa5	
攀	pʰan1	
改	kai3	
放	xuaŋ5	
敵	ti6	
敢	kan3	
數	səu3	动词
數	səu5	名词
敲	tɕʰiau1	
文	uən2	
齋	tsai1	
斗	təu3	一~
料	ȵiau6	
斜	ɕiɛ2	
斤	tɕin1	~两
斧	xu3	
斷	tan6	
新	ɕin1	
方	xuaŋ1	
族	tsʰəu6	
旗	tɕʰi2	
無	u2	
日	ɚ5	~头
舊	tɕiu6	
早	tsau3	
時	ʂʅ2	
旺	uaŋ5	
昏	xun1	
春	tʂʰʯən1	
是	ʂʅ6	
晝	tʂəu5	
曬	sai5	
晴	tɕʰin2	
暗	ŋan5	
曆	ni5	
曲	tʂʰʯ5	~折
更	kən1	三~
月	ʯɛ5	
有	iəu3	
朋	pʰoŋ2	
服	xu6	
望	uaŋ6	
木	mu5	
未	uei6	
末	mo5	
本	pən3	
朮	ʂʯ5	白~
殺	ʂa5	
雜	tsa5	
李	ni3	姓
村	tsʰən1	
條	tʰiau2	
來	nai2	
杯	pei1	
杰	tɕiɛ6	
松	soŋ2	~树
板	pan3	
極	tɕi6	
林	ȵin2	
果	ko3	
柄	pin5	
染	ʯan3	
櫃	kui6	
查	tʂʰa2	调~
柱	tʂʯ6	
柴	tsʰai2	
柿	ʂʅ6	
樹	ʂʯ6	
栗	ni5	
樣	iaŋ6	
核	xɛ6	~桃
根	kən1	
格	kɛ5	
桂	kui5	
桃	tʰau2	
桌	tʂo5	
桑	saŋ1	
橋	tɕʰiau2	
樁	tʂʯaŋ1	
桶	tʰoŋ3	
夢	moŋ6	
梨	ȵi2	
梯	tʰi1	
梳	səu1	
棉	mian2	
棒	paŋ6	
棕	tsoŋ1	
棚	pʰoŋ2	
棵	kʰo1	
椅	i3	
榖	ku5	
榜	paŋ3	
槌	tʂʰʯei2	
橫	xun6	
橘	tʂʯ5	
欠	tɕʰian5	
歡	xuan1	
欣	ɕin1	
歇	ɕiɛ5	
歌	ko1	
正	tʂən5	~反
步	pu6	
歪	uai1	
死	sɿ3	
殿	tian6	
母	mu3	
毒	təu6	
毛	mau2	
民	min2	
气	tɕʰi5	
水	ʂʯ3	
永	ʯən3	
汁	tʂʅ5	
漢	xan5	
汗	xan6	
江	tɕiaŋ1	
池	tʂʰʅ2	
沉	tʂʰən2	
沙	ʂa1	
油	iəu2	
泉	tɕʰian2	
法	xua5	
泥	ȵi2	
淚	nei6	
洗	ɕi3	
洞	toŋ6	
津	tɕin1	
活	xo6	
流	ȵiu2	
淺	tɕʰian3	
漿	tɕiaŋ1	
濃	noŋ2	
浙	tʂɛ5	
浪	naŋ6	
浮	xu2	
浴	ʯ5	
海	xai3	
浸	tɕʰin5	
涂	tʰəu2	
消	ɕiau1	
涉	ʂɛ5	
澀	sɛ5	
淡	tan6	
深	ʂən1	
添	tʰian1	
清	tɕʰin1	
淵	ʯan1	
溫	uən1	
渴	kʰo5	
湖	xu2	
源	ʯan2	
溪	tɕʰi1	
滑	xua6	
滚	kun3	
滿	man3	
滴	ti5	
漏	nəu6	
潭	tʰan2	
灌	kuan5	
火	xo3	
滅	miɛ5	
燈	tən1	
灰	xui1	
靈	ȵin2	
竈	tsau5	
災	tsai1	
炒	tsʰau3	
炭	tʰan5	
炮	pʰau5	
爛	nan6	
烘	xoŋ1	
燭	tʂəu5	
烟	ian1	
燒	ʂau1	
燙	tʰaŋ5	
熱	ʐɛ5	
焦	tɕiau1	
煎	tɕian1	
煤	mei2	
照	tʂau5	
煮	tʂʯ3	
熏	ʂʯən1	
熟	ʂəu6	
熬	ŋau2	
燕	ian5	~子
爬	pʰa2	
愛	ŋai5	
爺	iɛ2	父
片	pʰian5	
牌	pʰai2	
牙	ŋa2	
牙	ia2	
牛	ȵiu2	
牢	nau2	
牽	tɕʰian1	
特	tʰɛ6	
犁	ȵi2	
犬	tʂʰʯan3	
狀	tʂʯaŋ6	
狂	kʰuaŋ2	
狗	kəu3	
獵	ȵiɛ5	
猛	moŋ3	
豬	tʂʯ1	
猫	mau2	
獻	ɕian5	
玉	ʯ5	
王	uaŋ2	
珠	tʂʯ1	
琴	tɕʰin2	
瓊	tʂʰʯən2	
瓜	kua1	
瓦	ua3	名词
瓶	pʰin2	
甘	kan1	
甜	tʰian2	
生	sən1	
用	ioŋ6	
田	tʰian2	
甲	tɕia1	
畫	xua6	
留	ȵiu2	
畜	ɕiu5	~牲
略	ȵio5	
瘡	tʂʰʯaŋ1	
病	pin6	
痒	iaŋ3	
痣	tʂʅ5	
痱	xui5	
瘦	səu5	
癬	ɕian3	
發	xua5	
白	pɛ6	
百	pɛ5	
益	i5	
盞	tsan3	
鹽	ian2	名词
盒	xo6	
盖	kai5	
盤	pʰan2	
目	mu5	
直	tʂʅ6	
盾	tən6	
眉	mi2	
真	tʂən1	
眼	ŋan3	
着	tʂo6	睡~
督	təu5	
瞎	ɕia5	
短	tan3	
矮	ŋai3	
石	ʂʅ6	
砍	kʰan3	
磚	tʂʯan1	
破	pʰo5	
硬	ŋən6	
碎	sei5	
碗	uan3	
碧	pi5	
磕	kʰo5	
磨	mo6	名词
祝	tʂəu5	
神	ʂən2	
祠	tsʰɿ2	
票	pʰiau5	
祭	tɕi5	
离	ȵi2	
秃	tʰəu5	
秋	tɕʰiu1	
種	tʂoŋ5	动词
租	tsəu1	
秤	tʂʰən5	
秦	tɕʰin2	
秧	iaŋ1	
移	i2	
税	ʂʯei5	
稗	pai6	
穩	uən3	
窮	tɕʰioŋ2	
空	kʰoŋ5	~缺
穿	tʂʰʯan1	
突	tʰəu1	
窖	kau5	
端	tan1	
竹	tʂəu5	
笋	sən3	
笑	ɕiau5	
筆	pi5	
笨	pən6	
答	ta5	
篩	sai1	名词
算	san5	
管	kuan3	
箭	tɕian5	
箱	ɕiaŋ1	
篇	pʰian1	
籃	nan2	
