#漢字	音標	解釋
㪗	hɛu3	~气
一	it7	
丁	tin1	
七	tɕʰit7	
万	uan5	
丈	tʰɔŋ5	~人
三	san1	
上	sɔŋ5	动
上	sɔŋ5	方位
下	ha5	~降
下	ha5	方位
不	pɘt7	
与	i3	
丐	kʰɔi5	
丑	tʂʰɘu3	~陋
丑	tʂʰɘu3	天干
專	tuɔn1	
且	tɕʰia3	
丕	pʰai1	
世	sᴇ5	
丘	tɕʰiu1	
丙	pɘn3	
業	ȵiɛt7	
叢	tsʰuŋ2	
東	tuŋ1	
絲	su1	
丞	tʂʰɘn2	
丢	tiu1	
兩	liɔŋ3	~个
兩	liɔŋ3	斤~
嚴	ȵiɛn2	
喪	sɔŋ5	
个	kɔ5	~把
丫	ia1	
中	tuŋ5	射~
中	tuŋ1	当~
丰	fuŋ1	
串	tʰuɔn5	~通
臨	lɘn2	
丸	uan2	
丹	tan1	
爲	uɘi5	
主	tø3	
麗	li5	
舉	tɕi3	
乃	lai3	
久	tɕiu3	
義	ȵi5	
之	tʂᴇ1	
烏	u1	
乍	tsa1	
乎	fu1	
乏	fat7	
樂	lɔʔ7	
喬	tɕʰiɛu2	
乖	kuai1	
乘	sɘn2	~法
乙	it7	
九	tɕiu3	
乞	tɕit7	
也	ia3	
習	ɕit7	
鄉	ɕiɔŋ1	
書	hø1	
買	mai3	
亂	luɔn5	
乳	lu3	
乾	ɕyɔn2	
了	liɛu3	~结
了	liɛu3	明~
予	i3	
爭	tsɛn1	
事	su5	
二	ɘ5	
于	i1	
虧	kʰui1	
云	in2	~彩
云	in2	诗~
互	fu5	
五	ŋ̍3	
井	tɕin3	文
井	tɕiaŋ3	白
亞	ŋa5	
些	ɕiɛ1	
亡	uɔŋ2	
交	kau1	
亥	hɔi5	
亦	it7	
產	tsʰan3	~妇
亨	hɛn1	
畝	mɛu3	
享	ɕiɔŋ3	
京	tɕin1	
亭	tʰin2	
亮	liɔŋ5	
親	tɕʰin1	~家
親	tɕʰin1	~人
人	lɘn2	文
人	ȵin2	白
億	i5	
什	sɘt7	~物
仁	lɘn2	
仄	tsɛt7	
僅	tɕin3	
仆	pʰuʔ7	
仇	sɘu2	
仇	sɘu2	报~
今	tɕin1	
介	kai5	
仍	lɘn2	
从	tɕʰiuŋ2	
仑	lɘn2	
