#漢字	音標	解釋
㩁	tɕʰio	~蒜
㮇	to2	
㿭	tsʰa5	
一	ie2	
七	tɕʰie2	
丈	tsʰom4	陽上
三	sa1	
上	ɕiom4	~山
上	ɕiom5	~面
下	xa4	陽上,底~
下	xa4	陽上,~山
不	mə2	訓讀
丑	tɕʰiəu3	~角
世	sɿ5	
丢	xɛ5	訓讀
並	pie4	
中	tɕyn1	當~
中	tɕyn3	射~
串	tsʰuei5	
丸	uei2	
主	tsu3	
久	tɕiəu3	
乖	kue3	
九	tɕiəu3	
也	ia5	陽去
乾	kom1	~濕
亂	lom5	
了	liəu4	陽上,~不起
事	sɿ5	
五	u3	陰上
井	tsei3	
交	kau1	
享	ɕiom3	
亭	tin2	
亮	liom5	
人	in2	
仁	in2	
仇	tɕʰiəu2	
今	tɕin1	
他	kɛ3	渠,陰上
仙	sei1	
代	tai5	
以	i3	陰上
份	faŋ5	
伍	u3	
伏	fɛ2	
伯	pa5	
伴	pom4	
伸	ɕin1	
伺	sɿ5	
似	tsʰɿ4	
位	uei5	
低	ti1	
住	tsʰu5	
佑	iəu5	
佔	kei5	存疑
佛	fu2	
你	ȵi4	陽上
侄	tɕʰie2	
來	lai2	
依	i1	
便	pei2	~宜
便	pei5	方~
保	pau5	
信	ɕin5	
修	ɕiəu1	
倉	tsʰom1	
倒	təu3	打~
倒	təu3	~水
候	xau5	
借	tse5	
值	tɕi3	
假	ka3	真~
偏	pʰei1	~心
做	tsu5	
停	tin2	
偷	tʰau1	
傅	fu5	
傘	som3	
催	tsʰuei	
傳	tsʰei2	~達
傷	ɕiom1	
像	tɕʰiom4	
價	ka5	
僻	pʰie2	
元	uei2	
兄	ɕyn1	
兆	tɕiəu1	
兇	ɕiom1	
先	sei1	
光	kom1	
克	kʰɛ2	
兑	tei5	
兔	tʰu5	
入	iau5	
内	ȵiɛ3	
全	tsʰei2	
兩	liom4	陽上,~個
兩	liom4	陽上,兒~
八	pɛ2	
公	kuən1	
六	lye2	
兵	pin1	
再	tsai5	
冤	uei1	
冬	tən1	
冰	pin1	
冷	lie4	陽上
凍	tən5	
凡	fie2	
凳	taŋ5	
出	ɕye2	
刀	təu1	
刁	tiəu1	
分	faŋ1	
切	tɕʰie2	
划	xua5	
初	tsʰu1	
利	li3	
到	təu5	
刷	sua1	
刺	tsɿ	原書聲調漏標
刻	kʰə4	時~
刻	kʰɛ2	用刀~
剃	tʰi5	
削	ɕio2	
前	tɕʰei2	
剝	pau5	
剩	ɕin5	
剮	kua3	
副	fu5	
割	kɛ2	
劉	liəu2	
力	lie2	
功	kuən1	
加	ka1	
助	tsu5	
勁	tɕin1	借官
勞	ləu2	
勸	kʰuei5	
勺	ɕio5	
匀	yn2	
勾	kau1	
包	pau1	
北	pɛ2	
匙	ɕi2	
匠	tɕʰiom5	
匹	pʰie2	
十	ɕie2	
千	tsʰei1	
升	ɕin1	
午	u3	陰上
半	pom5	
南	nom2	
卦	kua5	
印	in5	
卵	lom4	陽上
原	uei2	
厭	xei2	嫌訓讀
厲	li5	
去	xɛ4	陽上
參	ɕie1	人~
又	iəu5	
叉	tsʰa1	
及	tɕʰie4	
友	iəu4	陽上
反	fiɛ3	
叔	mie	滿訓讀
取	tɕʰi3	
受	ɕiəu4	陽上
口	kʰau3	
古	ku3	
句	tɕy5	
另	liom2	
叩	kʰau3	
只	tsɿ3	~有
叫	au3	訓讀
可	kʰo3	
台	tai2	
右	iəu5	
各	kʰɛ5	
合	xɛ2	
合	xɛ2	~起來
吉	tɕin3	疑誤
同	tən2	
名	mei2	
吐	tʰu5	
向	ɕiom5	
吞	tʰaŋ1	
含	xaŋ2	
吳	u1	陰平,疑普
吵	tsʰau3	
吹	tɕʰy1	
告	kəu5	
周	tɕiəu1	
味	y5	
呼	fu1	
命	mei5	
和	xo2	~氣
咬	ŋau4	陽上
咳	kʰɛ5	
品	pʰin5	去聲,或借官
哄	xuən3	
哥	ko1	
哭	xo2	
唇	ɕyn2	
唱	tɕʰiom5	
商	som1	~量
問	maŋ5	
啞	a3	
喉	xau2	
喜	ɕi3	
單	tom1	
嗅	ɕyn3	
嗽	sau5	
嘉	ka1	~禾
嘔	au5	
嘗	tɕiom2	
嘴	tɕi3	
噎	ie2	
器	tsʰɿ5	
噴	pʰaŋ5	~水
噴	pʰaŋ5	~香
嚇	xa5	
嚇	xɛ2	
嚼	tɕiəu5	
四	sɿ5	
回	tsuei2	聲母存疑
因	in1	
圈	kʰue1	
國	kue5	
圍	uei2	
園	uei2	
圓	uei2	
圖	tʰu2	
團	tom2	
土	tʰu3	
在	tsʰai	陽上
在	tsʰai	實~
地	ti5	
坐	tsʰo3	陰上
坡	po1	不送氣
坦	tʰom3	
坪	pei2	
坯	pʰei1	
坳	au5	
垮	kʰua5	
埋	mai2	
城	tɕʰin2	
基	tɕi1	
堂	tʰei2	
堂	tom2	
堆	tei1	
堡	pau5	
報	pəu5	
堵	tu3	
塊	kʰue5	
塌	tʰɛ2	
塍	in2	
塔	tʰɛ2	
塘	tom2	
塞	sɛ2	
塵	tɕʰin2	
墊	tei5	
增	tsaŋ1	
墟	ɕy	
墨	mɛ2	
墳	faŋ2	
牆	tɕʰiom2	
壁	pia4	
壓	a5	
壞	xue5	
壯	tɕiom5	
壺	fu2	
壽	ɕiəu5	
夏	xa5	~天
外	uai5	
多	to1	
夜	ia5	
够	kau5	
夢	maŋ5	
大	ta5	
天	tʰei1	
太	tʰai5	
奇	tɕʰi2	
奈	nai5	
套	tʰəu5	
女	lu3	陰上
奴	lu2	
奶	lai2	
好	xəu3	~壞
