#漢字	音標	解釋
㵺	pʰai2	竹排
一	jɐk7a	数字
丁	teŋ1	天干;姓
七	tʃʰɐk7a	数字
丈	tʃɔŋ6	三丈
丈	tʃɔŋ6	姑~
三	ʃaŋ1	~国
上	ʃɔŋ6	~山[动]
上	ʃɔŋ6	安上，~灯，~灯泡
上	ʃɔŋ6	~背[方位];~海(地名)
上	ʃɔŋ6	桌~，床~
下	ha6	~背，底~
下	ha6	取下，~下来
下	ha6	~降，~流
不	pɐk7a	~过
丐	kʰɔi5	~帮
丑	tʃʰɐu	地支，子丑寅卯
且	tʃʰɛ	而~，况~
丕	pʰei1	人名用字，曹~
世	ʃɐi5	~界
世	ʃɐi5	出~
丘	jɐu1	一~田
丘	jɐu1	姓
丙	peŋ5	天干，甲乙丙丁
丞	ʃeŋ2	~相
丟	tiu1	~失
並	pʰeŋ5	~且，~排
丫	a1	~鬟，~头
中	tʃoŋ1	~间，~秋[文]
中	tʃoŋ1	~央;头顶物，~头帕[白]
中	tʃoŋ5	射~，~状元
串	tʃʰyŋ5	一~，~通
丸	jyŋ	肉~，药~
丹	taŋ1	牡~，仙~
主	tʃy	~人，地~
乃	lai5	安~近;人名用字
久	kɐu	长~
麼	mɔ1	~二三
之	tʃi1	~前
乎	fu2	在~
乏	fɐʋʔ8	缺~
乖	kuai1	小孩听话
乘	ʃeŋ2	~机，~车
乘	ʃeŋ2	加减乘除
乙	hyk8	天干，甲乙丙丁
九	kɐu	数字，~龙
乞	hak7b	~食，~求
也	jɛ5	~知
乳	jy5	哺~，母~[文]
乳	jy5	食~(吃奶)，麦~精[训]
乸	la	雌性
乾	kʰiŋ2	~坤，~隆
亁	kɔŋ1	烘~，饼~
亂	lyŋ6	混~
了	liu5	~结;明~，~解
予	jy5	给~
事	ʃi6	~实，~情[文]
事	ʃi6	做~[白]
二	ji6	数字
于	jy1	姓;等~
雲	wɐŋ2	古人~
互	wu6	~相
五	ŋ̍5	数字
井	tʃɛŋ	~水，~~有条
些	tik7a	一~
亞	a5	~洲，~军
亡	mɔŋ2	死~
交	kau1	~通，~钱[文]
交	kau1	交叉，~脚(翘二郎腿)[白]
亥	ɔi6	辛~革命
亦	jek8	~可以
亨	hɐŋ1	~通;~特(人名)
享	hɔŋ	~受，分~
京	keŋ1	北~，~剧
亭	tʰeŋ2	凉~
亮	lɔŋ6	明~
人	jɐŋ2	老~，~民
仁	jɐŋ2	~义
仆	pʰɔk7a	倒下
仇	ʃɐu2	~人，报~
仇	ʃɐu2	姓
今	kɐŋ1	~日，~年，现~[文]
今	kɐŋ1	~日，~年[白]
介	kai5	~绍，中~
仍	jeŋ2	~然
仕	ʃi6	~途
他	tʰa1	其~
仗	tʃɔŋ5	打~;炮~(鞭炮)
付	fu6	应~
仙	ʃiŋ1	神~
代	tɔi6	~替，~表
令	leŋ6	命~，口~
以	ji5	可~，~为
仰	jɔŋ5	~视
仲	tʃoŋ6	伯~叔;杜~(中药)
件	kiŋ6	事~
任	jɐŋ6	姓;责~，~何
份	fɐŋ6	~量
仿	fɔŋ	~照，相~
企	kʰei5	~业，~鹅
伊	ji1	~犁;姓
伍	ŋ̍5	姓;队~
伏	fok8	三~，起~[文]
伏	fok8	趴，在桌子上趴着睡[白]
伐	fɐk8	讨~，~木工人
休	jɐu1	~息，退~
伯	pak7b	大~
估	ku	~计
伴	puŋ6	~随，伙~[文]
伴	puŋ6	做~，冇~[白]
