#漢字	音標	解釋
□	uɑi3	不舒服
䝼	tʃʰiŋ2	
一	iəʔ7	
丁	tiŋ1	
七	tʃʰiəʔ7	
万	uæ̃6	
丈	tʃiɑŋ6	
三	sæ̃1	
上	ʃiɑŋ6	
下	ɕiɑ6	
不	puəʔ7	
与	y3	
丐	kɑi1	
丑	tʃʰiəu3	
專	tʃyæ̃1	
且	tʃʰiə3	
丕	pʰi1	
世	ʃi5	
丘	tɕʰiəu1	
丙	piŋ3	
業	iəʔ8	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʃʰiŋ2	
丢	tiəu1	
兩	liɑŋ3	
嚴	iæ̃2	
嚴	iæ̃6	
喪	sɑŋ1	
喪	sɑŋ5	
个	kə5	
丫	iɑ1	
中	tsuŋ1	
中	tsuŋ5	
丰	fəŋ1	
串	tʃʰyæ̃5	
臨	liɛ̃2	
丸	uæ̃2	
丹	tæ̃1	
爲	uei2	
爲	uei6	
主	tʃy3	
麗	li6	
舉	tɕy3	
乃	nɑi3	
久	tɕiəu3	
義	i6	
之	tsɿ1	
烏	u1	
乍	tsɑ6	
乍	tsʌʔ8	
乎	xu1	
乏	fʌʔ8	
樂	luəʔ8	
樂	yəʔ8	音~
喬	tɕʰiɔ2	
乖	kuɑi1	
乘	tʃʰiŋ2	
乘	ʃiŋ6	
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰiəʔ7	
也	iə3	
習	ʃiəʔ8	
鄉	ɕiɑŋ1	
書	ʃy1	
買	mɑi3	
亂	luæ̃6	
乳	y3	
乾	tɕʰiæ̃2	
了	liɔ3	
爭	tsəŋ1	
事	sɿ6	
二	l̩5	
于	y2	
虧	kʰuei1	
云	yɛ̃2	
互	xu6	
五	u3	
井	tʃiŋ3	
亞	iɑ5	
些	ʃiə1	
亡	uɑŋ2	
交	tɕiɔ1	
亥	xɑi6	
亦	i6	
產	tsʰæ̃3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ6	
親	tʃʰiɛ̃1	
親	tʃʰiɛ̃5	
人	iɛ̃2	
億	i6	
什	ʃiəʔ8	
仁	iɛ̃2	
僅	tɕiɛ̃3	
仆	pʰuəʔ7	
仆	pʰuəʔ8	
仇	tɕʰiəu2	
仇	tʃʰiəu2	
今	tɕiɛ̃1	
今	tʃʰiɛ̃1	
介	tɕiə5	
仍	iŋ1	
从	tsʰuŋ1	
从	tsʰuŋ2	
仑	luɛ̃2	
倉	tsʰɑŋ1	
仕	sɿ6	
他	tʰɑ1	
仗	tʃiɑŋ6	
付	fu5	
仙	ʃiæ̃1	
代	tɑi6	
令	liŋ5	
以	i3	
儀	i2	
仰	iɑŋ3	
仲	tsuŋ5	
件	tɕiæ̃6	
價	tɕiɑ5	
任	iɛ̃2	
任	iɛ̃6	
份	fɛ̃6	
仿	fɑŋ3	
企	tɕʰi3	
伊	i2	
伍	u3	
伏	fuəʔ7	
伐	fʌʔ8	
休	ɕiəu1	
衆	tsuŋ5	
優	iəu1	
伙	xuo3	
會	kʰuɑi5	
會	xuei6	
傘	sæ̃3	
偉	uei3	
傳	tʃʰyæ̃2	~播
傳	tʃʰyæ̃6	~记
伢	iɑ2	
傷	ʃiɑŋ1	
倫	luɛ̃2	
僞	uei3	
伯	piəʔ7	
估	ku3	
伴	pæ̃6	
伶	liŋ2	
伸	ʃiɛ̃1	
伺	sɿ5	
似	sɿ6	
佃	tiæ̃6	
但	tæ̃5	
位	uei6	
低	ti1	
住	tʃy6	
佐	tsuo5	
體	tʰi3	
何	xə2	
佘	ʃiə2	
余	y2	
佛	fuəʔ7	
佛	fuəʔ8	
作	tsuəʔ7	
佞	niŋ6	
你	ni3	
佣	yŋ6	
佩	pʰei6	
佳	tɕiɑ1	
使	sɿ3	
使	sɿ5	
侃	kʰæ̃3	
侄	ɕiəʔ8	
侈	tsʰɿ3	
例	li6	
侍	tsʰɿ6	
侑	iəu6	
供	kuŋ1	
供	kuŋ5	
依	i1	
俠	ɕiʌʔ7	
僥	tɕiɔ3	
偵	tʃiŋ1	
側	tsʰəʔ7	
僑	tɕʰiɔ2	
儂	nuŋ2	
侮	u3	
侯	xəu2	
侯	xəu6	
侵	tʃʰiɛ̃1	
便	pʰiæ̃2	
便	piæ̃6	
係	ɕi6	
促	tʃʰyəʔ7	
俄	ɣə2	
俊	tʃyɛ̃5	
俏	tʃʰiɔ5	
俗	ɕyəʔ8	
俘	fu2	
保	pɔ3	
俟	sɿ6	
信	ʃiɛ̃5	
儼	iæ̃3	
倆	liɑ3	
儉	tɕiæ̃3	
修	ʃiəu1	
俯	fu3	
俱	tɕy5	
俸	fəŋ6	
倍	pei6	
倒	tɔ3	
倒	tɔ5	
倔	tɕyə5	
倔	tɕyəʔ8	
倘	tʰɑŋ3	
倚	i3	
借	tʃiə5	
倡	tɕʰiɑŋ5	
倦	tɕyæ̃6	
倪	ni1	
倭	uo1	
債	tsɑi5	
值	tʃiəʔ8	
傾	tɕʰiŋ1	
假	tɕiɑ3	
假	tɕiɑ5	
偏	pʰiæ̃1	
偏	piæ̃5	
做	tsuo5	
停	tʰiŋ2	
健	tɕiæ̃6	
偶	ɣəu3	
偷	tʰəu1	
償	tʃʰiɑŋ2	
傀	kʰuei3	
傅	fu5	
傍	pɑŋ1	
傍	pɑŋ6	
傢	tɕiɑ1	
儲	tʃʰy2	
催	tsʰuei1	
傲	ɔ6	
傻	ʃiɑ3	
像	ʃiɑŋ5	
僚	liɔ2	
僧	səŋ1	
僭	liəʔ8	
僵	tɕiɑŋ1	
僻	pʰiəʔ7	
儒	y2	
儡	luei3	
兒	l̩2	
允	yɛ̃2	
元	yæ̃2	
兄	ɕyŋ1	
充	tsʰuŋ1	
兆	tʃiɔ6	
先	ʃiæ̃1	
光	kuɑŋ1	
克	kʰʌʔ7	
免	miæ̃3	
兑	tuei6	
兔	tʰu5	
兗	iæ̃3	
黨	tɑŋ3	
兜	təu1	
入	yəʔ8	
全	tʃʰyæ̃2	
八	pʌʔ7	
公	kuŋ1	
六	luəʔ8	
兮	ɕi1	
蘭	læ̃2	
共	kuŋ5	
關	kuæ̃1	
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy6	
典	tiæ̃3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiæ̃1	
獸	ɕiəu5	
冀	tɕi5	
内	nuei6	
岡	kɑŋ1	
冉	iæ̃3	
册	tsʰəʔ7	
再	tsɑi5	
冒	mɔ6	
冗	yŋ3	
寫	ʃiə3	
軍	tɕyɛ̃1	
農	nuŋ2	
冠	kuæ̃1	
冠	kuæ̃5	
冢	tsuŋ3	
冤	yæ̃1	
冥	niŋ2	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tsʰuŋ1	
決	tɕyəʔ7	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	tuŋ5	
淨	tʃiŋ5	
凄	tɕʰi1	
準	tʃyɛ̃3	
涼	liɑŋ2	
凌	liŋ2	
減	tɕiæ̃3	
湊	tsʰəu5	
凝	niŋ2	
几	tɕi1	
几	tɕi3	
凡	fæ̃2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɑi3	
凰	xuɑŋ2	
凳	təŋ5	
凶	ɕyŋ1	
凹	ɔ1	
出	tʃʰyəʔ7	
擊	tɕiəʔ8	
函	xæ̃2	
鑿	tsuəʔ7	
鑿	tsuəʔ8	
刀	tɔ1	
刁	tiɔ1	
刃	iɛ̃6	
分	fɛ̃1	
分	fɛ̃6	
切	tɕʰiəʔ7	
切	tʃʰiəʔ7	
刈	i6	
刊	kʰæ̃1	
刎	uɛ̃3	
刑	ɕiŋ2	
划	xuɑ2	
划	xʌʔ7	
列	liəʔ8	
劉	liəu2	
則	tsəʔ7	
剛	kɑŋ1	
創	tsʰuɑŋ5	
初	tsʰuo1	
删	sæ̃1	
判	pʰæ̃5	
刨	pʰɔ2	
利	li6	
别	piəʔ7	
别	piəʔ8	
刮	kuʌʔ7	
到	tɔ5	
刷	suʌʔ7	
券	tɕʰyæ̃5	
刻	kʰʌʔ7	
劊	kʰuɑi5	
刴	tuo5	
劑	tɕi6	
劑	tʃi6	
剃	tʰi5	
削	ɕyəʔ7	
削	ʃyəʔ7	
前	tʃʰiæ̃2	
剮	kuɑ3	
劍	tɕiæ̃5	
剔	tʰiəʔ7	
剖	pʰɔ1	
剜	uæ̃1	
剝	puəʔ7	
劇	tɕy5	
剩	ʃiŋ6	
剪	tʃiæ̃3	
副	fu5	
割	kəʔ7	
剿	tʃiɔ3	
劄	tsʌʔ7	
劈	pʰiəʔ7	
劐	xuəʔ7	划
力	liəʔ8	
勸	tɕʰyæ̃5	
辦	pæ̃5	
功	kuŋ1	
加	tɕiɑ1	
務	u6	
劣	nyəʔ8	
動	tuŋ6	
助	tsuo5	
努	nu3	
劫	tɕiəʔ7	
勵	li6	
勁	tɕiɛ̃5	
勁	tɕiŋ5	
勞	lɔ2	
勞	lɔ6	犒~
勢	ʃi5	
勃	puəʔ8	
勇	yŋ3	
勉	miæ̃3	
勳	ɕyɛ̃1	
勒	ləʔ7	
勘	kʰæ̃5	
募	mu6	
勤	tɕʰiɛ̃2	
勰	nuŋ6	
勺	ʃyəʔ8	
勾	kəu1	
勾	kəu5	
勿	uəʔ8	
匀	yɛ̃2	
包	pɔ1	
匆	tsʰuŋ1	
匈	ɕyŋ1	
化	xuɑ5	
北	piəʔ7	
匙	tsʰɿ2	汤勺
匠	tʃiɑŋ6	
匡	kʰuɑŋ1	
匣	ɕiʌʔ8	
匪	fei3	
匹	pʰi3	
匹	pʰiəʔ7	
區	tɕʰy1	地~
醫	i1	
匾	piæ̃3	
匿	niəʔ8	
十	ʃiəʔ8	
千	tɕʰiæ̃1	
千	tʃʰiæ̃1	
卅	sʌʔ7	
升	ʃiŋ2	
升	kəʔ7	
午	u3	
