#漢字	音標	解釋
□	ɦiɔ2	折疊衣裳
一	ieʔ7	
丁	tiŋ1	
七	tɕʰieʔ7	
丈	dʑiã6	
三	sã1	
上	dʑiã2	
上	dʑiã6	
下	hu1	
下	ɦu2	
下	ʑiɑ2	
下	ɦu6	
不	pəʔ7	
丐	kɛ5	
且	tɕʰie5	
丕	pʰəi5	
世	sʮ5	
世	ɕyø5	
丘	tɕʰiu1	
丙	piŋ5	
丞	dʑiŋ2	
丢	tɤu1	
並	biŋ2	
並	piŋ3	
丫	iɑ1	
丫	uɔ1	
中	tɕioŋ1	
串	tɕʰyɛ5	
串	tɕʰioŋ5	
丸	yɛ5	
丹	tã1	
主	tsʮ3	
主	tɕyø3	
乃	nɛ2	
久	tɕiu3	
么	iɔ1	
之	tsɿ1	
乎	ɦou2	
乏	vaʔ8	
乖	kuɑ1	
乖	kuɛ1	
乘	ʑiŋ2	
乙	ieʔ7	
九	kɤu3	
九	tɕiu3	
乞	tɕʰieʔ7	
也	iɑ5	
也	ɦieʔ8	
乳	sʮ5	
乾	kã1	
乾	dʑie2	
乾	kɛ5	
乾	kã5	
亂	lɛ6	
了	liɔ2	
了	liɔ5	
事	zɿ2	
事	ʑyø6	
二	ɦn̩6	
互	ŋou2	
五	ŋuɤ2	
五	u3	
井	tɕiŋ3	
亞	iɑ3	
亡	mɔ̃2	
交	kɔ1	~鈔票
交	tɕiɔ1	~通
亥	ɦa2	
亦	ɦieʔ8	
亨	həŋ1	
享	ɕiã1	
京	tɕiŋ1	
亭	diŋ2	
亮	liã6	
人	ʑiŋ2	
什	ʑiaʔ8	
仁	ʑiŋ2	
仇	dʑiu2	
今	tɕiŋ1	
介	tɕiɛ5	
仍	ʑiŋ2	
仕	zɿ2	
他	tʰɑ1	
仗	tɕiã5	
付	fu5	
仙	ɕie1	
代	dəi6	
令	liŋ6	
以	ɦi2	
仰	dʑiã5	
仲	tɕioŋ5	
件	dʑie2	
件	dʑie6	
任	ʑiŋ2	
任	ʑiŋ6	
份	vɛ6	
仿	fɔ̃3	
企	tsʰɿ5	
伊	i5	
伍	u3	
伏	vəʔ8	
伐	vaʔ8	
休	ɕiu1	
伢	ɦiɑ2	
伯	paʔ7	
估	ku5	
伴	bɛ2	
伶	liŋ2	
伸	ɕiŋ1	
伺	sɿ5	
似	sɿ5	
佃	die6	
但	dã6	
位	ɦuəi6	
低	ti1	
住	tsu5	
住	dzʮ6	
佐	tsou5	
何	ɦu2	
何	ɦou2	
佘	ʑiɔ2	
余	ɦy2	
佛	vəʔ8	
作	tsəʔ7	
你	ȵi5	
佩	bəi2	
佳	tɕiɑ1	
使	sɿ3	
