#漢字	音標	解釋
曾	tsʰəŋ1	
曾	tsəŋ1	姓
替	tʰi5	
最	tsueⁱ5	
月	yə5	
有	iou1	
朋	pʰəŋ1	
服	fu1	
朔	ʂuo5	
朗	laŋ1	
望	uaŋ5	
朝	tʂʰɔ1	~代
朝	tʂɔ1	今~
期	tɕʰi1	
木	mu5	
未	ueⁱ5	
末	mo5	
本	pən1	
札	tʂa1	
术	ʂu5	
朱	tʂu1	
朴	pʰu1	
朶	tuo1	
機	tɕi1	
朽	ɕiou1	
殺	ʂa1	
雜	tsa1	
權	tɕʰyan1	
杆	kan1	
杈	tʂʰa5	
杌	u5	~子
李	li1	
杏	ɕiŋ5	
材	tsʰɛ1	
村	tsʰuən1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi1	
束	ʂu5	
杠	kʰaŋ5	
條	tʰiɔ1	
來	lɛ1	
楊	iaŋ1	
杭	xaŋ1	
杯	peⁱ1	
杰	tɕiə1	
杴	tɕʰian1	
杵	tʂʰu1	
杷	pʰa1	枇~
松	suŋ1	
板	pan1	
極	tɕi1	
構	kou5	
枇	pʰi1	~杷
枉	uaŋ1	
析	ɕi1	
枕	tʂən5	(动词)
枕	tʂən1	
林	liən1	
枚	meⁱ1	
果	kuo1	
果	xu1	~
枝	tʂʅ1	
樞	ʂu1	
棗	tsɔ1	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tɕia5	
柄	piŋ1	
柏	peⁱ1	
某	mou1	
柑	kan1	
染	ʐan1	
柔	ʐou1	
柚	iou5	
櫃	kueⁱ5	
查	tʂʰa1	
柩	tɕiou5	
柱	tʂu5	
柳	liou1	
柿	ʂʅ5	
梔	tʂʅ1	~子花
栅	tʂa5	
標	piɔ1	
棧	tʂan5	
棟	tuŋ5	
欄	lan1	
樹	ʂu5	
栖	ɕi1	
校	ɕiɔ5	
株	tʂu1	
樣	iaŋ5	
核	xu1	
核	xɛ1	~桃
根	kən1	
格	kə1	
栽	tsɛ1	
桂	kueⁱ5	
桃	tʰɔ1	
桄	kuaŋ5	一~线
案	ŋan5	
桌	tʂuo1	
桐	tʰuŋ1	
桑	saŋ1	
橋	tɕʰiɔ1	
樺	xua1	~树
檜	xueⁱ5	
槳	tɕiaŋ1	
桶	tʰuŋ1	
梁	liaŋ1	
梅	meⁱ1	
梓	tsɿ1	
梗	kəŋ1	
梢	ʂɔ1	
夢	məŋ5	
梧	u1	
梨	li1	
梭	suo1	
梯	tʰi1	
械	ɕiə5	
梳	ʂu1	
檢	tɕian1	
棉	mian1	
棋	tɕʰi1	
棍	kuən5	
棒	paŋ5	
棕	tsuŋ1	
棚	pʰəŋ1	
棠	tʰaŋ1	
森	sən1	
棵	kʰə1	
棺	kuan1	
椅	i1	
植	tʂʅ1	
椒	tɕiɔ1	
橢	tʰuo1	
椽	tʂʰuan1	
椿	tʂʰuən1	
楔	ɕiə1	
楚	tʂʰu1	
楞	ləŋ5	
楣	meⁱ1	
楦	ɕyan5	鞋~
楷	kʰɛ1	
樓	lou1	
概	kɛ5	
欖	lan1	
榆	y1	
榜	paŋ1	
榧	feⁱ1	~子
榨	tʂa5	
榫	ɕyən1	~头
榴	liou1	
榻	tʰa1	
槌	tʂʰueⁱ1	
槐	xuɛ1	
檳	piən1	~榔
槽	tsʰɔ1	
樟	tʂaŋ1	
模	mu1	
模	mo1	
橫	xəŋ5	
櫻	iŋ1	
橘	tɕy1	
橙	tʰəŋ1	~子
橛	tɕyə1	~子
橡	ɕiaŋ5	
櫓	lu1	
檀	tʰan1	
檐	ian1	
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕiən1	
歐	ou1	
欲	y5	
欺	tɕʰi1	
款	kʰuan1	
歇	ɕiə1	
歉	tɕʰian5	
歌	kə1	
止	tʂʅ1	
正	tʂəŋ5	
正	tʂəŋ1	~月
此	tsʰɿ1	
步	pu5	
武	u1	
歪	uɛ1	
死	sɿ1	
殲	tɕian1	
殃	iaŋ1	
殆	tɛ5	
殊	ʂu1	
殘	tsʰan1	
殮	lian1	
殖	tʂʅ1	
殯	piən5	
毆	ou1	
段	tuan5	
殷	iən1	
殿	tian5	
毁	xueⁱ1	
毅	i5	
母	mu1	
每	meⁱ1	
毒	tu1	
比	pi1	
畢	pi5	
斃	pi5	
毛	mɔ1	
毡	tʂan1	
毫	xɔ1	
毯	tʰan1	
氏	ʂʅ5	
民	miən1	
气	tɕʰi5	
水	ʂueⁱ1	
永	yŋ1	
汁	tʂʅ1	
求	tɕʰiou1	
汆	tsʰuan1	
汇	xueⁱ5	
漢	xan5	
汗	xan5	
汝	ʐu1	
江	tɕiaŋ1	
池	tʂʰʅ1	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汽	tɕʰi5	
沂	i1	
沃	uo5	
沈	ʂən1	
沉	tʂʰən1	
沌	tuən5	
沓	ta5	
沙	ʂa1	
溝	kou1	
没	meⁱ1	
没	mo5	
漚	ou5	
淪	luən1	
滬	xu5	
沫	mo5	
河	xə1	
油	iou1	
治	tʂʅ5	
沼	tʂɔ1	
沾	tʂan1	
沿	ian1	
泄	ɕiə5	
泉	tɕʰyan1	
泊	pʰo1	
泌	mi5	
泔	kan1	
法	fa1	
泛	fan5	
泡	pʰɔ1	
波	po1	1
波	pʰo1	2
泣	tɕʰi5	
泥	ni1	
注	tʂu5	
淚	lueⁱ5	
泰	tʰɛ5	
泳	yŋ1	
瀉	ɕiə5	
潑	pʰo1	
澤	tsə1	
潔	tɕiə1	
洇	iən1	
洋	iaŋ1	
洒	sa1	
洗	ɕi1	
洛	luo5	
洞	tuŋ5	
洞	tʰuŋ1	洪~
津	tɕiən1	
洪	xuŋ1	
洲	tʂou1	
活	xuo1	
洼	ua1	
派	pʰɛ5	
流	liou1	
淺	tɕʰian1	
漿	tɕiaŋ1	
澆	tɕiɔ1	
測	tsʰə5	
濟	tɕi1	
渾	xuən1	
滸	xu1	水~
濃	nuŋ1	
浙	tʂə5	
浜	paŋ1	
浞	tʂuo1	
浦	pʰu1	
浩	xɔ5	
浪	laŋ5	
浮	fu1	
浴	y5	
海	xɛ1	
浸	tɕiən5	
涂	tʰu1	
消	ɕiɔ1	
涉	ʂə5	
涌	yŋ1	
涎	xan1	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ5	
潤	ʐuən5	
澗	tɕian5	
漲	tʂaŋ1	
澀	sɛ1	
涮	ʂuan5	
涯	ia1	
液	iə5	
淋	liən1	
淘	tʰɔ1	
淡	tan5	
淤	y1	
淮	xuɛ1	
深	ʂən1	
混	xuən1	
淹	ian1	
添	tʰian1	
清	tɕʰiŋ1	
漸	tɕian5	
澠	mian1	~池
漁	y1	
滲	ʂən5	
渠	tɕʰy1	
渡	tu5	
渣	tʂa1	
溫	uən1	
港	kaŋ1	
渴	kʰə1	
游	iou1	
渺	miɔ1	
湖	xu1	
湘	ɕiaŋ1	
灣	uan1	
溼	ʂʅ1	
潰	xueⁱ5	1~脓
潰	xuo5	2~脓
濺	tɕian5	
溉	kɛ5	
源	yan1	
溜	liou1	
溪	ɕi1	
滂	pʰaŋ1	
滋	tsɿ1	
滑	xua1	
滓	tsɿ1	
滔	tʰɔ1	
滚	kuən1	
滯	tʂʅ5	
滿	man1	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti1	
漂	pʰiɔ5	
漆	tɕʰi1	
漏	lou5	
演	ian1	
漫	man5	
漱	ʂu5	
潘	pʰan1	
潛	tɕʰian1	
潭	tʰan1	
潮	tʂʰɔ1	
潲	ʂɔ5	~雨
澄	tʂʰəŋ1	
澄	təŋ5	澄一澄
澡	tsɔ1	
激	tɕi1	
瀑	fu1	~布
灌	kuan5	
火	xuo1	
滅	miə5	
燈	təŋ1	
灰	xueⁱ1	
靈	liŋ1	
竈	tsɔ5	
灸	tɕiou1	
災	tsɛ1	
燦	tsʰan5	
爐	lu1	
炊	tʂʰueⁱ1	
炎	ian1	
炒	tʂʰɔ1	
炕	kʰaŋ5	
炭	tʰan5	
炮	pʰɔ5	
炸	tʂa1	
炸	tʂa5	
點	tian1	
煉	lian5	
爛	lan5	
烈	liə5	
烘	xuŋ1	
烙	luo5	
燭	tʂu1	
烟	ian1	
烤	kʰɔ1	
煩	fan1	
燒	ʂɔ1	
燙	tʰaŋ5	
熱	ʐə5	
焉	ian1	
焊	xan5	
焌	ɕy1	火~手了
煥	xuan5	
焙	peⁱ5	
焦	tɕiɔ1	
焯	tʂʰuo1	~菠菜
焰	ian5	
然	ʐan1	
煎	tɕian1	
煤	meⁱ1	
照	tʂɔ5	
煨	ueⁱ1	
煮	tʂu1	
熄	ɕi1	
熊	ɕyŋ1	
熏	ɕyən1	
熙	ɕi1	
熟	ʂu1	
熥	tʰəŋ1	把包子~熥
熨	yən5	
熬	ŋɔ1	
熬	ŋɔ5	~白菜
燃	ʐan1	
燎	liɔ1	
燕	ian5	
燕	ian1	姓
爆	pɔ5	
爪	tʂɔ1	1~子
爪	tʂua1	2~子
爬	pʰa1	
愛	ŋɛ5	
父	fu5	
爺	iə1	
爸	pa5	
爹	tiə1	
爽	ʂuaŋ1	
片	pʰian5	
版	pan1	
牌	pʰɛ1	
牒	tiə1	
牙	ia1	
牚	tʂʰəŋ5	椅子~儿
牛	niou1	
牡	mu1	
牢	lɔ1	
牧	mu5	
物	u5	
牯	ku1	~牛
牲	ʂəŋ1	
牽	tɕʰian1	
牸	tsɿ5	~牛
特	tʰə5	
犧	ɕi1	
犀	ɕi1	
犁	li1	
犢	tu1	
犍	tɕian5	
犬	tɕʰyan1	
犯	fan5	
狀	tʂuaŋ5	
猶	iou1	
狂	kʰuaŋ1	
狍	pʰɔ1	
狐	xu1	
狗	kou1	
狡	tɕiɔ1	
獨	tu1	
狹	ɕia1	
獅	ʂʅ1	
獄	y5	
狸	li1	
狼	laŋ1	
獵	liə5	
猛	məŋ1	
猜	tsʰɛ1	
豬	tʂu1	
猫	mɔ1	
猫	mɔ1	~腰
獻	ɕian5	
猴	xou1	
猾	xua1	
玄	ɕyan1	
率	ly5	
率	ʂuɛ5	
玉	y5	
王	uaŋ1	
玩	uan1	
環	xuan1	
現	ɕian5	
玻	po1	~璃
珊	ʂan1	
珍	tʂən1	
珠	tʂu1	
班	pan1	
球	tɕʰiou1	
理	li1	
琉	liou1	
瑣	suo1	
琢	tʂuo1	
琴	tɕʰiən1	
琵	pʰi1	~琶
琶	pʰa1	琵~
瓊	tɕʰyŋ1	
瑞	ʐueⁱ5	
璃	li1	玻~
璧	pi5	
璺	vən5	裂~
瓜	kua1	
瓠	xu5	~子
瓢	pʰiɔ1	
瓣	pan5	
瓤	ʐaŋ1	
瓦	ua1	
瓶	pʰiŋ1	
瓷	tsʰɿ1	
甘	kan1	
甚	ʂən5	
甜	tʰian1	
生	ʂəŋ1	
甥	ʂəŋ1	
用	yŋ5	
甫	fu1	
田	tʰian1	
由	iou1	
甲	tɕia1	
申	ʂən1	
電	tian5	
男	nan1	
畫	xua5	
暢	tʂʰaŋ5	
界	tɕiə5	
畏	ueⁱ5	
留	liou1	
畜	tʂʰu5	
畜	ɕy5	~牧
略	lyə5	
番	fan1	
疆	tɕiaŋ1	
疏	ʂu1	
疑	i1	
疔	tiŋ1	
療	liɔ1	
疝	ʂan5	~气
瘍	iaŋ1	
疤	pa1	
疥	tɕiə5	
疫	i5	
瘡	tʂʰuaŋ1	
瘋	fəŋ1	
疲	pʰi1	
疵	tsʰɿ1	吹毛求~
疹	tʂən1	
疼	tʰəŋ1	
疾	tɕi1	
痂	tɕia1	
病	piŋ5	
症	tʂəŋ5	
痒	iaŋ1	
痔	tʂʅ5	
痛	tʰuŋ5	
痢	li5	
痣	tʂʅ5	
痰	tʰan1	
痱	feⁱ1	~子
痲	ma1	
癡	tʂʰʅ1	
痹	pʰi5	
瘊	xou1	
瘟	uən1	
瘦	ʂou5	
瘴	tʂaŋ5	
瘸	tɕʰyə1	
癩	lɛ5	
癬	ɕian1	
癸	kueⁱ1	
登	təŋ1	
白	pɛ1	
百	peⁱ1	
皂	tsɔ5	
的	ti1	
的	tə1	
皆	tɕiə1	
皇	xuaŋ1	
皖	uan1	
皮	pʰi1	
皺	tʂou5	
皴	tsʰuən1	
盂	y1	
盅	tʂuŋ1	
盆	pʰən1	
盈	iŋ1	
益	i5	
盞	tʂan1	
鹽	ian1	
監	tɕian1	
監	tɕian5	国子~
盒	xə1	
盔	kʰueⁱ1	
盖	kɛ5	
盜	tɔ5	
盤	pʰan1	
盛	ʂəŋ5	
盛	tʂʰəŋ1	~饭
盟	məŋ1	
目	mu5	
盲	maŋ1	
直	tʂʅ1	
相	ɕiaŋ1	
相	ɕiaŋ5	~貌
盼	pʰan5	
盾	tuən5	
省	ʂəŋ1	
省	ɕiŋ1	反~
眉	meⁱ1	
看	kʰan5	
真	tʂən1	
眠	mian1	
眨	tʂa1	
眩	ɕyan5	
眵	tʂʰʅ1	1眼~
眵	seⁱ1	2眼~
眶	kʰuaŋ5	
眼	ian1	
着	tʂuo1	睡~
睜	tʂəŋ1	
睛	tɕiŋ1	
睡	ʂueⁱ5	
督	tu1	
睬	tsʰɛ1	
瞅	tʂʰou1	
瞎	ɕia1	
瞞	man1	
瞧	tɕʰiɔ1	
瞪	təŋ5	
瞭	liɔ1	
瞳	tʰuŋ1	
瞿	tɕʰy1	
矛	mɔ1	
矢	ʂʅ1	
知	tʂʅ1	
矩	tɕy5	
矬	tsʰuo1	
短	tuan1	
矮	iɛ1	
石	ʂʅ1	
礬	fan1	
礦	kʰuaŋ5	
碼	ma1	~子
砌	tɕʰi5	
砍	kʰan1	
砑	ia5	
研	ian1	
磚	tʂuan1	
硯	ian5	
破	pʰo5	
礎	tʂʰu1	
硃	tʂu1	
硝	ɕiɔ1	
硫	liou1	
硬	iŋ5	
確	tɕʰyə5	
礙	ŋɛ5	
碎	sueⁱ5	
碑	peⁱ1	
碓	tueⁱ1	
碗	uan1	
碟	tiə1	
碧	pi5	
鹼	tɕian1	
碾	nian5	
磁	tsʰɿ1	
磉	saŋ1	柱下石
磕	kʰə1	
磨	mo1	~刀
磨	mo5	石~
磷	liən1	
示	ʂʅ5	
禮	li1	
社	ʂə5	
祁	tɕʰi1	
祈	tɕʰi1	
祖	tsu1	
祝	tʂu5	
神	ʂən1	
祠	tsʰɿ1	
祥	ɕiaŋ1	
票	pʰiɔ5	
祭	tɕi5	
禍	xuo5	
禁	tɕiən5	
祿	lu5	
福	fu1	
离	li1	~开
离	li5	~别
禾	xə1	
秀	ɕiou5	
私	sɿ1	
秃	tʰu1	
稈	kan1	
秋	tɕʰiou1	
種	tʂuŋ5	
科	kʰə1	
秒	miɔ1	
秕	pi1	~子
秘	mi5	
租	tsu1	
秤	tʂʰəŋ5	
秦	tɕʰiən1	
秧	iaŋ1	
秩	tʂʰʅ5	
秫	ʂu1	
積	tɕi1	
稱	tʂʰəŋ1	
稱	tʂʰəŋ5	相~
秸	tɕiə1	
移	i1	
穢	xueⁱ5	
稀	ɕi1	
稆	ly1	(野生)
程	tʂʰəŋ1	
稍	ʂɔ1	
税	ʂueⁱ5	
稗	pɛ5	
稚	tʂʅ5	
稠	tʂʰou1	
穩	uən1	
稻	tɔ5	
稼	tɕia5	
稽	tɕi1	
稿	kɔ1	
穆	mu5	
穗	sueⁱ5	
穰	ʐaŋ1	
穴	ɕyə1	
究	tɕiou5	
窮	tɕʰyŋ1	
空	kʰuŋ1	
空	kʰuŋ5	~缺
穿	tʂʰuan1	
突	tʰu1	
窄	tʂɛ1	
竅	tɕʰiɔ5	
窯	iɔ1	
窖	tɕiɔ5	
窗	tʂʰuaŋ1	
竄	tsʰuan5	
窩	uo1	
窟	kʰu1	
窨	iən5	地~子
立	li5	
豎	ʂu5	
站	tʂan5	
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰuŋ1	
端	tuan1	
竹	tʂu1	
竿	kan1	
笊	tʂɔ5	~篱
笋	ɕyən1	
笑	ɕiɔ5	
筆	peⁱ1	
笙	ʂəŋ1	
笛	ti1	
符	fu1	
笨	pən5	
第	ti5	
籠	luŋ1	
等	təŋ1	
筋	tɕiən1	
筐	kʰuaŋ1	
筑	tʂu5	
筒	tʰuŋ1	
答	ta1	
策	tsʰə5	
篩	ʂɛ1	
箏	tʂəŋ1	
筵	ian5	
筷	kʰuɛ5	
签	tɕʰian1	
簡	tɕian1	
箅	pi5	~子
箍	ku1	
算	suan5	
管	kuan1	
籮	luo1	
簫	ɕiɔ1	
箭	tɕian5	
箱	ɕiaŋ1	
箸	tʂu5	(筷子)
篆	tʂuan5	
篇	pʰian1	
簍	lou1	
篙	kɔ1	
篦	pi5	
籃	lan1	
籬	li1	
篷	pʰəŋ1	
簧	xuaŋ1	
簸	po5	~箕
簸	po1	簸一簸
簿	po1	
籍	tɕiə5	
米	mi1	
糴	ti1	
類	leⁱ5	
粉	fən1	
粒	li5	
粗	tsʰu1	
粘	tʂan1	
糶	tʰiɔ5	
粟	su5	
粤	yə5	
粥	tʂou1	
糞	fən5	
糧	liaŋ1	
粱	liaŋ1	
粳	kəŋ1	~米
粹	tsʰueⁱ5	
糉	tsuŋ5	
精	tɕiŋ1	
糕	kɔ1	
糖	tʰaŋ1	
糙	tsʰɔ1	
糟	tsɔ1	
糠	kʰaŋ1	
糯	nuo5	
系	tɕi5	~鞋带
系	ɕi5	关~
素	su5	
索	suo1	
緊	tɕiən1	
紫	tsɿ1	
累	leⁱ5	
累	leⁱ1	~积
累	leⁱ1	~赘
絮	ɕy5	
繁	fan1	
糾	tɕiou1	
紅	xuŋ1	
約	yə1	
級	tɕi1	
紀	tɕi5	
紉	ʐən5	
緯	ueⁱ1	
純	tʂʰuən1	
紗	ʂa1	
綱	kaŋ1	
納	na5	
縱	tsuŋ5	
紛	fən1	
紙	tʂʅ1	
紋	vən1	
紡	faŋ1	
紐	niou1	
線	ɕian5	
練	lian5	
組	tsu1	
細	ɕi5	
織	tʂʅ1	
終	tʂuŋ1	
縐	tʂou5	
絆	pan5	
紹	ʂɔ5	
經	tɕiŋ1	
綁	paŋ1	
絨	ʐuŋ1	
結	tɕiə1	
繞	ʐɔ5	
繪	xueⁱ5	
給	keⁱ1	
絡	luo5	
絶	tɕyə1	
絞	tɕiɔ1	
統	tʰuŋ1	
絹	tɕyan5	
繡	ɕiou5	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	ɕy5	
繩	ʂəŋ1	
維	ueⁱ5	
綿	mian1	
綢	tʂʰou1	
綜	tsuŋ1	
綻	tʂan5	
綠	ly5	
緬	mian1	
纜	lan1	
緝	tɕi1	
緞	tuan5	
緩	xuan1	
縷	ly1	
編	pian1	
緣	yan1	
縫	fəŋ5	(名词)
縫	fəŋ1	
纏	tʂʰan1	
縊	i5	
纓	iŋ1	
縮	suo1	
繮	tɕiaŋ1	
繰	liɔ1	~边
繳	tɕiɔ1	
缸	kaŋ1	
缺	tɕʰyə1	
罐	kuan5	
网	uaŋ1	
罕	xan1	
羅	luo1	
罰	fa1	
罷	pa5	
罩	tʂɔ5	
罪	tsueⁱ5	
置	tʂʅ5	
署	ʂu1	
羊	iaŋ1	
美	meⁱ1	
羔	kɔ1	
羞	ɕiou1	
羡	ɕian5	
群	tɕʰyən1	
羽	y1	1
羽	i1	2
翁	uŋ1	
翅	tʂʰʅ5	
翠	tsʰueⁱ5	
翡	feⁱ1	
翻	fan1	
翼	i5	
耀	iɔ5	
老	lɔ1	
考	kʰɔ1	
者	tʂə1	
而	ɚ1	
耍	ʂua1	
耐	nɛ5	
耕	kəŋ1	
耗	xɔ5	
耙	pa5	~地
耩	tɕiaŋ1	~地
耳	ɚ1	
耶	iə5	
耻	tʂʰʅ1	
耿	kəŋ1	
聶	niə5	
聊	liɔ1	
聾	luŋ1	
職	tʂʅ1	
聒	kuo1	
聯	lian1	
聘	pʰiŋ5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	ɕy5	
肆	sɿ5	
肉	ʐou5	
肋	leⁱ5	
肌	tɕi1	
肘	tʂu1	
肚	tu1	
肚	tu5	~子
肝	kan1	
腸	tʂʰaŋ1	
股	ku1	
肢	tʂʅ1	
膚	fu1	
肥	feⁱ5	
肩	tɕian1	
肪	faŋ1	
骯	ŋaŋ1	
肯	kʰən1	
育	y5	
肺	feⁱ5	
腎	ʂən5	
腫	tʂuŋ1	
脹	tʂʰaŋ1	
脅	ɕiə1	
胃	ueⁱ5	
膽	tan1	
背	peⁱ5	
胎	tʰɛ1	
胖	pʰaŋ1	
胖	pʰaŋ5	
胚	pʰeⁱ1	
胛	tɕia1	
勝	ʂəŋ5	
胞	pɔ1	
胡	xu1	
胳	kə1	
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ1	
脂	tʂʅ1	
脆	tsʰueⁱ5	
脉	mɛ5	
脊	tɕi1	
脏	tsaŋ1	
脏	tsaŋ5	
臍	tɕʰi1	
腦	nɔ1	
膿	nuŋ1	
脚	tɕyə1	
脯	pʰu1	杏~
脯	pʰu1	胸~
脱	tʰuo1	
臉	lian1	
脾	pʰi1	
臘	la5	
腋	iə5	
腌	ian1	
腐	fu1	
腑	fu1	
腔	tɕʰiaŋ1	
腕	uan5	
腥	ɕiŋ1	
腮	sɛ1	
腰	iɔ1	
腱	tɕian5	
腹	fu5	
膩	ni5	
騰	tʰəŋ1	
腿	tʰueⁱ1	
膏	kɔ1	
膘	piɔ1	
膜	mo1	
膝	ɕiə1	
膨	pʰəŋ1	
膳	ʂan5	
膻	ʂan1	
臂	pi5	
臊	sɔ1	
臣	tʂʰən1	
自	tsɿ5	
臭	tʂʰou5	
至	tʂʅ5	
致	tʂʅ5	
臼	tɕiou5	
舀	iɔ1	
舅	tɕiou5	
舌	ʂə1	
舍	ʂə1	~不得
舍	ʂə5	宿~
舒	ʂu1	
舔	tʰian1	
舞	u1	
航	xaŋ1	
般	pan1	
船	tʂʰuan1	
艇	tʰiŋ1	
良	liaŋ1	
艱	tɕian1	
色	sə5	
豔	ian5	
藝	i5	
艾	ŋɛ5	
節	tɕiə1	
芋	y5	
芍	ʂuo1	
芒	maŋ1	
芒	uaŋ1	麦~儿
芙	fu1	
芝	tʂʅ1	
芥	tɕiə5	
蘆	lu1	
芬	fən1	
芭	pa1	
芮	ʐueⁱ5	(姓)
花	xua1	
芳	faŋ1	
芹	tɕʰiən1	
芽	ia1	
葦	ueⁱ1	
莧	ɕian5	~菜
蒼	tsʰaŋ1	
苏	su1	
苔	tʰɛ1	
苗	miɔ1	
苘	tɕʰiŋ1	~麻
若	ʐuo5	
苦	kʰu1	
英	iŋ1	
茂	mɔ5	
范	fan5	
茄	tɕʰiə1	
茅	mɔ1	
莖	tɕieⁱ1	
繭	tɕian1	
茫	maŋ1	
茬	tʂʰa1	
茴	xueⁱ1	
茶	tʂʰa1	
茸	ʐuŋ1	
荀	ɕyən1	
荆	tɕiŋ1	1
荆	tɕieⁱ5	2
草	tsʰɔ1	
薦	tɕian5	
荒	xuaŋ1	
荔	li5	
蕎	tɕʰiɔ1	
薺	tɕi5	
蕩	taŋ5	
榮	ʐuŋ1	
蔭	iən5	
藥	yə5	
荷	xə1	~花
荷	xə5	薄~
莎	ʂa1	
莫	mo5	
蓮	lian1	
获	xuo5	
鶯	iŋ1	
莽	maŋ1	
菊	tɕy1	
菌	tɕyən5	
菜	tsʰɛ5	
菠	po1	
菢	pɔ5	~小雞
菩	pʰu1	
萄	tʰɔ1	
萌	məŋ1	
萍	pʰiŋ1	
萎	ueⁱ1	
螢	miŋ1	
營	iŋ1	
蕭	ɕiɔ1	
薩	sa5	
落	luo5	
著	tʂu5	
葚	ʂən5	桑~
葛	kə1	
董	tuŋ1	
葫	xu1	~芦
葬	tsaŋ5	
葱	tsʰuŋ1	
葵	kʰueⁱ1	
蔣	tɕiaŋ1	
蒙	məŋ1	
蒜	suan5	
蒲	pʰu1	
蒸	tʂəŋ1	
蒿	xɔ1	
蓄	ɕy5	
蓉	ʐuŋ1	
蓑	suo1	
藍	lan1	
蓬	pʰəŋ1	
蔗	tʂə1	
蔡	tsʰɛ5	
蔫	ian1	
蔬	ʂu1	
藹	ŋɛ5	
蔽	pi5	
蕉	tɕiɔ1	
蕊	ʐueⁱ1	
薄	po1	
薄	po5	~荷
薅	xɔ1	
薛	ɕyə1	
薪	ɕiən1	
薯	ʂu1	
薰	ɕyən1	
藉	tɕiə5	~故
藏	tsʰaŋ1	
藏	tsaŋ5	
藐	miɔ1	
藕	ŋou1	
藿	xuo5	
蘸	tʂan5	
虎	xu1	
虜	lu1	
虐	yə5	
慮	ly5	
虚	ɕy1	
虞	y1	
蟲	tʂʰuŋ1	
虱	ʂʅ1	
虹	tɕiaŋ5	
虻	məŋ1	牛~
雖	sueⁱ1	
蝦	ɕia1	
蝕	ʂʅ1	
蟻	i1	
蚊	vən1	
蚌	paŋ5	
蠶	tsʰan1	
蚣	kuŋ1	
蚤	tsɔ1	
蛀	tʂu5	
蛆	tɕʰy1	
蛇	ʂə1	
蛋	tan5	
蛙	ua1	
蛛	tʂu1	
蛤	kə1	~蜊
蛤	xə1	~
蠻	man1	
蟄	tʂə1	
蟄	tʂə1	惊~
蛾	ŋə1	
蜂	fəŋ1	
蜈	u1	
蜋	laŋ1	
蜓	tʰiŋ1	
蜕	tʰueⁱ5	
蝸	uo1	
蜘	tʂʅ1	
蜜	mi5	
蠟	la5	
蜻	tɕʰiŋ1	
蠅	iŋ1	
蠍	ɕiə1	
蝗	xuaŋ1	
蝙	pian1	
蝟	ueⁱ5	
蝠	fu1	
蝶	tiə1	
螃	pʰaŋ1	
融	ʐuŋ1	
螳	tʰaŋ1	
螺	luo1	
蟀	ʂuɛ5	
蟆	ma1	
蟆	xə1	
蟒	maŋ1	
蟢	ɕi1	~子
蟹	ɕiə5	
蠓	məŋ1	~虫
蠢	tʂʰuən1	
血	ɕyə1	
行	xaŋ1	
行	ɕiŋ1	
行	ɕiŋ5	品~
銜	ɕian1	
街	tɕiə1	
衙	ia1	
衡	xəŋ1	
衣	i1	
補	pu1	
表	piɔ1	
衫	ʂan1	
襯	tʂʰən5	
衰	ʂuɛ1	
袁	yan1	
襖	ɔ1	
袋	tɛ5	
袍	pʰɔ1	
袖	ɕiou5	
袜	ua5	
被	peⁱ5	
襲	ɕi1	
裁	tsʰɛ1	
裂	liə5	
裝	tʂuaŋ1	
裕	y5	
裙	tɕʰyən1	
褲	kʰu5	
裳	ʂaŋ1	
裴	pʰeⁱ1	
裹	kuo1	
褚	tʂʰu1	(姓)
褥	ʐu5	
褪	tʰueⁱ5	
褯	tɕiə5	~子
褶	tʂə1	
襄	ɕiaŋ1	
襟	tɕiən1	
襻	pʰan5	纽~
西	ɕi1	
要	iɔ5	
覆	fu5	
見	tɕian5	
觀	kuan1	
觀	kuan5	寺~
規	kueⁱ1	
視	ʂʅ5	
覽	lan1	
覺	tɕiɔ5	睡~
覺	tɕyə1	知~
角	tɕiɔ1	
解	ɕiə5	(姓)
解	tɕiə1	讲~
觸	tʂu5	
言	ian1	
譽	y5	
謄	tʰəŋ1	~写
誓	ʂʅ5	
警	tɕiŋ1	
譬	pʰi5	~喻
計	tɕi5	
訂	tiŋ5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ1	
讓	ʐaŋ5	
訓	ɕyən5	
議	i5	
訊	ɕyən5	
記	tɕi5	
講	tɕiaŋ1	
諱	xueⁱ5	
許	ɕy1	
訛	ŋə1	
論	luən5	~语
論	luən5	议~
訟	suŋ5	
諷	fəŋ1	
設	ʂə5	
訪	faŋ1	
訣	tɕyə1	
证	tʂəŋ5	
評	pʰiŋ1	
識	ʂʅ1	
詐	tʂa5	
訴	su5	
診	tʂən1	
詞	tsʰɿ1	
詞	ua1	
