#漢字	音標	解釋
呼	xu1	
命	miŋ5	
和	xuo1	~面
和	xə1	~气
咎	tɕiou1	
詠	yŋ1	
咨	tsɿ1	
咬	iɔ1	
咳	kʰə1	
咸	ɕian1	
咽	ian5	
哀	ŋɛ1	
品	pʰiən1	
哄	xuŋ1	
哄	xuŋ5	
哈	xa1	1~腰
哈	ɕia1	2~腰
響	ɕiaŋ1	
啞	ia1	
噦	yə1	乾~
哥	kə1	
哪	na1	
哭	kʰu1	
哲	tʂə1	
哽	kəŋ1	
唆	suo1	
脣	tʂʰuən1	
唐	tʰaŋ1	
嘮	lɔ1	
喚	xuan5	
售	ʂou5	
唯	ueⁱ1	
唱	tʂʰaŋ5	
唾	tʰuo5	
啃	kʰən1	
啄	tʂuo1	
商	ʂaŋ1	
啼	ti1	
喂	ueⁱ5	
善	ʂan5	
喉	xou1	
喊	xan1	
喘	tʂʰuan1	
喜	ɕi1	
喝	xə1	
喝	xə5	吆~
喧	ɕyan1	
噴	pʰən1	
噴	pʰən5	~嚏
喻	y5	
嗉	su5	鸟~子
嗓	saŋ1	
嗣	sɿ5	
嗤	tʂʰʅ1	~笑
嗽	sou5	
嘉	tɕia1	
嘘	ɕy1	
囑	tʂu1	
嘴	tsueⁱ1	
噍	tɕiɔ5	牛倒~
噎	iə1	
器	tɕʰi5	
嚷	ʐaŋ1	
嚼	tɕyə1	
囊	naŋ1	
四	sɿ5	
回	xueⁱ1	
因	iən1	
团	tʰuan1	
囤	tʰuən1	
囤	tuən5	
園	yan1	
困	kʰuən5	
囱	tʰuŋ1	
圍	ueⁱ1	
固	ku5	
國	kuo1	
圖	tʰu1	
圓	yan1	
圈	tɕʰyan1	
圈	tɕyan5	猪~
土	tʰu1	
聖	ʂəŋ5	
在	tsɛ5	
地	ti5	
場	tʂʰaŋ1	
址	tʂʅ1	
均	tɕyən1	
坍	tʰa1	
坎	kʰan1	
壞	xuɛ5	
坐	tsuo5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕian1	
坛	tʰan1	
壩	pa5	
塢	u1	
墳	fən1	
墜	tʂueⁱ5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan1	
坪	pʰiŋ1	
坯	pʰeⁱ1	
坳	iɔ5	山~
垂	tʂʰueⁱ1	
型	ɕiŋ1	
垒	lueⁱ1	
垜	tuo5	柴~
墊	tian5	
垮	kʰua1	
埂	kəŋ1	田~
埃	ŋɛ1	
埋	mɛ1	
城	tʂʰəŋ1	
埯	an1	(坑)
培	pʰeⁱ1	
基	tɕi1	
堂	tʰaŋ1	
堆	tueⁱ1	
堡	pɔ1	
堤	ti1	
堵	tu1	
塌	tʰa1	
塑	su5	
塔	tʰa1	
塘	tʰaŋ1	
塞	sɛ1	
填	tʰian1	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiaŋ1	
增	tsəŋ1	
墟	ɕy1	
墨	meⁱ5	
墩	tuən1	
壁	pi5	
壅	yŋ1	
壕	xɔ1	
壤	ʐaŋ1	
士	ʂʅ5	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰə1	
壺	xu1	
處	tʂʰu5	~所
備	peⁱ5	
复	fu5	
夏	ɕia5	
夕	ɕi1	
外	uɛ5	
多	tuo1	
夜	iə5	
够	kou5	
大	tɛ5	1~黄
大	ta5	2~黄
大	tuo5	
天	tʰian1	
太	tʰɛ5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	
失	ʂʅ1	
頭	tʰou1	
夷	i1	
夸	kʰua1	
夾	tɕi1	
夾	tɕia1	
奪	tuo1	
奇	tɕʰi1	
奈	nɛ5	
奮	fən5	
奎	kʰueⁱ1	
奏	tsou5	
契	tɕʰi5	
奔	pən5	
獎	tɕiaŋ1	
套	tʰɔ5	
奚	ɕi1	
奠	tian5	
奧	ɔ5	
女	ny1	
奴	nu1	
奶	nɛ1	
奸	tɕian1	
好	xɔ1	
如	ʐu1	
妃	feⁱ1	
妄	uaŋ5	
婦	fu5	
媽	ma1	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
