#漢字	音標	解釋
#簡稱	/	沅陵渭溪
#全稱	/	沅陵渭溪話
#聲母	/	
#韻母	/	
#聲調	/	55 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,35 3 2 上 ꜂,,33 5 3 去 ꜄,,53 7 4 入 ꜆
#版本	/	2022-01-21
#錄入人	/	跳跳老鼠
#參考資料	/	《湘西鄉話語音研究》
#說明	/	
一	i2	
七	tɕʰi7	
万	me5	
丈	dzoŋ5	～土地
丈	tʰioŋ3	一～
三	su1	
上	tsʰoŋ3	～山
不	pu2	
丑	tɕʰia3	
丘	tɕʰia1	
東	təɯ1	
絲	sa1	
兩	tso3	～个
兩	dioŋ3	几～几钱
中	tiəu1	
丸	yɛ2	
爲	ui5	
主	tsa3	
久	tɕia3	
乖	ko1	
九	tɕia3	
鄉	ɕioŋ1	
書	tsəɯ1	
買	ma3	
亂	dzɑŋ5	
爭	tsɑŋ1	
事	sɿ3	
二	tso3	
雲	yɛ2	
五	ŋ̍3	
享	ɕioŋ3	
亮	dioŋ5	
親	tɕʰiɛ1	
親	tɕʰiɛ1	～家
人	ŋ̍1	
仆	bo2	～倒
仇	dza2	
今	tɕio2	
倉	tsʰoŋ1	
仙	ɕi1	
代	tʰo1	
件	tɕʰiɛ3	
會	xa3	～不～
傘	soŋ3	
伢	ŋu1	小～子
傷	soŋ1	
伯	pu7	
住	tiəɯ5	
何	uɛ2	
你	ȵi3	
使	sa3	
侄	tʰi1	
侍	sa5	
便	piɛ2	～宜
便	pʰiɛ5	方～
信	ɕiɛ5	
修	ɕiei1	
倒	tau5	～水
值	tʰiəu1	
假	ko3	
偏	pʰiɛ1	
做	tsei5	
停	dɑŋ2	
傅	fu1	
催	tsʰo1	
像	dʑiɑŋ7	
兄	foŋ1	
充	tsʰəɯ1	
先	ɕiɛ1	
兌	to5	
兜	ta1	
入	ŋ̍3	
八	po7	
公	kəɯ1	
六	dia7	
蘭	lɑŋ1	
養	zoŋ3	
再	tsai5	
寫	ɕio3	
軍	tɕyɛ1	
冬	təu1	
冲	tsʰəɯ1	
凍	təɯ5	
淨	tɕʰi1	
準	tsuɛ3	
几	tɕi3	～个
出	tsʰu7	
刀	tau1	
分	fɛ1	
切	tɕʰiɛ7	
劉	dia1	
初	tsʰei1	
刨	bau2	～地
刮	ko7	
到	tau5	
刷	so3	
刺	tɕʰi5	
刻	kʰo7	
剃	tʰa5	
削	ɕiau7	
前	dʑiɛ2	
剔	tʰi7	
剖	pʰei3	
剝	pau7	
剩	zɑŋ5	
割	ɡəɯ2	
力	diəu7	
勸	tɕʰyɛ5	
功	kəɯ1	
動	dzəu3	
勤	tɕiɛ2	
勺	tsue2	
勾	kei2	
勻	zuɛ2	
包	pau1	
北	pe7	
匠	dʑioŋ5	
匹	fa2	
十	tsʰɿ1	
升	tsɑŋ1	
半	põ5	
單	toŋ1	
賣	ma5	
南	lɑŋ1	
历	dio7	～头
历	di2	挂～
厲	di5	
壓	o7	
厚	ʔa3	
廚	tsəu2	
去	tɕʰi5	
縣	uɛ5	
友	za3	
雙	soŋ1	
雙	dzoŋ1	
反	fɛ3	
发	fo7	
取	tsʰai3	
變	pi5	
口	kʰa3	
古	ku3	
只	tse1	
