#漢字	音標	解釋
□	nɑ1	大拇指到中指的距离
一	i3	
丁	tiŋ1	
七	tsʰi3	
万	uã1	
丈	tʃɑŋ5	
三	θã1	
上	ʃɑŋ5	
下	ɕiɑ5	
不	pu3	又
不	pu5	又
与	y5	给~
丑	tʃʰou3	
專	tʃuã1	
且	tsʰiə3	
世	ʃɿ5	
丘	tɕʰiou1	
丙	piŋ1	
業	iə5	
叢	tθʰuŋ3	
東	tuŋ1	
絲	θɿ1	
丢	tiou1	
兩	liɑŋ3	
嚴	iã5	
喪	θɑŋ1	
个	kuə1	
个	kə5	又
个	kuə5	又
中	tʂuŋ5	射~
中	tʂuŋ1	当~
丰	fəŋ1	
串	tʃʰuã1	
臨	liẽ5	
丸	uã5	
爲	uei5	
主	tʃu3	
麗	li3	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
麽	iɔ1	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɑ5	
乏	fɑ5	
乖	kuɛ1	
乘	tʃʰəŋ5	
乙	i3	
九	tɕiou3	
習	si3	
鄉	ɕiɑŋ1	
書	ʃu1	
買	mɛ3	
亂	lǎ1	
乳	y3	
乾	tɕʰiã1	~坤
了	liɔ3	
予	y5	
爭	tʂəŋ1	
事	ʂʅ5	
二	ər5	
于	y5	~是
于	y5	介~,属~
虧	kʰuei1	
云	yẽ5	
互	xu5	
五	u3	
井	tsiŋ3	
亞	iɑ3	
些	siə1	
交	tɕiɔ1	
亥	xɛ1	
產	ʂã3	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亮	liɑŋ1	
親	tsʰiẽ1	
人	iẽ5	
億	i5	
仁	iẽ5	
仆	pʰu3	~从
仇	tʃʰou5	
今	tɕiẽ1	
介	tɕiɛ5	
从	tθʰuŋ3	
倉	tθʰɑŋ1	
他	tʰə1-	
他	tʰɑ1	
仗	tʃɑŋ5	
付	fu1	
仙	syã1	
代	tɛ5	
令	liŋ5	
以	i5	
仨	θɑ1	
仰	iɑŋ1	
仲	tʂuŋ1	
件	tɕiã5	
價	tɕiɑ5	
任	iẽ3	
份	fẽ1	
企	tɕʰi5	
伍	u3	
伏	fu5	
休	ɕiou1	
衆	tʂuŋ5	
優	iou1	
伙	xue3	
會	kʰuɛ5	~计
會	xuei1	开~
傘	θã3	
偉	uei3	
傳	tʃuã5	~记
傳	tʃʰuã5	~达
傷	ʃɑŋ1	
倫	luẽ5	
僞	uei3	
伯	pei5	
估	ku3	
伴	pã5	
位	uei5	
低	ti1	
住	tʃu5	
體	tʰi5	
何	xue5	
余	y5	
佛	fu5	
作	tθuə5	
