#漢字	音標	解釋#('wuu_tz_xj', '仙居話', '仙居', '#8B0000', None, None, '來源：<u>落橙</u>', '334 1 1a 陰平 ꜀,312 2 1b 陽平 ꜁,423 3 2 上 ꜂,,55 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇', None, None)
□	tsɿ1	
□	tɕʰiɤu1	箍桶
□	pʰaʔ7	用手撕開
□	kiaʔ7	鐮刀
□	tsʰaʔ7	皴
□	ɦuɛ2	小孩乖
□	dzã6	塞
一	iɪʔ7	
丁	ʔdiɪŋ1	
七	tsʰɤʔ7	
丈	dʑia2	
三	sa1	
上	ʑia2	～山
上	ʑia6	～面
下	o3	
不	ʔbɤʔ7	
丐	kɛ5	
且	tɕʰi3	
丕	pʰi1	
世	ɕi5	
丘	tɕʰiɤu1	
丙	ʔbiɪŋ3	
丞	ʑiɪŋ2	
丟	ʔdø1	
並	biɪŋ2	
並	ʔbiɪŋ5	合～
丫	o1	
中	tɕyoŋ1	當～
中	tɕyoŋ5	射～
串	tsʰø5	
丸	ɦua2	
丹	ʔda1	
主	tɕy3	
乃	ʔna3	
久	tɕiɤu3	
么	iao1	～二三
之	tsɿ1	
乏	vɔʔ8	
乖	kua1	
乘	ʑiɪŋ2	
乙	iɪʔ7	
九	tɕiɤu3	
乞	tɕʰiɪʔ7	
也	ia3	
乳	ʑy2	
亂	lø6	
了	liao2	
了	ʔliao3	
二	ȵi6	
互	ɦu6	
五	ʔŋ3	
井	tɕiɪŋ3	
些	sɤʔ7	
亞	o5	
亡	vɔ̃2	
交	kao1	
亥	ɛ3	
亦	ɦiɪʔ8	
亨	hã1	
享	ɕia3	
京	tɕiɪŋ1	
亭	diɪŋ2	
亮	lia6	
人	ziɪŋ2	文
人	ȵiɪŋ2	白
什	zɤʔ8	～錦菜
仁	ziɪŋ2	
仇	dʑiɤu2	姓
仇	dʑiɤu2	
今	tɕiɪŋ1	
介	za5	
仍	ȵiɪŋ2	
仕	zɿ2	
他	tʰa1	
仗	dʑia2	
付	fu5	
仙	ɕie1	
代	dɛ6	
令	liɪŋ6	
以	i3	
仰	ʔȵia3	
仲	dʑyoŋ6	
件	dʑie2	
任	ȵiɪŋ2	姓
任	ziɪŋ6	責～
份	vɤŋ6	
仿	fɔ̃3	相似
仿	fɔ̃3	～效
企	tɕʰi3	
伊	i1	
伍	u3	
伏	voʔ8	
伐	vɔʔ8	
休	ɕiɤu1	
伯	ʔbaʔ7	
估	ku3	
伴	bø2	
伶	liɪŋ2	
伸	siɪŋ1	
伺	zɿ6	
似	zɿ2	
佃	die2	
但	da6	
位	ɦuɛ6	文
位	ɦy6	白
低	ʔdi1	
住	dʑy6	
佐	tso5	
佑	ɦiɤu6	
何	ɦo2	
佘	zo2	
余	ɦy2	
佛	vɤʔ8	
作	tsɔʔ7	～坊，工～
佩	bɛ6	
佳	ko1	
使	sɿ3	
侄	dzɤʔ8	
來	lɛ2	
侈	tsʰɿ3	
侉	kʰua3	
例	li6	
侍	zɿ6	
侖	lɤŋ2	
供	tɕyoŋ1	
依	i1	
侮	vu2	
侯	ɦɤu2	
侵	tsʰiɪŋ1	
便	bie2	～宜
便	bie6	方～
促	tsʰoʔ7	
俄	ŋo2	
俊	tɕyøŋ5	
俏	tɕʰiao5	
俗	ʑyoʔ8	
俘	fu1	
保	ʔbao3	
信	siɪŋ5	
修	ɕiɤu1	
俯	fu3	
俱	ɡy6	
俸	voŋ6	
倉	tsʰɔ̃1	
個	ko5	
倍	bɛ2	
倒	ʔdao3	打～
倒	ʔdao5	～水
倔	tɕyɔʔ7	脾氣～
倘	tʰɔ̃3	
候	ɦɤu6	
倚	i3	
借	tɕi5	白
借	tɕya5	文
倡	tɕʰia5	
倦	ɡyø6	
倪	ȵi2	
倫	lɤŋ2	
倭	a1	
值	dʑiɪʔ8	
假	ko3	真～
假	ko5	放～
偉	y3	
偏	pʰie1	
做	tso5	
停	diɪŋ2	
健	dʑie6	
側	tsʰɤʔ7	
偵	tsiɪŋ1	
偶	ʔŋɤu3	
偷	tʰɤu1	
傀	kʰuɛ3	
傅	vu6	
傍	bɔ̃6	
傑	dʑiaʔ8	
傘	sa3	
備	bi6	
催	tsʰɛ1	
傲	ŋao6	
傳	dzø2	～達
傳	dzø6	～記
債	tsa5	
傷	ɕia1	
傻	sa3	
傾	tɕʰiɪŋ1	
僅	tɕiɪŋ3	
像	ʑia2	
僑	dʑiao2	
僕	pʰoʔ7	倒
僕	boʔ8	
僞	ɦuɛ6	
僥	tɕiao3	
僧	siɪŋ1	
僵	tɕia1	
價	ko5	
僻	pʰiɪʔ7	
儀	ȵi2	
儉	dʑie2	
儒	ʑy2	
償	zɔ̃2	新
償	ʑia2	
儡	ʔlɛ3	
優	iɤu1	
儲	dʑy2	
儼	ʔȵie3	
允	yøŋ3	
元	ȵyø2	
兄	ɕyoŋ1	
充	tɕʰyoŋ1	
兆	dʑiao2	
先	ɕie1	
光	kuɔ̃1	
克	kʰiɪʔ7	
兌	dɛ6	
免	ʔmie3	
兒	ŋ2	
兔	tʰu5	
兜	ʔdɤu1	
入	zɤʔ8	
內	lɛ6	
全	zø2	
兩	ʔlia3	
八	ʔbɔʔ7	
公	koŋ1	
六	loʔ8	
兮	ɦi2	
共	dʑyoŋ6	
兵	ʔbiɪŋ1	
其	dʑi2	
具	ɡy6	
典	ʔdie3	
兼	tɕie1	
冀	tɕi5	
冊	tsʰaʔ7	
再	tsɛ5	
冒	mao6	
冠	kua1	衣～
冠	kua5	～軍
冤	yø1	
冬	ʔdoŋ1	
冰	ʔbiɪŋ1	
冷	ʔlã3	
准	tɕyøŋ3	
凍	ʔdoŋ5	
凝	ȵiɪŋ2	
凝	ȵi2	
凡	va2	
凱	kʰɛ3	
凳	ʔdiɪŋ5	
凶	ɕyoŋ1	
出	tɕʰyoʔ7	
函	ɦa2	
刀	ʔdao1	
刁	ʔdiao1	
刃	ȵiɪŋ6	
分	fɤŋ1	
切	tɕʰiaʔ7	
刊	kʰø1	
刎	vɤŋ2	
刑	ɦiɪŋ2	
列	liaʔ8	
初	tsʰu1	
判	pʰø5	
別	biaʔ8	
刨	bao6	
利	li6	
刪	sa1	
刮	kuaʔ7	
到	ʔdao5	
制	tɕi5	
刷	ɕyɔʔ7	
券	kʰyø5	
刺	tsʰɿ5	
刻	kʰiɪʔ7	
剁	ʔdo5	
剃	tʰi5	
則	tsɤʔ7	
削	ɕyɔʔ7	
前	ʑie2	
剔	tʰiɪʔ7	
剖	pʰo1	
剛	kɔ̃1	
剝	ʔbɔʔ7	
剩	dʑiɪŋ6	
剪	tɕie3	
剮	kua3	
副	fu5	
割	kiaʔ7	
創	tɕʰia5	
剿	tɕiao3	
劃	ɦo2	～船
劃	ɦuaʔ8	
劄	tsaʔ7	用針～
劄	tsaʔ7	
劇	dʑiɪʔ8	
劈	pʰiɪʔ7	
劉	lɤu2	
劊	kuɛ5	
劍	tɕie5	
劑	tɕi5	
力	liɪʔ8	
功	koŋ1	
加	ko1	
劣	laʔ8	
助	zu6	
努	ʔnu3	
劫	tɕiaʔ7	
勁	dʑiɪŋ6	
勃	boʔ8	
勇	yoŋ3	
勉	ʔmie3	
勒	laʔ8	
動	doŋ2	
勘	kʰø5	
務	vu6	
勛	hyøŋ1	
勝	ɕiɪŋ5	
勞	lao2	
募	m6	
勢	ɕi5	
勤	dʑiɪŋ2	
勵	li6	
勸	kʰyø5	
勺	ʑyɔʔ8	
勻	ɦyøŋ2	
勾	kɤu1	
勾	kɤu5	～當
勿	fɤʔ7	
包	ʔbao1	
匆	tsʰoŋ1	
北	ʔbɤʔ7	
匙	zɿ2	
匠	ʑia6	
匡	tɕʰyɔ̃1	
匣	ɦaʔ8	箱～
匪	fi3	
匯	ɦuɛ2	
匯	ɦuɛ6	
匹	pʰiɪʔ7	
匾	ʔbie3	
匿	ȵiɪʔ8	
區	kʰy1	
十	zɤʔ8	
千	tɕʰie1	
升	ɕiɪŋ1	
午	ʔŋ3	
半	ʔbø5	
卑	ʔbɛ1	
卒	tsɤʔ7	
卓	tɕyɔʔ7	
協	ɦiaʔ8	
南	nø2	
博	ʔbɔʔ7	
占	tɕie1	～卜
占	tɕie5	
卦	kua5	
卯	ʔmao3	
印	iɪŋ5	
危	ɦuɛ2	
危	ȵy2	白
即	tɕiɪʔ7	
卵	ʔlɤŋ3	
卷	kyø3	
卷	kyø5	
卸	ɕya5	
卻	tɕʰyɔʔ7	
卿	tɕʰiɪŋ1	
厘	li2	
厚	ɡɤu2	
原	ȵyø2	
厭	ie5	
厰	tɕʰia3	
厲	li6	
去	kʰy5	文
去	kʰɛ5	白
參	tsʰø1	
參	siɪŋ1	人～
又	ɦiɤu6	
叉	tsʰo1	
及	dʑiɪʔ8	
友	iɤu3	
反	fa3	
叔	ɕyoʔ7	
取	tɕʰy3	
受	ʑiɤu2	
叛	bø6	
叟	sɤu3	
叢	zoŋ2	
口	kʰɤu3	
古	ku3	
句	ky5	
另	liɪŋ6	
叨	ʔdao1	
叩	kʰɤu5	
只	tsɤʔ7	～有
只	tsɤʔ7	
只	tɕiɪʔ7	舊
只	tsɿ3	文，～有
叫	tɕiao5	
召	dʑiao6	
可	kʰo3	
台	tʰɛ1	天～，～州
史	sɿ3	
右	iɤu3	
司	sɿ1	
吃	tɕʰyoʔ7	
各	kɔʔ7	
吆	iao1	
合	kiaʔ7	十～一升
合	ɦaʔ8	
吉	tɕiɪʔ7	
吊	ʔdiao5	
同	doŋ2	
名	miɪŋ2	
吏	li6	
吐	tʰu3	～痰
吐	tʰu5	嘔～
向	ɕia5	
君	kyøŋ1	
吝	liɪŋ6	
吞	tʰɤŋ1	
