#漢字	音標	解釋
#簡稱	/	冷水江錫礦山
#全稱	/	冷水江錫礦山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-06
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（錫礦山）方言語音研究》
#說明	/	
□	tia1-	～手:牵手
□	vu1	捕捉家禽
□	pʰa1	一～:一段时间
□	la1	形容词前缀:～嫩，～瘦
□	pʰia1	～陡:非常陡
□	lia1	～开:用脚把东西推开
□	tɕia1	～淡:不够甜或咸
□	tɕʰia1	～绿:铁锈
□	tɕʰya1	用绳子系
□	tsɤ1	发～:瘟疫,主要用于牲畜
□	zɤ1	～雨:淋雨
□	ɗiɤ1	～回:将来
□	ɗiɤ1	～出去:扔出去
□	liɤ1	～人，吵人
□	lɔ1	那～;那里
□	tsɔ1	～烂;皮肤干燥裂开
□	kɔ1	看～哩:看遍了
□	tɕiəu1	～倒:塞住
□	tɕiəu1	～圞：很圆
□	tsən1	性格执拗
□	kʰən1	倒掉
□	ʑyən1	习惯
□	lã1	给人东西时的提示语，意义上相当于“给""
□	zã1	砸
□	ɣã1	用棒等击打
□	pʰɔ̃1	赶牲畜
□	ʑyɔ̃1	～前天:大前天
□	ã2	～给几:刚才
□	ɓɔ̃2	抚养
□	lɔ̃2	
□	za3	～扫把:用竹条傲的扫把
□	xa3	往碗外面拨拉饭菜
□	pia3	拟声词，枪击声
□	kua3	鸡蛋变质
□	ko3	方位代词，～边:这边
□	ɗɤ3	～被子:被套
□	tsʰɤ3	发～:划拳
□	pʰæ3	用扁担一头扛物
□	ɗæ3	乖～:漂亮
□	zæ3	身子发软往下缩
□	ɔ3	狗吠
□	sã3	搂抱
□	ã3	拟声词，表示应允
□	tʰiɛ̃3	～子:梯子
□	iɛ̃3	～人:丢脸
□	pʰɔ̃3	～头:扣肉
□	lɔ̃3	理睬
□	kʰɔ̃3	咳嗽声
□	pa5	～酒:用菜下酒
□	fa5	～出去:把东西转几后扔出去
□	sa5	手脚向两边展开
□	a5	痒
