#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
儀	ȵi2	
億	i5	
儉	dʑiẽ6	
儘	tɕin3	～呱哩：後加成分，表示程度很深
儘	ʑin6	
償	ʑiaŋ2	
儡	luei3	
優	iəu1	
儲	dʑy2	
儼	ȵiẽ3	
允	yn3	
元	yẽ2	
兄	ɕyŋ1	
充	tsʰuŋ1	
兆	dʑiau6	
兇	ɕyŋ1	
光	kuŋ1	(白)]公蚣工功攻弓[(文)]躬宮恭供[～出同謀
光	kuaŋ1	(文)
克	kʰe2	
兌	duei6	
免	mie3	
免	miẽ3	(文)
兒	ɣe2	
兔	tʰu5	(文)
兔	tʰəu5	(白)
兜	təu1	(文)
入	ȵi7	(白)
內	luei5	
全	dʑye2	(白)]傳[～達]椽[(白)
全	dʑyẽ2	(文)]泉傳[(文)]椽[(文)
兩	lu3	～個
兩	liũ3	(白)幾～
兩	liaŋ3	(文)～個；幾～
八	pa7	(白)
六	liəu7	(白)
共	ɡuŋ6	(文)
共	dʑyŋ6	(白)
兵	pin1	
具	dʑy6	
典	tiẽ3	
兼	tɕiẽ1	
冀	i5	
冇	mau3	～得：沒有
再	tsai5	
冒	mau5	
冗	ɕyŋ3	
冠	kuan1	
冠	kuan5	
冢	tsuŋ1	
冤	yẽ1	
冰	pin1	
冷	lo3	(白)
冷	lən3	(文)
准	tɕyn3	(文)
准	tɕyŋ3	(白)
凊	tɕʰio5	涼
凌	lin2	(文)]菱靈[(文)]零[(文)
凌	lin5	(白)
凍	taŋ5	
凝	ȵi2	
几	tʃi3	茶～
凡	ban2	
凡	van2	
凱	kʰai3	
凳	tən5	(文)
凳	taŋ5	(白)
凶	ɕyŋ1	
凹	pi7	(訓讀)
出	tɕʰy7	(白)
凼	duŋ6	穢～：漚肥的坑
刀	tei1	(白)
刀	tau1	(文)]兜[(白)]逗[(白)
刁	tiau1	
刃	ʑin6	
分	fən1	(文)
分	faŋ1	(白)]荒[(文)]慌[(文)
