#漢字	音標	解釋#('wxa_xn_dahq', '東安花橋話', '東安花橋', '#8B0000', None, None, '來源：鮑厚星.東安土話研究[M].湖南教育出版社.1998<br>轉錄者：跳跳老鼠', '33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,54 3 2 上 ꜂,,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,42 7 4 入 ꜆', None, None)
恥	tsɿ3	
恨	ɣən6	
恩	ŋən1	
恰	tɕʰia1	(文)
恰	tɕʰia7	(白)
悄	tɕʰiau1	
悅	ye2	
悔	fei3	
悟	u5	(文)
悠	iəu1	
患	uan5	
悲	pei1	
悶	mən5	
情	dʑin2	
情	ʑin2	
惑	ue2	
惜	ʃi1	
惟	bi2	(白)
惟	uei2	(文)]唯[(文)]違[(文)
惠	uei5	
惡	o1	(文)
惡	u7	可恨；善～
惱	nei3	(白)
想	mən1	(訓讀)～主意：想主意
想	ɕiũ3	(白)]賞[(白)]響[(白)
想	ɕiaŋ3	(文)]賞[(文)]晌響[(文)
惹	ʑie3	(文)
愁	zau2	
愁	zəu2	(文)
愈	y5	
愉	y5	
意	i5	
愚	y2	
愛	ŋai5	
感	kan3	
愧	kʰuei5	
態	tʰai5	
慎	ʑin6	
慕	mu5	
慘	tsʰan3	
慚	dzan6	
慢	ma5	(白)
慢	man5	(文)
慣	kua5	(白)
慣	kuan5	
慧	fei5	
慨	kʰai3	
慪	au5	(白)
慪	ŋəu5	(文)～氣
慫	suŋ3	
慮	ly5	
慰	uei5	
慶	tɕʰin5	
慷	kʰaŋ3	
慾	y5	
憂	iəu1	
憎	dzən6	
憑	bin2	
憤	fən5	
憨	xan1	
憫	min3	
憲	ɕie5	(白)
憶	i5	
憾	ɣan3	
懂	tuŋ3	
懇	kʰən3	
懈	xai5	
應	in5	
懊	ŋau5	
懵	muŋ3	～懂
懶	la3	(白)
懶	lan3	(文)
懷	uai2	(文)
懸	dʑyẽ2	
懼	dʑy6	
戀	liẽ5	
戊	vu5	
戌	ɕy1	(文)]籲戍蓄[儲～]荽[芫～
戌	ɕy7	(白)～時
戎	yŋ2	
我	ŋo3	用於複數「我們」
我	ŋo5	用於單數
戒	kai5	(文)
或	ue2	
戚	tʃʰi1	
戥	taŋ3	
截	dʑie2	(文)
戳	tsʰo1	(文)
戳	tsʰu7	(白)]促[(白)]㪕[～起棍子
戴	tai5	
戶	vu6	
房	buŋ2	(白)
所	so3	
扁	piẽ3	(文)]蝙[(文)]匾[(文)
扇	ɕiẽ5	(文)]憲[(文)]獻[(文)
手	ɕiəu3	
才	dzai2	
打	ta3	
打	to3	(白)～早：趁早
扔	dʑin6	
扛	kaŋ1	
扣	kʰau5	(白)
扣	kʰəu5	(文)
扭	ȵiəu3	
扮	ban6	
扯	tɕʰie3	(文)
扶	vu2	
扶	tia7	(訓讀)～過門口
批	pʰi1	
扽	tən1	
找	dai3	(訓讀)
找	tsau3	
技	dʒi6	
抄	tsʰau1	
把	po3	(白)
抑	i1	
抓	tsua1	(文)
抓	tɕya1	(文)
抓	dzua6	(白)～癢
投	dəu2	
抖	təu3	
抗	kʰaŋ5	
折	tɕie1	
折	kʰue3	(訓讀)
披	pʰi1	(文)]譬飛[(白)雞毛～～：雞毛撣子]匹僻辟劈[(文)
抱	pei3	(白)
抱	bau6	(文)]暴[(文)]菢[(文)
抵	ti3	(文)
抵	tai3	(白)～錢：值錢；愛惜
抹	ma1	(文)
抹	mo1	(文)
抹	ma7	(白)
押	ʑia1	(文)
押	ʑia7	(白)
抽	tɕʰiəu1	
抿	min3	
拃	dʑia3	一～]㐄[跨：～過門口]跨[(訓讀)～過門口
拆	tsʰe2	(文)]㿭[(文)]策冊[(文)
拆	tsʰo7	(白)
拇	mu3	
拈	ȵiẽ1	
拋	pʰau1	
拌	be3	(白)
拌	pan6	(文)
拍	pʰe2	(文)
拍	pʰo7	(白)
拎	lin2	
拐	kuai3	
拒	dʑy6	
拔	ba2	(文)～河]罰[(文)]襪[(文)
拖	tʰu1	(白)]突[(文)]禿[(文)
拙	tɕye7	(白)]厥[(白)]決[(白)
招	tɕiau1	
拜	pai5	(文)
拯	tɕin3	
拱	kuŋ3	
拴	ɕya1	(白)
拴	suan1	(文)
拼	pʰin5	
拿	na2	
指	tsɿ3	
按	ŋan5	
挑	tʰie1	(白)]添[(白)]帖[(文)
挑	tʰiau1	(文)
挖	ua2	(文)
挨	ŋa1	(白)～近]安[(白)]鞍[(白)
挨	ŋai1	(文)～近
挪	no2	
振	tɕin3	
挺	tʰin3	
挽	ua3	(白)
挽	uan3	(文)]腕[(文)]豌[(文)
挾	tɕia1	(文)
挾	ka7	(白)～菜
捅	tʰuŋ3	
捆	kʰuən3	
捋	lio2	(文)]略靈[(白)]零[(白)
捋	lya7	～袖子
捏	ȵie3	
捐	tɕyẽ1	(文)
捕	pʰu3	
捧	pʰuŋ3	
捱	ŋai2	
捲	tɕye3	(白)
捲	tɕyẽ3	(文)
捶	dy2	
捶	dʑy2	
捺	na2	(文)
捺	na7	(白)
掀	ɕie1	(白)]歇[(文)]蠍屑腋[(文)
掂	tiẽ5	(文)
掃	sei3	～地
掃	sau3	(文)～地
掃	sei5	～管：笤帚
掃	sau5	(文)]潲[(文)]漱[(白)
授	ʑiəu6	
掉	die6	(白)]調[(白)～動]墊[(白)
掌	tɕiaŋ3	
掏	dei2	(白)]逃[(白)]桃[(白)
掐	tɕʰia1	(文)
掐	kʰa7	(白)
排	bai2	(文)
掘	tɕye1	(文)
掘	tɕye7	(白)
掠	lio7	
採	tsʰai3	
探	tʰan5	
接	tɕie1	(文)]摺[(文)]褶[(文)
接	tsai7	(白)]鯽[(白)]側[(白)
控	kʰuŋ5	
推	tʰuei1	
掩	iẽ3	
掬	tɕy1	
掮	tɕiẽ5	
掰	pie7	～苞谷
揀	tɕie3	(白)]剪[(白)]繭[(白)
揉	dʑiəu2	
揉	ʑiəu2	
提	di2	(文)]啼蹄笛[(文)]狄糴[(文)
插	tɕʰia7	(白)
揖	i1	
換	ue5	(白)]汗[(白)]醃[(白)～菜
換	uan5	(文)
揞	ŋan5	
握	u1	
揣	tsʰuai3	
揩	kʰa1	(白)
揩	kʰai1	(文)
揭	tɕie1	(文)]結[(文)]潔節[(文)
揭	tɕie7	(白)
揮	fei1	
援	yẽ2	
揹	pei1	
搊	tsʰau1	(白)～屎～尿：把屎把尿
損	sən3	
搓	tsʰu1	
搖	iau2	
搖	kuaŋ5	(訓讀)～腦殼：搖頭
搜	səu1	(文)
搞	kau3	
搧	ɕiẽ5	(文)]線[(文)]羨[(文)
搬	pe1	(白)
搬	pan1	(文)
搲	ua3	～米：舀米]瓦[(文)]豌[(白)
搶	tɕʰiũ3	(白)
搶	tɕʰiaŋ3	(文)]廠[(文)]強[勉～
搽	zo2	
摔	suai3	
摘	tse1	(文)
摟	lau2	
摟	ləu3	(文)
摳	kʰəu1	
摸	mo1	(文)
摸	mu7	(白)]木[(白)]目[(白)
摹	mo2	
摺	tɕie7	(白)]褶[(白)]劫[(白)
撇	pʰie7	(白)～開
撈	lau1	～鬆：很鬆
撈	lau2	
撒	sa5	
撓	iau2	
撙	tsən1	
撞	dzuŋ3	(白)
撞	dzuaŋ6	(文)
撤	tɕʰie1	(文)]千[(白)]轍牽[(白)
撤	tɕʰie7	(白)
撥	po1	(文)]鈸潑[(文)活～]博剝[(文)
撥	pu7	(白)]不薄剝[(白)]駁[(白)
撩	liau2	
撫	fu3	
撮	tsʰo1	(文)
撮	tɕʰya7	(白)～斗：撮垃圾的簸箕
撰	tsuan3	
撳	tɕʰin3	
撼	ɣan3	
撿	tɕie3	(白)]筧[(白)]姐[(文)
撿	tɕiẽ3	(文)]簡鐧[(文)]柬揀[(文)
擁	yŋ3	
擂	luei2	
擇	ze2	(文)
擇	dzo7	(白)
擇	zo7	(白)
擊	tʃi1	
操	tsʰau1	
擔	tan1	(文)
擔	to5	～子
擔	tan5	(文)
據	tɕy5	
擠	tʃi3	
擡	dai2	
擤	xuŋ1	(訓讀)～鼻頭：擤鼻涕
擦	tsʰa1	(文)
擦	tsʰa7	(白)
擬	ȵi3	
擱	ko1	
擱	ko7	(白)
擲	tʃi1	
擺	pai3	
攀	pʰa1	(白)
攀	pʰan1	(文)
攆	ȵie3	(白)
攏	luŋ3	
攔	lan2	(文)
攘	ɕiaŋ3	
攙	tsʰan1	
攝	ɕie1	
攢	tsa3	(白)
攤	tʰa1	(白)
攪	ɡau2	(白)
攪	tɕiau3	
攬	lan3	
支	tsɿ1	
收	ɕiəu1	
改	ka3	(白)]解[(白)～鞋：脫鞋]減[(白)
改	kai3	(文)
放	fuŋ5	(白)
放	xuŋ5	(白)
政	tɕin5	
效	ʑiau6	
敏	min3	
救	tɕiəu5	
敗	bai6	
敘	dʑy6	
教	tɕiau5	(文)]醮照[～子：鏡子]叫[(文)
敝	pi5	
敞	tɕʰiaŋ3	
敢	kan3	
散	san3	(文)～裝
散	sa5	(白)～會
散	san5	(文)～會
敦	tən1	
敬	tɕin5	
敲	kʰau1	
敷	fu1	
數	su3	(文)動詞
數	səu3	(白)
數	su5	(文)名詞
斂	liẽ3	
斃	pi5	
文	vən2	
斗	təu3	(文)
料	lie5	(白)
料	liau5	(文)]廖搖[(訓讀)～腦殼：搖頭]撂[扔
斛	fu5	
斜	dʑia2	(文)
斜	ʑio2	(白)]邪蛇[(白)]嚼[(文)
斜	tɕʰia5	(訓讀)
斟	tɕin1	
斥	tʃʰi1	
斧	fu3	
斬	dzan3	
斯	sɿ1	
新	ɕin1	
斷	due3	(白)～黑：黃昏
斷	duan6	(文)～絕；決～]段[(文)]緞[(文)
方	faŋ1	(文)
於	y2	
施	sɿ1	
旅	ly3	
旋	dʑye6	(白)～轉；打～～
旋	dʑyẽ6	(文)～轉；打～～
族	zu2	
日	ʒi2	(文)
日	ȵi7	(白)今晡～：今天
旦	tan5	
旨	tsɿ3	
早	tsei3	
旬	zən2	
旱	ɣan6	
旺	uaŋ5	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tɕʰiaŋ1	
明	ȵio2	(白)～晡日：明天
明	min2	(文)
昏	fən1	
易	i5	難～；交～
易	io7	(白)姓
昔	ʃi1	
星	ɕio1	(白)]腥[(白)]靴[(白)
映	iẽ5	～山紅
映	in5	(文)
春	tɕʰyn1	(文)
昧	mei5	
昨	zo2	(文)]濁[(文)]鐲[(文)
昨	zo3	(白)
昭	tɕiau1	
是	zɿ6	
時	zɿ2	
晉	tɕin5	
晏	ŋa5	(白)晚：～呱哩：晚了
晏	ŋan5	(文)
晚	ma3	(白)～～：叔父；老～：排行最小的
晚	uan3	
晝	tɕiəu5	
晦	fei5	
晨	ʑin2	
普	pʰu3	
景	tɕin3	
晴	ʑin2	(文)
暇	ʑia2	
暈	yn1	(文)
暈	yŋ1	(白)
暑	ɕy3	
暖	nue3	(白)
暖	luan3	(文)
暗	ŋan5	(文)]醃[(文)]岸[(文)
暢	tɕʰiaŋ5	
暫	dzan6	
暮	mu5	
曆	li2	
曉	ɕie3	(白)]閃[(白)]癬[(白)
曠	kʰuaŋ5	
曬	ɕia5	(白)
曬	sai5	(文)
曰	ye7	(白)
曲	tɕʰy1	(文)
曲	tɕʰy7	(白)
更	kən5	～換；～加
書	ɕy1	
曹	dzau2	
曾	tsaŋ1	(白)
曾	zən2	～經]層[(文)]懲橙睜[(訓讀)～起眼睛：睜眼
替	tʰi5	(文)
替	tʰai5	(白)
最	tsuei5	
會	kʰuai3	～計
有	iəu3	(文)
有	ɣau6	(白)]厚[(白)]浩後[(白)
朋	buŋ2	
朗	laŋ3	(文)
朗	laŋ5	(白)
望	baŋ6	
朝	tɕiau1	
朝	dʑiau2	～代]潮韶喬僑橋[(文)]蕎[(文)
木	mu2	(文)
未	vei5	(文)
末	mo1	
本	pən3	(文)
本	paŋ3	(白)～子
札	tsa7	(白)
札	tso7	(白)
朵	tu3	
朽	ɕiəu3	
杉	sa1	
杉	san1	
李	li3	
杏	ɣən6	
材	dzai2	
村	tsʰən1	
杖	dʑiaŋ6	
杞	tʃi3	
束	su1	
杭	ɣaŋ2	
杯	pei1	
東	tuŋ1	(文)～邊]冬當[(白)]襠[(白)
杳	miau3	
杵	ɕy5	
松	suŋ1	(文)
板	pa1	(白)
板	pa3	(白)]版[(白)]把[(文)
板	pan3	(文)
枇	bi2	
枉	uaŋ3	
析	ʃi1	
枕	tɕin3	
林	lin2	
枚	mei2	
果	ku3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiau1	(文)～䐬：肚子餓了
架	tɕia5	(文)]駕[(文)]稼價[(文)
柄	pin3	
某	məu3	
柑	kan1	
染	ʑie3	(白)
柔	dʑiəu2	
柔	ʑiəu2	
柚	iəu5	
查	dza2	(文)
柩	tɕiəu5	
柱	dʑy3	(白)
柱	dʑy6	(文)]住[(文)]豎[(文)
柳	liəu3	
柴	ʑia2	(白)
柴	dzai2	(文)
柵	suan1	
柿	zɿ3	
栗	li2	(文)板～
栗	lio7	(白)～樹；～木衝：地名
校	ʑiau6	學～；上～；～對
核	ɣe2	
格	ke2	(文)]革[(文)]隔[(文)
格	ke7	(白)]革[(白)]隔[(白)
桂	kuei5	
桃	dau2	(文)]逃[(文)]掏[(文)
桅	uei2	
框	kʰuaŋ1	
案	ŋan5	
桌	tso2	(文)]卓琢啄[(文)]涿捉[(文)
桑	suaŋ1	
桓	uan2	
桶	tʰuŋ3	(文)
桶	tʰaŋ3	(白)
梁	liũ2	(白)
梁	liaŋ2	(文)
梅	mei2	
梆	paŋ1	～硬：很硬
梓	tsɿ3	
梔	tsɿ1	～子花
梗	ko3	(白)～～：桿兒
梗	kən3	(文)
條	die2	(白)]甜[(白)]田[(白)
條	diau2	(文)
梧	u2	(文)
梧	m̩2	(白)
梧	u3	
梨	li2	
梭	so1	(文)]生[(白)]牲[(白)
梯	tʰi1	(文)
梯	tʰai1	(白)
械	kai5	
棄	ʃi5	
棉	miẽ2	(文)
棍	kuən5	(文)
棍	kuŋ5	(白)
棒	baŋ6	
棕	tsuŋ1	
棗	tsei3	
棚	buŋ2	
棟	tuŋ5	
棧	dzan6	
森	sən1	
棲	tʃʰi1	
棺	kuan1	
椅	i3	
植	dʒi2	
椏	o1	
椒	tɕie1	(白)]占[(白)～米]尖[(白)
椒	tɕiau1	(文)
椽	ʑye2	(白)～皮：橡子
椿	tɕʰyn1	(文)
椿	tɕʰyŋ1	(白)]春[(白)]衝[(白)搭～嘴：插嘴
楓	fuŋ1	(文)]瘋丰封峰蜂[(文)]鋒方[(白)
楓	faŋ1	(白)～木樹
楚	tsʰu3	
楝	liẽ5	
楞	lin2	
楦	ɕye5	(白)
楦	ɕyẽ5	(文)
業	ȵie2	(文)]鮎[(白)]燃[(白)
業	ȵie7	(白)
極	dʒi2	
楷	kʰai3	
概	kʰai5	
榆	y5	
榛	tsən1	
榜	paŋ3	
榨	tsa5	(文)]詐乍炸[油～]灒[(白)
榨	tso5	(白)
榫	suŋ3	(白)
榮	yŋ2	
榴	liəu2	
構	kau5	(白)結～：結冰
構	kəu5	(文)
槌	dy2	
槌	dʑy2	
槌	dzuei2	(文)]垂錘[(文)]捶[(文)
槍	tɕʰiũ1	(白)
槍	tɕʰiaŋ1	(文)
槐	ua2	(白)]滑[(文)]猾[(文)
槐	uai2	(文)
槓	kaŋ5	
槽	dzei2	(白)]巢[(白)]䐬[枵～：肚子空了，餓了
槽	dzau2	(文)
樁	tsuaŋ1	(文)
樁	tuŋ3	(白)
樂	lo2	
樓	lau2	
樓	ləu2	(文)
標	piau1	(文)
樞	tɕʰy1	
樟	tɕiaŋ1	(文)]障姜江[(文)]薑[(文)
模	mo2	～范；～子]貓[(白)]莫[(文)
樣	iũ5	(白)
樵	dʑiau2	
樹	ʑiəu6	(白)
橄	kan3	
橋	dʑie2	(白)]蕎[(白)]捷嫌[(白)
橘	tɕy1	
橢	tʰo3	
橫	uən2	(文)～直；蠻～
檁	lin3	
檔	taŋ3	
檜	kʰuai3	
檢	tɕiẽ3	
檳	pin1	
櫃	dʑy6	(白)
櫃	ɡuei6	(文)]潰[～膿]跪[(文)
櫓	lu3	
櫻	in1	
欄	la2	(白)
欄	lan2	(文)
欖	lan3	
欛	pa5	(文)]坝[(文)]拜[(白)
欠	tɕʰie5	(白)
欠	tɕʰiẽ5	(文)
次	tsɿ5	
欣	ɕin1	
欺	tʃʰi1	
欽	tɕʰin1	
款	kʰuan3	
歇	ɕie7	(白)
歉	tɕʰiẽ5	
歌	ku1	(白)]鍋姑孤箍骨[(文)]穀[(文)
歌	ko1	(文)]戈家[(白)]埂[(白)小溪
歎	tʰan5	
歐	ŋəu1	
歡	fe1	(白)
歡	fan1	(文)]翻[(文)]番[(文)
止	tsɿ3	
正	tɕio1	(白)～月
正	tɕin1	(文)～月
正	tɕio5	(白)
正	tɕin5	(文)
此	tsɿ3	
步	bu6	
武	vu3	
歧	dʒi6	
歪	ua1	(白)]彎[(白)]灣[(白)來～：地名
歪	uai1	(文)
歲	ɕye5	(白)
歷	li2	
歸	kuei1	
死	sɿ3	
殆	dai6	
殉	sən5	
殊	dʑy2	
殖	dʒi2	
殘	dzan2	
殮	liẽ3	
殯	pin1	
殲	tɕʰiẽ1	
段	due6	(白)]緞[(白)]斷[決～
殷	in1	
殺	sa1	(文)
殺	ɕia7	(白)
殼	fu7	(白)腦～：頭
殿	diẽ6	
毀	fei3	
毅	ȵi5	
毆	ŋəu1	
母	mu3	
每	mei3	
毑	tɕie3	娭～：母親
比	pi3	
毛	mei2	(白)
毛	mau2	(文)
毫	ɣau2	
毯	tʰan3	
毽	tɕiẽ5	
氈	tɕiẽ1	
氏	zɿ6	
民	min2	
水	ɕy3	(白)
水	suei3	(文)
永	yn3	
汁	tʃi1	
求	dʑiəu2	
汆	tsʰue1	(白)
汆	tsʰuan1	(文)
汗	ɣan6	(文)
汞	kuŋ3	
污	u1	
汪	uaŋ1	
汴	biẽ2	
決	tɕye2	(文)
汽	tʃʰi5	
沂	i2	
沃	u1	
沈	ɕin3	
沉	dʑin2	(文)]岑琴禽擒秦陳塵臣勤芹澄[(文)]乘承丞鋥呈程逞成[(文)
沌	dən2	
沕	mei5	打～子：潛水
沙	sa1	(文)]紗[(文)]廈[偏～
沛	pʰei5	
沫	mo1	
油	iəu2	
治	dʒi6	
沼	tsau3	
況	kʰuaŋ5	
泊	pʰo1	梁山～
泊	pʰe2	(白)飄～
泊	pʰo2	飄～
泌	pi5	
法	fa7	(白)]發[(白)]髮[(白)
泛	fan5	
泡	pʰu5	(白)水～
泡	pʰei5	(白)口水～～
泡	pʰau5	(文)
波	po1	
泥	ȵi2	(文)
泥	nai2	(白)
注	tɕy5	
泰	tʰai5	
泳	yn5	
泵	puŋ5	～蛋：水煮的雞蛋不帶殼
洇	iẽ1	
洗	ʃi3	(文)
洗	sai3	(白)
洛	lo2	
洞	duŋ6	
津	tɕin1	
洪	ɣuŋ2	
洲	tɕiəu1	
活	ue2	(文)
活	ue7	(白)
洽	ɕia1	
派	pʰai5	灑～：整齊、清潔(多指人)
流	liəu2	
浙	tɕie1	
浚	tsən5	
浜	paŋ1	
浦	pʰu3	
浪	laŋ5	
浮	bei2	(白)～起來
浮	bəu2	(文)
浴	y2	
浴	y5	
海	xai3	
浸	tɕin5	(白)
浸	tɕʰin5	(文)]親[～家]趁稱[相～
涂	dəu2	(白)
消	ɕiau1	
涉	ɕie1	
涕	tʰi5	
涮	sua5	(白)
液	i1	
涼	liũ2	(白)]量[(白)]糧[(白)
淆	ʑiau2	
淋	lin2	
淋	zua6	(訓讀)～雨
淋	dʑya6	(訓讀)～雨
淘	dei2	(白)]陶[(白)]萄[(白)
淘	dau2	(文)]萄[(文)]陶[(文)
淚	luei5	
淡	do3	(白)
淡	dan6	(文)
淤	y2	
淨	ʑio6	(白)
淨	ʑin6	
淪	lən2	
淫	ʑin2	
淮	uai2	
深	ɕin1	
混	uən5	
淹	iẽ3	
淺	tɕʰie3	(白)
淺	tɕʰiẽ3	(文)
添	tʰiẽ1	(文)
減	kan3	(文)]竿[(文)]桿[(文)
渠	dʑy2	
渣	tsa1	(文)]災[(白)]栽[(白)
渣	tso1	(白)
測	tsʰe2	
港	kaŋ3	
渴	kʰo1	
游	iəu2	
渺	miau3	
渾	fən1	
湊	tsʰau5	(白)
湊	tsʰəu5	(文)
湖	vu2	
湧	yŋ3	
湯	tʰuŋ1	(白)
湯	tʰaŋ1	(文)
溉	kʰai5	
源	yẽ2	
準	tɕyn3	
溜	liəu1	
溫	uən1	(文)
溫	uŋ1	(白)
溺	ȵi5	
滅	mie1	(文)
滅	mie7	(白)
滋	tsɿ1	
滎	yŋ2	
滑	ua7	(白)]猾[(白)]挖[(白)
滓	tsai3	
滔	tʰau1	
滬	vu6	
滯	dʒi5	
滲	sən5	～腸：盲腸
滴	ti5	(文)
滴	tio7	(白)
滷	lu3	
滸	fu3	
滾	kuən3	(文)
滾	kuŋ3	(白)
滿	me3	(白)水～呱哩：水滿了
滿	man3	(文)
漂	pʰiau5	
漆	tʃʰi7	(白)
演	ie3	(白)
演	iẽ3	(文)
漚	au5	(白)
漚	ŋəu5	(文)
漢	xan5	
漫	man5	
漱	su5	
漲	tiũ3	(白)～水
漲	tiũ5	面古～紅呱哩：臉漲紅了
漲	tɕiaŋ5	(文)
漸	dzan6	
漿	tɕiũ1	(白)]樟[(白)]薑[(白)
漿	tɕiaŋ5	(文)]仗醬[(文)]將帳賬脹[(文)
潑	pʰa7	(白)～水
潘	pʰan1	
潛	ʑiẽ2	
潤	ȵyŋ6	(白)
潭	dan2	
潲	su5	(白)
澀	se1	(文)
澀	sai7	(白)]虱[(白)]塞[(白)
澄	din6	(白)]錠定[(文)]沉[(白)
澆	tɕiau1	
澇	lau2	
澗	tɕiẽ3	(文)]剪[(文)]展繭[(文)
澗	kan5	(白)
澡	tsei3	(白)
澤	ze2	
激	tʃi1	
濃	ȵyŋ2	
濕	sɿ7	(白)
濟	tʃi5	
濤	dei2	(白)
濤	dau2	(文)
濫	lan5	
濾	ly5	
瀉	ɕie5	(文)]卸[(文)]謝[(文)
瀉	ɕio5	(白)]卸[(白)]赦[(白)
灌	kue5	(白)
灌	kuan5	(文)
灑	sa3	(文)]傻散[(白)]傘[(白)
灑	suai3	(白)～潔：整齊清潔(多指地方)
灒	tsan5	(文)]綻濺[(文)]站[立
灘	tʰan1	(文)]攤[(文)]癱[(文)
灣	uan1	(文)
火	fu3	(白)～爐：廚房
火	xo3	(文)
灰	fei1	
灸	tɕiəu5	
災	tsai1	(文)]栽[(文)]齋[(文)
炊	tsʰuei1	
炎	iẽ2	
炒	tsʰu3	(白)
炒	tsʰau3	(文)
炕	kʰaŋ5	
炭	tʰa5	(白)
炭	tʰan5	(文)
炮	pʰau5	
炸	tso7	(白)]摘[(白)]扎[(白)
烏	u1	
烘	xuŋ1	
烙	lo2	(文)
烙	lu7	(白)
烤	kʰau3	
烹	pʰən1	(文)
烹	pʰaŋ1	(白)
焚	vən2	
無	vu2	
焰	iẽ5	
煎	tɕiẽ1	(文)
煙	iẽ1	(文)
煤	mei2	
煥	fe5	(白)
煨	uei1	
煩	van2	
煮	tɕy3	(文)]舉主拄矩嘴[(白)～皮：嘴唇]鬼[(白)～頭蜂：馬蜂
煮	tiəu3	(白)
煮	tɕiəu3	(白)
熄	ʃi7	(白)
熊	yŋ2	
熏	ɕyn1	
熟	zu2	(文)]肉[(文)]贖[(文)
熟	ʑiəu7	(白)
熨	yn5	
熬	ŋau2	
熱	lai7	(白)～頭：太陽
燈	tən1	(文)
燎	liau2	
燐	lin2	
燒	ɕiau1	(文)
燕	ȵie5	～雀
燕	iẽ5	
燙	tʰaŋ5	
燜	mən5	
營	yn2	
燦	tsʰan5	
燭	tsu1	(文)
燭	tɕiəu7	(白)
爆	bau6	(文)
爊	au1	～菜
爛	la5	(白)
爛	lan5	(文)
爪	tsua3	
爪	tsau3	
爬	ba2	(文)]耙[(文)]琶杷[(文)
爬	bo2	(白)]粑[(白)]杷[(白)
爬	lo2	(訓讀)
爭	tso1	(白)
爵	tɕio2	
父	vu6	
爹	tia1	(白)～～：祖父
爹	tie1	(文)～～：祖父
爺	ia2	～～：曾祖父
爺	ie2	(文)]鹽[(白)]簷[(白)
爽	suaŋ3	
爾	ɣe3	
片	pʰie5	
版	pan3	(文)
牌	bai2	(文)
牒	die1	
牙	ia2	(文)]芽[(文)]衙涯螢[(白)～火唧：螢火蟲
牚	tsʰo5	(白)
牚	tsʰən5	(文)
牛	ŋau2	(白)
牛	ȵiəu2	(文)
牡	məu3	
牢	lau2	
物	vu2	
牯	ku3	
牸	dzɿ6	～牛：母牛
特	de2	(文)
特	tʰe7	(白)
牽	tɕʰiẽ1	(文)
犁	li2	(文)]黎離籬璃釐笠[(文)]粒[(文)
犁	lai2	(白)
犍	tɕiẽ5	
犒	kʰau1	
犬	tɕʰyẽ3	
犯	ban6	(文)
犯	van6	(文)]飯[(文)]萬[(文)
狀	dzuŋ6	(白)
狀	zuŋ6	(白)
狀	dzuaŋ6	(文)
狀	zuaŋ6	(文)
狂	ɡuaŋ2	
狐	vu2	
狗	kau3	(白)
狗	kəu3	(文)
狠	ɣən3	(文)
狠	ɣaŋ3	(白)
狡	tɕiau3	
狸	li3	
狹	ɣa7	(白)
猛	muŋ3	
猜	tsʰa1	(白)]參[(白)]插[(文)
猜	tsʰai1	(文)
猝	tsʰuei5	
猴	ɣau2	
猴	ɣəu2	(文)
猶	iəu2	
獃	tai1	
獄	y5	
獅	sɿ1	
獨	du2	(文)]讀[(文)]牘犢毒[(文)
獨	dəu7	(白)]讀[(白)]毒[(白)
獲	ue2	
獸	ɕiəu5	
獺	tʰa1	
獻	ɕie5	(白)
玄	dʑyẽ2	
率	so1	
玉	y5	
王	uaŋ2	
玩	uan2	
珊	suan1	
珍	tɕin1	
班	pan1	(文)]斑頒扳[(文)]般[(文)
現	ʑie6	(白)
現	ʑiẽ6	(文)
球	dʑiəu2	
理	li3	
琉	liəu2	
琵	bi2	
瑕	ʑia2	
瑞	zuei6	
瑟	se1	
瑣	so3	
璧	pi1	
環	uan2	(文)
璽	ʃi3	
瓊	dʑyn2	(文)
瓊	dʑyŋ2	(白)
瓜	kua1	(文)]乖[(白)]括[(文)
瓜	ko1	(白)]鴿[(文)]割[(文)
瓠	vu2	～盧]鬍服[(文)]伏[(文)
瓠	vu6	～子
瓢	biau2	
瓣	ma3	(白)
瓣	pʰan3	(文)
瓤	ɕiaŋ3	
瓦	ŋo3	(白)
瓶	bin2	
甌	ŋəu1	
甕	yŋ1	(白)
甕	uŋ5	(文)
甘	kan1	
甚	ʑin6	
甜	diẽ2	(文)
產	tsʰan3	
甥	so1	(白)
甥	sən1	(文)
用	yŋ5	
甫	pʰu3	
甬	yŋ3	
田	diẽ2	(文)
由	iəu2	
甲	tɕia1	(文)]胛[(文)]匣[(文)
申	ɕin1	
男	no2	(白)
界	ka5	(白)～基：籬笆]芥[(白)]戒[(白)
畏	uei5	
留	liəu2	
畜	tɕʰiəu7	(白)～牲
畝	kuŋ1	(訓讀)一～田
畝	məu3	
番	fa1	(白)]發[(文)]髮[(文)
畫	ɣo6	(白)
異	i5	
當	taŋ1	(文)]燈[(白)]東[(白)～西
當	tuŋ5	(白)]瞪[(白)]凍[(文)
當	taŋ5	(文)
疆	tɕʰiaŋ1	
疊	die1	
疑	ȵi2	
疔	tio1	(白)
疝	suai5	
疤	pa1	(文)]爸八[(文)]班[(白)
疤	po1	(白)]玻披[(白)～起]鉢[(文)
疥	kai5	
疫	y2	
疲	bi2	
疵	tsɿ1	
疸	tʰa3	
疼	dən2	
疿	fei3	
痂	ko7	(白)]裌[(白)單～衣：夾衣]甲[(白)手指～；鱗～；穿山～
病	bio6	(白)
