#漢字	音標	解釋
□	kiu3	绕线
一	ɐt7a	
丁	tiŋ1	
七	tsʰɐt7a	
万	man5	
丈	tsʰiŋ5	
三	ɬam1	
上	siŋ5	~山
上	siŋ5	~面
下	ha5	~降~
下	ha5	底~
不	pɐt7a	
与	ji3	
丑	tsʰɐu3	
專	tsun1	
且	tsʰɛ3	
丕	pʰi3	
世	sɐi3	
丘	hɐu1	
丙	piŋ3	
業	nip7a	
叢	tsʰuŋ2	
東	tuŋ1	
絲	ɬi1	
丢	tiu1	
兩	liaŋ3	~个
兩	lɛŋ3	几~
嚴	ŋim2	
喪	ɬaŋ3	~失
喪	ɬaŋ1	婚~
个	ko5	
丫	a1	
中	tsuŋ3	射~
中	tsuŋ1	当~
丰	fuŋ1	
串	tsʰun3	
臨	ɐm2	
丸	jun2	
丹	tan1	
爲	wɐi5	~什么
爲	wɐi5	作~
主	tsu3	
麗	lɐi5	
乃	nai3	
久	kɐu3	
麽	iu1	~二三
義	ŋi5	
之	tsi1	
烏	wu1	
乎	fu2	
乏	fan5	
樂	lak7b	
樂	ŋak7b	音~
喬	kʰiu2	
乖	kʷai1	
乘	siŋ2	
乙	jit7a	
九	kɐu3	
乞	hɐt7a	
也	jɛ3	
習	tsʰɐp7b	
鄉	hiŋ1	
書	su1	
買	mai3	
亂	lun5	
乳	jui3	
乾	kʰin2	~坤
了	liu3	~结
爭	tsaŋ1	
事	si5	
二	ŋi5	
于	ji1	
虧	kʰʷɐi1	
云	wɐn2	
互	fu5	
五	ŋ̍3	
井	tsiŋ3	
亞	a3	
些	ɬɛ1	
亡	muŋ2	
交	kau1	
亥	hai5	
亦	ik2	
產	tsʰan3	
亨	haŋ1	
畝	mu3	
享	hiŋ3	
京	kiŋ1	
亭	tʰiŋ2	
亮	liŋ5	
親	tsʰɐn1	
亳	hau2	
人	ŋiɐn2	
億	ik7a	
什	sɐp7b	~物
仁	ŋiɐn2	
僅	kɐn3	
仆	puk7b	~人
仆	puk7b	倒
仇	tsʰɐu2	
今	kɐm1	
介	kai3	
仍	ŋiŋ2	
从	tsʰuŋ2	~容
从	tsʰuŋ2	跟~
倉	tsʰaŋ1	
仕	si5	
他	tʰa1	
仗	tsiŋ3	
付	fu5	
仙	sin1	
代	tʰai5	
令	liŋ5	
以	ji3	
儀	ŋi5	
仰	ŋiŋ3	
仲	tsuŋ1	
件	kʰin5	
價	ka3	
任	ŋiɐm1	姓
任	ŋiɐm5	责~
份	fɐn5	
仿	fuŋ3	
企	kʰi3	
伊	i1	
伍	ŋ̍3	
伏	fuk7b	
伐	fat8	
休	hɐu1	
衆	tsuŋ3	
優	jɐu1	
伙	wo3	
會	hui5	~计
會	hui5	~不~
會	hui5	开~
傘	ɬan3	
偉	wɐi3	
傳	tsʰun2	~达
傳	tsʰun2	~记
伢	ŋa2	
傷	siŋ1	
倫	lɐn2	
僞	wɐi3	
伯	pɛk7b	
估	ku1	
伴	pʰun3	
伶	liŋ2	
伸	sɐn1	
伺	si1	
似	tsʰi3	
佃	tʰin5	
但	tʰan5	
位	wɐi5	
低	tɐi1	
住	tsʰu5	
佐	tsʰo5	
體	tʰɐi3	
何	ho2	
佘	sɛ2	
余	ji2	
佛	fɐt7a	
佛	fɐt7a	仿~
作	tsak7b	
你	n̩3	
佢	ki2	
佩	pʰui3	
使	sɐi5	
侄	tsɐt7b	
侈	tsʰi3	
例	lɐi2	
侍	tsʰi5	
供	kɐp8	
供	kuŋ1	~给
供	kuŋ1	上~
依	ji1	
僥	ŋiu3	
偵	tsɐn1	
側	tsʰak7a	
僑	kʰiu2	
侮	mu3	
侯	hɐu2	
侵	tsʰɐm1	
便	pʰin5	~宜
便	pʰin5	方~
促	tsʰuk7a	
俊	tsɐn3	
俗	ɬuk8	
俘	fu1	
保	pau3	
信	ɬɐn3	
儉	kim5	
修	ɬɐu1	
俯	fu5	
俱	kʰi5	
俸	fuŋ5	
俾	pi1	
併	piŋ3	
倍	pʰui3	
倒	tɐu3	~水
倒	tɐu3	打~
倔	kʰʷɐt7a	~强
倘	tʰaŋ3	
候	hɐu5	
倚	ji3	
借	tsɛ3	
