#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
㪗	tʰau3	展开
㽘	ɡuɔ4	田㽘儿
䖳	zo6	海蜇
襬	pɛ3	衣裙的下幅
䨙	jiaŋ2	久雨貌
一	ʰji7	一个
一	ʰjiai7	数词
丁	tsɛ1	伐木丁丁
丁	təŋ1	天干第四位
七	tsʰai7	数词
万	va6=	万年青
万	me8=	万俟
万	ma6-	逾千达万
丈	dʑiɛ4	丈尺寸
三	sa1	数词
上	ʑiɛ4	上山
上	ʑiɛ4	上声上面
上	ʑiɛ6	上面
下	ɦo4	上下
下	ho3	帽下落
不	pai7-	不仅
与	jʮ2	助词,语气词
与	jʮ6	参与
与	jʮ4	给予
丏	mi4	遮蔽
丐	kʰø7	丐儿
丐	ke5	乞丐
丑	tɕʰiəu3	地支第二位
丑	tɕʰiəu3	醜丑陋
專	tɕy1	专门
且	tsʰɿ3	而且
丕	pʰai1	大
世	sɿ5	世道
丘	tɕʰiau1	丘陵
丙	pəŋ3	天干第三位
業	ȵi8	事业
叢	zoŋ2	树丛
東	toŋ1	东方
絲	sɿ1	丝绸
丞	ʑiəŋ2	丞相
丢	tiəu1	丢弃
兩	liɛ4	斤两
嚴	ȵi2	严格
喪	suɔ5	丧失
喪	suɔ1	婚丧
个	kai5	一个个别
丫	o1	两丫裤
丫	ʰjia1	丫鬟
中	tɕyoŋ1	中国
中	tɕyoŋ5	中状元
丰	hoŋ1	丰收
串	tɕʰyoŋ5	一串串通
串	tɕʰy5=	串通客串
臨	ləŋ2	光临
丸	jy2	药丸
丹	ta1	炼丹
爲	jʮ6	为什么
爲	jʮ2	作为
主	tɕʮ3	主席
麗	li6	美丽
麗	li2	高丽
舉	tɕʮ3	检举
乃	nɛ4	乃是
久	tɕiau3	永久
麽	mu2	什么
義	ȵi6	主义
之	tsɿ1	之江
烏	ʰwu1	乌鸦
乍	tso1	乍呼
乎	fu1	语气助词
乏	ɦuɔ8	缺乏
樂	lo8	快乐
樂	ŋo8	音乐
乒	pʰəŋ1	乒乓
乓	pʰoŋ1	象声词
喬	dʑyə1	乔装
乖	ka1	乖巧
乘	ʑiəŋ2	加减乘除
乘	ʑiəŋ6	千乘之国
乙	ʰjiai7	天干第二位
乜	ȵi8	乜人
乜	mi8=	眼睛微张
九	tɕiau3	数词
乞	tɕʰiai7	乞丐
也	ji4=	也许也是
也	ʰjiɛ3	语气助词也是
習	zai8	练习
鄉	ɕiɛ1	城乡
書	ɕʮ1	书生
買	mɛ4	买卖
亂	lø6	混乱
乳	ʑʮ4	乳房
乾	dʑi2	乾坤
了	ʰlyə3	了结了滞
了	lyə4	了解
了	lyə4	瞭瞭望
予	jʮ4	给予
爭	tsɛ5	争执
爭	tsɛ1	斗争
爭	dzɛ6-	白眼死争
爭	dzɛ2-	船多争埠头
事	zɿ6	事务
二	ŋ̍6	数词
于	jʮ2	往,去
虧	tɕʰʮ1	亏你
虧	kʰai1	亏损
云	jyoŋ2	子曰诗云
云	jyoŋ2	雲云彩
互	wu6	互相
五	ŋ̍4	重五
井	tɕiəŋ3	水井
亘	kaŋ5	亘古用秽语骂人
亞	o5	亚洲
些	sɿ1	些许
亟	tɕiai7	急迫地
亡	ɦuɔ2	流亡
亢	kʰuɔ5	亢奋
交	kuɔ1	交通
亥	ɦe4	地支第十二位
亦	jiai8=	亦工亦农
亦	ji8	讲爻亦讲亦好亦便宜
產	tsʰa3	生产
產	sa3	生产
亨	hɛ1	通达
畝	mə4	田亩
享	ɕiɛ3	享受
京	tɕiaŋ1	北京
亭	dəŋ2	路亭
亮	liɛ6	光亮
親	tsʰaŋ1	亲戚
親	tsʰaŋ5	亲家儿童换齿
褻	sɿ7	亵渎
人	zaŋ2=	人民
人	naŋ2-	大人,人来客往
人	ȵiaŋ2-	新儒人老人客主人家丈人老
人	nɛ2-	纸人儿人儿书人儿纸
億	ʰji7	亿万
什	zai8	什么
仁	zaŋ2	仁义
仂	le8	零数
仃	təŋ1	仃伶:孤独
仄	tse7	平仄
僅	dʑiaŋ6	才;只
仆	pʰo7	仆倒
仆	bo8	侯仆人
仇	dʑiəu2	仇恨
仇	dʑiau2	姓氏
今	tɕiaŋ1	今天
介	kɛ5	介绍
仍	ʑiəŋ2	仍旧
从	tsʰoŋ1	从容
从	ʑyɔ2	跟从
仑	laŋ2	昆仑山
倉	tsʰuɔ1	仓库
仔	tsɿ3	幼仔
仕	zɿ4	仕途
他	tʰa1	新读
仗	ʑiɛ6	打炮仗
仗	dʑiɛ4=	打仗
付	fu5	支付
仙	ɕi1	仙人
仞	zaŋ6	七尺为一仞
仟	tɕʰi1	千人之长
代	de6	代表
令	ləŋ2	令尊
令	ləŋ2	令狐:复姓
令	ləŋ6	命令
令	ləŋ4	纸张的计量单位
以	ji4	所以
仨	sa1	三个
儀	ȵi2	仪表
們	maŋ2	我们
仰	ȵiɛ4	敬仰
仲	dʑyoŋ6	仲裁
仵	ŋ̍4	迕逆
件	dʑi4	文件
價	ko5	价格
任	ȵiaŋ6-	任可
任	zaŋ2=	任性
任	zaŋ6=	任务
任	ȵiaŋ2	姓氏
任	zaŋ4	烹饪
份	vaŋ6	名份
仿	huɔ3	仿佛
企	dzɿ4-	企图
企	tsʰɿ3=	企业
伉	kʰuɔ5	伉俪
伊	ʰji1	伊朗
伍	ŋ̍4	队伍
伎	dzɿ4	伎俩
伏	vu8	埋伏
伏	bu8-	禽鸟孵卵伏鸡儿赖伏伏坊
伐	ɦuɔ8	征伐
休	ɕiau1	休息
衆	tɕyoŋ5	群众
優	ʰjiau1	优秀
伙	fu3	合伙
伙	fu3	夥伙计
會	wai6	会议
會	kai5=	会计
傴	ʰjy3	曲背
傘	sa3	雨伞
偉	jʮ4	伟大
傳	dʑy2	传播宣传
