#漢字	音標	解釋
㪗	tʰɐu3	展開
丁	teŋ1=	
丈	tʃɔŋ8	
三	ʃam1	
上	ʃɔŋ4	上山
上	ʃɔŋ8	上面
下	ha8	底下、下降
丐	kʰɔi5	
丑	tʃʰɐu3	小丑
且	tʃʰɛ3	
丕	pʰei1	
世	ʃɐi5	
丘	jɐu1	
丙	peŋ3	
丞	ʃeŋ6	
丢	tiu1	
並	peŋ8	
丫	a1	
中	tʃoŋ5	射中
中	tʃoŋ1	當中
串	tʃʰyn5	
丸	jyn3	
丹	tan1	
主	tʃy3	
乃	lai4	
久	kɐu3	
么	jiu1	
之	tʃi1	
乍	tʃa5	
乎	fu6	
乏	fɐt8	
乖	kai1	
乖	kwai1	
乘	ʃeŋ6	
乙	jyt7b	
九	kɐu3	
也	ja4	
乳	jy4	
乸	la3	
乾	kʰin6	
乾	kɔn1	乾濕
亂	lyn8	
了	liu4	
事	ʃi8	
二	ji8	
于	jy1	
云	wɐn6	子云
互	wu8	
五	m̩4	
井	tʃɛŋ3-	
井	tʃeŋ3=	
些	ʃɛ1	
亞	a5	
亡	mɔŋ6	
交	kau1	
亥	hɔi8	
亦	jek8	
亨	hɐŋ1	
享	hɔŋ3	
京	keŋ1	
亭	tʰeŋ6	
亮	lɔŋ8	
人	jɐn6	
什	ʃɐp8	
仁	jɐn6	
仆	pʰok7a	前仆後繼
仇	ʃɐu6	
今	kɐm1	
介	kai5	
仍	jeŋ6	
仔	tʃɐi3	
仕	ʃi8	仕途
他	tʰa1	
仗	tʃɔŋ8	
付	fu8	
仙	ʃin1	
代	tɔi8	
令	leŋ8	
以	ji4	
仰	jɔŋ4	
仲	tʃoŋ8	
件	kin8	
任	jɐm8	
份	fɐn8	
仿	fɔŋ3	
企	kʰei4	
伊	ji1	
伍	m̩4	
伏	fok8	
伐	fɐt8	
休	jɐu1	
伢	a6	小孩子
伯	pak7b	
估	ku3	
伴	pun8	
伶	leŋ6	
伸	ʃɐn1	
伺	tʃi8	
似	tʃʰi4	
伽	ka1	
佃	tin8	
但	tan8	
佈	pou5	
位	wɐi8	
低	tɐi1	
住	tʃy8	
佐	tʃɔ5	
佐	tʃɔ8	
佔	tʃin5	侵佔
何	hɔ6	
佗	tʰa1	
佘	ʃɛ6	
余	jy6	
佛	fɐt8	
作	tʃɔk7b	
你	lei4	
佢	kui4	
佩	pʰui5	
佰	pak7b	
佳	kai1	
併	peŋ5	
使	ʃɐi3-	
使	ʃi3	使用
來	lɐi6-	
來	lɔi6	
侈	tʃʰi3	
侉	kʰa3	誇大不實際
侉	kwʰa3	誇大不實際
例	lɐi8	
侍	ʃi8	
供	koŋ1	供給
供	koŋ5	供養
依	ji1	
侫	leŋ8	
侮	mou4	
侯	hɐu6	
侵	tʃʰɐm1	
便	pʰin6	便宜
便	pin8	方便
係	hɐi8	
促	tʃʰok7a	
俄	ɔ6	
俊	tʃɵn5	
俏	tʃʰiu5	
俗	tʃok8	
俘	fu1	
保	pou3	
信	ʃɵn5	
修	ʃɐu1	
俸	foŋ3	
俾	pei3	
倀	tʃʰaŋ6	
倉	tʃʰɔŋ1	
個	kwɔ5	
倍	pʰui4	
倒	tou3	
倔	kwɐt8	
倘	tʰɔŋ3	
候	hɐu8	
倚	ji3	
借	tʃɛ5	
倡	tʃʰɔŋ5	提倡
倣	fɔŋ3	
倦	kyn8	
倪	ɐi6	
倫	lɵn6	
倭	wɔ1	
假	ka5	放假
假	ka3	真假
偈	kɐi3	
偉	wɐi4	
偏	pʰin1	
偕	kai5	
做	tʃou8	
停	tʰeŋ6	
健	kin8	
偵	tʃeŋ1	
偶	ɐu4	
偷	tʰɐu1	
僞	ɐi8	
傀	fai5	
傅	fu8	
