#漢字	音標	解釋
□	m̩3	~妈:妈妈
卵	luan3	
卷	tɕyan3	~起
卷	tɕyan5	~子
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tsʰɑŋ3	
廳	tʰin2	
历	li2	
厲	li5	
壓	ia5	
厭	ian5	
廁	tsʰɛ3	
厘	li2	
厚	xəu5	
原	yan2	
厦	sua3	偏~
廚	tsʰu2	
去	tɕʰyi5	
縣	ɕian5	
参	tsʰan1	
参	sen1	
又	iəu5	
叉	tsʰa1	
及	tɕi2	
友	iəu3	
雙	suɑŋ1	
反	fan3	
发	xua2	
叔	su2	
取	tɕʰyi3	
受	səu5	
變	pian5	
叛	pʰan5	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	lin5	
叩	kʰəu5	
只	tsɿ1	
叫	tɕiau5	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu5	
葉	iɛ2	
號	xau5	
嘆	tʰan1	
吃	tsʰɿ2	
各	ko2	
吉	tɕi2	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	li5	
吐	tʰu3	
吐	tʰu5	
向	ɕiɑŋ5	
嚇	ɕia2	
呂	yi3	
君	tɕyen1	
吞	tʰuen1	
吟	lian2	
含	xan2	
聽	tʰin5	
啓	tɕʰi3	
吳	u2	
吵	tsʰau3	
吸	tɕi2	
吹	tsʰuei1	
吼	xəu3	
呈	tsʰen2	
告	kau5	
嘔	ŋəu3	
員	yan2	
周	tsəu1	
味	uei5	
呼	fu1	
命	min5	
和	xo2	
詠	yen3	
咬	ŋau3	
咸	xan2	
咽	in1	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
響	ɕiɑŋ3	
啞	ia3	
哥	ko1	
哭	kʰu2	
哲	tsɛ2	
脣	sen2	
唐	tʰɑŋ2	
喚	xuan5	
售	tsʰəu2	
唯	uei2	
唱	tsʰɑŋ5	
啃	kʰen3	
啄	tsua2	
商	sɑŋ1	
喂	uei5	
善	san5	
喉	xəu2	
喊	xan3	
喘	tsʰuan3	
喜	ɕi3	
喝	xo1	
噴	xuen5	
喻	yi5	
嗅	ɕiəu5	
嘉	tɕia5	
嘘	ɕyi1	
囑	ɕiɤɯ2	
嘴	tsuei3	
噎	iɛ2	
器	tɕʰi5	
嚼	tɕiau5	
囊	lɑŋ2	
囚	ɕiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuan2	
園	yan2	
困	kʰuen5	
圍	uei2	
國	kuɛ2	
國	kuei2	
圖	tʰu2	
圓	yan2	
土	tʰu3	
聖	sen5	
在	tsai5	
地	ti5	
場	tsʰɑŋ2	
址	tsɿ3	
均	tɕyen1	
坊	xuɑŋ3	
坎	kʰan1	
壞	xuai5	
坐	tso5	
坑	kʰen1	
塊	kʰuai3	一~钱
堅	tɕian1	
坛	tʰan2	
壩	pa5	
墳	xuen2	
坡	pʰo1	
坤	kʰuen1	
坦	tʰan3	
坪	pʰin2	
垂	tsʰuei2	
垃	la2	
壟	loŋ2	
型	ɕin2	
墾	kʰen3	
墊	tian5	
垮	kʰua3	
埋	mai2	
城	tsʰen2	
域	yi2	
培	pʰei2	
基	tɕi1	
堂	tʰɑŋ2	
堆	tuei1	
墮	to5	
堡	pau3	
堤	tʰi2	
堪	kʰan5	
堵	tu3	
塌	tʰa2	
塔	tʰa2	
塘	tʰɑŋ2	
塞	sɛ2	
填	tʰian2	
境	tɕin5	
墓	mo5	
牆	tɕʰiɑŋ2	
增	tsen1	
墟	ɕyi1	
墨	miɛ2	
墩	ten3	
壁	pi2	
壯	tsuɑŋ5	
聲	sen1	
殼	kʰo2	
壺	fu2	
處	tsʰu5	
處	tsʰu3	~理
复	fu2	
夏	ɕia5	
夕	ɕi2	
外	uai5	
多	to1	
夜	iɛ5	
够	kəu5	
大	ta5	
天	tʰian1	
太	tʰai5	
夫	fu1	
央	iɑŋ1	
失	sɿ2	
頭	tʰəu2	
夸	kʰua5	
夾	tɕia2	
奪	to2	
奇	tɕʰi2	
奈	lai5	
奉	xoŋ5	
奮	xuen5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奔	pen1	
獎	tɕiɑŋ3	
套	tʰau5	
奧	ŋau5	
女	lyi3	
奴	lu2	
奶	lai3	
奸	tɕian1	
好	xau3	~坏
好	xau5	爱~
如	zu2	
妃	xuei1	
婦	fu5	
媽	ma1	
妖	iau1	
妙	miau5	
妥	tʰo3	
妨	xuɑŋ2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ2	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕin5	
委	uei3	
姜	tɕiɑŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
娃	ua2	
嬌	tɕiau1	
娘	liɑŋ2	
娛	yi2	
娶	tɕyi5	
娼	tsʰɑŋ1	
婆	pʰo2	
婉	uan3	
婚	xuen1	
嬰	in1	
嬸	sen3	
婿	ɕyi5	
媒	mei2	
嫁	tɕia5	
嫂	sau3	
嫌	ɕian2	
嫖	pʰiau2	
嫩	len5	
孀	suɑŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	zuen5	
字	tsɿ5	
存	tsʰen2	
孫	sen1	
孝	ɕiau5	
孟	moŋ5	
季	tɕi5	
學	ɕio2	
孩	xai2	
孽	liɛ2	
寧	lin2	
宅	tsʰɛ2	
守	səu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuan1	
定	tin5	
宜	li2	
寶	pau3	
實	sɿ2	
寵	tsʰoŋ3	
審	sen3	
客	kʰɛ2	
宣	ɕyan1	
室	sɿ2	
宪	ɕian5	
宮	koŋ1	
宰	tsai3	
害	xai5	
宴	ian5	
宵	ɕiau1	
家	tɕia1	
容	ioŋ2	
寬	kʰuan1	
賓	pin1	
宿	ɕiɤɯ2	
宿	ɕiəu3	
寄	tɕi5	
寅	in3	
密	mi2	
寇	kʰəu5	
富	fu5	
寒	xan2	
寢	tɕʰin5	
察	tsʰa2	
寡	kua3	
寨	tsai5	
寸	tsʰen5	
對	tuei5	
寺	sɿ5	
尋	ɕyen2	
導	tau5	
壽	səu5	
封	xoŋ1	
射	sɛ5	
將	tɕiɑŋ1	
將	tɕiɑŋ5	大~
尊	tsuen1	
小	ɕiau3	
少	sau5	~年
少	sau3	多~
尖	tɕian1	
塵	tsʰen2	
尚	sɑŋ5	
嘗	sɑŋ2	
堯	iau2	
就	tɕiəu5	
屍	sɿ1	
尹	yen3	
尺	tsʰɿ2	
尼	li2	
尽	tɕin5	
尾	uei3	
尿	liau5	
局	tɕyi2	
屁	pʰi5	
層	tsʰen2	
居	tɕyi1	
屈	tɕʰiɤɯ2	
屋	u2	
屎	sɿ3	
屏	pʰin2	
展	tsan3	
屬	ɕiɤɯ2	
屠	tʰu2	
屢	ləu3	
山	san1	
歲	suei5	
豈	tɕʰi3	
岔	tsʰa1	
崗	kɑŋ1	
島	tau3	
巖	ŋai2	
嶺	lin2	
岳	io2	
岸	ŋan5	
峽	ɕia2	
峰	xoŋ1	
崇	tsʰoŋ2	
崑	kʰuen1	
崔	tsʰuei1	
崖	ŋai2	
崩	pen1	
嵌	kʰan1	
川	tsʰuan1	
州	tsəu1	
巡	ɕyen2	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
差	tsʰa1	
差	tsʰai1	
己	tɕi3	
巴	pa1	
巷	xɑŋ5	
巾	tɕin1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	suai5	
帆	fan2	
師	sɿ1	
希	ɕi1	
帳	tsɑŋ5	
帕	pʰa2	
帖	tʰiɛ2	
帘	lian2	
帚	tsu3	
帝	ti5	
帶	tai5	
席	ɕi2	
幫	pɑŋ1	
常	sɑŋ2	
帽	mau5	
幔	man5	
幕	mo5	
干	kan1	
干	kan5	~练
平	pʰin2	
年	lian2	
并	pin3	
并	pin5	
幸	ɕin5	
幺	iau1	
幻	xuan5	
幼	iəu5	
幽	iəu1	
廣	kuɑŋ3	
莊	tsuɑŋ1	
慶	tɕʰin5	
牀	tsʰuɑŋ2	
序	ɕyi5	
庫	kʰu5	
應	in5	
底	ti3	
店	tian5	
廟	miau5	
庚	ken1	
府	fu5	
龐	pʰɑŋ2	
廢	xuei5	
度	tu5	
座	tso5	
庭	tʰin2	
庵	ŋan1	
康	kʰɑŋ1	
廉	lian2	
廊	lɑŋ2	
廓	kʰo2	
延	ian2	
廷	tʰin2	
建	tɕian5	
開	kʰai1	
异	i5	
弄	loŋ5	
弓	koŋ1	
引	in3	
弟	ti5	
張	tsɑŋ1	
弦	ɕyan2	
彎	uan1	
弱	zo2	
彈	tʰan2	~琴
彈	tan5	~药
强	tɕʰiɑŋ3	~大
强	tɕʰiɑŋ5	~脾气
歸	kuei1	
當	tɑŋ5	上~
當	tɑŋ1	应~
录	lu2	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彭	pen2	
影	in3	
役	yi2	
徹	tsʰɛ2	
彼	pi3	
往	uɑŋ3	
征	tsen1	
待	tai5	
很	xen3	
律	lu2	
徐	ɕyi2	
徒	tʰu2	
得	tei2	
御	yi5	
循	ɕyen2	
微	uei1	
德	tei2	
心	ɕin1	
必	pi2	
憶	i5	
忌	tɕi5	
忍	zen3	
志	tsɿ5	
忘	uɑŋ2	
忙	mɑŋ2	
忠	tsoŋ1	
憂	iəu1	
快	kʰuai5	
念	lian5	
忽	fu2	
忿	xuen1	
懷	xuai2	
態	tʰai5	
慪	ŋəu5	
怒	lu3	
怕	pʰa5	
憐	lin2	
思	sɿ1	
怠	tai5	
急	tɕi2	
性	ɕin5	
怨	yan5	
怪	kuai5	
怯	tɕʰiɛ2	
總	tsoŋ3	
戀	lian5	
恍	xuɑŋ3	
恐	kʰoŋ3	
恆	xen2	
恢	xuei1	
恤	ɕyɛ2	
恨	xen5	
恩	ŋen1	
恭	koŋ1	
息	ɕi2	
懇	kʰen3	
恶	o2	
惱	lau3	
悄	tɕʰiau1	
悉	ɕi2	
悔	xuei3	
悠	iəu1	
患	xuan5	
悦	yɛ2	
懸	ɕyan2	
憫	min2	
悲	pei1	
情	tɕʰin2	
驚	tɕin1	
惋	uan3	
惕	tʰi2	
惜	ɕi2	
惠	xuei5	
懼	tɕyi5	
慘	tsʰan3	
慚	tɕian5	
慣	kuan5	
愁	tsʰəu2	
愉	yi2	
意	i5	
愚	yi2	
感	kan3	
憤	xuen5	
願	yan5	
慈	tsʰɿ2	
慌	xuɑŋ1	
慢	man5	
慧	xuei5	
慷	kʰɑŋ1	
懂	toŋ3	
懊	ŋau5	
懶	lan3	
戎	zoŋ2	
戲	ɕi5	
成	tsʰen2	
我	ŋo3	
戒	tɕiai5	
或	xuai2	
戰	tsan5	
戚	tɕʰi2	
截	tɕiɛ2	
戳	tsʰo2	
戴	tai5	
戶	fu5	
戽	fu5	
房	xuɑŋ2	
所	so3	
扁	pian3	
扇	san1	~风
扇	san5	~子
手	səu3	
才	tsʰai2	
扎	tsa2	
扑	pʰu2	
扒	pʰa2	
打	ta3	
托	tʰo2	
扣	kʰəu5	
執	tsɿ2	
擴	kʰo2	
掃	sau3	
揚	iɑŋ2	
扭	liəu3	
扮	pan1	
扯	tsʰɛ3	
擾	zau2	
扳	pan1	
扶	fu2	
批	pʰi1	
找	tsau3	
承	tsʰen2	
技	tɕi5	
抄	tsʰau1	
把	pa3	~握
把	pa5	刀~
抓	tsua1	
投	tʰəu2	
抖	tʰəu3	
抗	kʰɑŋ5	
折	tsɛ2	~断
折	sɛ2	~本
抛	pʰau1	
搶	tɕʰiɑŋ3	
護	fu5	
報	pau5	
披	pʰei1	
抬	tʰai2	
抱	pau5	
抹	mo1	
押	ia2	
抽	tsʰəu1	
拄	tsʰu3	
擔	tan1	~心
擔	tan5	~子
拆	tsʰɛ2	
拇	mu3	
拈	liɛ1	
拉	la2	
拌	pan5	
拍	pʰiɛ2	
拐	kuai3	
拒	tɕyi5	
拔	pʰa2	
拖	tʰo1	
拘	tɕyi1	
招	tsau1	
拜	pai5	
攏	loŋ3	
揀	tɕian3	
擁	ioŋ1	
攔	lan2	
撥	po2	
擇	tsʰɛ2	
括	kua2	
拳	tɕʰyan2	
拼	pʰin1	
拾	sɿ2	
拿	la2	
持	tsʰɿ2	
挂	kua5	
指	tsɿ3	
按	ŋan5	
挑	tʰiau1	
挖	ua1	
擋	tɑŋ3	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
挨	ŋai2	
振	tsen3	
挺	tʰin3	
挽	uan3	
捆	kʰuen3	
捉	tso2	
捏	liɛ2	
捐	tɕyan1	
捕	pu5	
撈	lau2	
損	sen3	
撿	tɕian3	
換	xuan5	
捧	pʰoŋ3	
据	tɕyi5	
捷	tɕiɛ2	
捺	la2	
掀	ɕyan1	
授	səu5	
掉	tiau5	
掌	tsɑŋ3	
掐	tɕʰia1	
排	pʰai2	
掘	tɕʰiɤɯ2	
探	tʰan1	
接	tɕiɛ2	
控	kʰoŋ5	
推	tʰuei1	
掩	ian3	
描	miau2	
提	tʰi2	
插	tsʰa2	
揖	i2	
握	o2	
揭	tɕiɛ2	
援	yan2	
攬	lan3	
擱	ko2	
擱	kʰo2	
摟	ləu2	
攪	tɕiau3	
搓	tsʰo1	
搜	səu1	
搞	kau3	
搬	pan1	
搽	tsʰa2	
攝	liɛ2	
摆	pai3	
摇	iau2	
攤	tʰan1	
摘	tɕiɛ2	
摸	mo1	
撇	piɛ2	
撑	tsʰen5	
撕	sɿ1	
撞	tsuɑŋ5	
撤	tsʰɛ2	
撩	liau2	
撮	tso2	
操	tsʰau1	
擒	tɕʰin2	
擦	tsʰa2	
攀	pʰan1	
支	tsɿ1	
收	səu1	
改	kai3	
攻	koŋ1	
放	xuɑŋ5	
政	tsen5	
故	ku5	
效	ɕiau5	
敵	ti2	
敏	min3	
救	tɕiəu5	
教	tɕiau1	
教	tɕiau5	~育
斂	lian3	
敞	tsʰɑŋ3	
敢	kan3	
散	san3	松~
散	san5	解~
敦	tuen1	
敬	tɕin5	
數	su3	
數	su5	~字
敲	kʰau1	
整	tsen3	
敷	fu1	
文	uen2	
齋	tsai1	
斑	pan1	
斗	təu5	~争
斗	təu3	一~
料	liau5	
斜	ɕiɛ2	
斤	tɕin1	
斧	fu3	
斬	tsan3	
斷	tuan5	
斯	sɿ1	
新	ɕin1	
方	xuɑŋ1	
施	sɿ1	
旁	pʰɑŋ2	
旅	lyi3	
旋	tɕʰy2	
族	tɕʰyi2	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	zɿ2	
旦	tan5	
舊	tɕiəu5	
早	tsau3	
旬	ɕyen2	
旭	ɕiɤɯ2	
旱	xan5	
時	sɿ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ŋɑŋ2	
昆	kʰuen1	
昌	tsʰɑŋ1	
明	min2	
昏	xuen1	
易	i5	
昔	ɕi2	
星	ɕin1	
春	tsʰuen1	
昨	tso2	
晝	tsəu5	
顯	ɕian3	
晃	xuɑŋ3	
晉	tɕin5	
曬	sai5	
曉	ɕiau3	
暈	yen1	
晚	uan3	
晨	sen2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ1	
暫	tsan5	
暑	su3	
暖	luan3	
暗	ŋan5	
暴	pau5	
曲	tɕʰiɤɯ2	~折
曲	tɕʰyi2	歌~
更	ken5	
曹	tsʰau2	
曼	man5	
曾	tsen1	
曾	tsʰen2	~经
替	tʰi5	
最	tsuei5	
月	yɛ2	
有	iəu3	
朋	pʰen2	
朋	pʰoŋ2	
服	fu2	
朗	lɑŋ3	
望	uɑŋ5	
朝	tsau1	~阳
朝	tsʰau2	~向
期	tɕʰi1	
木	mu2	
未	uei5	
末	mo2	
本	pen3	
术	su5	
朱	tsu1	
朴	pʰu2	
朶	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sa2	
權	tɕʰyan2	
杆	kan1	旗~
杆	kan3	笔~
杉	sa1	
李	li3	
杏	xen5	
材	tsʰai2	
村	tsʰen5	
杖	tsɑŋ5	
杜	tu5	
束	tsʰu2	
杠	kɑŋ5	
條	tʰiau2	
來	lai2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pei1	
杰	tɕiɛ2	
松	soŋ1	
板	pan3	
極	tɕi2	
構	kəu5	
枇	pʰi1	
枉	uɑŋ3	
析	ɕi2	
枕	tsen3	
林	lin2	
果	ko3	
枝	tsɿ1	
棗	tsau3	
槍	tɕʰiɑŋ1	
楓	xoŋ1	
枯	kʰu1	
架	tɕia5	
柄	pin3	
柏	pei2	
某	məu3	
柑	kan1	
染	zan3	
柔	zəu2	
櫃	kuei5	
查	tsʰa2	
柱	tsu5	
柳	liəu3	
柴	tsʰai2	
柿	sɿ5	
標	piau1	
棧	tɕʰian5	
棟	toŋ5	
欄	lan2	
樹	su5	
栗	li2	
校	ɕiau5	
株	tsu1	
樣	iɑŋ5	
核	xɛ2	
根	ken1	
格	kɛ2	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
桅	uei2	
框	tɕʰiɑŋ1	
案	ŋan5	
桌	tso2	
桐	tʰoŋ2	
桑	sɑŋ1	
橋	tɕʰiau2	
槳	tɕiɑŋ3	
樁	tsuɑŋ1	
桶	tʰoŋ3	
梁	liɑŋ2	
梅	mei2	
梗	ken3	
梢	sau1	
夢	moŋ5	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
械	tɕiai5	
梳	su1	
檢	tɕian3	
棉	mian2	
棋	tɕʰi2	
棍	kuen5	
棒	pɑŋ5	
棕	tsoŋ1	
棚	pʰen2	
棚	pʰoŋ2	
棠	tʰɑŋ2	
森	sen1	
棱	lin2	
棵	kʰo3	
椅	i3	
植	tsɿ2	
椒	tɕiau1	
橢	tʰo3	
椿	tsʰuen1	
楚	tsʰu3	
楷	kʰai3	
樓	ləu2	
概	kʰai5	
榆	yi2	
榕	ioŋ2	
榜	pɑŋ3	
榨	tsa5	
榫	sen3	
榴	liəu2	
槐	xuai2	
槽	tsʰau2	
樟	tsɑŋ1	
模	mu2	
橫	xuen2	
櫻	in1	
樵	tɕʰiau2	
橘	tɕyi2	
橡	ɕiɑŋ5	
櫥	tsʰu2	
檀	tʰan2	
檐	ian2	
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan1	
歐	ŋəu1	
欲	yi5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ2	
歉	tɕʰian5	
歌	ko1	
止	tsɿ3	
正	tsen5	~月
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uai1	
死	sɿ3	
殃	iɑŋ1	
殊	su1	
殘	tsʰan2	
段	tuan5	
殷	in1	
殿	tian5	
毁	xuei3	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	
畢	pi2	
斃	pi5	
毛	mau2	
毡	tsan1	
毯	tʰan3	
民	min2	
气	tɕʰi5	
水	suei3	
永	yen3	
汁	tsɿ2	
求	tɕʰiəu2	
汇	xuei5	
漢	xan5	
汗	xan5	
江	tɕiɑŋ1	
池	tsɿ2	
湯	tʰɑŋ1	
汪	uɑŋ1	
汽	tɕʰi5	
沃	o2	
沈	sen3	
沉	tsʰen2	
沙	sa1	
沛	pʰei5	
溝	kəu1	
没	miɛ2	
漚	ŋəu5	
沫	mo1	
河	xo2	
油	iəu2	
治	tsɿ5	
沾	tsan1	
沿	yan2	
泄	ɕiɛ5	
泉	tɕʰyan2	
法	xua2	
泛	fan5	
泡	pʰau5	
波	po1	
泥	li2	
注	tsu5	
淚	luei5	
泰	tʰai5	
泳	yen5	
瀉	ɕiɛ5	
潑	pʰo2	
澤	tsʰɛ2	
潔	tɕiɛ2	
洋	iɑŋ2	
洒	sa3	
洗	ɕi3	
洛	lo2	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tsəu1	
活	xo2	
派	pʰai5	
流	liəu2	
淺	tɕʰian3	
漿	tɕiɑŋ1	
澆	tɕiau1	
測	tsɛ2	
測	tsʰɛ2	
渾	xuen1	~浊
渾	xuen2	~身
濃	loŋ2	
浙	tsɛ2	
浪	lɑŋ5	
浮	fu2	
海	xai3	
浸	tɕʰin5	
涂	tʰu2	
消	ɕiau1	
涉	sɛ2	
涌	ioŋ3	
涕	tʰi5	
濤	tʰau1	
澇	lau2	
潤	zuen5	
漲	tsɑŋ3	
澀	sɛ2	
液	iɛ5	
淋	lin2	
淘	tʰau1	
淘	tʰau2	
淡	tan5	
淤	yi2	
淫	in2	
淮	xuai2	
深	sen1	
混	xuen2	
淹	ŋan1	
淹	ian1	
添	tʰian1	
淵	yan1	
漸	tɕian5	
漁	yi2	
滲	sen1	
渠	tɕʰyi3	
渡	tu5	
渣	tsa1	
溫	uen1	
港	kɑŋ3	
渴	kʰo2	
游	iəu2	
湖	fu2	
灣	uan1	
溼	sɿ2	
潰	kʰuei5	
溏	tʰɑŋ2	
源	yan2	
溜	liəu2	
溪	tɕʰi1	
溶	ioŋ2	
溻	tʰa2	
滋	tsɿ1	
滑	xua2	
滕	tʰen2	
滚	kuen3	
滿	man3	
濾	luei5	
濫	lan5	
灘	tʰan1	
滴	ti2	
漂	pʰiau1	~浮
漆	tɕʰi2	
漏	ləu5	
演	ian3	
漠	mo2	
漫	man5	
潘	pʰan1	
