#漢字	音標	解釋
□	kaʔ7	～lat5·li：腋下
挽	uan3	
捅	dʰoŋ1	
捆	kʰun1	
捉	tsuoʔ7	
捋	lu5	～衣袖
捎	sɛu5	～带
捏	ȵiɛt7	
捐	tɕyon5	
捕	pu3	
撈	lau5	
損	sən3	
換	uon6	
捧	bʰoŋ1	
据	tɕi5	
捱	ŋai5	～打
捷	tɕiɛt7	
捺	lat7	撇～
掀	ɕiɛn5	
掂	tiɛn5	
掇	tuot7	拾～
授	ɕiu6	
掉	tiɛu5	～头
掌	tɔŋ3	
掏	dʰau1	
掐	tsot7	～一下
排	bʰai6	
掘	tɕyot7	
掠	lyɛt7	
探	dʰan6	
接	tɕiɛt7	
控	kʰeŋ5	
推	dʰi1	
掩	iɛn3	
措	tsʰo5	～辞
擲	tsɿʔ7	
撣	tan3	鸡毛～子
撣	dʰan3	～灰
揉	lɛu2	
描	miɛu2	
提	dʰi6	
插	tsʰat1	
揖	i5	
揞	ŋon5	～住
握	uoʔ7	
揢	kʰa1	捕，捉，拿住
揣	tsʰuai1	～测
揩	kʰai1	
揫	tɕiu5	一把～住
揭	tɕiɛt7	
援	yon2	
攬	lan3	
攙	tsʰan1	
擱	ko5	
摟	lo6	用手或工具把东西聚集到自己面前
摟	lɛu3	～抱
攪	kau3	
搊	tsʰɛu1	方言，从一侧或一端托起重物
搓	tsʰo1	
搛	tɕʰiɛt1	～菜
搜	sɛu5	
搞	kau3	
搡	sɔŋ3	
搬	pon5	
搭	tat7	
携	ɕiɛt7	提～
携	ɕiɛ2	～带
搽	tsʰa6	涂抹
攝	sɛt7	
摆	pai3	
摇	iɛu2	
攤	dʰan1	
摔	suoi5	
摘	tsaʔ7	
摞	lo6	～起来
摩	mo2	
摸	mo5	
摹	mu2	～仿
撅	tɕyot7	
撇	bʰiɛt1	
撑	tsʰaŋ1	
撒	sa5	～手
撕	sɿ5	
撚	ȵiɛn3	用手指～碎
撞	tsʰɔŋ6	
撤	tsʰət7	
撩	liɛu5	
撮	tsʰuo5	一～米
撮	tsuot7	一～头发；手～
撮	tsʰuot7	～箕；～斗
撰	tsuon5	
攆	ȵiɛn3	
撼	hon1	
擀	kon3	～面
操	tsʰau1	
擎	tɕʰiŋ6	
擒	tɕʰin6	
擖	kuat7	用刀刮
擘	bʰoʔ1	用手擘开
擦	tsʰat7	
擩	lu3	插、塞
攀	bʰan1	
攢	tsan3	积～
攘	lɔŋ3	
支	ti5	1～派；～走
支	tsɿ5	2 一～
收	ɕiu5	
改	kai3	
攻	keŋ5	
放	fɔŋ5	
政	tiŋ5	1
故	ku5	
效	hau6	
敵	dʰiʔ1	
敏	mən3	
救	tɕiu5	
教	kau5	～书
教	kau5	～育
斂	liɛn3	
敝	pi5	
敢	kon3	
散	san5	分～
散	san3	鞋带～了
敦	tən5	
敨	dʰɛu1	把包着或卷着的东西打开
敬	tɕiŋ5	
數	ɕiu3	动词
數	su5	名词
敲	ho1	～门
敲	tɕʰiɛu1	～打
整	taŋ5	齐～ ：漂亮的意思
整	tiŋ3	～数
敷	fu5	
文	uən2	
斋	tsai5	
斑	pan5	
斗	tɛu3	一～米
斗	tɛu5	争～
料	liɛu6	
斛	hu2	一～
斜	tɕʰia6	
斟	ten5	
斤	tɕin5	
斥	tsʰɿʔ1	
斧	fu3	
斬	tsan3	
斷	dʰuon5	
斯	sɿ5	
新	sən5	
方	fɔŋ5	
於	i3	
施	sɿ5	
旁	bʰɔŋ6	
旅	li3	
旋	ɕyon6	头发～
旋	ɕyon2	～转
族	tsʰuʔ1	
旗	tɕʰi6	
無	u2	
既	tɕi5	
日	lət7	文读，～历
日	ȵit7	白读，～头；～子
旦	tan5	
舊	tɕʰiu6	
旨	ti3	1～意
旨	tsɿ3	2
早	tsau3	
旬	sən2	1
旬	ɕyn2	2
旱	hon1	
時	sɿ2	小～
時	ɕi2	～间
曠	kuɔŋ3	～阔
旺	uɔŋ6	兴～
旺	iɔŋ6	集市很热 闹
昂	ɔŋ3	～首
昆	kʰun5	
昌	dʰɔŋ1	南～
明	miŋ2	文读，照～
明	miaŋ2	白读，～天
昏	hun5	
易	i5	
易	iʔ7	
昔	ɕi5	
星	ɕiŋ5	文读，～期一
星	ɕiaŋ5	白读，～星
映	iŋ5	
春	dʰən1	
昧	mei5	
昨	tsʰuo5	
昭	tsau5	
是	sɿ5	～非
是	ɕi5	～不～
晝	tiu5	
顯	ɕiɛn3	
晃	huɔŋ1	～眼
晉	tɕin5	
晌	sɔŋ3	～午
晏	ŋan5	晚也
曬	saʔ7	
曉	ɕiɛu3	
暈	in5	1
暈	yn5	2
晚	uan3	
晦	hui5	
晨	tsʰən6	
普	bʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ6	文读
晴	tɕʰiaŋ6	白读
晶	tɕiŋ5	
智	ti5	1～慧
智	tsɿ5	2～慧
暫	tsʰan6	～时
暇	ɕia2	
暑	ɕiu3	1
暑	su3	2
暖	luon3	
暗	ŋon5	
暮	mu5	
暴	pau3	
曝	bʰuʔ1	
曩	lɔŋ2	
曰	yot7	
曲	tɕʰi3	歌～ ；～折
曳	iɛt7	
更	ken5	三～
曹	tsʰau6	
曾	tsen5	姓氏
曾	tsʰen6	～经
替	dʰi6	
最	tsei5	
月	ȵyot7	
有	iu3	
朋	bʰɔŋ6	
服	fu2	
朗	lɔŋ3	
望	uɔŋ6	文读
望	mɔŋ6	白读
朝	tɛu5	今～
朝	tsɛu5	今～
朝	dʰɛu6	～代
期	tɕʰi6	
木	muʔ7	
未	ui6	
末	mot7	～尾
本	pən3	
札	tsat7	
术	su5	算～
术	su5	～语
朱	tu5	
朴	bʰu3	～素
朵	to3	
機	tɕi5	
朽	ɕiu3	
殺	sat7	
雜	tsʰat1	
權	tɕʰyon6	
杆	kon5	
杈	tsʰa1	
杉	sa5	～木
李	li3	
杏	ɕiŋ6	
材	tsʰai6	
村	tsʰən1	
杖	tɔŋ5	
杜	tu5	
杞	tɕʰi2	枸～
束	ɕiu1	
杠	kɔŋ5	
條	dʰiɛu6	
來	lai2	
楊	iɔŋ2	
杭	hɔŋ6	
杯	pai5	1
杯	pi5	2
杰	tɕiɛt7	
杳	liɛu3	～无音信
杵	tsʰu3	
杷	bʰa6	
松	suoŋ5	～紧
松	suoŋ5	～树
板	pan3	
極	tɕit7	
構	kɛu5	
枇	bʰi6	
枉	uɔŋ5	
析	ɕi5	
枕	ten5	动词
枕	ten3	～头
林	len2	
枚	mi2	
果	kuo3	
枝	ti5	1 树～
枝	tsɿ5	2 一～花
樞	su5	
棗	tsau3	
槍	tɕʰiɔŋ1	
楓	heŋ5	
枯	kʰu1	
枵	bʰoʔ7	
架	ka5	
柄	piŋ3	
柏	pai3	～树
某	mɛu3	
柑	kon5	
染	lan3	污～
染	ȵiɛn3	～色
柔	lɛu2	
柚	iu6	
櫃	kʰui6	
查	tsʰa1	姓氏
查	tsʰa6	调～
柩	tɕiu5	
柬	tɕiɛn3	
柱	tu5	
柳	liu3	
柴	tsʰai6	
柺	kuai3	
柿	ɕi1	1
柿	sɿ1	2
梔	ti5	
柵	tsaʔ7	～栏
標	piɛu5	
棧	tsan6	
棟	toŋ5	
欄	lan2	
樹	ɕiu6	
栓	suon5	
栖	ɕi5	
栗	lit7	
校	ho5	学～
校	kau5	～对
校	hau6	～服
株	tu5	
樣	iɔŋ6	
核	hət1	审～
核	hət1	果～
核	hət1	桃～
根	ken5	
格	kaʔ7	
栽	tsai5	
桂	kui5	
桃	dʰau6	
桅	ui2	
案	ŋon5	
桌	tsuoʔ7	
桐	dʰoŋ6	
桑	sɔŋ5	
桓	huon2	
椏	ŋat7	～杈
橋	tɕʰiɛu6	
樺	hua2	～树
槳	tɕiɔŋ3	
樁	tsɔŋ5	
桶	dʰoŋ1	
梁	liɔŋ2	
梅	mi2	
梓	tsɿ3	
梗	kuaŋ3	菜～
梢	sau5	
夢	moŋ6	
梧	u2	
梨	li2	
梭	suo5	
梯	dʰi1	
械	ɕiɛ5	
梳	sɿ5	
檢	tɕiɛn3	
棉	miɛn3	
棋	tɕʰi6	
棌	tsʰai5	橡树
棍	kun5	
棒	pɔŋ1	冰～
棕	tsuoŋ5	
棚	bʰɔŋ6	
棠	dʰɔŋ6	
森	sen5	
棱	len2	～角
棵	kʰuo1	
棺	kuon5	
椅	i3	
植	tsɿʔ1	
椒	tɕiɛu5	
橢	dʰo1	
椿	tsʰun1	
楚	tsʰu3	
楣	mi2	
楷	kʰai1	
樓	lɛu2	
概	kai5	
欖	lan3	
榆	y2	
榜	pɔŋ3	
榨	tsa5	
榫	sun3	～头
榴	liu2	
榷	tɕʰyɛt1	
榻	dʰat1	
槌	tsʰui6	棒～
槐	huai2	
檳	pin5	
槽	tsʰau6	马～
樟	tɔŋ5	
模	mu2	～子
模	mo2	～范
橫	uaŋ2	～竖
櫻	iŋ5	
樵	tɕʰiɛu6	～夫
橄	kon3	
橘	tɕit7	
橙	tsʰaŋ6	1
橙	tsʰen6	2～子
橙	tsʰen6	脐～
橡	ɕiɔŋ1	
櫓	lu3	樯～
檀	dʰan6	
檐	iɛn2	
欠	tɕʰiɛn6	
次	tsʰɿ5	
歡	huon5	
欣	ɕin5	
歐	ŋiɛu5	
欲	iʔ7	
欺	tɕʰi1	
款	kʰuon3	
歇	ɕiɛ5	
歇	ɕiɛt7	
歉	tɕʰiɛn1	
歌	ko5	
止	ti3	1
止	tsɿ3	2
正	tiŋ5	1～反
正	taŋ5	白读，～月
此	tsʰɿ1	
步	bʰu6	
武	u3	
歧	tɕʰi6	～视
歪	uai5	
死	sɿ3	
殲	tɕiɛn5	
殃	iɔŋ5	
殆	tai5	
殉	ɕyn6	
殊	su5	
殮	tiɛn5	
殖	tsɿʔ1	
殯	pin2	
毆	ŋiɛu5	
段	dʰuon6	
殷	in5	
殿	tiɛn5	
毁	hui3	
毅	i5	
母	mu3	
每	mi3	
毒	dʰuʔ1	
比	pi3	
畢	pit7	
斃	bʰi6	
毛	mau2	
毡	ten5	
毯	dʰan1	
氏	sɿ5	
民	min2	
气	tɕʰi6	
水	fi3	
永	iɔŋ3	
汁	tət7	
求	tɕʰiu6	
汆	tsʰuon1	～肉丸
汇	hui5	
汇	hui6	
漢	hon5	
汗	hon6	出～
汗	hon1	～水
汝	lu3	
汞	keŋ3	
江	kɔŋ5	
池	dʰi6	
污	u5	
湯	dʰɔŋ1	
汪	uɔŋ5	一～水
汴	piɛn6	
汽	tɕʰi6	
沂	i3	～河
沃	uoʔ7	
沈	sen3	
沉	tsʰen6	
沌	tun5	
沓	dʰət1	一～纸
沙	sa5	
沛	bʰi6	
溝	kɛu5	
沒	mot7	淹～
沒	mo2	～收
沒	mau3	～有
漚	ŋiɛu5	久浸在水中
淪	lən2	
滬	hu2	
沫	moʔ7	泡～
河	ho6	
油	iu2	
治	tsɿ5	
沼	tsau3	
沾	tsan5	
沿	iɛn2	
泄	ɕiɛt7	
泅	tɕʰiu6	
泉	tɕʰyon6	
泊	poʔ7	停～
泊	bʰoʔ7	湖～
泌	mi5	分～
泔	kon5	～水
法	fat7	
泛	fan5	
泡	bʰau5	灯～
泡	bʰau1	眼～儿
波	po5	
泣	tɕʰi5	
泥	ȵi2	
注	tu5	～意
淚	li5	
泰	dʰai5	
泳	iɔŋ3	
瀉	ɕia5	
潑	bʰot1	～水
澤	tsɛʔ7	
潔	tɕiɛt7	
洇	in5	
洋	iɔŋ2	
洒	sa3	
洒	sa3	～水
洗	ɕi3	
洛	luoʔ7	
洞	loŋ6	
津	tɕin5	
洪	heŋ2	
洲	tiu5	亚～
活	hot7	文读，生～
活	uot7	白读，～着
洼	ua5	
洽	tsʰat1	
派	bʰai6	
流	liu2	
淺	tɕʰiɛn1	
漿	tɕiɔŋ3	
澆	tɕiɛu5	
濁	tsuoʔ7	
測	tsʰɛʔ7	
濟	tɕiʔ7	
渾	hun2	～浊
滸	hu3	
濃	loŋ2	
浙	tət7	～江
浚	tɕyn5	～河
浜	pɔŋ5	
浦	bʰu3	
浩	hau1	
浪	lɔŋ6	
浮	fu2	
浴	iʔ7	
海	hei1	
浸	tsen5	
涂	dʰu6	
消	ɕiɛu5	
涉	sɛt7	
涌	ioŋ3	
涎	tsʰan6	1
涎	ɕiɛn6	2
涕	dʰi6	
濤	dʰau6	
澇	lau1	
潤	lun6	
澗	tɕiɛn5	
漲	tɔŋ3	～价
澀	sət7	
涮	suon5	
涯	ŋa2	
液	iɛ2	
涴	uɛ5	弄脏
涿	tsuoʔ7	～鹿
淆	ɕiɛu2	混～
淋	len2	
淑	su5	
淘	dʰau6	
淡	dʰan1	
淤	i5	
淫	in2	
淮	huai2	
深	sen5	
混	hun1	
淹	iɛn5	
添	dʰiɛn1	
清	tɕʰiŋ1	文读，～楚
清	tɕʰiaŋ1	白读，～水
淵	yon5	
漸	tɕiɛn1	
澠	miɛn3	
漁	ȵiɛ2	
滲	sen5	
渠	tɕʰi6	～道
渡	tu5	
渣	tsa5	
溫	uən5	
港	kɔŋ3	
渴	hot1	
游	iu2	
渺	miɛu3	
湖	u2	
湘	ɕiɔŋ5	
灣	uan5	
溼	sət7	
潰	kʰui6	
濺	tɕiɛn5	
溉	kai5	
源	ȵyon2	
溜	liu5	
溢	iʔ7	
溪	ɕi5	
溻	lat7	汗水湿透了
滂	bʰɔŋ1	
滋	tsɿ5	
滑	uat7	
滓	tsɿ5	
滔	dʰau1	
滾	kun3	
滯	tsɿʔ7	
滿	mon3	
濾	li5	
濫	lan6	
灘	dʰan1	
滴	ti5	一～
漂	bʰiɛu1	～白
漂	bʰiɛu5	～亮
漆	tsʰət1	
漏	lɛu6	
演	iɛn3	
漫	man5	
漱	su5	
潘	bʰon1	
潛	tɕʰiɛn6	
潭	dʰan6	
潮	dʰɛu6	
潲	sau5	猪食
澄	tsʰen6	～清
澄	tsʰen6	～一～
澡	tsau3	
激	tɕi5	～进
激	tɕiʔ7	～动
瀑	bʰuʔ1	
灌	kuon5	
灒	tsan5	方言，溅
火	huo3	
滅	miɛt7	
燈	ten5	
灰	fai5	1 石～
灰	fi5	2 掸～
灰	hui5	～白
靈	liŋ2	
竈	tsau5	
灸	tɕiu3	
災	tsai5	
爐	lu2	
炊	dʰi1	
炎	iɛn2	
炒	tsʰau1	
炕	kʰɔŋ5	
炙	tsɿʔ7	
炭	dʰan5	
炮	bʰau5	
炸	tsat7	用油～
炸	tsa5	～弹
點	tiɛn3	
爛	lan6	
烈	liɛt7	
烊	iɔŋ2	融化
烘	heŋ5	～干
烙	luoʔ7	1
烙	lau3	2
燭	tuʔ7	
烟	iɛn5	
烤	kʰau1	
煩	fan2	
燒	sɛu5	
燙	dʰɔŋ5	
熱	iɛt7	好～
熱	lət7	～闹
烹	bʰɔŋ1	
焉	iɛn5	
焊	hon6	
煥	huon5	
焙	bʰi6	
焚	fən2	
焦	tɕiɛu5	
焯	tsʰau5	～一下
焰	iɛn6	
然	len2	
煎	tɕiɛn5	
煤	mi2	
照	tɛu5	
煨	ui5	
煮	tu3	
熄	ɕiʔ7	
熊	ɕioŋ2	
熏	ɕyn5	
熙	ɕi5	
熝	ŋau2	～白菜
熟	ɕiuʔ7	
熨	in5	
熬	ŋau2	
燃	len2	
燎	liɛu2	火～眉毛
燎	liɛu2	～原
燕	iɛn5	～京；～子
燦	tsʰan6	
爆	pau5	
爪	tsa3	
爬	bʰa6	
愛	ŋai5	
爵	tɕyɛt7	
父	fu1	
爺	ia2	
爺	iɛ2	2
爸	paʔ7	
爹	tia5	
爽	sɔŋ3	
片	bʰiɛn5	
版	pan3	
牌	bʰai6	
牒	dʰiɛt1	
牙	ŋa5	～ ·哩：～齿
牙	ŋa2	刷～
牛	ȵiu2	
牡	mu3	
牢	lau2	
牧	muʔ7	
物	uət7	
牲	sen5	文读
牲	saŋ5	白读
牽	tɕʰiɛn1	
特	dʰɛʔ7	
犧	ɕi5	
犀	ɕi5	
犁	li2	
犢	tu3	牛～
犒	kʰau5	
犬	tɕʰyon3	
犯	fan1	
狀	tsʰɔŋ6	
猶	iu2	
狂	kʰuɔŋ6	
狄	dʰiʔ1	
狍	bʰau6	～子
狐	hu2	
狗	kɛu3	
狡	tɕiɛu3	
獨	dʰuʔ1	
狹	ɕia2	
獅	sɿ5	
獄	i1	
狸	li5	狐～
狼	lɔŋ2	
獵	tiɛt7	
猛	mɔŋ3	
猜	tsʰai1	
猝	tsʰuʔ7	仓～
豬	tu5	
貓	mau5	狸～
貓	mau2	～咪
猬	ui5	
獻	ɕiɛn5	
猴	hɛu1	
猾	fat7	狡～
玄	ɕyon2	
率	tiʔ7	
率	suoi5	～领
玉	ȵi1	～米；～石
玉	i1	～米
王	uɔŋ2	
玩	uan2	游～ ；古～
玩	uai1	训读
環	huon2	
現	ɕiɛn6	
璽	ɕi3	
玻	po5	
珊	san5	
珍	tən5	
珠	tu5	
班	pan5	
球	tɕʰiu6	
理	li3	
琉	liu2	～璃
瑣	so3	～碎
琢	tsuo3	
琴	tɕʰin6	
琵	bʰi6	
琶	bʰa6	
瓊	tɕʰiɔŋ1	
瑕	ɕia2	
瑞	lui6	～金
瑟	sɛt7	
璃	li5	
璧	piʔ7	
瓜	kua5	
瓠	u6	
瓢	bʰiɛu6	
瓣	pon5	
瓤	lɔŋ2	瓜～
瓦	ŋa3	名词
瓮	uoŋ2	
瓶	bʰiŋ6	
瓷	tsʰɿ6	
甘	kon5	
甚	sen2	
甜	dʰiɛn6	
生	sen5	文读，～活
生	saŋ5	白读，食物不熟
甥	sen5	文读
甥	saŋ5	白读
用	ioŋ6	
甫	fu3	
甬	ioŋ3	
田	dʰiɛn6	
由	iu2	
甲	kat7	
申	sən5	
電	tiɛn6	
男	luon2	
畫	hua6	
暢	tsʰɔŋ5	
界	kai5	
畏	ui6	
留	liu2	
畜	dʰuʔ1	～生
畜	ɕiuʔ7	～牧
略	liɛt7	
番	fan5	
疆	tɕiɔŋ5	
疏	su5	亲～
疏	su5	注～
疑	ȵi2	
療	liɛu2	
疝	san5	～气
瘧	ȵyɛt7	～疾
瘍	iɔŋ2	
疤	pa5	
疥	tɕiɛ5	～疮
疫	iʔ7	
瘡	tsʰɔŋ5	
瘋	heŋ5	
疲	bʰi6	
疵	tsʰɿ6	
疹	tən3	
疼	dʰen6	
疾	tɕit7	
痂	hoʔ7	
病	bʰiaŋ6	
症	tiŋ5	
痒	iɔŋ3	
痔	tsɿ5	
痕	hen6	
痛	dʰoŋ5	
痢	li5	
痣	ti5	1
痣	tsɿ5	2
痰	dʰan6	吐～
痱	fi5	
痳	ma2	
癡	tsʰɿ1	
痹	pi5	
瘌	lat7	～痢头
瘟	uən5	
瘦	sɛu5	
瘴	tɔŋ5	
瘸	tɕʰyot7	
癩	lai6	
癬	ɕiɛn3	皮～
癸	kui1	
登	ten5	
白	bʰaʔ1	～色
百	paʔ7	
皂	tsʰau1	
的	tiʔ7	～士
皆	kai5	
皇	huɔŋ2	
皖	uon3	
皮	bʰi6	
皺	tsɛu3	
皴	tsʰun1	
皿	miŋ3	
盂	i2	
盅	tsuoŋ5	酒～
盆	bʰən6	
盈	iŋ2	
益	i1	
盞	tsan3	
鹽	iɛn2	～巴
監	tɕiɛn5	国子～
監	kan5	～牢
盒	hot1	
盔	kʰui5	
盖	kai5	动词
盜	tau5	
盜	dʰau6	强～
盤	bʰon6	
盛	seŋ6	兴～
盛	ɕiŋ6	旺～
盛	ɕiŋ2	～满了
盟	mɔŋ2	
目	muʔ7	
盲	mɔŋ2	
直	dʰiʔ1	
相	ɕiɔŋ5	互～
相	ɕiɔŋ5	～貌
盼	bʰan6	
盾	tun5	
盾	tən3	矛～
省	ɕiŋ3	反～
省	sen3	节～
省	sen3	～长
眉	mi2	
看	hon1	～守
看	hon5	～见
瞘	hɛu1	眼睛深陷的样子
真	tən5	
眠	miɛn2	
眨	tsat7	
眩	ɕyon5	
眶	kʰuɔŋ1	眼～
眷	tɕyon5	
眼	ŋan3	
着	tsuoʔ7	穿～
着	dʰuoʔ1	～火了
睜	tsaŋ5	～开
睛	tɕiaŋ5	
睡	kʰun6	训读：～觉
督	tu5	
睬	tsʰai1	
瞅	tsʰɛu1	～见
瞎	hat1	
瞒	mon2	
瞧	tɕʰiɛu6	
瞪	ten5	
瞭	liɛu2	
瞳	dʰoŋ6	
瞻	tsan5	
瞿	tɕʰy3	姓氏
矛	mɛu2	
矢	sɿ3	
矣	i1	
知	ti5	1～识
知	tsɿ5	2～识
矩	tɕi5	
矯	tɕiɛu3	
矬	tsʰo6	矮～
短	tuon3	
矮	ŋai3	
石	saʔ7	～头
礬	fan2	
礦	kʰuɔŋ3	
碼	ma3	
砌	tɕʰiʔ7	
砍	hon3	
砑	ŋat7	～平
研	ȵiɛn3	
磚	tuon5	
硯	iɛn6	
破	bʰo5	
硝	ɕiɛu5	
硫	liu2	
硬	ŋaŋ6	
確	kʰoʔ7	
礙	ŋai6	
碎	sui5	
碑	pai5	
碗	uon3	
碟	dʰiɛt1	
碧	piʔ7	
鹼	kan3	
碾	ȵiɛn3	
磁	tsʰɿ6	
磉	sɔŋ5	
磕	hoʔ1	～头
磨	mo2	动词
磨	mo6	名词
磷	lən2	
示	ɕi5	
禮	li3	
社	sa1	
祀	sɿ5	
祁	tɕʰi6	
祈	tɕʰi6	
祖	tsɿ3	
祝	tuʔ7	
神	sən2	
祠	tsʰɿ1	
祥	ɕiɔŋ2	
票	bʰiɛu5	
祭	tɕiʔ7	
禱	tau3	
禍	huo5	
禀	piŋ3	
禁	tɕin5	～不住
禁	tɕin5	～止
禄	luʔ7	
禪	tsʰan6	
禪	san5	～让
福	fu2	
禹	i3	古人名
离	li2	
禽	tɕʰin6	
禾	uo2	
秀	ɕiu5	
私	sɿ5	
禿	dʰuʔ1	
秆	kon3	
秉	piŋ3	
秋	tɕʰiu1	～天
秋	tɕʰiu1	～千
種	toŋ3	～子
種	toŋ5	～树
科	kʰuo1	
秒	miɛu3	
秘	pi5	～鲁
租	tsɿ5	
秤	dʰiŋ5	
秦	tɕʰin6	
秧	iɔŋ5	
秩	tsɿʔ7	
秫	su5	～米
積	tɕi5	
稱	dʰiŋ6	相～
稱	dʰiŋ1	～呼
秸	tɕiɛt7	～秆
移	i2	
穢	hui6	
稀	ɕi5	
程	tsʰeŋ6	
稍	sɛu5	
稅	ɕi5	
稗	pai5	
稚	tsɿ5	
稠	dʰiu6	
穩	uən3	
稻	dʰau1	
稼	ka5	
稽	tɕi5	
稿	kau3	
穆	muʔ7	
穗	sui5	
穴	ɕyot7	
究	tɕiu5	
窮	tɕʰioŋ6	
空	kʰeŋ5	～虚
空	kʰoŋ5	～缺
穿	dʰuon1	
突	dʰu5	
窄	hat1	很～
竅	tɕʰiɛu5	
窑	iɛu2	
窖	kau5	地～
窗	tsʰɔŋ1	～户
窗	tat7	～子
窘	tɕioŋ3	
竄	tsʰuon5	
窩	uo5	
窟	kʰu5	
窠	kʰuo1	
窺	kʰui1	
立	lət7	～马
豎	ɕiu5	
站	tsan5	罚～
競	tɕiŋ5	
竟	tɕiŋ5	
章	tɔŋ5	
童	dʰoŋ6	
端	tuon5	～午
竹	tuʔ7	
竿	kon5	
篤	tu3	
笋	sən3	1
笋	sun3	2
笑	ɕiɛu2	
笔	pət7	
笙	sen5	
笛	dʰiʔ1	
笠	liʔ7	
笡	tɕʰia6	
符	fu2	
笨	bʰən1	
第	dʰi6	
箋	tɕiɛn5	
籠	loŋ2	
等	ten3	
筋	tɕin5	
筏	fat7	
筐	kʰuɔŋ1	
筑	tsuʔ7	
筒	dʰoŋ3	
答	dʰat1	报～
答	tat7	～案
篩	sai5	
箏	ten5	1
箏	tsen5	2
筵	iɛn2	
筷	kʰuai6	
籌	dʰiu6	
签	tɕʰiɛn1	～名
簡	kan3	
箍	ku5	～桶
算	suon5	
管	kuon3	
籮	lo2	
簫	ɕiɛu5	
箭	tɕiɛn5	
箱	ɕiɔŋ5	
箸	tsu5	
篆	tsuon5	
篇	bʰiɛn1	
簍	lɛu3	
篙	kau5	竹～
篡	tsʰuon5	
籃	lan2	
篱	li2	
篷	bʰoŋ6	
篾	miɛt7	竹～
簟	dʰiɛn1	～子
簧	huɔŋ2	
簪	tsan5	～ 子
簪	tsan5	发～
簿	pu5	
籍	tɕit7	
米	mi3	
类	lei6	分～
粉	fən3	
粒	lət7	
粗	tsʰɿ1	
粘	tsan5	～东西
粟	ɕiuʔ7	
粤	yot7	
粥	tuʔ7	
糞	fən5	
糧	liɔŋ2	
粱	liɔŋ2	
粳	tɕiŋ5	～米
粹	sui5	
糉	tsuoŋ5	
精	tɕiŋ5	文读
精	tɕiaŋ5	白读
糍	tsʰɿ6	
糕	kau5	
糖	dʰɔŋ6	
糗	tɕʰiu1	
糙	tsʰau5	
糜	mi2	～烂
糟	tsau5	
糠	hɔŋ5	米～
糠	kʰɔŋ5	糟～之妻
糯	no6	
系	ɕi0	联～
系	tɕiʔ7	～鞋带
素	su5	
索	suo3	
緊	tɕin3	
紫	tsɿ3	
累	lei6	连～
累	lei2	～赘
絮	ɕy5	
繁	fan2	
纂	tsuon5	编～
糾	tɕiu5	
紅	heŋ6	
紂	tsɛu3	
約	ioʔ7	
級	tɕit7	
紀	tɕi5	
紉	len6	缝～
緯	ui3	
純	tsʰun6	
紗	sa5	
綱	kɔŋ5	
納	nat7	
縱	tsuoŋ2	
紛	fən5	
紙	ti3	1～张
紙	tsɿ3	2
紋	uən2	
紡	fɔŋ3	
紐	ȵiu3	
線	ɕiɛn5	
練	liɛn6	
組	tsɿ3	
細	ɕi5	
織	ti5	1
織	tsɿ5	2
終	toŋ5	
縐	tsɛu5	文～～
絆	pon6	
紹	sɛu1	
經	tɕiŋ5	～ 历
經	tɕiŋ5	念～
綁	pɔŋ3	
絨	loŋ2	
結	tɕiɛt7	
繞	lɛu6	～线
繪	hui5	
給	tɕi3	供～
絡	luoʔ7	
絕	tɕʰyot1	
絞	tɕiɛu3	
統	dʰoŋ1	
絹	tɕyon5	
繡	ɕiu5	
綏	sui2	～河
繼	tɕiʔ7	
績	tɕiʔ7	
緒	ɕi5	
續	ɕiʔ7	
綽	tsʰuoʔ1	阔～
繩	ɕin2	
維	ui2	
綿	miɛn2	
綢	dʰiu6	
綜	tsuoŋ5	
綻	tsan6	
綠	tiuʔ7	
綴	tsɛ5	点～
緬	miɛn3	
纜	lan3	
緞	tuon5	
緩	huon3	
縷	li3	
編	piɛn5	
緣	yon2	
縛	fuʔ7	
縫	heŋ6	一条～
縫	heŋ2	～衣服
纏	tsʰan6	
纓	iŋ5	
縮	suoʔ7	
繮	tɕiɔŋ5	～绳
繳	tɕiɛu3	
缸	kɔŋ5	
缺	tɕʰyot7	
罐	kuon5	
网	uɔŋ3	文读
网	mɔŋ3	白读
罕	hon3	
羅	lo2	
罰	fat7	
罷	paʔ7	
罩	tsau5	
罪	tsʰei1	
置	tsɿ5	
署	su3	
羊	iɔŋ2	
羌	tɕʰiɔŋ1	
美	mi3	
羔	kau5	
羞	ɕiu5	
羡	ɕiɛn6	
羣	tɕʰin6	
羹	ken5	更～
羽	i3	
翁	uŋ5	
翅	tsʰɿ5	鸡～
翅	i5	～膀
翎	liŋ3	
翠	tsʰui5	
翡	fi3	
翰	hon6	
翻	fan5	
翼	iʔ7	
耀	iɛu6	
老	lau3	
考	kʰau1	～生
考	hau1	～试
者	ta3	
而	ɛ3	
耍	sa3	
耐	lai6	
耕	ken5	文读
耕	kaŋ5	白读，～田
耗	hau6	
耙	bʰa6	
耳	ɛ3	
耶	iɛ5	
恥	tsʰɿ1	
耽	tan5	
耿	ken3	
聶	ȵiɛ5	
聊	liɛu2	
聾	loŋ5	
職	tsɿʔ7	
聒	kuo5	
聯	tiɛn2	
聘	bʰiŋ6	招～
聚	tɕiʔ7	
