#漢字	音標	解釋
□	kaʔ7	～lat5·li：腋下
吴	ŋ̍2	
吵	tsʰau1	
吸	ɕit7	
吹	dʰi1	
吻	uən3	
吼	hɛu1	
吾	u3	
呆	tai5	
呈	tsʰeŋ6	
告	kau5	
嘔	ŋiɛu3	
員	yon2	
周	tiu5	一～
周	tsɛu5	～三
味	ui6	
呼	hu5	
命	miŋ6	文读
命	miaŋ6	白读
和	ho2	文读，～气
和	huo2	文读，～面
和	uo3	白读，～尚
咎	tɕiu5	
咏	iɔŋ3	
咒	tsɛu5	
咨	ti5	1～询
咨	tsɿ5	2
咬	ŋat7	～人
咳	hot1	
咸	han6	～淡
咽	iɛn5	
哀	ŋai5	
品	bʰen3	
哄	heŋ3	～骗
響	ɕiɔŋ3	
啞	ŋa3	
哥	ko2	
哩	li0	牙～ ：牙齿
哪	o6	～ ·ti
哭	kʰuʔ1	
哲	tsət7	
哽	ken3	
唆	so5	
脣	tsʰun6	
唐	dʰɔŋ6	
嘮	lau5	
喚	huon5	
售	ɕiu6	
唯	ui3	
唱	dʰɔŋ5	
唾	dʰo6	
啃	kʰen1	
啄	tsuoʔ7	～木鸟
商	sɔŋ5	
嗇	sɛt7	
囉	lo5	
啼	dʰi6	
喂	ui6	～养
善	sen1	
喉	hɛu1	
喊	han3	
喘	dʰuon1	
喜	ɕi3	
喝	hot1	
喝	hot1	～彩
喧	ɕyon5	
噴	bʰən1	～水
噴	bʰən5	～香
喻	y5	
嗅	ɕiu5	～觉
嗅	ɕioŋ5	～一下
嗓	sɔŋ3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ1	
嗽	sɛu5	
嘉	ka5	
噓	ɕy5	
囑	tuʔ7	
嘴	tɕi3	～巴
噍	tɕiɛu3	
噎	iɛ5	
器	tɕʰi5	
囂	ɕiɛu5	
嚷	lɔŋ3	
嚼	tɕʰiɛu1	～东西
囊	lɔŋ3	行～
囚	tɕʰiu6	
四	sɿ5	
回	hui2	
因	in5	
团	dʰuon6	
囤	dʰun1	
園	yon2	
困	kʰun5	
囱	tsʰuoŋ1	烟～
圍	ui2	
固	ku5	
國	kuɛʔ7	
圖	dʰu6	
圓	yon2	
圈	tɕʰyon1	圆～
圈	tɕyon3	猪～
土	dʰu3	
聖	seŋ6	
在	tsʰai1	
圭	kui5	
地	dʰi6	
場	dʰɔŋ6	
址	tsɿ3	
均	tɕin5	
坍	dʰan1	
坎	kʰon1	
壞	huai6	
坐	tsʰo6	
坑	kʰen1	文读
坑	kaŋ1	白读
塊	kʰuai5	
堅	tɕiɛn5	
坛	dʰan6	
壩	paʔ7	
塢	u5	
墳	fən2	
墜	tsui5	
坡	po5	
坤	kʰun1	
坦	dʰan3	
坪	bʰiŋ6	
坯	bʰai1	1
坯	bʰi1	2
坳	ŋau5	山～
垂	tsʰui6	下～
壠	loŋ3	
型	ɕiŋ2	
垒	lei3	
墾	kʰen1	
墊	dʰiɛn6	
垮	kʰua3	
埂	ken3	
埃	ŋai5	
埋	mai2	
城	dʰiŋ6	1～市
城	tsʰeŋ3	2～市
域	iʔ7	西～
埠	pu5	
埯	ŋan3	挖小坑点种瓜
培	bʰei6	
基	tɕi5	
堂	dʰɔŋ6	
堆	tei5	
堡	pau3	
堤	ti5	
堰	iɛn5	
堵	tu3	
塌	dʰat1	
塑	su5	～像
塑	suoʔ7	～料
塔	dʰat1	
塘	dʰɔŋ6	
塞	sai5	
填	dʰiɛn6	
境	tɕiŋ3	
墓	mu5	
牆	tɕʰiɔŋ6	
增	tsen5	
墟	ɕi5	
墨	moʔ7	
墩	tun5	
壁	piʔ7=	文读
壁	piaʔ7	白读，影～
壅	ioŋ5	
壕	hau1	
壤	lɔŋ3	
壩	paʔ7	～堤
士	sɿ1	～兵
壬	len2	
壯	tsɔŋ5	
聲	saŋ5	
殼	hoʔ1	剥～
壺	fu2	
處	tsʰu3	相～
處	dʰu5	～所
備	pi5	
复	fu5	
复	fuʔ7	
夏	ha1	姓氏
夏	ha6	春～
夕	ɕi5	
外	ŋai6	
多	to5	
夜	ia6	
够	kɛu5	
大	dʰai6	～小
大	dʰai6	～夫
天	dʰiɛn1	
太	dʰai5	
夫	fu5	
央	iɔŋ5	
失	sɿ5	
頭	dʰɛu1	
夷	i2	蛮～
夾	kat7	～子
奪	dʰuot1	
奇	tɕʰi6	
奈	lai6	
奮	fən5	
奎	kʰui1	
奏	tsɛu5	
契	tɕʰi5	
奔	pən5	～跑
奔	pən5	～着
獎	tɕiɔŋ3	
套	dʰau5	
奚	ɕi5	
奠	tiɛn5	
奢	sɛ5	
奧	ŋau5	
女	ȵi3	
奴	lu2	
奶	lai3	
奸	kan5	
好	hau6	喜～
好	hau1	～坏
如	lu3	
妃	fi5	
妄	uɔŋ6	
婦	fu1	
媽	ma5	
妒	tu5	
妓	tɕi5	
妖	iɛu5	
妗	tɕʰin6	舅母
妙	miɛu6	
妥	dʰo1	
妨	fɔŋ2	～害
妹	mai6	
妻	tɕʰi1	
妾	tɕʰiɛt1	
姆	m̩5	～妈
姊	tsɿ3	
始	sɿ3	
始	ɕi3	开～
姐	tɕia3	
姑	ku5	
姓	ɕiaŋ5	
委	ui3	
姘	bʰiŋ1	
姚	iɛu2	
姜	tɕiɔŋ5	姓氏
姜	tɕiɔŋ5	生～
姨	i2	阿～ ；大～
姨	ȵi3	～娘
姻	in5	
威	ui5	
嬌	tɕiɛu5	
娘	ȵiɔŋ2	
娠	sən5	妊～
娩	miɛn3	
娛	i2	
娶	tɕʰi3	
婆	bʰo6	
婚	hun5	
婢	pi5	
嬰	iŋ5	
嬸	sen3	
婿	ɕi5	
媒	mai5	1
媒	mi2	2
媚	mi6	
媳	ɕiʔ7	童养～
嫁	ka5	
嫂	sau3	
嫌	ɕiɛn6	
嫖	bʰiɛu6	
嫡	ti3	
嫩	lən6	
嬉	ɕi5	
孀	sɔŋ5	
子	tsɿ3	文读，～孙
子	tsei3	白读
孔	kʰeŋ3	
孕	in6	
字	tsʰɿ6	
存	tsʰun6	
孫	sən5	～子
孝	hau6	
孟	mɔŋ6	
季	tɕi5	
孤	ku5	
學	hoʔ1	
孩	hai6	
孵	bʰu5	～化
孽	ȵiɛt7	
寧	niŋ2	安～
寧	niŋ5	～可
宅	tsai3	
宇	i3	
守	ɕiu3	
安	ŋon5	
宋	suoŋ5	
完	uon2	结束的意思
宏	heŋ2	
宕	tɔŋ5	
宗	tsuoŋ5	
官	kuon5	
宙	tsɛu5	
定	dʰiŋ6	
宛	uan3	
宜	i5	便～
宜	i2	～春
寶	pau3	
實	sət7	
寵	tsʰuoŋ3	
審	sen3	
客	kʰaʔ1	
宣	ɕyon5	
室	ɕit7	1
室	sɿ1	2
宦	huon6	
宪	ɕiɛn5	
宮	keŋ5	
宰	tsai3	
害	hai6	
宴	iɛn5	
宵	ɕiɛu5	
家	ka5	
容	loŋ2	
寬	kʰuon1	
賓	pin5	
宿	suʔ7	住～
宿	ɕiu5	星～
寂	tɕiʔ7	
寄	tɕi5	
寅	in3	
密	mət7	
寇	kʰɛu1	
富	fu5	
寐	mei6	
寒	hon6	
寓	iʔ7	公～ ；～言
寢	tsʰen1	
寞	moʔ7	
察	tsʰa1	
寡	kua3	
寥	liɛu3	
寨	tsai6	
寸	tsʰən5	
寸	tsʰun5	
對	ti5	
寺	sɿ5	
尋	ɕin2	
導	tau3	指～
壽	ɕiu6	
封	heŋ5	
射	sa6	发～
射	sa1	～箭
將	tɕiɔŋ5	大～
將	tɕiɔŋ5	～来
尊	tsən5	
小	ɕiɛu3	
少	sɛu3	多～
少	sɛu5	～年
尔	ɛ3	偶～
尖	tɕiɛn5	
尘	dʰən6	
尚	sɔŋ5	
嘗	sɔŋ2	
尤	iu3	
尤	iu5	
堯	iɛu3	
尬	kʰaʔ7	尴～
就	tɕʰiu6	
尷	kan5	
屍	ɕi5	
尹	in3	
尺	dʰaʔ1	～子
尼	ȵi2	
尽	tsʰən5	
尽	tɕin3	～管
尾	ui3	文读，末～
尾	mi3	白读：～巴
尿	ȵiɛu6	
局	tɕʰiu1	
屁	bʰi5	
層	tsʰen6	
居	tɕi5	
屈	tɕʰi1	
屉	dʰi6	
屆	kai5	
屋	uʔ7	
屎	sɛ3	
屏	bʰiŋ6	
屐	tɕi5	
屑	ɕiɛt7	木～
展	tsan3	
屬	ɕiu3	
屠	dʰu6	
屢	li3	
履	li3	
屯	dʰun6	
山	san5	
歲	ɕi5	～数
豈	tɕʰi1	
岑	tsʰen6	
岔	tsʰa5	
崗	kɔŋ3	
島	tau3	
岩	ŋan2	山～
岭	liaŋ3	山～
岳	yɛt7	
岸	ŋon6	
峽	ɕia2	
峯	heŋ5	
崇	tsʰuoŋ6	
崔	tsʰei1	
崖	ŋa2	
崩	pɔŋ5	
崽	tsai3	儿子
嵌	tɕʰiɛn1	
嵩	suoŋ5	
川	dʰuon1	
州	tiu0	1 广～
州	tsɛu5	2 广～
巡	ɕyn2	
巢	tsʰau6	
工	keŋ5	
左	tso3	
巧	tɕʰiɛu1	
巨	tɕi5	
鞏	keŋ3	
巫	u5	
差	tsʰai1	出～
差	tsʰɿ1	参～
差	tsʰa1	～别
己	tɕi3	
已	i1	
巳	sɿ2	
巴	pa5	
巷	ɕiɔŋ6	
巾	tɕin5	
幣	pi5	
市	ɕi1	1 城～
市	sɿ1	2
布	pu5	
帥	sai5	
帆	fan5	
師	sɿ5	
希	ɕi5	
帳	tɔŋ5	
帕	bʰaʔ7	
帖	dʰiɛt1	
帘	liɛn2	
帚	tiu5	
帛	po3	
帶	tai5	动词
席	ɕiʔ7	
幫	pɔŋ5	
常	sɔŋ2	
帽	mau6	
幅	fu1	
幔	man5	
幕	muʔ7	
干	kon5	～湿
平	bʰiŋ6	文读
平	bʰiaŋ6	白读
年	ȵiɛn2	
并	piŋ5	合～
并	piŋ3	～且
幸	ɕiŋ3	
幻	huon6	
幼	iuʔ7	
幽	iu5	
廣	kuɔŋ3	
莊	tsɔŋ5	
慶	tɕʰiŋ5	
庇	pi5	
牀	tsʰɔŋ6	
序	ɕi5	
廬	lu2	
庫	kʰu5	
應	iŋ5	对～
應	iŋ5	～该
底	ti5	
店	tiɛn5	
廟	miɛu6	
庚	ken5	
府	fu3	
龐	bʰɔŋ6	
廢	fi5	
度	dʰu6	
座	tsʰo6	
庭	dʰiŋ6	
庵	ŋon5	尼姑～
庶	ɕiu5	
康	kʰɔŋ1	
庸	ioŋ5	
廉	liɛn2	
廊	lɔŋ2	
廓	kʰuoʔ1	
廖	liɛu6	
延	iɛn2	
廷	dʰiŋ6	
建	tɕiɛn5	
開	hei1	
异	i5	
弃	tɕʰi5	
弄	loŋ6	捉～
弄	loŋ5	～堂
弊	pi5	
式	sɿʔ7	
弓	keŋ5	
引	in3	
弘	heŋ2	
弟	dʰi1	
張	tɔŋ5	量词
弥	mi2	
弦	ɕiɛn2	
彎	uan5	
弱	luoʔ7	
彈	dʰan6	子～
彈	dʰan6	～琴
强	tɕiɔŋ5	倔～
强	tɕʰiɔŋ6	～大
弼	pit7	
歸	kui5	
當	tɔŋ5	典～
當	tɔŋ5	～时
录	luʔ7	
形	ɕiŋ2	
彩	tsʰai1	
彪	piɛu5	
彬	pin5	
彭	bʰɔŋ6	
影	iŋ3	文读，～子； 电～
影	iaŋ3	白读，～子
役	iʔ7	
彼	pi3	
往	uɔŋ3	
征	tiŋ5	长～
征	tiŋ5	～求
徑	tɕiŋ5	
待	tai5	
很	hen1	
律	tiʔ7	
徐	ɕy2	
徒	dʰu6	
得	tɛʔ7	
徙	ɕi2	
徛	tɕʰi3	站立
御	iʔ7	
循	ɕyn2	
微	ui5	
德	tɛʔ7	
徹	tsʰət7	
徽	fi5	安～ ；～章
心	sen5	
必	pit7	
憶	iʔ7	
忌	tɕi5	
忍	ȵin3	
忒	dʰei5	
忖	tsʰun1	
志	tsɿ5	
