#漢字	音標	解釋
□	ha1	虾腰
辭	tʃi2	告辞
辮	pin1	辫子
辯	pin6	辩论
辰	ʃɐn2	时辰
辱	iok8	侮辱
農	loŋ2	农村
迅	ʃɐn5	迅速
迎	ieŋ2	欢迎
近	kɐn2	远近
迫	pek7b	迫害
述	ʃɐt8	叙述
迷	mɐi6	迷路
逬	pɐŋ1	迸裂
追	tʃoi1	追赶
退	tʰoi5	退后
送	ʃoŋ5	送客
逃	tʰo2	逃难
逆	ŋiə̯k8	逆风
透	tʰau5	透明
逐	tʃok8	驱逐
途	tʰo2	前途
逗	tau6	逗号
通	tʰoŋ1	通过
逛	kuɛŋ6	逛(~街)
逝	ʃai6	逝去，逝世
逞	tʃʰeŋ2	得逞
速	tʃʰok7a	速度
造	tʃo6	制造
逢	foŋ2	相逢
連	lin2	大连;连长
逩	pɐn1	投奔，奔六十岁
進	tʃɐn5	前进
逵	kʰuɐi2	李逵
逸	iɐt8	劳逸结合
逼	pek7a	被逼
遁	tɐn6	遁[逃走]
遂	ʃoi6	未遂
遇	y6	遇见
運	uɐn6	运气
遍	pʰin5	遍地
遍	pʰin5	一遍
過	kuɔ5	过去
道	to6	道理
達	tɐk8	达到
違	uɐi6	违背
遞	tai6	传递
遠	yn2	远近
遢	tʰɐt7b	邋遢
遣	hin3	遣责
適	ʃek7a	合适
遭	tʃo1	遭殃
遮	tʃɛ1	遮挡
遲	tʃi2	迟到
遵	tʃyn1	遵守
遷	tʃʰin1	迁移
選	ʃyn3	选举
遺	uɐi6	遗失
遼	lɛu6	辽宁
避	pɐi6	避开
邀	iu1	邀请
邁	man6	迈步
還	uen2	还有
還	uen2	还原，还钱
邊	pin1	旁边
邋	lɐt8	邋(~遢)
那	la2	那里;那霍(地名)
邦	pœŋ1	城邦;刘邦
邪	tʃɛ2	邪气
邱	iɐu1	邱[姓]
邵	ʃiu6	姓
郁	iok7a	忧郁;郁南
郊	kɛu1	郊区
郞	lœŋ6	郎中
郡	kuɐn2	郡主
部	pu6	部队
郭	kuœk7b	姓
郵	iɐu2	邮票
都	tɐu1	都是
都	tɐu1	首都
鄂	ŋœk8	湖北简称
鄕	hiøŋ1	乡下
鄒	tʃau1	姓
鄙	pʰɐi3	卑鄙
鄧	tɐŋ6	姓
鄭	tʃeŋ6	姓;郑重
鄰	lɐn2	邻居
酉	iɐu2	地支第十
酌	tʃiøk8	酌情
配	pʰui5	分配
酒	tʃɐu3	酒精
酥	ʃɐu1	酥油，酥饼
酬	ʃɐu2	报酬
酵	hau1	发酵
酷	ho6	残酷
酸	ʃyn1	酸味
醇	ʃɐn6	酒醇
醉	tʃoi5	喝醉
醋	tʃʰɐu5	吃醋
醒	ʃiə̯ŋ3	醒来，清醒
醜	tʃʰɐu3	丑陋
醫	ɐi1	医生
醬	tʃiøŋ5	酱油，辣椒酱
釀	liøŋ2	酿酒
釉	iɐu2	釉彩
釋	ʃek7a	解释
里	lɐi2	公里
重	toŋ2	轻重
重	tʃoŋ6	重要
重	tʃoŋ6	重复
野	iɛ2	野兔
量	liøŋ2	量尺寸
量	liøŋ6	数量
金	kɐm1	金银
釘	tiə̯ŋ1	钉书(动)
釘	tiə̯ŋ1	铁钉(名)
針	tʃɐm1	针对
釣	tɛu5	钓鱼
釵	tʃʰa1	宝钗;钗子
鈀	pa2	农具
鈍	tɐn6	迟钝
鈔	tʃʰau3	钞票
鈞	kʰuɐn1	千钧一发
鈴	leŋ2	风铃
鉋	pɛu2	刨子，瓜刨
鉗	kin2	钳子
鉛	yn2	铅笔
鉤	ŋau1	鱼钩
鉸	kɛu5	铰剪
銀	ŋɐn2	银行
銅	toŋ2	铜器
銘	miə̯ŋ2	铭刻
銜	ham2	军衔
銬	kʰau5	手铐
銷	ʃiu1	供销社
銹	ʃau5	生锈
鋒	foŋ1	锋利
鋤	tʃɔ6	锄头
鋪	pʰu1	铺设
鋪	pʰo5	店铺
銳	ioi6	尖锐
鋸	kɔy5	电锯
鋼	kœŋ5	钢铁，炼钢
錐	ioi1	圆锥
錘	toi2	铁锤
錠	tiə̯ŋ6	银锭
錢	tʃin2	钱财
錦	kɐm3	锦绣
錨	mɛu2	抛锚
錫	ʃiə̯k7b	无锡;锡纸
錯	tʰɔ5	错误
錯	tʰɔ5	错杂
錄	lok8	记录
錶	piu1	手表
鍋	uɔ1	砂锅;锅铲
鍍	tɐu6	电镀
鍘	tʃɐp8	铡刀
鍛	tyn6	锻炼
鍬	tʰiu1	铁锹
鍵	kin6	关键
鍾	tʃoŋ1	钟爱
鎖	ʃɔ3	门锁
鎭	tʃɐn5	镇压
鏈	lin6	项链
鏟	tʃʰan3	铲草
鏡	kiə̯ŋ5	镜子，圆镜
鐘	tʃoŋ1	闹钟
鐮	lin6	镰刀
鐲	tʃok7a	镯子，手镯
鐵	tʰet7b	钢铁
鐸	tœk8	木铎，铃铎
鐺	tʃʰɛŋ1	铛[平底锅]
鑄	tʃy5	铸铁
鑊	uœk8	锅(炒菜用)
鑒	kam5	鉴定
鑲	ʃiøŋ1	镶牙
鑼	lɔ2	锣鼓
鑽	tʃyn5	电钻(名)
鑽	tʃyn5	钻洞(动)
鑿	tʃœk8	用凿子凿
長	tʃʰiøŋ2	长短
長	tʃiøŋ3	生长
門	mon2	关门
閂	ʃøn1	门闩
閃	ʃin3	闪电
閉	pɐi5	关闭
開	hoi1	开门
閏	iɐn6	闰月
閑	hen2	空闲
間	kan1	中间
間	ken5	间断
閘	tʃɐp8	闸门
閣	kœk7b	阁下;阁楼
閨	kuɐi1	闺房
閩	mɐn2	福建简称
閱	iøt8	阅读
閹	in1	阉割
閻	in6	阎王
闊	fut7b	开阔
闖	tʃʰœŋ3	闯祸
關	kuen1	关门
阮	yn2	姓
防	foŋ2	防止
阻	tʃɔ3	阻力
阿	ɔ1	阿哥
阿	ɔ1	阿胶;阿弥陀佛
附	fu6	附近
陋	lau6	简陋
陌	pɛk7b	陌生
降	kœŋ5	下降
降	hœŋ2	投降
限	hen6	限制
陝	ʃin3	陕西
陡	tau5	陡峭
院	yn2	院子
陣	tʃɐn6	阵雨
除	tʃy2	除法
陪	pui2	陪伴
陰	iɐm1	阴天
陳	tʃɐn2	陈年
陵	leŋ2	陵园
陶	tʰo2	陶瓷
陷	ham6	陷井
陸	lok8	大陆
陽	iøŋ2	太阳
隆	loŋ2	兴隆
隊	toi6	队伍
階	kai1	台阶
隔	kɛk7b	隔开，隔壁
際	tʃai5	国际
障	tʃiøŋ5	保障
隧	ʃoi6	隧道
隨	ʃoi6	随便
險	hin3	危险
隱	iɐn3	隐身，隐形
隸	tai6	奴隶;隶属
隻	tʃiə̯k7b	一只
雀	tʃiøk7b	麻雀
雁	ŋan6	大雁
雄	hoŋ2	英雄
雅	ŋa2	典雅
集	tʃɐp8	集体
雇	ku5	雇主
雌	tʃi3	雌雄
雍	ioŋ1	雍正
雕	tiu1	雕塑;座山雕
雖	ʃoi1	虽然
雙	ʃoŋ1	一双
雜	tʃɐp8	复杂
雞	kai1	公鸡
離	lɐi2	离别
離	lɐi2	离开
難	lan2	很难
難	lan2	患难
雨	y2	下雨
雪	ʃyt7b	下雪
雲	uɐn2	白云
零	leŋ2	零碎;零分;十零个
雷	loi2	雷公;姓
雹	mœk8	冰雹
電	ten6	电灯
需	ʃɔy1	需要
霄	ʃiu1	云霄
震	tʃɐn5	地震
黴	mui2	发霉
霍	fœk7b	霍乱
霜	ʃœŋ1	落霜，霜降
霞	ha2	朝霞
霧	mo6	大雾
露	lo6	露水
霸	pa5	霸王
靈	leŋ6	灵活
靑	tʃʰeŋ1	青年;青色
靜	tʃeŋ6	安静
靚	liə̯ŋ1	靓[漂亮]
非	fɐi1	非常
靠	kʰau5	可靠
面	min6	面子
革	kɛk7b	革命;皮革
靴	kʰœ1	靴子
鞋	hai2	布鞋
鞍	on1	马鞍
鞏	koŋ3	巩固
鞭	pin1	皮鞭
韌	iɐn5	坚韧
韓	hon2	韩国
韭	kɐu3	韭菜
音	iɐm1	音乐
韶	ʃiu6	韶关
韻	uɐn2	韵味
響	hiøŋ3	音响
頁	hit8	一页
頂	tiə̯ŋ3	顶好;山顶
頃	kʰeŋ3	顷刻
項	hœŋ6	项链
順	ʃɐn6	顺利
須	ʃɔy1	必须
頌	tʃoŋ6	歌颂
預	y6	预备
頑	ŋan6	顽皮
頒	pan1	颁布
頓	tɐn6	停顿
領	liə̯ŋ2	领钱;衣领
頭	tau2	头发
頸	kiə̯ŋ3	头颈
頻	pʰɐn2	频繁
顆	kʰuɔ1	颗粒
題	tai2	题目
額	ŋɛk8	名额
顏	ŋan6	颜色
願	yn6	愿望
顚	ten1	颠倒
類	loi6	分类
顧	ku5	照顾
顫	tʃin5	颤抖
顯	hin3	明显
顴	kʰyn2	颧骨
風	foŋ1	风气
飄	pʰiu1	飘扬
飛	fɐi1	飞机
食	ʃek8	食物
飢	kɐi1	饥饿
飩	tʰɐn1	馄饨
飯	fan6	吃饭
飮	iɐm3	米汤(名)
飮	iɐm3	饮酒(动)
飴	i6	饴糖
飼	tʃi6	饲养
飽	pɛu3	吃饱
飾	ʃek7a	装饰
餃	kau3	水饺
餠	piə̯ŋ3	饼干
餉	hiøŋ3	军饷
養	iøŋ3	养猪
餌	i2	钓饵
餐	tʃʰan1	快餐
餓	ŋɔ6	肚子饿
餘	y2	多余
餛	uɐn2	馄饨
餞	tʃʰin6	饯行
餡	ham6	饺子馅
館	kun3	图书馆
餸	ʃoŋ5	
餾	lɐu2	蒸馏水
餿	ʃau1	饭馊了
饅	man6	馒头
饑	kɐi1	饥荒
饒	iu2	求饶
首	ʃɐu3	首都
香	hiøŋ1	香气
馨	heŋ1	温馨
馬	ma2	骑马
馮	foŋ2	姓
馳	tʃʰi2	奔驰
駁	pœk7b	反驳
駐	tʃy5	驻扎
駕	ka5	驾驶
駛	ʃai3	驾驶
駝	tɔ2	骆驼
駱	lœk8	骆驼
騎	kɐi2	骑马
騙	pʰin5	欺骗
騰	tɐŋ2	奔腾
騷	ʃo1	风骚
驅	kʰɔy1	驱动;先驱
驕	kiu1	骄傲
驗	ŋen6	试验
驚	keŋ1	吃惊，好惊
驟	tʃau6	步骤;暴风骤雨
驢	lɐu2	毛驴
骨	kuɐt7a	骨头
髀	pi3	髀[大腿]
髒	tʃœŋ1	肮脏
髓	ʃoi6	骨髓
體	tʰai3	身体
髙	ko1	跳高
髮	fɐt8	头发
髻	kai5	发髻
鬃	tʃoŋ1	马鬃
鬆	ʃoŋ1	松紧，放松
鬍	u2	胡须
鬚	ʃɐu1	胡须
鬢	pɐn1	鬂角
鬥	tau5	斗争
鬧	lau6	热闹
鬨	hoŋ5	内哄，起哄
鬼	kuɐi3	鬼神
魂	uɐn2	鬼魂
魄	pʰɛk7b	魂魄
魅	mɐi6	魅
魏	ŋai6	魏国;姓
魔	mɔ1	魔术
魚	y2	金鱼
魯	lɐu3	鲁迅
鮑	pɛu1	鲍鱼
鮮	ʃin1	新鲜
鮮	ʃin3	朝鲜
鯉	lɐi2	鲤鱼
鯨	kʰeŋ2	鲸鱼
鯰	len6	鲇(~鱼)
鯽	tʃek7a	鲫鱼
鰍	tʃʰɐu1	泥鳅
鰓	ʃoi1	鱼鳃
鰻	man6	鳗鱼
鰾	piu1	鱼鳔(鱼泡)
鱉	pit8	甲鱼
鱔	ʃin2	鳝鱼，黄鳝
鱖	kuɐi5	鳜鱼
鱗	lɐn2	鱼鳞
鱷	ŋœk8	鳄鱼
鳥	lɛu2	小鸟
鳩	kau1	斑鸠
鳳	foŋ6	凤凰
鳴	meŋ2	鸣叫
鴉	a1	乌鸦
鴨	ɐp7b	鸭子
鴻	hoŋ2	大展鸿图
鴿	kɐp7a	鸽子
鵝	ŋɔ2	天鹅
鵡	mo2	鹦鹉
鵲	tʃiøk7b	喜鹊
鶯	ɐŋ1	黄莺
鶴	hœk8	仙鹤
鷂	iu6	纸鹞
鷹	ieŋ1	老鹰
鷺	lo6	白鹭
鸚	ieŋ1	鹦鹉
鸞	lyn3	鸾凤
鹹	ham2	咸淡
鹼	ken3	发酵用
鹽	in2	食盐(名)
鹽	it7b	腌制(动)
鹿	lok8	鹿茸
麗	lai6	美丽
麝	ʃɛ6	麝香
麥	mɛk8	大麦
麩	fu1	麦麸
麴	kok7a	酒麴
麵	min6	面条
麻	ma2	麻袋
黃	uœŋ2	黄色
黎	lai2	黎明;姓
黏	nin1	黏米，黏合剂
黑	hɐk7a	黑白
默	mɐk8	默写
點	ten3	点头
黨	tœŋ3	党员
鼎	teŋ3	鼎盛
鼓	ku3	鼓励
鼠	ʃy3	老鼠
鼻	pɐi6	鼻涕
鼾	hon2	鼾声
齊	tʃai2	整齐
齋	tʃai1	吃斋
齒	tʃʰi3	牙齿
龍	loŋ2	龙头
龐	pœŋ2	庞大
龕	hɐm1	神龛
龜	kuɐi1	乌龟
