#漢字	音標	解釋
㐄	kʰa2	指抬脚越过沟渠。～一脚过来
㫰	nɑŋ5	指晾衣服被褥。～衣服
䍉	tsʰai2	指器皿或水果上有破损的痕迹。
䯉	ua3	指肠胃不适，产生想要呕吐的感觉
一	ɪ7	
丁	tɪ̃1	
七	tɕʰɪ7	
万	uaɪ̃5	
丈	tʂɑŋ5	
三	saɪ̃1	
上	ʂɑŋ5	～山，～面
下	ɕia5	底～，～来
不	pʊ3	
不	pʊ7	
与	ʏ3	
丐	kai5	
丑	tʂʰɵ3	子～寅卯；～陋
專	tʂuaɪ̃1	
且	tɕʰiɛ3	
丕	pʰɪ1	
世	ʂʅ5	
丘	tɕʰiɵ1	
丙	ɪ̃3	
業	niɛ7	
業	iɛ7	
業	iɛɪ̃7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰẽ2	
丟	tiɵ1	
兩	niɑŋ3	～个，二～
嚴	iɛɪ̃2	
喪	sɑŋ1	婚～
喪	sɑŋ5	～失
个	kv5	
丫	n̩1	
丰	xoŋ1	
串	tʂʰuaɪ̃5	
臨	nɪ̃2	
丸	uaɪ̃2	
丹	taɪ̃1	
爲	uei2	
爲	uei5	
主	tʂʊ3	
丽	nɪ5	
舉	tɕʏ3	
乃	nɛ3	
乃	nai3	
久	tɕiɵ3	
麼	mo1	
義	ɪ5	
之	tʂʅ1	
烏	vʊ1	
乍	tʂa5	
乎	fʊ2	
乏	xua7	
樂	no7	快～，音～
喬	tɕʰiʌ2	
乖	kuai1	
乘	tʂʰẽ2	
乙	ɪ3	
乙	ɪ7	
九	tɕiɵ3	
乞	tɕʰɪ7	
也	iɛ3	
習	ɕɪ7	
鄉	ɕiɑŋ1	
書	ʂʊ1	
買	mai3	
亂	nuaɪ̃5	
乳	ʐʊ3	
了	niʌ3	
爭	tsẽ1	
事	sɿ5	
二	ɚ5	
于	ʏ1	
于	ʏ2	
虧	kʰuei1	
雲	yɪ̃2	不知所～，～彩
互	fʊ5	
五	vʊ3	
井	tɕɪ̃3	
亞	n̩5	
些	ɕiɛ1	
亡	uɑŋ2	
交	tɕiʌ1	
亥	xai5	
亦	ɪ7	
亨	xẽ1	
畝	mʊ3	
京	tɕɪ̃1	
亭	tʰɪ̃2	
亮	niɑŋ5	
親	tɕʰɪ̃1	
親	tɕʰɪ̃5	～家
人	ʐẽ2	
億	ɪ7	
什	ʂʅ7	
仁	ʐẽ2	
僅	tɕɪ̃5	
仆	pʰʊ1	前～后继
仆	pʰʊ7	～人
仇	tʂʰɵ2	
今	tɕɪ̃1	
介	kai5	
仍	ʐẽ2	
从	tsʰoŋ2	跟～
仑	nẽ2	
倉	tsʰɑŋ1	
仕	sɿ5	
他	tʰa1	
仗	tʂɑŋ5	
付	fʊ5	
仙	ɕiɛɪ̃1	
代	tai5	
令	nɪ̃5	
以	ɪ3	
儀	ɪ2	
仰	iɑŋ3	
件	tɕiɛɪ̃5	
價	tɕia5	
任	ʐẽ2	
任	ʐẽ5	
份	xuẽ5	
仿	xuɑŋ3	
企	tɕʰɪ3	
伊	ɪ1	
伍	vʊ3	
伏	fʊ7	
伐	xua7	
休	ɕiɵ1	
優	iɵ1	
伙	xo3	
會	kʰuei5	～计
會	xuei5	开～，不～
偉	uei3	
傳	tʂʰuaɪ̃2	
傳	tʂuaɪ̃5	
伢	n̩2	
傷	ʂɑŋ1	
倫	nuẽ2	
僞	uei5	
伯	pɛ7	
估	kʊ3	
伴	paɪ̃5	
伶	nɪ̃2	
伸	ʂẽ1	
伺	tsʰɿ5	
似	sɿ5	
佃	iɛɪ̃5	
但	taɪ̃5	
位	uei5	
低	tɪ1	
住	tʂʊ5	
佐	tso5	
體	tʰɪ3	
何	xo2	
佘	ʂai2	
余	ʏ2	
佛	fo7	
作	tso7	
佞	nɪ̃5	
你	nɪ3	
佩	pʰei5	
佳	tɕia1	
侄	tʂʅ7	
侈	tʂʰʅ3	
侉	kʰua3	
例	nɪ5	
侍	ʂʅ5	
供	koŋ1	～不起
供	koŋ5	～养
依	ɪ1	
僥	tɕiʌ3	
偵	tʂẽ1	
側	tsɛ7	
僑	tɕʰiʌ2	
儂	noŋ2	
侮	vʊ3	
侯	xɵ2	
侵	tɕʰɪ̃1	
便	piɛɪ̃2	
便	piɛɪ̃5	
促	tsʰɵ5	
俄	o2	
俏	tɕʰiʌ5	
俗	sɵ7	
俘	fʊ1	
保	pʌ3	
俟	sɿ5	
信	ɕɪ̃5	
儼	iɛɪ̃3	
儉	niɛɪ̃5	
修	ɕiɵ1	
俯	fʊ3	
俱	tɕʏ1	
俸	xoŋ5	
俾	pɪ3	
倂	pɪ̃5	
倍	pei5	
倒	tʌ3	
倒	tʌ5	
倔	tɕyɛ7	
倘	tʰɑŋ3	
候	xɵ5	
倚	ɪ3	
借	tɕiɛ5	
倡	tʂʰɑŋ5	
倣	xuɑŋ3	
倦	tɕyɛɪ̃5	
倪	nɪ2	
倭	o1	
債	tʂai5	
值	tʂʅ7	
傾	tɕʰɪ̃1	
假	tɕia3	真～，放～
假	tɕia5	放～
偏	pʰiɛɪ̃1	
做	tsɵ5	
停	tʰɪ̃2	
偢	tʂʰv5	指不怀好意地打量
健	tɕiɛɪ̃5	
偶	ŋɵ3	
偶	ŋɵ5	
偷	tʰɵ1	
償	tʂʰɑŋ2	
傀	kʰuei3	
傅	fʊ5	
傍	pɑŋ5	
儲	tʂʰʊ2	
催	tsʰei1	
傲	ŋʌ5	
像	ɕiɑŋ5	
僧	sẽ1	
僵	tɕiɑŋ1	
僻	pʰɪ7	
儒	ʐʊ2	
儡	nei3	
兒	ɚ2	
允	yɪ̃3	
元	yɛɪ̃2	
兄	ɕioŋ1	
兆	tʂʌ5	
先	ɕiɛɪ̃1	
光	kuɑŋ1	
克	kʰɛ7	
免	miɛɪ̃3	
兌	tuei5	
兔	tʰɵ5	
兖	iɛɪ̃3	
黨	tɑŋ3	
兜	tɵ1	
入	ʐʊ3	
入	ʐʊ7	
全	tɕʰyɛɪ̃2	
八	pa7	
公	koŋ1	
六	nɵ7	
兮	ɕɪ2	
蘭	naɪ̃2	
共	koŋ5	
關	kuaɪ̃1	
興	ɕɪ̃1	
興	ɕɪ̃5	
兵	pɪ̃1	
其	tɕʰɪ2	
具	tɕʏ5	
典	iɛɪ̃3	
養	iɑŋ3	
兼	tɕiɛɪ̃1	
獸	ʂɵ5	
冀	tɕɪ5	
內	nei5	
岡	kɑŋ1	
冉	ʐaɪ̃3	
冊	tsʰɛ7	
再	tsai5	
冒	mʌ5	
寫	ɕiɛ3	
軍	tɕyɪ̃1	
農	noŋ2	
冠	kuaɪ̃1	
冠	kuaɪ̃5	
冤	yɛɪ̃1	
冬	toŋ1	
馮	xoŋ2	
冰	pɪ̃1	
决	tɕyɛ7	
况	kʰuɑŋ5	
冷	nẽ3	
凍	toŋ5	
淨	tɕɪ̃5	
準	tʂuẽ3	
凉	niɑŋ2	
凌	nɪ̃2	
凌	nɪ̃5	指物体温度低，使人感觉到寒冷。冬天水好～
減	kaɪ̃3	
湊	tsʰɵ5	
凝	nɪ̃2	
凝	nɪ̃5	
几	tɕɪ1	
几	tɕɪ3	
凡	xuaɪ̃2	
鳳	xoŋ5	
凭	pʰɪ̃2	
凱	kʰai3	
凳	tẽ5	
凶	ɕioŋ1	吉～，～恶
出	tʂʰʊ7	
擊	tɕɪ7	
函	xaɪ̃2	
函	ɕia2	～子，指婴幼儿过世所用的棺材。
鑿	tsʌ7	
刀	tʌ1	
刁	tiʌ1	
刃	ʐẽ5	
分	xuẽ1	
切	tɕʰyɛ7	
刈	ɪ5	
刊	kʰaɪ̃1	
刎	uẽ3	
刑	ɕɪ̃2	
划	xua2	
划	ua7	
列	niɛ7	
劉	niɵ2	
則	tsɛ7	
剛	kɑŋ1	
創	tʂʰuɑŋ5	
初	tsʰɵ1	
刪	ʂaɪ̃1	
判	pʰaɪ̃5	
刨	pʰʌ2	
刨	pʰʌ5	
利	nɪ5	
别	piɛ7	
刮	kua7	
到	tʌ5	
制	tʂʅ5	～度，～造
刷	ʂua7	
券	tɕyɛɪ̃5	
刺	tsʰɿ5	
刻	kʰɛ7	
劊	kuai5	
劊	kʰuai5	
劊	kʰuei5	
剁	tv5	
劑	tɕɪ5	
剃	tʰɪ5	
削	ɕio7	
削	ɕiʌ7	
前	tɕʰiɛɪ̃2	
剮	kua3	
劍	tɕiɛɪ̃5	
剔	tʰɪ7	
剖	pʰʌ3	
剜	uaɪ̃1	
剝	po7	
劇	tɕʏ7	
剩	ʂẽ5	
剪	tɕiɛɪ̃3	
副	fʊ5	
割	kv7	
剿	tɕiʌ3	
劈	pʰɪ7	
劐	xo7	
力	nɪ7	
勸	tɕʰyɛɪ̃5	
辦	paɪ̃5	
功	koŋ1	
加	tɕia1	
務	vʊ5	
劣	nyɛ7	
動	toŋ5	
助	tsɵ5	
努	nɵ3	
劫	tɕiɛ7	
勵	nɪ5	
勁	tɕɪ̃5	
勞	nʌ2	
勢	ʂʅ5	
勃	po7	
勇	ioŋ3	
勉	miɛɪ̃3	
勋	ɕyɪ̃1	
勒	nei1	
勘	kaɪ̃5	
募	mʊ5	
勤	tɕʰɪ̃2	
勺	ʂʌ7	
勾	kɵ1	
勾	kɵ5	
勿	vʊ7	
勻	yɪ̃2	
包	pʌ1	
匍	pʰʊ2	指把碗口向下摆放。把碗～到去。
化	xua5	
北	pɛ7	
匙	ʂʅ2	
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕia7	
匪	xuei3	
匹	pʰɪ7	
區	tɕʰʏ1	
醫	ɪ1	
匾	piɛɪ̃3	
匿	nɪ7	
十	ʂʅ7	
千	tɕʰiɛɪ̃1	
升	ʂẽ1	
午	vʊ3	
半	paɪ̃5	
華	xua2	中～
華	xua5	～山
協	ɕiɛ7	
卑	pei1	
卒	tsɵ7	
卓	tʂo7	
單	taɪ̃1	
單	ʂaɪ̃5	
賣	mai5	
南	naɪ̃2	
博	po7	
卜	pʊ7	
占	tʂaɪ̃1	
占	tʂaɪ̃5	
盧	nɵ2	
卤	nɵ3	
臥	o5	
衛	uei5	
卯	mʌ3	
印	ɪ̃5	
危	uei2	
即	tɕɪ7	
卻	tɕʰio7	
卵	nuaɪ̃3	
卷	tɕyɛɪ̃3	
卷	tɕyɛɪ̃5	
卸	ɕiɛ5	
卿	tɕʰɪ̃1	
廠	tʂʰɑŋ3	
廳	tʰɪ̃1	
历	nɪ7	
厲	nɪ5	
壓	n̩7	
厭	iɛɪ̃5	
廁	tsʰɛ7	
厘	nɪ2	
厚	xɵ5	
原	yɛɪ̃2	
廂	ɕiɑŋ1	
厥	tɕʰyɛ7	
厦	ɕia5	偏～，～门
廚	tʂʰʊ2	
厮	sɿ1	
去	tɕʰʏ5	
縣	ɕiɛɪ̃5	
参	tsʰaɪ̃1	
参	tsʰẽ1	
又	iɵ5	
叉	tʂʰa1	
及	tɕɪ7	
友	iɵ3	
雙	ʂuɑŋ1	
雙	ʂuɑŋ5	
反	xuaɪ̃3	
发	xua7	头～
发	xua7	～财
叔	ʂʊ7	
取	tɕʰʏ3	
受	ʂɵ5	
變	piɛɪ̃5	
敘	ɕʏ5	
叛	pʰaɪ̃5	
疊	tiɛ7	
口	kʰɵ3	
古	kʊ3	
句	tɕʏ5	
另	nɪ̃5	
叨	tʌ1	
叩	kʰɵ3	
只	tʂʅ3	
只	tʂʅ7	
叫	tɕiʌ5	
召	tʂʌ1	
召	tʂʌ5	
可	kʰo3	
台	tʰai1	
台	tʰai2	
右	iɵ5	
葉	iɛ7	
號	xʌ2	呼～
號	xʌ5	～码
司	sɿ1	
嘆	tʰaɪ̃5	
吁	ʏ1	指驱赶牲畜发出的喊声
吃	tʂʰʅ7	
各	ko3	
各	ko7	
吆	iʌ1	
合	xo7	
吉	tɕɪ7	
吊	tiʌ5	
同	tʰoŋ2	
名	mɪ̃2	
后	xɵ5	
吏	nɪ5	
吐	tʰɵ3	～痰
吐	tʰɵ5	呕～
向	ɕiɑŋ5	
嚇	xai5	～一跳
嚇	xɛ7	恐～
吕	nʏ3	
君	tɕyɪ̃1	
吝	nɪ5	
吞	tʰuẽ1	
吟	ɪ̃2	
吠	xuei5	
否	fɵ3	
含	xaɪ̃2	
听	tʰɪ̃1	
听	tʰɪ̃5	
启	tɕʰɪ3	
吴	vʊ2	
吵	tʂʰʌ3	
吸	ɕɪ7	
吹	tʂʰuei1	
吻	uẽ3	
吾	vʊ2	
吾	vʊ3	
呆	tai1	
呆	ŋai2	
呈	tʂʰẽ2	
告	kʌ5	
嘔	ɵ3	
員	yɛɪ̃2	
周	tʂɵ1	
味	uei5	
呼	fʊ1	
命	mɪ̃5	
和	xo2	～气
和	xo5	～面
咎	tɕiɵ5	
咏	ioŋ5	
咒	tʂɵ5	
咬	ŋʌ5	
咳	kʰai5	
咸	xaɪ̃2	
咸	ɕiɛɪ̃2	
咽	iɛɪ̃5	
哀	ŋai1	
品	pʰɪ̃3	
哈	xŋ1	～腰
啞	n̩3	
哥	kv1	
哪	na3	
哭	kᶠʊ7	
哲	tʂɛ7	
哽	kẽ3	
唆	so1	
唐	tʰɑŋ2	
嘮	nʌ2	
喚	xuaɪ̃5	
售	ʂɵ5	
唯	uei3	
唱	tʂʰɑŋ5	
唾	tʰo5	
啄	tʂo7	
商	ʂɑŋ1	
嗇	nɪ̃7	
囉	nv2	
囉	nv3	打～。指人说话时断时续，不连贯。
啼	tʰɪ2	
喀	kʰa1	
善	ʂaɪ̃5	
喉	xɵ2	
喘	tʂʰuaɪ̃3	
喝	xo3	
喝	xo7	
喧	ɕyɛɪ̃1	
噴	pʰẽ1	～水
噴	pʰẽ5	～香
喻	ʏ5	
嗅	ɕiɵ5	
嗉	sɵ5	
嗍	suai2	指吸食粉面的动作。～粉
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗽	sɵ5	
嘉	tɕia1	
噓	ɕʏ1	
囑	tʂʊ7	
嘴	tɕʰɪ̃1	
嘴	tsuei3	
噍	tɕʰiʌ5	
噎	iɛ7	
器	tɕʰɪ5	
囂	ɕiʌ1	
嚷	ʐɑŋ3	
嚼	tɕiʌ7	
囊	nɑŋ3	
囚	tɕʰiɵ2	
四	sɿ5	
回	xuei2	
因	ɪ̃1	
团	tʰuaɪ̃2	～队，面～
囤	tʰẽ5	
園	yɛɪ̃2	
困	kʰuẽ5	
圍	uei2	
固	kʊ5	
國	kuɛ7	
圖	tʰɵ2	
圓	yɛɪ̃2	
圈	tɕʰyɛɪ̃1	
圈	tɕyɛɪ̃5	
土	tʰɵ3	
聖	ʂẽ5	
在	tsai5	
圭	kuei1	
地	tɪ5	
場	tʂʰɑŋ2	
圿	ka3	人体表面皮屑、油脂、汗以及灰尘的混合物，可在洗浴时脱落，利圿子
址	tʂʅ3	
均	tɕyɪ̃1	
坍	tʰaɪ̃1	
坍	tʰaɪ̃7	
坎	kʰaɪ̃3	
壞	xuai5	
坐	tso5	
坑	kʰẽ1	
塊	kʰuai5	
堅	tɕiɛɪ̃1	
坛	tʰaɪ̃2	
壩	pa5	
塢	vʊ3	
墳	xuẽ2	
墜	tʂuei5	
坡	pʰo1	
坤	kʰuẽ1	
坦	tʰaɪ̃3	
坪	pʰɪ̃2	
坯	pʰai1	
坳	ŋʌ1	
坳	iɵ7	地势较低的丘陵
垂	tʂʰuei2	
型	ɕɪ̃2	
垒	nei3	
垛	tv5	
墾	kʰẽ3	
墊	iɛɪ̃5	
垮	kʰua3	
埂	kẽ3	
