#漢字	音標	解釋
#簡稱	/	淸末蘇州讀書音
#全稱	/	《鄉音字類》所載的淸末蘇州讀書音
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-03-25
#錄入人	/	樛木
#參考資料	/	《一百年前的蘇州話》《蘇州同音字匯1892》《鄉音字類》
#說明	/	符號說明：IPA後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。<br><br>聲調：[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23<br>關於調值：Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。<br><br>來源：樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》<br>	<br>說明1：《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入。並且韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]。<br>此外，《鄉音字彙》聲調不分陰陽，則聲母爲次濁者除有資料支持者外，本人一般作歸入陽調處理。<br><br>說明2：	本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。<br><br>說明3：	本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修。<br><br>說明4：	本表採用的擬音主要出自蔡佞《19世紀末的蘇州話》，但沒有採用ɒ、iɒ、uɒ，ɒʔ、iɒʔ、uɒʔ，依舊採用ɑ、iɑ、uɑ，ɑʔ、iɑʔ、uɑʔ<br>	<br>說明5：《蘇州同音字彙1892》中in韻分[iən][iɪn]，但分法存疑，一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]。其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；<br>該時期的蘇州話語音特點：<br>① 仍有字分[o][uo]，但也在合併階段；<br>② 今e韻分[-e]和[-æ̃]，ie韻分[-ie]和[-iæ̃]，大部分[əu]讀作[u]，還有少數讀[uo]。<br>③ [yn]都讀[yən]， [øʏ]都讀[əʏ]；<br>④ [iø]有人擬作[yø]，[io]有人擬作[yo]，[ioŋ]有人擬作[yoŋ]，[ioʔ]有人擬作[yoʔ]，[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]），這是是因爲介音i受主元音影響而變圓唇。<br><br>說明6：發音盡量以其資料中記載爲准。記音以蔡佞《19世紀末的蘇州話》中的擬音爲基準。但擬聲字的讀音以資料記載爲準，不類推。<br><br>說明7：	部分元音從19世紀末至今的演變路徑（可能）：<br>ʯ→ʮ <br>ɔ→ɒ→o/ɑ→o/a（新派） <br>部分u→ᵊu→əu 部分u→β̩/v̩ 部分u→o <br>大部分uo→o 少部分uo→o→u→ᵊu→əu <br>i→iⱼ→ɨ̻ y→yⱼ <br>e→ᴇ ie→iᴇ→iɪ→i ue→uᴇ <br>ɐɵ→ɐə→ɐ→æ <br>iɐɵ→iɐə→iɐ→iæ <br>əʏ→øʏ→eɪ（新派） iʏ→y <br>æ̃→ɛ→ᴇ iɛ̃→iɛ→iᴇ→iɪ→i uæ̃→uɛ→uᴇ <br>œ̃→ø iœ̃→iø uœ̃→uø <br>iən→iɪn→in iɪn→in yən→yn <br>aŋ→ã iaŋ→iã uaŋ→uã <br>ɔŋ→ɒ̃→ɑ̃→ã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） uɔŋ→uɒ̃→uɑ̃→uã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） <br>部分iɪʔ→iəʔ yɪʔ→yəʔ uoʔ→oʔ<br>	<br>說明8：在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]，爲本表所採用的翹舌音擬音。陸基的翹舌音記爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話資料記音相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]。其實在《鄉音字類》時代，[dz][z]、[dʐ][ʐ]就已出現相混的現象了，且之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。
亮	liaŋ6	
亳	boʔ8	
亶	tæ̃3	①誠然，真實，實在。②姓
亹	vi4	
人	ȵiən2	白讀
人	ʒən2	文讀
什	ʒəʔ8	～貨
仁	ʒən2	文讀
仁	ȵiən2	白讀：杏～
仂	ləʔ8	
仃	tiɪn1	孤苦伶～
仃	tiɪn1	
仄	tsɑʔ7	
仄	tsəʔ7	
仆	fu5	
仇	dʒəʏ2	
仇	dʑiʏ2	～人
仉	tʃaŋ3	
今	tɕiən1	～年巴望來年好，來年還是破棉襖：比喩景況連年得不到改善
介	tɕiɑ5	文讀：～紹
仍	dʒən2	
仔	tsɿ3	～細
仔	tsɿ1	
仕	zɿ6	
仕	zɿ4	
他	tʰu1	
他	tʰɑ1	
仗	tʃaŋ5	
仗	dʒaŋ4	仰～大力
仗	dʒaŋ6	又音
付	fu5	
仙	siɛ̃1	
仝	doŋ2	
仞	ʒən6	
仡	ŋəʔ8	
仢	boʔ8	
代	de6	
代	de4	本音陽去
令	liɪn6	號～
以	i3	
仰	ȵiaŋ6	又音
仰	ȵiaŋ4	～面求人
仲	dʒoŋ6	
仳	pʰi3	
仵	u3	文讀
件	dʑiɛ̃4	量詞：一～衣裳；一～行李
件	dʑiɛ̃6	
价	tɕiɑ5	
任	ȵiɪn6	白讀。作姓氏讀陽平
任	ʒən2	
任	ʒən6	文讀：～務
份	vən6	公～
份	piɪn1	
仿	fɔŋ3	～造
企	dʑi6	
企	tɕʰi3	
伃	ʃʯ3	
伈	siɪn3	
伉	kʰɔŋ5	
伊	i1	姓
伋	tɕiɪʔ7	
伍	u3	文讀：～子胥
伏	voʔ8	
伐	vɑʔ8	
伐	vaʔ8	
休	ɕiʏ1	～息
伙	hu3	傢～
俔	ɦiɛ̃6	
伯	pɑʔ7	老～～
伯	pəʔ7	
估	ku3	～～價鈿
伲	ȵi2	
伴	bœ̃6	陪～
伶	liɪn2	～仃：孤獨；獨行貌，亦作“伶丁”
伶	liɪn2	
伸	ʃən1	～冤
伺	zɿ6	～候
伻	biɪn2	①出使；②使者
伻	pʰən1	
似	zɿ6	～乎
伽	tɕiɑ1	
伽	dʑiɑ2	
伾	pʰe1	
佃	diɛ̃2	耕種
佃	diɛ̃6	～戶
但	dæ̃6	～不過：但是，不過
佇	dʒʯ4	
佈	pu5	～告
佌	tsʰɿ3	
位	ɦue6	
低	ti1	
住	dʒʯ6	
佐	tsu5	輔助
佑	ɦiʏ6	
佔	tʃœ̃1	～據
佔	tʃœ̃5	
何	ɦu2	姓
佗	du2	同“馱”，負載，負荷
佘	zo2	姓
余	ɦy2	姓
佚	ɦiɪʔ8	
佛	vəʔ8	唸～
作	tsoʔ7	～場
佞	ȵiɪn6	～臣
佟	toŋ1	
佣	ɦioŋ2	～鈿
佩	be6	～服之至
佬	lɐɵ2	
佯	ɦiaŋ2	
佳	tɕiɑ1	
佴	əl6	
併	piɪn5	
併	piɪn3	
佶	tɕiɪʔ7	
佸	kuɑʔ7	
佹	kue3	
佺	tsʰiɛ̃1	偓～
佻	tʰiɐɵ1	
佽	tsʰɿ5	
佾	ɦiɪʔ8	
使	sɿ3	差～
侁	siɪn1	
侂	tʰoʔ7	
侃	kʰœ̃3	
來	le2	
侇	ɦi2	
侈	tʃʰʯ3	奢～
例	li6	
侍	ʒʯ6	
侐	ɕyɪʔ7	
侑	iʏ5	
侔	məʏ2	
侗	tʰoŋ1	
侚	siɪn5	
供	koŋ1	～給
侜	tʃəʏ1	
依	i1	
侣	li4	
侮	vu4	欺～
侯	ɦəʏ2	姓
侵	tsʰiɪn1	～掠
侷	dʑioʔ8	～促
便	biɛ̃6	搨～宜：佔便宜，貪便宜
俁	ȵy4	
係	i5	關～。聲調類推
係	ɦi2	本應讀陽去
促	tsʰoʔ7	侷～
俄	ŋu2	～國
俅	dʑiʏ2	
俊	tsiɪn5	～傑
俎	tsu3	①古代祭祀時，用來盛祭品的禮器。②割肉用的砧板：刀～
俏	tsʰiɐɵ5	
俐	li6	伶～
俑	ioŋ3	
俔	ɕiɛ̃5	
俔	ɦiɛ̃4	如同，好比
俗	dzoʔ8	
俗	zoʔ8	～語
俘	fu1	
俚	li4	
俛	fu3	
俜	pʰiɪn1	
保	pɐɵ3	
俞	ɦy2	姓
俟	zɿ4	
俠	ɦiaʔ8	七～五義
信	siən5	相～
倆	liaŋ4	
修	səʏ1	
俯	fu3	
俱	dʑy2	
俱	tɕy1	
俳	be2	
俴	ziɛ̃6	
俶	ʃoʔ7	
俸	foŋ5	
俾	bi2	
俾	pe3	
倀	tʃʰaŋ1	
倀	tʃaŋ1	
倅	ze6	
倉	tsʰɔŋ1	開～
個	ku5	
個	kəʔ7	一～
倌	kuœ̃1	堂～
倍	be6	
倏	ɕyɪʔ7	～忽之間
倐	ɕyɪʔ7	
們	mən2	
倒	tɐɵ3	七顛八～
倒	tɐɵ5	
倔	tɕyɪʔ7	
倔	tɕʰyɪʔ7	
倔	dʑyɪʔ8	～强
倕	ze2	
倖	ɦiən4	僥～
倘	tʰɔŋ3	
候	ɦəʏ6	時～
倚	i3	～靠
倜	tʰiɪʔ7	
借	tsiɑ5	
倡	tʃʰaŋ5	提～
倢	ziɪʔ8	
倣	fɔŋ3	同“仿”
倣	fɔŋ3	
倦	dʑiœ̃6	疲～
倨	tɕy5	
倩	tsʰiɛ̃5	①古代男子的美稱。②女婿。③美好。④請人代爲做事
倪	ȵi2	姓
倫	lən2	
倬	tʃoʔ7	
倭	ue1	
倮	lu4	同“裸”
倷	ne6	
值	dʒəʔ8	價～
偁	tʃʰən1	
偃	iɛ̃3	～旗息鼓
假	kɑ3	白讀
假	tɕiɑ3	
偈	dʑi6	
偉	ue3	
偎	ue1	
偏	pʰiɛ̃1	～生：偏偏
偓	oʔ7	
偕	tɕiɑ1	
做	tsu5	～捨姆：產婦坐月子
停	diɪn2	
偝	be6	
偟	ɦuɔŋ2	
健	dʑiɛ̃6	康～
偪	piɪʔ7	
偭	miɛ̃6	違背：～規越矩（謂違背禮法）
偯	i3	
偲	sɿ1	
側	tsəʔ7	
偵	tʃən1	
偵	tʃʰən1	
偶	ŋəʏ6	～然
偶	ŋəʏ4	
偷	tʰəʏ1	
僞	ŋue6	～造
傀	kue1	
傀	kʰue3	卽木人頭
傃	su5	①向，往。②遵循，遵守
傅	fu5	
傍	bɔŋ2	側，亦作“旁”
傍	bɔŋ6	依～
傎	tiɛ̃1	
傑	dʑiɪʔ8	豪～
傒	ɦi2	
傖	tsʰən1	寒～
傘	sæ̃5	雨～
備	be6	
傚	ɦiɐɵ6	
傞	su1	～～：醉舞失態貌；飄舞貌
傞	tsʰu1	舞個不停
傢	kɑ1	白讀
傢	tɕiɑ1	文讀
催	tsʰe1	～子
傭	ɦioŋ2	～工
傱	zoŋ2	
傲	ŋɐɵ6	驕～
傳	dʒœ̃2	
傴	əʏ3	
債	tsɑ5	欠～還錢
債	tse5	
傷	ʃaŋ1	
傷	sɔŋ1	白讀
傾	tɕʰiɪn1	～覆
僂	ləʏ4	
僃	be6	
僅	dʑiɪn6	
僇	loʔ8	
僉	tsʰiɛ̃1	①皆，全部。②衆人、大家的代稱
僊	siɛ̃1	
働	doŋ4	勞～
僎	zæ̃4	
像	dziaŋ6	
像	ziaŋ4	～腔：像樣。|～煞：好像
僑	dʑiɐɵ2	華～
僔	zən4	
僕	boʔ8	公～
僖	ɕi1	
僚	liɐɵ2	
僛	tɕʰi1	
僤	tæ̃3	《集韻》：黨旱切
僥	tɕiɐɵ1	
僥	tɕiɐɵ3	～倖（該詞變調特殊，爲55-21）
僥	ɕiɐɵ1	
僦	zəʏ6	
僧	sən1	～道
僨	fən5	
僬	tsiɐɵ1	
僭	tsiɛ̃5	～越
僮	doŋ2	
僱	ku5	
僴	ɕiɛ̃3	①威武勇猛。②胸襟寬大開闊
僵	tɕiaŋ1	
價	kɑ5	白讀
價	tɕiɑ5	文讀
僻	pʰiɪʔ7	
僾	e5	
儀	i1	
儀	ɦi2	
儁	tsiɪn5	
儂	noŋ2	
億	iɪʔ7	
儆	tɕiɪn3	①戒備。②警告，懲戒：殺一～百
儆	tɕiɪn5	
儇	ɡuæ̃2	慧黠而輕薄
儇	tɕiœ̃1	
儈	kue5	
儉	dʑiɛ̃4	本音：～樸
儉	dʑiɛ̃6	又音
儋	tæ̃1	①同“擔”，擔負，負荷。②盛物的器具。③～縣：縣名。隸屬海南特別行政區，在海南島西岸。④姓
儐	piɪn1	
儐	piɪn5	
儒	ʒʯ2	
儓	de2	
儔	dʒəʏ2	
儕	ze2	
儗	ȵi4	
儘	tsiən3	～够
儘	tsiən3	
儛	vu4	
償	dzɔŋ2	
償	dʒaŋ2	～還
儡	le6	
儡	le4	
儤	pɐɵ5	
儥	ioʔ7	
儦	piɐɵ1	
儩	sɿ5	
優	iʏ1	～等
儲	dʒʯ2	～蓄
儳	zæ̃6	
儳	ze2	
儵	ɕyɪʔ7	
儷	li6	
儺	nu4	《集韻》：乃可切
儻	tʰɔŋ3	
儼	ȵiɛ̃4	～然：矜莊的樣子；整齊的樣子；好似，很像
兀	ŋəʔ8	
允	yən3	應～
元	ɦiœ̃2	
元	ȵiœ̃2	
兄	ɕioŋ1	兄～
充	tʃʰoŋ1	
兆	ʒɐɵ6	
兆	dʒɐɵ6	～頭
兇	ɕioŋ1	～惡
先	siɛ̃1	～起頭：剛開始時
光	kuɔŋ1	
兊	de6	
克	kʰəʔ7	
免	miɛ̃4	～靑：麵條中不放蔥蒜
兌	de4	本音陽去
兒	ȵi2	～子
兒	əl2	文讀：小～
兔	tʰu5	～子
兗	iɛ̃3	～州：地名，在山東省。也可能讀陽上
党	tɔŋ3	
兜	təʏ1	
兢	tɕiɪn1	
入	ʒəʔ8	出～
全	dziɛ̃2	～本熱昏：①完全是假的；②完全是胡來
全	ziɛ̃2	
兩	liaŋ4	
八	poʔ7	
公	koŋ1	
六	loʔ8	
兮	i1	
共	ɡoŋ2	
共	ɡoŋ6	～總
共	koŋ1	
共	dʑioŋ6	
兵	piɪn1	養～千日用在一朝
其	dʑi2	
具	dʑy6	
具	dʑy4	
典	tiɛ̃3	～當
兼	tɕiɛ̃1	～兩頭：同時管理、負責兩個方面的工作或事情
冀	tɕi5	
內	ne6	
冉	ʒœ̃4	
冊	tsʰɑʔ7	白讀：書一～
冊	tsʰəʔ7	
再	tse5	
冏	tɕioŋ3	
冐	mɐɵ6	
冒	mɐɵ6	～充
冓	kəʏ5	
冔	ɕy1	中國殷代冠名
冕	miɛ̃4	～旒：古禮冠之最尊者；天子之冕十二旈，諸侯以下遞降。或可讀陰上
冞	mi2	
冠	kuœ̃1	衣～中人
冢	tʃoŋ3	
冤	iœ̃1	
冥	miɪn2	～思苦索
冦	kʰəʏ5	
冪	miɪʔ8	
冬	toŋ1	
冰	piɪn1	～～瀴：形容像冰一樣冷
冱	ŋu4	理論應讀陽去。①寒氣凝結。②凝結的，凍結的
冲	tʃʰoŋ1	
决	tɕyɪʔ7	
