#漢字	音標	解釋
#簡稱	/	冷水江鐸山
#全稱	/	冷水江鐸山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-02-05
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（鐸山）方言音系》
#說明	/	
□	fe1	捱～:磨叽
□	tse1	轻微跛脚
□	ke1	装酒的大坛子
□	e1	瘪
□	pε1	搬
□	pε1	～pɑ:吃亏
□	lia1	～板：拖鞋
□	lia1	撒娇
□	kua1	用力摔
□	ua1	用手抓伤人
□	tsø1	蹲
□	tʊ1	～力:使劲
□	pɔ1	太～:太稠
□	tsɔ1	老鼠啃的动作
□	tʃʰɔ1	～颈:上吊
□	kɔ1	～得他倒:欺负得了他
□	kɔ1	～先:事先
□	ɔ1	硌脚
□	iɔ1	绕
□	pɑ1	～粉:形容水果等很面
□	ɑ1	～倒:僵持
□	ɑ1	～子:小的茅草枝叶
□	tsiəu1	动作“塞”;～子:塞子
□	tsʰiəu1	～睡:打瞌睡
□	tsʰiəu1	～一脚:滑一脚
□	siəu1	～伴:陪伴
□	pʰõ1	猪交配
□	tõ1	～饭:盛饭
□	tʰõ1	～风:暴露在风里
□	sõ1	间苗
□	tʃʰõ1	～干:晾干
□	kõ1	～人:个人
□	tã1	抬，～脚、～脑壳
□	tã1	狗、鸡等用嘴叼东西的动作
□	lã1	青～:青苔
□	iã1	～光：亮光
□	sɪ̃1	～子:细长的木棍或铁棍
□	kɪ̃1	～心:用心、专心
□	pən1	砸
□	pən1	～～:性格暴躁的人
□	tin1	手茧
□	tsin1	吸吮
□	tɕʰin1	扯～:弄平整
□	n1	更远指
□	n1	～样:一样
□	fu2	量词，用于大小便
□	mø2	调皮
□	ʊ2	～子:鸟类的嘴巴
□	bɑ2	衣服～过了:衣服湿透了
□	sɑ2	～门:院墙的正门
□	ɕiəu2	～崽:栎树的果实，能吃
□	bõ2	～一屋人:负担一家子的生活
□	lõ2	全部
□	mã2	蜘蛛～～:蜘蛛
□	xã2	～年子:往年
□	sən2	难看的样子
□	ɕin2	盘～:盘缠
□	tsʰɿ3	搭理
□	tʰi3	扯
□	i3	近指代词
□	ue3	扁的
□	pʰa3	～坨:长在脖子后面的肉瘤
□	lia3	～舌头：吐舌头
□	lø3	～来:一直以来
□	pɔ3	没有牙齿的人咀嚼;鱼吃水
□	kɔ3	～鸡蛋:变质了的鸡蛋
□	xɔ3	从悬挂的大块儿肉或坡上的土等分出一部分的动作
□	ɑ3	～盐:腌菜时放盐
□	ɑ3	狗叫
□	pʰõ3	～头:一道菜，下面放大块大块的瘦肉，上面用一整块肥肉盖住加糖后放碗里蒸做成
□	lõ3	莫～渠:别搭理他
□	ʃõ3	用锄头把土、炭等东西扒拉到箢箕里的动作
□	lã3	不～:不行
□	sã3	双手搂住
□	tsʰiã3	吸水使变湿
□	tʰɪ̃3	～子:梯级
□	tsʰɪ̃3	摁
□	pʰin3	～碗:盛菜的大碗
□	tsʰin3	瞅
□	tɕin3	肉类等先用水焯一下再腌的过程
□	ʃø4	～架:吵架
□	xɔ4	～饭:在神龛前摆一些饭菜祭祀神灵或已故先人
□	sɑ4	用水冲
□	fã4	流产
□	tsɿ15	举
□	sɿ15	～鼓崽:荸荠
□	i15	熄灭
□	se15	挠痒
□	fε5	关～:关紧
□	tsε15	扛
□	fa15	坡
□	tsʰʊ15	～祸:搬弄是非
□	tʃʊ5	～真:当真
□	tʃʊ5	～起困:侧着睡
□	tʃʰʊ15	吃得～:吃得惯
□	tʃʰʊ15	丢失、浪费
□	kʊ15	鸡蛋
□	pɔ5	～饭:下饭
□	ʃɔ15	～死了:讨人嫌
□	ʃɔ15	～子:手残的人
□	ʃɔ15	挠
□	kɔ5	一～:半天
□	kɔ5	～像:相像
□	xɔ5	甩
□	iɔ5	扔
□	iɔ5	不～:形容人不正经
□	pʰɑ15	相当于“十”，但不能单说
□	pʰɑ15	～食:煮猪食泡
□	lɑ15	～牯:山
□	lɑ15	蔫;疲倦
□	tsɑ15	动物往上扑
□	ləu5	起～:生锈
□	ləu5	茶～屋:用来吃饭的房间
□	tsiəu5	～开:拧开
□	tsiəu15	母鸡把孵蛋啄个小洞让小鸡出来
□	tsʰiəu15	擦
□	tɕiəu5	～钱:攒钱
□	pʰõ15	一～:一群
□	mõ15	拿
□	tʰõ15	～开:把堆成堆的稻谷、麦子等推平晾晒
□	tʰõ15	上肢伸开的距离
□	tʃõ5	形容花生红薯等长的很饱满
□	tʃõ5	搞不～:弄不好
□	tʃõ5	一门:一扇门
□	kõ5	～神:胡说八道
□	kʰõ15	唤家禽家畜
□	tʰã15	～味:珍惜
□	dã15	乱蹦乱跳
□	tiã5	～粑:用大木槌用力槌打糯米饭
□	liã15	～□sin东西:零食
□	iã5	摇晃
□	fɪ̃5	扔
□	tɪ̃15	～坨:陀螺
□	lɪ̃5	～地:在地上打滚
□	tsɪ̃5	～粪:上厕所时使劲排粪
□	sɪ̃5	禾～:禾穗
□	sɪ̃5	～鼻涕:擤鼻涕
□	sɪ̃15	磨叽
□	kɪ̃15	轻浮
□	pən15	抱
□	mən15	捉～子～:捉迷藏
□	mən15	～多:很多
□	tən15	～过来～过去:晃过来晃过去
□	lən5	推
□	tsʰən15	～水:往很干的地面或地里浇水
□	kən15	钻
□	tin15	踮起脚尖
□	tɕin5	肚～子:肚脐眼
□	tɕʰin15	～梦:做梦
□	ɕin5	肿
□	ɕin15	鸡～子:鸡胗
□	in15	痒痒
□	sε6	～雨:淋雨
□	ʃɔ6	～过去:跨过去
□	ʃɔ6	一～:张开大拇指和食指之间的距离
□	xɔ6	～饭:在神龛前摆一些饭菜祭祀神灵或已故先人
□	sɑ6	错误
□	sõ6	植物上的刺扎人
□	sã6	～庎:放碗的柜子
㸊	la1	用物体表面的高温烘烤
㸊	la5	烫
㽹	fε3	呕吐
㿸	mã1	～皮:身上的污垢
䋎	tsã5	缝补
䐬	sɑ2	
䐯	lõ15	脚～:脚后跟
一	i1	～二三
一	i15=	第～名
丁	tin1	
七	tsʰi1-	～十岁
七	tsʰi15=	田～
万	fã6-	～千
万	uã5=	一～
丈	ʃõ4	一～
三	sã1	
上	ʃõ4	～山
上	ʃõ15	～面
下	xɔ4-	～来
下	ʃɔ15=	～降
不	pu5	
与	y3	
丐	ka5	
丑	tɕʰiəu3	
專	kuɪ̃1	
丕	pʰi3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ɪ̃5	作～
業	ɪ̃15	管～:管事
叢	sən2	
東	tən1	
絲	sɿ1	
丞	ɕin2	
兩	lø3	～个
兩	liã3	～个;几～
嚴	ɪ̃2	
喪	sõ1	婚～
喪	sã1	出～:出殡
喪	sõ5	～气
个	kʊ5	
个	kõ5	～人
丫	ɔ1	～开:张开
丫	iɔ1	
中	tən1	
中	tɕin5	～奖
中	tɕin1=	～国
丰	xən1	
串	kʰuɪ̃15	
臨	lin2	
丹	tã1	
爲	uɪ̃1	难～:谢谢
爲	ui2	～了
主	tɕiəu3	～要
主	tɕiəu15	～意
丽	li5	
舉	tɕiəu3	
乃	la3	
久	tɕiəu3	
麼	mən3	～个:什么
義	i5	
之	tsɿ1	
烏	u1	
樂	lʊ5	快～
樂	iʊ15	～器
喬	ʃø2	
乖	kua1	
乘	ɕin2	
乙	e15	
九	tɕiəu3	
也	iɔ3	
習	si15	
鄉	ʃõ1	
書	fy1	
買	mε3	
亂	lõ1-	～搞
亂	lõ5=	混～
乳	fy4	
乾	kã1	
乾	xɪ̃2	
了	lø3	～结
爭	tsõ1	
事	sɿ5	
二	e1-	～十
二	e5=	第～名
于	y1	
虧	kʰui1	
雲	min2	～南;乌～
互	fu15	
五	u3	
井	tsiã3	
亞	iɔ15	
亡	xõ2	
交	kɑ1-	～春:立春
交	tʃø1=	～通局
亥	xε15	
產	tsʰã3	
畝	mø3	
享	ʃõ3	
京	tɕin1	
亭	din2	
親	tsʰin1	～戚
親	tsʰin15	～家
人	n2-	一个～
人	ɕin2=	～民
億	i5	
仁	ɕin2	
僅	tɕʰin15	
仆	pʰu15	
仇	ɕiəu2	结～
今	kɪ̃1	～天
介	ka5	
从	sən2	～来
倉	tsʰõ1	
仕	sɿ5	
仗	tʃõ5	
付	fu5	
仙	sɪ̃1	
代	dε15	
令	lin5	
以	i3	
儀	i2	
仰	iõ3	
仲	ɕin15	
件	xɪ̃4	一～
價	tʃɔ5	
任	ɕin2	
任	ɕin15	责～
份	fin15	一～
仿	xõ3	
伊	i1	
伍	u3	
伏	pʰu15	趴着
休	ɕiəu1	
衆	tɕin5	
優	iəu1	
伙	xʊ3	
會	fε4	不～
會	kʰua15	～计
會	fε6	不～
會	fε15=	开～
傘	sã3	
偉	ui3	
傳	fɪ̃2	～达
傳	kuɪ̃5	～记
伢	ɔ15	～唧:小男孩
傷	ʃõ1	
倫	lin2	
僞	ui5	
伯	pε15	
估	ku3	
伴	bõ4	
伶	lin2	
伸	ɕin1	
伺	sɿ15	
似	sɿ5	
佃	dɪ̃15	
佈	pu5	
位	ui5	
低	ti1	
住	fy6	
佑	i5	保～
佑	iəu5	
體	tʰi3	
何	xʊ2	
佘	ʃɔ1	
余	y2	
作	tsʊ1-	～田:种田;～天:天气变化，通常指下雨的前兆
作	tsʊ5=	工～
作	tsʊ15=	～业
佩	pʰε15	
佳	tʃɔ1	
使	sɿ3	
侄	tɕi2	
侍	sɿ4	
供	kən1	～销社
供	kən5	上～
依	i1	
偵	tɕin1	
側	tsʰe15	
僑	ʃø2	
侯	xe2	
侵	tsʰin1	
便	bɪ̃2	～宜
便	fɪ̃2	～宜
便	bɪ̃15	方～
係	xε4	在
促	tsʰəu15	
俄	ʊ2	
俊	tsin5	
俏	tʃʰø15	
俗	səu15	
俘	fu1	
保	pɑ2	
信	sin5	
儉	xɪ̃15	
修	siəu1	
俯	fu3	
俱	fy15	家～
俸	xən5	
倌	kõ1	老～子:老年男子
倍	bε15	
倒	tɑ3	～台
倒	tɑ5	～水
候	xe2	～车室
倚	i3	
借	tsia5	
倡	tʃʰõ1	
倭	ʊ1	
債	tsa5	
值	tɕʰi15	
傾	kʰən1	～水:倒水
假	ka3-	
假	kɔ3-	～白:苍白
假	tʃɔ3=	真～;放～
偋	põ5	把东西藏起来
偏	pʰɪ̃1	
做	tsəu5	
停	din2	
健	kɪ̃5	～康
健	xɪ̃15	～康
偶	iø3	配～
偷	tʰø1	
償	ʃõ2	
傀	kʰua3	
傅	fu5	
傍	bõ2	
儲	fy2	
催	tsʰε1	
傲	ɑ5	
傻	xa3	
僆	lã5	鸡～:还没有下蛋的母鸡
像	siã4	～不～
像	siã6	～不～
僧	sɪ̃1	
僵	tʃõ1	
僻	pʰi15	
儒	fy2	
儡	lε3	
兒	e2	
兒	in5	猫～:猫
兒	n5	猫～:猫
允	min3	
元	uɪ̃2	
充	tɕʰin1	
兆	ʃø6	～头
先	sɪ̃1	
光	kõ1	边～:独眼
克	kʰe15	
免	mɪ̃3	
兔	tʰəu15	
黨	tõ3	
兜	tø1	
入	fy15	
全	sɪ̃2	
八	pa1	
公	kən1	
六	ləu5	
兮	ɕi1	
蘭	lã2	
共	ɕin4-	～一个厅屋
共	ɕin6-	～一个厅屋
共	xən15=	～产党
關	kuã1	
興	ɕin1	～旺;高～
兵	pin1	
其	ɕi2	
具	fy15	
典	tɪ̃3	
兹	tsɿ1	
養	iõ3	
兼	kɪ̃1	
獸	ɕiəu15	
冀	tɕi5	
內	lε5	
冇	mɑ1	
岡	kõ1	
冊	tsʰe15	
再	tsε5	
冒	mɑ5	
寫	sia3	
軍	kuen1	
農	lən2	
冠	kõ5	～军
冤	uɪ̃1	
冬	tən1	
馮	xən2	
冰	pin1	
冲	tɕʰin1	～水
冲	tɕʰin15	发～:生气
决	kue15	
况	kʰõ15	
冷	liã3-	～水
冷	lin3=	～水江:地名
凍	tən5	
淨	sin15	
準	kuen3	
凉	liã15	
凊	tsʰin15	
凌	lin2	
減	kã3	
几	tɕi1	～乎
几	tɕi3	～个
凡	fã2	
鳳	xən15	
凱	kʰε3	
凳	tɪ̃5	
凶	ɕin1	遭～死:死于非命
出	tɕʰiəu1-	～去
出	tɕʰiəu15=	～纳
擊	tɕi2	
凼	dõ4	窖～:地窖
函	xã2	
鑿	tsʰʊ15	
刀	tɑ1	
刀	dõ15	
刁	tø1	
分	fin1	～开
切	tsʰe1	
刊	kʰã1	
刑	ɕin2	
划	xɔ1	～拳
划	xɔ2	～算
列	le15	
劉	liəu2	
則	tse15	
剛	tʃõ1	～～
創	tsʰõ15	
初	tsʰəu1	
刪	sã1	
判	pʰõ15	
刨	bɑ2	～皮:刮皮
利	li5	
别	pʰe15-	～人
别	pe15=	区～
刮	kua1	
刮	kɔ15	
