#漢字	音標	解釋
㐄	kʰᴀ2	跨
㑳	tsɘu4	
㑳	tsɘu4	
㒃	ɛ˞4	
㒠	ɕiɐɛ4	
㒲	zɿᵊ2	性交，粗语
㒲	tsʰɐɛ2	
㕛	ʑɘu3	
㖿	ʑɛ1	
㞎	pᴀ3	粪便
㞓	tɕi1	男阴，粗语
㞗	tɕʰiɘu2	
㞠	nᵈiᴀɔ2	
㞢	l̃ɘi1	同“的”
㥮	tsʰᴀɔ3	文读
㥮	tsɘu2	白读
㧙	piɛ3	
㧚	wᴀ3	
㧯	lᴀɔ3	
㨃	tuɘi3	
㨄	tsʰɘu1	
㩇	xuᴀ1	切割
㩟	tsɐɛ4	
㩭	kᴀɔ4	即“校”
㩯	pɐ̃3	扭动
㪗	tʰɘu3	
㭍	tɕʰi2	
㮟	kʰᴀ1	塞
㮢	ɕiɘu2	
㯱	pʰᴀɔ1	
㰖	lɐ̃3	
㰵	tɕi̹u2	吮吸
㲃	tɕiɘu3	拧
㴑	su4	
㴘	mᵇᴀɔ4	~菜
㶸	ɕiɛ2	
㸉	ɕiɛ2	
㸰	tʰᴀ1	文读
㸰	lᴀ1	白读
㺵	tɕiɘu3	
䀇	ku3	
䃯	nᵈi2	
䇏	tuɘi3	
䇡	tsu4	
䋓	tsɘu4	
䌫	lɐ̃3	
䏘	pʰi1	
䏘	pʰi2	
䐒	tsᴀ1	
䕡	lu2	
䖩	pi2	
䘊	mᵇɛ2	
䘵	lu2	
䞀	ɕiɘu2	
䞵	tsuɛ2	
䟕	tsʰᴀ1	
䟾	tsuɛ2	
䪡	tɕi1	
䪥	ɕiɐɛ4	
䬃	sᴀ2	
䯊	kʰuᴀ4	
䰍	tɕʰi2	
䵙	nᵈiᴀ1	即“黏”
一	ʑi2	
七	tɕʰi2	
万	mᵇɛ2	~俟，少数民族复姓
丈	tɐ̃4	城门城门几~高
三	sɐ̃1	
下	xᴀ1	一~~，指一会儿
下	xᴀ4	一~，指全部
下	ɕiᴀ1	地~
下	ɕiᴀ4	
不	pu2	
丐	kɐɛ4	
丑	tsʰɘu3	
且	tɕi1	~兰，即今黄平
且	tsʰɛ3	
丕	pʰi4	构词法“……~剌沙”
丕	pʰɐɛ3	双手侧平举时中指尖之间距离，约1.7米;一字排开;实~~，指真实存在
丕	pʰɘi3	
世	sɿᵊ4	
丘	tɕʰiɘu1	
丟	tiɘu1	文读
丟	nᵈiɘu1	白读
丫	ŋᶢᴀ1	脚~巴
丫	ʑᴀ1	
丸	ʑɛ̃2	~子
丹	tɐ̃1	
主	tsu3	
丼	tɐ̃3	
乃	lɐɛ3	
久	tɕiɘu3	
么	ʑᴀɔ1	~~，感叹词，相当于“天，菩萨”
之	tsɿᵊ1	
乍	tsᴀ4	
乎	fu2	
乎	xɔ1	热~
乏	fᴀ2	
乖	kuɐɛ1	
乙	ʑi2	
九	tɕiɘu3	
乞	tɕʰi2	
乞	kʰɛ2	~膝头;~膝脑壳
也	ʑɛ3	
乳	zu3	
乾	kɐ̃1	
乾	tɕʰiɛ̃2	
了	lᴀ3	白读一
了	ɔ4	白读二
了	nᵈiᴀɔ3	文读
予	ʑi3	
事	sɿᵊ4	
二	ɛ4	白读
二	ɛ˞4	文读
互	fu4	
五	vu3	
亖	sɿᵊ4	
些	ɕi1	晚~家;黑~家
些	ɕiɛ1	
亞	ʑᴀ3	东~
亞	ʑᴀ4	
亟	tɕi2	
交	tɕiᴀɔ1	
亥	xɐɛ4	
亦	ʑi2	
畝	mᵇɘu3	文读
什	sɿᵊ2	
仄	tsɛ2	
仆	pʰu2	
仇	tsʰɘu2	
仇	tɕʰiɘu2	姓氏
介	kɐɛ4	
仔	tsɿᵊ3	
仔	tsɐɛ3	
仕	sɿᵊ4	
他	tʰᴀ1	文读
他	lᴀ1	白读
付	fu4	
仙	ɕiɛ̃1	
仡	tɛ2	~佬族
仡	kɛ2	~伶族，即侗族
代	tɐɛ4	
以	ʑi3	
件	tɕiɛ̃4	
企	tɕʰi4	
伊	ʑi1	
伍	vu3	
伍	vu4	队~
伏	pʰu2	~起;~趴
伏	fu2	
伐	fᴀ2	
休	ɕiɘu1	
伢	ʑᴀ2	
伯	pɛ2	
估	ku3	
伴	pɐ̃4	
伹	tɕʰi1	
伺	tsʰɿᵊ4	
似	sɿᵊ4	
伽	tɕiᴀ1	
伽	tɕʰiɛ2	~蓝寺
佃	tiɛ̃4	
但	tɐ̃4	
佈	pu4	
位	wɘi4	
低	ti1	
住	tsu4	
佐	tsɔ3	
佐	tsɔ4	扎~
佑	ʑɘu1	经~，指关心、照顾
佑	ʑɘu4	
佔	tsɐ̃4	
何	xɔ2	
佗	tʰɔ2	
佛	fu2	
作	tsɔ2	
佝	kiɘu1	
佝	kiɘu2	~起~起的，指勾腰驼背的样子
你	nᵈi3	
佤	wᴀ4	
佩	pʰɘi4	
佬	lᴀɔ3	
佮	kɔ2	相處
佶	tɕi2	
佼	tɕiᴀɔ3	
使	sɿᵊ3	
侃	kʰuᴀ3	屄~卵~，形容人胡搅蛮缠
侃	kʰɐ̃3	文读
侄	tsɿᵊ2	
來	lɛ2	白读
來	lɐɛ2	文读
侈	tsʰɿᵊ3	
例	nᵈi4	
侍	sɿᵊ4	
依	ʑi1	
侮	vu3	
侯	xiɘu2	
侶	luɘi3	
便	piɛ̃4	
促	tsu2	文读
促	tsʰɔ2	白读
促	tɕʰi̹u2	仓~
俄	ɣɔ2	
俗	ɕi̹u2	
俘	fu1	
俚	nᵈi3	
保	pᴀɔ3	
保	pᴀɔ4	宫~肉丁
兪	ʑi2	
俟	sɿᵊ4	
俟	tɕʰi2	万~，少数民族复姓
俠	ɕiᴀ2	
修	ɕiɘu1	
倶	tɕi1	
倶	tɕi4	家~
俷	fɘi4	调皮
俺	ŋᶢɐ̃3	
俾	pɘi3	
個	kɔ4	
個	ŋᶢɔ4	这~，程度副词，表示“这么”
倍	pɘi4	
倒	tᴀɔ3	
倒	tᴀɔ4	
倔	tɕʰi̹u2	
候	xiɘu4	
倚	ʑi1	
借	tɕiɛ4	
倦	tɕiɛ̃4	
倪	nᵈi2	
倭	ɣɔ1	
倮	lɔ3	
値	tsɿᵊ2	
倽	sɛ1	相当于“……的话”，表示条件假设
假	tɕiᴀ3	
偈	tɕiɛ2	
偉	wɘi3	
偌	zɔ3	
偏	pʰiɛ̃1	
偕	kɐɛ1	宠辱~忘
偕	xɐɛ2	
做	tsu4	文读
做	tsɔ2	~爱
做	tsɘu4	白读
健	tɕiɛ̃4	
側	tsɛ2	~边
側	tsʰɛ2	
偶	ŋᶢiɘu3	
偸	tʰɘu1	文读
偸	lɘu1	白读
僞	wɘi4	
傀	kʰuɐɛ3	
傅	fu4	
傐	kᴀɔ4	属于仡佬族分支
傑	tɕiɛ2	
傕	kʰɔ2	
傘	sɐ̃3	
備	pi4	
備	pɘi4	预~
傢	tɕiᴀ1	
催	tsʰuɘi1	
傲	ŋᶢᴀɔ4	
債	tsɐɛ4	
傻	sᴀ3	文读
傻	xᴀ3	白读
僂	lɘu2	
僉	tɕʰiɛ̃1	
僕	pʰu2	
僚	nᵈiᴀɔ2	
僞	wɘi2	
僥	ɕiᴀɔ1	
僱	ku4	
價	tɕiᴀ4	
僻	pʰi2	
儀	nᵈi2	白读
儀	ʑi2	文读
億	ʑi4	
儉	tɕiɛ̃3	
儒	zu3	
儡	luɘi3	
優	ʑɘu1	
儲	tsʰu2	
儺	lɔ2	
兀	vu2	
元	ʑɛ̃2	
兆	tsᴀɔ4	
先	ɕiɛ̃1	
先	ɕiɛ̃4	姓氏
克	kʰɛ1	~娃娃，指管束;~书，指攻读
克	kʰɛ2	
兌	tuɘi4	
免	mᵇiɛ̃3	
兒	ɛ˞2	
兔	tʰu4	
兜	tɘu1	
入	zɿᵊ2	性交，粗语
入	zu2	
內	luɘi4	
全	tɕʰiɛ̃2	
