#漢字	音標	解釋
□	pʰia3	把梯子~开
一	i2	
七	tɕʰi2	
万	uɛ5	
三	sɛ1	
下	ɕia5	
不	pu2	
專	tsɛ1	
東	toŋ1	
嚴	niᴇ2	
中	tsoŋ1	
也	iᴇ3	
書	su1	
買	mai3	
亂	luɛ5	
了	a3	
二	ə5	
些	ɕiᴇ1	
人	zən2	
他	tʰa1	
們	moŋ1	
會	xuei5	
伯	pɛ2	
作	tso2	
你	ni3	
侯	xəu5	
做	tsəu5	
做	tsu5	
兄	ɕioŋ1	
先	ɕiᴇ1	
克	kiɛ2	
入	zu2	
全	tɕʰiᴇ2	
八	pa2	
六	lu2	
關	kuɛ1	
興	ɕin1	
准	tsən3	
几	tɕi3	
分	foŋ1	
剛	kaŋ1	
刷	sa2	
前	tɕʰiᴇ2	
劇	tɕi5	
割	ko2	
辦	pɛ5	
動	toŋ5	
區	tɕʰi1	
医	i1	
十	sɿ2	
千	tɕʰiᴇ1	
半	pɛ5	
半	pia5	县南部分口音
單	tɛ1	
單	tɛ5	
賣	mai5	
南	lɛ2	
卵	lɛ3	
卵	luɛ3	
厲	ni5	
去	kʰe5	
去	kʰi5	
去	kʰei5	
縣	ɕiᴇ5	
友	iəu3	
雙	saŋ1	
口	kʰiəu3	
句	tɕi5	
叫	tɕiau5	
吃	tsʰɿ2	
合	xo2	
吓	xiɛ2	
听	tʰin1	
吹	tsʰei1	
周	tsəu1	
味	uei5	
啞	ia3	
哪	na3	
哭	kʰu2	
唱	tsʰaŋ5	
喊	xiɛ3	
喊	xia3	县南部分口音
喝	xo1	
嘴	tsei3	
四	sɿ5	
回	xuei2	
团	tʰɛ1	
困	kʰoŋ5	
國	kuɛ2	
圓	iᴇ2	
土	tʰu3	
地	ti5	
圾	tɕi2	
址	tsɿ3	
坨	tʰo2	
垃	la1	
堆	tei1	
境	tɕin3	
聲	sən1	
殼	kʰo2	
外	uai5	
多	to1	
夜	iᴇ5	
大	ta5	
頭	tʰəu2	
奔	poŋ1	
女	ni3	
奶	lai1	~~
媽	ma1	
妹	mei3	
威	uei1	
婆	pʰo2	
婚	xoŋ1	
子	tsɿ3	
孫	sən1	
學	ɕio2	
安	ŋɛ1	
安	ŋiɛ1	
完	uɛ2	
實	sɿ2	
害	xai5	
寬	kʰuɛ3	
對	tei5	
尖	tɕiᴇ1	
就	tɕiəu5	
展	tsɛ3	
屠	tʰu2	
山	sɛ1	
山	sia1	县南部分口音
歲	sei5	
巖	ŋai2	
州	tsəu1	
布	pu5	
帥	sai5	
帶	tai5	
幫	paŋ1	
干	kiɛ1	
干	kiɛ5	~嘛
干	kɛ5	
年	niᴇ2	
幻	xuɛ5	
广	kuaŋ3	
牀	tsʰaŋ2	
開	kʰai1	
弟	ti5	
彎	uɛ1	
很	xən3	
得	tɛ2	
