#漢字	音標	解釋#('wuu_th_yj_ds', '岱山話', '岱山', '#0000FF', None, None, '版本：2021-12-25<br>來源：<a href=https://github.com/ionkaon/dictionary>甬江話字詞表</a><br>說明：岱山城區字表整理自岱山縣誌編纂委員會：《岱山縣誌·方言》，浙江人民出版社，2006', '53 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,433 3 2 上 ꜂,,44 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,12 8 4b 陽入 ꜇')
□	a5	天暗叫～
□	dzo2	〜篓：傻子
□	tʰø5	一〜路
□	pã5	阿〜
□	pʰã3	打〜。用饵诱鱼。
□	tʰã5	〜箩
□	hã5	〜过去
□	soŋ1	阿〜,叫叔父
□	ɦoŋ2	轰出去
□	i5	〜粉
□	dʑia2	〜人
□	ɡua2	船的摇摆
□	uɛ5	小〜，男小孩
□	uã1	强～
□	ɦuã2	〜嬉棒
□	ɡuəŋ2	〜头浪
□	tɕyo5	知了
□	ɕyoŋ1	操一把
□	ɕyoŋ1	叔父叫～
□	iəʔ7	～进去
□	ʔn̩5	〜那：没有
□	ŋ̍2	〜倷：你们
□	ŋ̍6	〜艿
□	ʔŋ̍1	〜告，没有关系
㧾	ɡe2	立
㹙	ã3	小牛
㽘	ɡɔ̃2	田〜
㽹	fɛ5	
䂻	dzã6	塞
䖳	tsœəʔ7	
䞁	i5	〜长短
䫀	ɡəŋ2	〜固头
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
三	sɛ1	
上	zɔ̃2	
上	zɔ̃6	〜面
下	ɦo2	底
下	ɦo6	〜降
下	ɕia5	
不	paʔ7	
丐	ke5	
且	tsʰe1	
且	tɕʰie1	
丕	pʰi1	
世	sʮ5	
丘	tɕʰiʏ1	
丙	piŋ3	
丞	dʑiŋ2	
並	piŋ5	
並	biŋ2	
丫	oo1	
丫	ia1	文
中	tsoŋ1	当〜
中	tsoŋ5	射〜
中	tɕyoŋ1	
中	tɕyoŋ5	射～（少）
串	tsʰø5	
丸	ɦuø2	文
丹	tɛ1	
主	tsʮ3	
乃	nɛ6	
久	tɕiʏ3	
之	tsɿ1	
乍	dzo6	
乎	ɦu2	
乏	vaʔ8	
乖	kuɛ1	
乖	huɛ1	
乘	tɕʰiŋ1	
乘	dʑiŋ2	
乙	iəʔ7	
九	tɕiʏ3	
也	ɦia2	
也	ɦie2	文
乳	zʮ2	文
乾	ki1	
乾	dʑi2	〜坤
亂	lø6	
了	liɔ2	
了	laʔ8	
予	mœø2	
事	zɿ6	
二	ȵi6	
二	əl6	
于	y1	
云	ɦyoŋ2	
互	ɦu6	
五	ɦu2	文
五	ŋ̍2	
井	dai2	酒～
井	tɕiŋ3	
些	ɕiəʔ7	
亞	ia5	文
亞	yo5	
亡	vɔ̃2	
交	kɔ1	〜代
交	tɕiɔ1	文
亥	ɦe2	
亦	ɦiəʔ8	
亨	hã1	
亨	həŋ1	
享	ɕiã3	
京	tɕiŋ1	
亭	diŋ2	
亮	liã6	
人	zoŋ2	文
人	ȵiŋ2	
什	zœəʔ8	
仁	zoŋ2	文
仁	ȵiŋ2	虾〜
仇	dʑiʏ2	
今	tɕiŋ1	
介	ka5	
介	tɕie5	文
仍	dʑiŋ2	
仕	zɿ2	
他	tʰa1	
仗	tɕiã5	打〜
付	fu5	
仙	ɕi1	
代	de6	
令	liŋ6	
以	i1	
以	ɦi2	
仰	dʑiã2	
仲	dzoŋ6	
件	dʑi2	
任	zoŋ6	责〜
任	ȵiŋ2	姓
份	vəŋ6	一〜
仿	fɔ̃3	
企	tɕʰi3	
伊	tsʰɛ3	
伊	i1	
伍	ɦu2	文
伍	ŋ̍2	
伏	voʔ8	
伐	vaʔ8	
休	ɕiʏ1	
伯	paʔ7	
估	ku3	〜计
伴	bø2	
伴	buø2	
伶	liŋ2	
伸	soŋ1	
伺	zɿ6	
似	zɿ2	
佃	di6	
但	dɛ6	
位	ɦuai6	
低	ti1	
住	dzʮ6	
佐	tsau5	
何	ɦau2	
佘	dzo2	姓
余	ɦy2	
佛	faʔ7	仿〜
佛	vaʔ8	
作	tsœəʔ7	
佞	ȵiŋ6	
你	noŋ2	
佩	bai6	
佳	tɕia1	文
佳	tɕyo1	
使	sɿ3	
來	le2	
侈	tsʰʮ1	
例	li6	
侍	zɿ6	
供	tsoŋ1	〜大人
供	koŋ1	〜给
供	koŋ5	上〜
依	i1	
侮	ɦu2	
侯	ɦœø2	
侵	tɕʰiŋ5	
便	bi2	〜宜
便	bi6	方〜
促	tsʰoʔ7	
俄	ŋau6	
俊	tsoŋ5	
俏	tɕʰiɔ5	
俗	dzoʔ8	
保	pɔ3	
俟	zɿ2	
信	ɕiŋ5	
修	ɕiʏ1	
俱	tɕy1	
俱	dʑy6	
俸	vəŋ6	
俸	foŋ5	
俸	voŋ6	
俾	pai5	
倉	tsʰɔ̃1	
個	ɡoʔ8	
倍	bai2	
倒	tɔ3	打〜
倒	tɔ5	〜水
倘	tʰɔ̃3	
候	ɦœø6	
倚	i3	
借	tɕia5	
倡	tsʰɔ̃5	
倦	dʑye6	
倪	ȵi2	
倫	ləŋ2	
倭	au1	
假	ko3	真〜
假	ko5	放〜
假	tɕia1	文，真～
假	tɕia5	放〜
偉	ɦuai2	
偏	pʰi1	
做	tsau5	
停	dəŋ2	
停	diŋ2	
健	dʑi6	
側	tsaʔ7	
偵	tɕiŋ1	
偶	ŋœø2	配〜
偶	ŋœø6	〜然
偷	tʰœø1	
傀	kʰuai3	
傅	fu5	
傍	bɔ̃6	
傘	sɛ3	
傘	sɛ5	
備	bai6	
催	tsʰai1	
傲	ŋɔ6	
傲	dzø6	
傳	dzø2	〜达
傳	dzø6	～记
債	tsa5	
傷	sɔ̃1	
傻	sa3	
傾	tɕʰiŋ1	
僅	dʑiŋ6	
僑	dʑiɔ2	
僕	pʰoʔ7	
僕	boʔ8	
僞	ɦuai6	
僥	tɕiɔ1	
僥	tɕiɔ3	〜幸
僧	səŋ1	
僱	ku5	
僵	tɕiã1	
價	ko5	
價	tɕia5	文
僻	pʰiəʔ7	
儀	ȵi2	
儂	noŋ2	
億	i5	
儉	dʑi2	
儒	zʮ2	
償	dzɔ̃2	
儡	lai2	
優	iʏ1	
儲	zʮ2	
允	ɦyoŋ2	
元	ȵye2	
元	ɦye2	
兄	ɕyoŋ1	
充	tsʰoŋ1	
兆	ɦiɔ2	
兇	ɕyoŋ1	
先	ɕi1	
