#漢字	音標	解釋
#簡稱	/	岳陽榮家灣
#全稱	/	岳陽榮家灣話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5a 3a 全陰去 ꜄,21 6 3c 陽去 ꜅,5 7 4a 陰入 ꜆,22 8 4b 陽入 ꜇,,,,,,,24 5b 3b 次陰去 ꜂
#版本	/	2022-02-13
#錄入人	/	跳跳老鼠
#參考資料	/	《岳陽縣方言語音研究》
#說明	/	
□	dzʱɿ1	擦
□	mi1	擺弄，玩弄
□	si1	
□	ɡʱu1	～餅
□	ky1	～人：蜂蟄人
□	pa1	□～□：腰扭傷
□	bʱa1	～開：兩腿叉開
□	tsa1	好～：好勤快
□	ka1	～□：嬰兒坐的前有圍欄的椅子
□	ka1	～巾：圍巾
□	ŋa1	～□：哭
□	xa1	□～□：全部佔有
□	bʱo1	～□：多
□	bʱo1	～腳踢腳
□	bʱo1	脆
□	mo1	做事慢
□	lo1	用手將散物掃歸一處
□	so1	快速地跑
□	pie1	～淡：味道很淡
□	ləu1	～褲子：提褲子
□	ɡʱã1	～□：缺乏錢物
□	ŋã1	門打開一點
□	uã1	～米：一手米
□	uã1	□～床：□面有圍擋的床
□	dzʱɔ̃1	～豬：說別人吃得多
□	dzʱɔ̃1	亂跑
□	dzʱø̃1	～□：亂跑
□	sø̃1	撓人身體，使發癢發笑
□	mən1	拉扯
□	mi2	～li：引火的紙卷
□	tɕia2	冇～事
□	dʑʱia2	躲～～：小兒捉迷藏的遊戲
□	pʊ2	水沸騰後從容器中溢出
□	fei2	紅薯
□	ŋau2	厲害
□	xau2	～□手：兩隻手互相籠在衣袖內或雙手在胸前交叉
□	ŋã2	～開一點：打開一點
□	dʱia3	～舌頭：吐舌頭
□	dʱia3	～肩膀
□	tso3	～錢：借錢
□	kuɛ3	脾氣大
□	lai3	雞邊扒邊啄
□	tau3	相當於助詞「着」
□	ɕiəu3	□～：自以爲了不起
□	ɡʱɔ̃3	罩住
□	ȵiaŋ3	～來～去：整日無所事事地到處走
□	bʱɔŋ3	～門：用力關緊門
□	lɔŋ3	抖東西去掉灰塵
□	pəŋ3	凸
□	məŋ3	～□：捂住
□	təŋ3	聽人～：聽人戲弄
□	tɕi5	油～～：菜放油放多了，喫起來膩
□	kuɛ5	□～：靈巧
□	lai15	使勁爬動，掙扎
□	dzʱei15	鈸撞擊發出的響聲
□	dʑʱiau15	七彎八拐
□	ŋɔo5	較勁
□	ləu15	怒視
□	tɕiəu5	～酸：很酸
□	tɕiəu5	歪曲事實
□	tsã5	縫補
□	tiẽ5	租用
□	dʑʱiẽ15	～疤子：受傷後皮膚留下的疤痕
□	ɕiẽ5	～前天：前天的前一天
□	maŋ5	～～：嬰兒
□	kuaŋ5	～清：水很清亮
□	ɡʱuaŋ15	狗叫
□	mɔŋ15	拉
□	ləŋ5	白～噠：很白
□	ta6	□□～：腰扭傷
□	lo6	～沙：分離出沙子
□	tsɔo6	錯
□	uaŋ6	椅子～：椅子靠背；床～：床的橫木
□	i7	□～：打嗝
□	ma7	～□：皮膚因乾而裂開
□	sa7	～飯：把飯灑在地上
□	ȵia7	～□：靈巧
□	so7	舔
□	dʑʱio7	□～：打噴嚏
□	te7	～□□：腰扭傷
□	xe7	～□：打噴嚏
□	sɛ7	～勁：大聲哭
□	kɛ7	剪
□	təu7	碗～：碗底
□	təu7	胖～噠：很胖
□	ləu7	從水中撈起來
□	dʑʱia8	躲～～：捉迷藏
□	ləu8	～□床：□面有圍擋的床
□	tsəu8	～□：用力打
㞎	pa3	～～：糞便
㩳	dzʱəŋ3	(存疑)推
㩳	səŋ3	
㩳	səŋ3	往前推
㪗	dʱau3	
㲃	tɕiəu5	～蓋子：把蓋子扭開
䐬	tsɔo2	(存疑)～病：喫了東西就反胃的病
一	i7	
丁	tiaŋ1	
七	dʑʱi7	
丈	tsɔŋ6	
三	sã1	
上	sɔŋ6	～市；～面
上	xɔŋ6	(存疑)地～
下	xa6-	底～，～降；全部
下	ɕia6=	底～；～降
不	pu5	
不	n̩5	(訓讀)
丐	kai5	乞～
丑	dzʱəu3	
且	dʑʱie3	
世	sɿ5	
丘	dʑʱiəu1	
丙	pin3	
丞	tsən2	
丟	tiəu1	
並	pin3	
丫	ŋa1-	
丫	ia1=	
中	tsəŋ1	當～
中	tsəŋ5	射～
串	ɡʱuø̃15	
丸	uø̃2	肉～
丹	tɛ̃1	
主	ky3	
乃	lai3	
久	tɕiəu3	
乍	tsa6	
乎	fu1	
乏	fa8	
乖	kuɛ1	
乘	sən2	
乙	i7	
九	tɕiəu3	
乞	dʑʱi7	
也	ia3-	
也	ie3=	
乳	y3	
乾	kø̃1	
乾	tɕiẽ2	～坤
亂	lø̃6	
了	liau3	～結
事	sɿ6	
云	uen2	
互	fu6	
五	u3	
井	tɕiaŋ3-	
井	tɕin3=	
些	ɕi1	
亞	ia5	
亡	mɔ̃2	
交	tɕiau1	
亥	xe6	
亦	i7	
亨	xen1	
享	ɕiɔŋ3	
京	tɕin1	
亭	tin2	
亮	liɔŋ6	
人	ȵin2-	
人	vən2	
什	sɿ7	
仁	vən2	
仆	bʱʊ7	
仇	tsəu2	
仇	tɕiəu2	
今	tɕin1	
介	kai5-	
介	tɕie5=	
仍	in2	
仕	sɿ6	
他	dʱa1	
仗	tsɔŋ5	
仗	tsɔŋ6	
付	fu5	
仙	ɕiẽ1	
代	te6	
令	lin6	
以	i3	
仰	ȵiaŋ3-	～起腦殼
仰	iɔŋ3=	～望
仲	ləŋ6	
件	tɕiẽ6	
任	vən2	姓氏
任	vən6	責～
份	fən6	
仿	fuɔ̃3	～效
企	tɕi6	
伍	u3	
伏	fu8	
伐	fa7	
休	ɕiəu1	
伙	xo3	
伯	pø7	
估	ku1	～計
估	tsø̃5	～領
伴	pø̃6	
伶	lin2	
伸	sən1	
伺	dzʱɿ15	
似	tsɿ6	
但	tã6	
佈	po5=	
位	uei6	
低	ti1	
住	ky6	
佐	tso3	
何	o2-	～哩：爲什麼
何	xo2=	
佘	sø2	
佛	fu8	
作	tso7	工～；～坊
佞	ȵin6	
你	n̩3-	
你	ȵi3=	
佢	ky2	
佩	bʱi15	
佳	tɕia1	
併	pin5	
使	sɿ3	
侄	dzʱɿ8	
來	le2	
侈	dzʱɿ3	奢～
例	li6	
侍	tsɿ6	
供	kəŋ1	～不起
供	kəŋ5	上～
依	i1	
侮	vu3	
侯	xau2	
侵	tɕin1	
便	piẽ2	～宜
便	piẽ6	方～；～着墻：倚靠着墻
促	dzʱəu7	
俄	ŋo2	
俊	tsən5	
俏	dʑʱiau15	
俗	səu8	
俘	fu2	～擄
保	pɔo3	
俟	sɿ6	
信	ɕin5	
修	ɕiəu1	
俯	fu3	
俱	ky1	
倆	liɔŋ3	
倉	dzʱɔŋ1	
個	ko5	
倍	pi6	
倒	tɔo3	打～；顛～
倒	to5	～水
倔	kuø7	
倘	dʱɔŋ3	～使
候	xau6	
倚	i3	
借	tɕia5-	
倡	dzʱɔŋ1	
倣	fuɔ̃3	
倦	kuø̃6	
倪	ȵi2	
倫	lən2	
倭	o1	
值	dzʱɿ8	
假	tɕia3	真～；放～
偉	uei3	
偏	bʱiẽ1	
做	tsəu5	
停	tiaŋ2	
健	tɕiẽ6	
側	dzʱe7	
偵	tsən1	
偶	ȵiau3-	配～；～然
偶	ŋəu3=	
偷	dʱau1	
傀	kuɛ3	～儡
傅	fu5	
傍	pɔŋ6	
傑	dʑʱi7	
傘	sɛ̃3	
備	pi6	
傢	tɕia1	
催	dʑʱi1	
傲	ŋɔo6	
傳	kuø̃2	～達
傳	kuø̃6	～記
債	tsɛ5-	
債	tsai5=	
傷	sɔŋ1	
傻	sa3	
傾	dʑʱin1	
僅	tɕin6	
像	tɕiɔŋ6	
僑	tɕiau2	
僕	bʱʊ7	
僚	liau2	
僞	uei3	
