#漢字	音標	解釋
#簡稱	/	西安
#全稱	/	西安話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,53 3 2 上 ꜂,,44 5 3 去 ꜄
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	<a herf=https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A>漢語多功能字庫</a>
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=A
倉	tsʰaŋ1	
個	kɤ5	
倍	pʰei5	
倒	tau3	
候	xou5	
借	tɕiɛ5	
倡	tʂʰaŋ3	
倣	faŋ3	
倦	tɕyã5	
倪	ni2	
倫	lyẽ2	
倭	uo1	
值	tʂʅ2	
假	tɕia3	
假	tɕia5	
偉	uei3	
偎	uei1	
偏	pʰiã1	
做	tsu5	
做	tsou5	
停	tʰiŋ2	
停	tʰiŋ5	
健	tɕiã5	
側	tsa2	
側	tsei1	
側	tsʰei1	
偵	tʂẽ1	
偶	ŋou3	
偷	tʰou1	
傍	pʰaŋ2	
傑	tɕiɛ2	
傘	sã3	
備	pi5	
傢	tɕia1	
催	tsʰuei1	
傭	yŋ5	
傲	ŋau5	
傳	pfã5	
傳	pfʰã2	
債	tsai5	
傷	ʂaŋ1	
傻	ʂa3	
傾	tɕʰyŋ3	
僅	tɕiẽ3	
像	ɕiaŋ5	
僑	tɕʰiau2	
僞	uei3	
僧	səŋ1	
僵	tɕiaŋ1	
價	tɕia5	
僻	pʰi3	
儀	i5	
億	i5	
儉	tɕiã3	
儒	vu2	
儘	tɕiẽ3	
償	tʂʰaŋ2	
優	iou1	
儲	pfʰu2	
兀	u5	
兀	uo3	
兀	uei3	
允	yẽ3	
元	yã2	
兄	ɕyŋ1	
充	pfʰəŋ1	
充	pfʰəŋ3	
兆	tʂau5	
兇	ɕyŋ1	
先	ɕiã1	
先	ɕiã5	
光	kuaŋ1	
光	kuaŋ2	
光	kuaŋ5	
克	kʰei1	
兌	tuei5	
免	miã3	
兒	ər2	
兔	tʰu5	
兜	tou1	
入	vu1	
內	luei5	
全	tsʰuã2	
兩	liaŋ3	
八	pa1	
公	kuŋ1	
六	liou1	
共	kuŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiã3	
兼	tɕiã1	
冀	tɕi5	
冉	ʐã3	
冊	tsʰei1	
再	tsai5	
冒	mau5	
冠	kuã5	
冤	yã1	
冬	tuŋ1	
冰	piŋ1	
况	kʰuaŋ5	
冷	ləŋ3	
准	pfẽ3	
凌	liŋ2	
凍	tuŋ5	
凝	niŋ2	
凝	tɕʰiŋ5	
凡	fã2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyŋ1	
出	pfʰu1	
函	xã2	
刀	tau1	
刁	tiau1	
刃	ʐẽ5	
分	fẽ1	
切	tɕʰiɛ1	
刊	kʰã1	
刑	ɕiŋ2	
划	xua2	
列	liɛ1	
初	pfʰu1	
初	tsʰou1	
刪	sã1	
判	pʰã5	
別	piɛ2	
刨	pau2	
刨	pau5	
利	li5	
刮	kua1	
到	tau5	
刴	tuo5	
制	tʂʅ5	
刷	fa1	
券	tɕyã5	
刺	tsʰɿ1	
刺	tsʰɿ5	
刻	kʰei1	
剃	tʰi5	
則	tsei1	
削	ɕyo1	
前	tɕʰiã2	
剗	tsʰã3	
剛	kaŋ1	
剛	kaŋ2	
剜	uã1	
剝	po1	
剩	ʂəŋ5	
剪	tɕiã3	
剮	kua3	
副	fu5	
割	kɤ1	
創	pfʰaŋ3	
剺	li2	
劃	xua5	
劄	tsa1	
劇	tɕy5	
劈	pʰi3	
劉	liou2	
劍	tɕiã5	
劐	xuo1	
劑	tɕi5	
力	li1	
功	kuŋ1	
加	tɕia1	
劣	lyɛ1	
助	pfu5	
努	nou3	
劫	tɕiɛ1	
勁	tɕiẽ5	
勇	yŋ3	
勉	miã3	
勒	lei1	
動	tuŋ5	
勘	kʰã1	
務	vu5	
勝	ʂəŋ5	
勞	lau2	
募	mu5	
勢	ʂʅ5	
勤	tɕʰiẽ2	
勳	ɕyẽ1	
勴	ly5	
勵	li5	
勸	tɕʰyã5	
勺	fo2	
勻	iẽ2	
勻	yẽ2	
勾	kou1	
勿	vo1	
包	pau1	
匈	ɕyŋ1	
化	xua1	
化	xua5	
北	pei1	
匠	tɕiaŋ5	
匣	ɕia2	
匪	fi3	
匯	xuei5	
匹	pʰi3	
匾	piã3	
匿	ni1	
區	tɕʰy1	
十	ʂʅ2	
千	tɕʰiã1	
升	ʂəŋ1	
午	u3	
半	pã5	
半	paŋ5	
卒	tsou2	
協	ɕiɛ2	
南	nã2	
博	po1	
卜	pʰu2	
