#漢字	音標	解釋#('ja_kwan', '日語慣用音', '日語慣用', '#8B0000', None, None, '', None, None, None)
#簡稱	/	日語慣用#與文件名一致
#全稱	/	日語慣用音#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	None#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	#HTML格式，僅允許一行，用<br>換行
渋	*zyuu(zihu)*	
渢	|huu|	
渤	botu	
渦	[2]*ka(kwa)*	
渴	[2]*katu*	
湫	[2]syuu(siu)	
湮	[1]in	
湿	*situ*	
源	|gan(gwan)|	
準	[1]*zyun*	
滂	|bou(bau)|	
滋	*zi*	
滌	|zyou(deu)|	
滓	|sai|	
滞	*tai*	
滮	|hyou(heu)|	
滯	*tai*	
漁	*ryou(rehu)*	
漑	gai	
漘	|sin|	
漸	[2]*zen*	
潼	|dou|	
澀	*zyuu(zihu)*	
澁	*zyuu(zihu)*	
澆	gyou(geu)	
澨	zei	
激	*geki*	
濁	|zyoku(dyoku)|	
濃	*nou*	
濇	[1]|syoku|	
濕	*situ*	
濛	mou	
濟	[1]|zai|	
濮	boku	
瀑	[1]baku[2]baku	
瀺	|zan|	
灋	*haq*	
灋	*hoq*	
灘	|dan|	
炬	|ko|	
烕	[2]metu	
烝	zyou	
焙	hou	
煑	*sya*	
煮	*sya*	
熒	|ei|	
燗	kan	
爆	[1]*baku*	
父	[1]|ho|[2]|ho|	
牀	syou(syau)	
牓	bou(bau)	
牛	|go|	
牡	bo	
犉	|ton|	
犓	suu	
犠	*gi*	
犧	*gi*	
犴	kan	
狭	*kyou(kehu)*	
狹	*kyou(kehu)*	
狽	bai	
獏	[1]baku	
獞	[2]dou	
獣	*zyuu(ziu)*	
獰	dou(dau)	
獸	*zyuu(ziu)*	
獺	datu	
玢	hun	
珱	|ou(au)|	
璞	|boku|	
璽	*zi*	
瓔	|ou(au)|	
甃	syuu(siu)	
甍	bou(bau)	
甫	ho	
由	*yui*	
甲	*kan*	
畆	ho	
畒	ho	
畝	ho	
畞	ho	
畡	gai	
番	[1]*ban*	
疋	[2]hiki	
痿	[1]i(wi)	
瘰	[2]rui	
瘳	[2]ryou(reu)	
瘸	|ga|	
瘸	|ka|	
癙	so	
登	*to*	
皎	kou(kau)	
皕	|huku|	
皢	*gyou(geu)*	
皺	syuu(siu)	
皿	bei	
盖	[1]*gai*	
盙	ho	
眠	*min*	
眮	|dou|	
眴	[1]zyun	
睜	|sou(sau)|	
瞠	dou(dau)	
瞥	betu	
瞳	*dou*	
矃	[2]dou(dau)	
矇	mou	
矜	[2]|kin|	
矮	wai	
石	*syaku*	
石	*koku*	
砒	hi	
研	*ken*	
硏	*ken*	
硤	|kyou(kehu)|	
硬	*kou(kau)*	
硯	ken	
碾	ten	
磇	hi	
磚	|tan|	
磛	|zan|	
礞	|mou|	
礬	ban	
祉	*si*	
祢	|nei|	
禰	|nei|	
禺	[1]guu	
税	*zei*	
稔	|nen|	
稜	ryou	
積	[2]*seki*	
穡	syoku	
穢	|ai|	
窟	*kutu*	
窩	ka(kwa)	
竄	zan	
立	*ritu*	
竜	|rou|	
童	*dou*	
競	*kyou(kyau)*	
竸	*kyou(kyau)*	
竺	[1]ziku(diku)	
笋	zyun	
笏	|syaku|	
笩	batu	
笪	|datu|	
筍	zyun	
筏	batu	
筮	zei	
箆	|hi|	
箒	sou(sau)	
箚	|satu|	
箜	|kuu|	
箝	kan	
篌	|go|	
篥	|riki|	
篦	|hi|	
簇	[1]zoku	
簉	syuu(siu)	
簟	|tan|	
簠	ho	
