#漢字	音標	解釋
君	tɕyn1	
吝	lin5	吝嗇
吞	tʰuən1	
吟	in2	
吠	fei5	
否	fou3	
含	xan2	
吳	u2	
吵	tsʰau3	
吸	ɕi1	
吹	tsʰuei1	
吻	uən3	
吼	xou3	
吾	u2	
呂	ly3	
呆	tai1	
呈	tsʰəŋ2	
告	kau5	
周	tsou1	
味	uei5	
呼	xu1	
命	miŋ5	
和	xɤ2	和氣
和	xuɤ2	和麵
咎	tɕiou5	
咒	tsou5	
咨	tsɿ1	
咬	iau3	
咳	kʰɤ2	咳嗽
哀	ai1	
品	pʰin3	
哄	xuŋ3	哄騙
哈	xa1	哈腰
哥	kɤ1	
哪	na3	哪個
哭	kʰu1	
哲	tsɤ2	
哽	kəŋ3	骨哽在喉
脣	tsʰuən2	
唐	tʰaŋ2	
唚	tɕʰin5	貓唚
售	sou5	
唯	uei2	
唱	tsʰaŋ5	
唾	tʰuɤ5	唾液,唾沫
啄	tsuɤ2	
商	saŋ1	
問	uən5	
啞	ia3	
啟	tɕʰi3	
啼	tʰi2	
善	san5	
喉	xou2	
喊	xan3	
喘	tsʰuan3	
喚	xuan5	
喜	ɕi3	
喝	xɤ1	喝酒
喝	xɤ5	喝彩
喧	ɕyan1	
喪	saŋ5	喪失
喪	saŋ5	婚喪
喬	tɕʰiau2	
單	tan1	單獨
單	san5	姓
喻	y5	
嗅	ɕiou5	用鼻嗅
嗅	ɕiou5	用鼻子聞
嗇	sɤ5	吝嗇
嗉	su5	鳥嗉子
嗓	saŋ3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ1	嗤笑
嗦	suɤ1	羅嗦
嘉	tɕia1	
嘔	ou3	嘔吐
嘗	tsʰaŋ2	
嘮	lau1	嘮叨
嘴	tsuei3	
噇	tsʰuaŋ2	
噍	tɕiau5	牛倒噍
噎	iɛ1	噎住了
嘘	ɕy1	吹噓
噦	yɛ3	幹噦
器	tɕʰi5	
噴	pʰən1	噴水
噴	pʰən1	噴嚏
嚇	ɕia5	嚇一跳
嚇	xɤ5	恐嚇
嚥	ian5	
嚼	tɕiau2	
囂	ɕiau1	
囉	luɤ1	囉嗦
囊	naŋ2	
囑	tsu3	
囚	tɕʰiou2	
四	sɿ5	
囝	tɕian3	
回	xuei2	
因	in1	
囤	tʰuən2	
囥	kʰaŋ5	藏
囱	tsʰuŋ1	煙囪
困	kʰuən5	
固	ku5	
圈	tɕʰyan1	
國	kuɤ2	
圍	uei2	
園	yan2	
圖	tʰu2	
團	tʰuan2	
土	tʰu3	
在	tsai5	
圭	kuei1	
地	ti5	
址	tsɿ3	
均	tɕyn1	
坍	tʰan1	坍下來
坎	kʰan3	
坐	tsuɤ5	
坑	kʰəŋ1	
坡	pʰɤ1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰiŋ2	
坯	pʰi1	
坳	au5	山坳
垂	tsʰuei2	
型	ɕiŋ2	
垮	kʰua3	
垵	an3	坑
埂	kəŋ3	田埂
埃	ai1	塵埃
埋	mai2	
城	tsʰəŋ2	
域	y5	
埠	fu3	
執	tsɿ2	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堅	tɕian1	
堆	tuei1	
堡	pau3	
堤	ti1	
堪	kʰan1	
堯	iau2	
堰	ian5	
報	pau5	
場	tsʰaŋ3	
堵	tu3	
塊	kʰuai5	
塋	iŋ2	
塌	tʰa1	
塍	kəŋ3	田塍
塑	suɤ5	塑像
塔	tʰa3	
塗	tʰu2	
塘	tʰaŋ2	
塚	tsuŋ3	
塞	sai1	活塞，塞子
填	tʰian2	
填	tian5	墊錢
塵	tsʰən2	
境	tɕiŋ5	
墊	tian5	
墓	mu5	
墜	tsuei5	與墮異
增	tsəŋ1	
墟	ɕy1	墟市
墨	mɤ5	
墩	tuən1	
墳	fən2	
墾	kʰən3	
壁	pi5	
壅	yŋ3	施肥
壇	tʰan2	花壇
壓	ia5	
壕	xau2	
壘	lei3	
壞	xuai5	
壠	luŋ3	
壩	pa5	堤
壩	pa5	平川
士	sɿ5	
壬	in2	
壯	tsuaŋ5	
壺	xu2	
壽	sou5	
夏	ɕia5	姓
夏	ɕia5	春夏
夕	ɕi1	
外	uai5	
夜	iɛ5	
够	kou5	
夢	məŋ5	
夥	xuɤ3	
大	ta5	
大	tai5	大夫，大黃
天	tʰian1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	打夯
失	sɿ1	
夷	i2	
夾	tɕia2	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi5	契約
奔	pən1	
奔	pən5	奔頭
套	tʰau5	
奚	ɕi1	
奠	tian5	
奢	sɤ1	
奤	pʰai5	大脸奤奤
奧	au5	
奪	tuɤ2	
奮	fən5	
女	ȵy3	
奴	nu2	
奶	nai3	
奸	tɕian1	
好	xau5	喜好
