#漢字	音標	解釋
數	su3	動詞
數	su5	名詞
斃	pi5	
文	uən2	
斑	pan1	
斗	tou3	容器
料	liau5	
斛	xu2	
斜	ɕiɛ2	
斟	tsən1	
斤	tɕin1	
斥	tsʰɿ5	
斧	fu3	
斬	tsan3	
斯	sɿ1	
新	ɕin1	
斷	tuan5	斷絕
斷	tuan5	決斷
方	faŋ1	
於	y1	
於	y2	於此
施	sɿ1	
旁	pʰaŋ2	
旅	ly3	
族	tsu2	
旗	tɕʰi2	
既	tɕi5	
旦	tan5	
旨	tsɿ3	
早	tsau3	
旬	ɕuən2	
旱	xan5	
旺	uaŋ5	興旺,火旺
昂	aŋ2	
昆	kʰuən1	
昌	tsʰaŋ1	
明	miŋ2	
昏	xuən1	
易	i5	
星	ɕiŋ1	
映	iŋ3	放映
春	tsʰuən1	
昧	mei5	
昨	tsuɤ3	
昭	tsau1	
是	sɿ5	
時	sɿ2	
晃	xuaŋ5	
晃	xuaŋ3	晃眼
晉	tɕin5	
晌	saŋ3	晌午
晏	ian5	晚也
晚	uan3	
晝	tsou5	
晦	xuei5	
晨	tsʰən2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tsɿ5	
暇	ɕia5	閒暇
暈	yn1	
暑	su3	
暖	nuan3	
暗	an5	
暢	tsʰaŋ5	
暫	tsan5	
暮	mu5	
暴	pau5	
曆	li5	
曉	ɕiau3	
曝	pau5	
曠	kʰuaŋ5	
曩	naŋ3	
曬	sai5	
曰	yɛ1	
曲	tɕʰy3	曲折
曲	tɕʰy3	歌曲
更	kəŋ1	更換
更	kəŋ5	更加
書	su1	
曹	tsʰau2	
曾	tsəŋ1	姓
曾	tsʰəŋ2	曾經
替	tʰi5	
最	tsuei5	
會	kʰuai5	會計
會	xuei5	會不會
會	xuei5	開會
有	iou3	
朋	pʰəŋ2	
服	fu2	
朔	suɤ5	
朗	laŋ3	
望	uaŋ5	
朝	tsau1	今朝
朝	tsʰau2	朝代
期	tɕʰi1	時期
木	mu5	
未	uei5	
末	mɤ5	
本	pən3	
朮	tsu2	白朮,蒼朮
朱	tsu1	
朴	pʰu3	
朶	tuɤ3	
朽	ɕiou3	
權	tɕʰyan2	
杆	kan3	
杈	tsʰa5	枝杈
杉	san1	
李	li3	
杏	ɕiŋ1	
杏	ɕiŋ5	
材	tsʰai2	
村	tsʰuən1	
杖	kuai3	
杖	tsaŋ5	
杜	tu5	
杞	tɕʰi2	
束	su5	
杠	kaŋ5	
杭	xaŋ2	
杯	pei1	
東	tuŋ1	
杳	iau3	杳無音信
杵	tsʰu3	
松	suŋ1	鬆緊
板	pan3	
枇	pʰi2	
枉	uaŋ1	
枕	tsən5	動詞
枕	tsən3	枕頭
林	lin2	
枚	mei2	
果	kuɤ3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiau1	
架	tɕia5	
柄	piŋ3	
柏	pai3	
某	mou3	
柑	kan1	
柔	ʐou2	
柚	iou5	
柞	tsuɤ2	橡樹
查	tsa1	山查
柩	tɕiou5	
柬	tɕian3	
柱	tsu5	
柳	liou3	
柴	tsʰai2	
栅	tsa5	柵欄
柿	sɿ5	
栓	suan1	
栗	li5	
校	ɕiau5	上校
校	ɕiau5	學校
校	ɕiau5	校對
株	tsu1	
核	xu3	
核	xɤ2	審核
核	xu2	果子核
根	kən1	
格	kɤ2	
栽	tsai1	
栿	fu2	梁
桂	kuei5	
桃	tʰau2	
桄	kuaŋ5	一桄線
桅	uei2	船桅杆
案	an5	
桌	tsuɤ1	
桐	tʰuŋ2	
桑	saŋ1	
桓	xuan2	
桗	tuɤ5	柴桗
桶	tʰuŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梔	tsɿ1	梔子花
梗	kəŋ3	埂子
條	tʰiau2	
梢	sau1	樹梢
梧	u2	梧桐
梨	li2	
梭	suɤ1	織布梭
梯	tʰi1	
械	tɕiɛ5	
梳	tɕiou1	個鬏兒
梳	su1	梳頭
棄	tɕʰi5	
棉	mian2	
棋	tɕʰi2	
棌	tsʰai3	橡樹
棍	kuən5	
棒	paŋ5	
棗	tsau3	
棚	pʰəŋ2	
棟	tuŋ5	
棠	tʰaŋ2	
棧	tsan5	
森	sən1	
棲	ɕi1	
棵	kʰɤ1	
棹	tsau5	槳
棺	kuan1	
椅	i3	
植	tsɿ2	
椏	ia1	椏杈
椒	tɕiau1	
椴	tuan5	
椶	tsuŋ1	
椽	tsʰuan2	
椿	tsʰuən1	椿樹
楊	iaŋ2	
楓	fəŋ1	
楔	ɕiɛ3	楔子
楚	tsʰu3	
楝	lian5	楝樹
楞	ləŋ5	
楣	mei2	
楦	ɕyan5	鞋楦
楫	tɕi2	
業	iɛ5	
極	tɕi2	
楷	kʰai3	
概	kai5	
榆	y2	
榕	ʐuŋ2	
榛	tsən1	
榜	paŋ3	
榧	fei3	榧子
榨	tsa5	榨油
榫	suən3	榫頭
榮	ʐuŋ2	
榮	yŋ2	
榻	tʰa3	床榻
構	kou5	
槌	tsʰuei2	
槍	tɕʰiaŋ1	
槐	xuai2	
槳	tɕiaŋ3	
槽	tsʰau2	馬槽
樁	tsuaŋ1	
樂	lɤ5	
樓	lou2	
標	piau1	
樞	su1	
樟	tsaŋ1	
模	mu2	模子
模	mɤ2	模範
樣	iaŋ5	
樵	tɕʰiau2	
樸	pʰu3	樸素
樹	su5	
樺	xua2	樺樹
橄	kan3	橄欖
橈	ʐau2	槳
橋	tɕʰiau2	
橘	tɕy2	
橙	tsʰəŋ2	
橙	tsəŋ2	柳丁
橛	tɕyɛ2	橛子
橡	ɕiaŋ5	橡樹
橢	tʰuɤ3	橢圓
橫	xəŋ2	橫直
橫	xəŋ5	蠻橫
檀	tʰan2	
檁	lin3	
檗	pɤ5	黃檗,藥名
檜	kuei5	
檳	pin1	檳榔
檾	tɕʰiŋ3	檾麻
櫃	kuei5	
櫓	lu3	
櫻	iŋ1	櫻桃
欄	lan2	
權	tɕʰyan2	
欖	lan3	橄欖
次	tsʰɿ5	
欣	ɕin1	
欲	y5	欲望
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰuan3	
歇	ɕiɛ1	
歌	kɤ1	
歎	tʰan5	
歐	ou1	
歡	xuan1	
止	tsɿ3	
正	tsəŋ5	
正	tsəŋ1	正月
此	tsʰɿ3	
步	pʰu5	
步	fu3	商埠
歪	uai1	
歲	suei5	
歷	li5	
歸	kuei1	
死	sɿ3	
殃	iaŋ1	
殆	tai5	
殉	ɕyn2	殉葬
殊	su1	
殕	pʰu2	食上生白毛
殖	tsɿ2	
殘	tsʰan2	
殯	pin5	
段	tuan5	
殷	in3	
殺	sa1	
殼	tɕʰiau5	
殿	tian5	
毁	xuei3	
毅	i5	
毆	ou1	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	
毛	mau2	
毧	ʐuŋ2	
毫	xau2	
毯	tʰan3	
氈	tsan1	
氏	sɿ5	
民	min2	
氣	tɕʰi5	
水	uaŋ1	
水	suei3	
永	yŋ3	
汀	tʰiŋ1	
汁	tsɿ1	
求	tɕʰiou2	
汆	tsʰuan1	汆丸子
汗	xan5	
汞	kuŋ3	
江	tɕiaŋ1	
池	tsʰɿ2	
污	u1	
汪	uaŋ1	
汴	pian5	
決	tɕyɛ2	
汽	tɕʰi5	
沂	i2	
沃	uɤ5	
沈	sən3	
沉	tsʰən2	
沌	tuən5	
没	mɤ5	沉沒
沛	pʰei5	
沫	mɤ5	
河	xɤ2	
油	iou2	
治	tsɿ5	
沼	tsau3	池沼,沼氣
沾	tsan1	
沿	ian2	
况	kʰuaŋ5	
泄	ɕiɛ5	洩漏
泅	tɕʰiou2	泅水
泉	tɕʰyan2	
泊	pɤ2	
泊	pɤ2	梁山泊
泌	mi5	
泔	kan1	泔水
法	fa3	方法,法子
泡	pʰau5	
泡	pʰau5	泡在水裏
波	pɤ1	
泣	tɕʰi5	
泥	ȵi2	
注	tsu5	
注	tsu5	注釋
泰	tʰai5	
洇	in1	
洋	iaŋ2	
洗	ɕi3	
洛	luɤ5	
洞	tuŋ5	
津	tɕin1	
洪	xuŋ2	
洲	tsou1	
活	xuɤ2	
洽	tɕʰia5	
派	pʰai5	
流	liou2	
浙	tsɤ2	
浜	paŋ1	一條浜
浞	tsuɤ1	水濕
浦	pʰu3	
浩	xau5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕʰin3	
消	ɕiau1	
涉	sɤ5	
涎	ɕian2	
涕	tʰi5	鼻涕
涮	suan5	涮洗
涯	ia2	天涯
液	iɛ5	
涴	uɤ5	弄髒
涼	liaŋ2	
涿	tsuɤ2	涿縣,涿鹿
淆	ɕiau2	
淋	lin2	淋漓,淋濕
淑	su1	
淘	tʰau2	淘米
淚	lei5	
淡	tan5	
淤	y2	
淨	tɕiŋ5	
淩	liŋ2	
淪	luən2	
淫	in2	
淮	xuai2	
深	sən1	
淵	yan1	
混	xuən5	混日子
混	xuən3	相混
淺	tɕʰian3	
清	tɕʰiŋ1	
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
測	tsʰɤ5	
港	kaŋ3	港口
渴	kʰɤ3	
游	iou2	
渺	miau3	
渾	xuən2	渾濁
湖	xu2	
湘	ɕiaŋ1	
湯	tʰaŋ1	
湯	tʰaŋ5	
溉	kai5	
源	yan2	
準	tsuən3	
溜	liou1	
溝	kou1	
溪	ɕi1	
溫	uən1	
溶	ʐuŋ2	
溺	ȵi5	
溻	tʰa3	汗溻濕了
滂	pʰaŋ1	滂沱
滅	miɛ5	
滋	tsɿ1	
滎	ɕiŋ2	滎陽
滑	xua2	
滓	tsɿ3	
滔	tʰau1	
滬	xu5	
滯	tsɿ5	停滯,積滯
滲	sən5	水滲透
滴	ti1	
滸	xu3	水滸
滚	kuən3	
滿	man3	
漁	y2	
漂	pʰiau1	
漂	pʰiau5	漂亮
漆	tɕʰi3	油漆
漏	lou5	
演	ian3	
漚	ou5	久浸水中
漢	xan5	
漤	lan3	漤柿子
漫	man5	
漱	su5	漱口
漲	tsaŋ3	長
漿	tɕiaŋ1	豆漿
潑	pʰɤ3	潑婦
潔	tɕiɛ2	
潘	pʰan1	
潤	ʐuən5	
潭	tʰan2	
潮	tsʰau2	
潰	kʰuei5	潰膿
潲	sau5	潲雨
潲	sau5	豬食
澀	sɤ5	
澄	tsʰəŋ2	
澄	təŋ5	水渾,澄一澄
澆	tɕiau1	
澇	lau5	旱澇
澗	tɕian5	
澠	mian3	澠池
澡	tsau3	
澤	tsɤ2	
激	tɕi1	
濁	tsuɤ2	
濃	nuŋ2	
濕	sɿ1	
濟	tɕi5	
濤	tʰau1	
濫	lan5	
濬	tɕyn5	濬河
濺	pʰəŋ1	
濺	tɕian5	濺一身水
濾	ly5	
瀉	ɕiɛ5	
瀑	pʰu5	瀑布
灌	kuan5	
灑	sa3	
灒	pʰəŋ1	
灘	tʰan1	
灣	uan1	
火	xuɤ3	
灰	xuei1	
灸	tɕiou3	針灸
災	tsai1	
炊	tsʰuei1	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tsɿ5	
炭	tʰan5	
炮	pʰau5	槍炮
炸	tsa5	炸彈
爲	uei2	作為
爲	uei5	為什麼
烈	liɛ5	
烊	iaŋ2	融化
烏	u1	
烘	xuŋ1	烘乾
烙	lau5	
烤	kʰau3	
烹	pʰəŋ1	
焉	ian1	心不在焉
焊	xan5	焊鐵壺翰
焌	ɕyn1	
焙	pei5	焙幹
焚	fən2	
無	u2	
焦	tɕiau1	
然	ʐan2	
煎	tɕian1	
煙	ian1	
煤	mei2	
煥	xuan5	
照	tsau5	
煨	uei1	
煩	fan2	
煮	tsu3	
熄	ɕi2	
熊	ɕyŋ2	
熏	ɕyn1	
熔	ʐuŋ2	
熙	ɕi1	
熟	su2	煮熟,熟悉
熥	tʰəŋ1	熥包子
熨	yn5	
熬	au2	
熬	au2	熬白菜
熱	ʐɤ5	
燃	ʐan2	
燈	təŋ1	
燎	liau2	
燎	liau3	火燎眉毛
燐	lin2	
燒	sau1	
燕	ian1	燕京,姓
燕	ian5	燕子
燙	tʰaŋ5	
營	iŋ2	
燦	tsʰan5	
燭	tsu2	
爆	pau5	
爐	lu2	
爛	lan5	
爪	tsau3	爪牙
爬	pʰa2	
爭	tsəŋ1	
爵	tɕyɛ2	
父	fu5	
爸	pa5	
爹	tiɛ1	
爺	iɛ2	
爽	suaŋ3	
爾	ɚ3	
爿	pʰan2	
牆	tɕʰiaŋ2	
片	pʰian5	
版	pan3	
牌	pʰai2	
牒	tiɛ2	
牘	tu2	
牙	ia2	
牛	ȵiou2	
牡	mu3	
牢	lau2	
牧	mu5	
牯	ku3	
牲	səŋ1	
牸	tsɿ5	母牛
特	tʰɤ5	
牽	tɕʰian1	
犀	ɕi1	
犁	li2	
犍	tɕian1	犍子
犍	tɕʰian2	犍為縣
犒	kʰau5	
犢	tu2	牛犢子
犧	ɕi1	
犬	tɕʰyan3	
犯	fan5	
狀	tsuaŋ5	
狂	kʰuaŋ2	
狄	ti2	
狐	xu2	
狗	kou3	
狡	tɕiau3	
狸	li2	
狹	ɕia2	
狼	laŋ2	
猛	məŋ3	
猜	tsʰai1	
猝	tsʰu5	倉猝
猴	xou2	
猶	iou2	
猾	xua2	狡猾
獄	y5	
獅	sɿ1	
獎	tɕiaŋ3	
獨	tu2	
獲	xuɤ5	
獵	liɛ5	
獸	sou5	
獺	tʰa3	水獺
獻	ɕian5	
玄	ɕyan2	
率	ly5	
率	suai5	率領
玉	y5	
王	uaŋ2	
玩	uan2	古玩,遊玩
玻	pɤ1	玻璃
珊	san1	
珍	tsən1	
珠	tsu1	
班	pan1	
現	ɕian5	
球	tɕʰiou2	
理	li3	
琉	liou2	琉璃
琢	tsuɤ2	
琴	tɕʰin2	
琵	pʰi2	
瑕	ɕia2	
瑞	ʐuei5	
瑟	sɤ5	
瑣	suɤ3	瑣碎
璧	pi5	
環	xuan2	
璺	uən5	裂璺
璽	ɕi3	
瓊	tɕʰyŋ2	
瓜	kua1	
瓠	xu5	瓠子,瓠瓜
瓢	pʰiau2	
瓣	pan5	
瓦	ua3	
瓦	ua5	動詞
瓶	pʰiŋ2	
瓷	tsʰɿ2	瓷器
甌	ou1	
甘	kan1	
甚	sən5	
生	səŋ1	
産	tsʰan3	
甥	səŋ1	
用	yŋ5	
甫	pʰu3	
田	tʰian2	
由	iou2	
甲	tɕia3	
申	sən1	
男	nan2	
界	tɕiɛ5	
畏	uei5	
留	liou2	
畜	tsʰu5	畜牲
畜	ɕy5	畜牧
畝	mu3	
畢	pi5	
略	lyɛ5	
畦	ɕi2	菜畦
番	fan1	幾番
畫	xua5	
異	i2	
當	taŋ5	典當
當	taŋ1	當時,應當
疃	tʰuan3	
疆	tɕiaŋ1	
疊	tiɛ2	
疏	su1	注疏
疏	su1	疏遠
疑	i2	
疔	tiŋ1	
疝	san5	疝氣
疤	pa1	
疥	tɕiɛ5	
疫	i2	
疲	pʰi2	
疵	tsʰɿ5	吹毛求疵
疹	tsən3	
疼	tʰəŋ2	
疾	tɕi2	
疿	fei5	疿子
痂	tɕia1	
病	piŋ5	
症	tsəŋ5	
痔	tsɿ5	
痕	xən2	
痛	tʰuŋ5	
痢	li5	
痣	tsɿ5	
痰	tʰan2	
痲	ma2	
痹	pi5	
瘊	xou2	瘊子
瘋	fəŋ1	
瘌	la5	
瘍	iaŋ3	潰瘍
瘟	uən1	
瘡	tsʰuaŋ1	
瘦	sou5	
瘰	luɤ3	瘰鬁
瘴	tsaŋ5	瘴氣
瘸	tɕʰyɛ2	瘸腿
療	liau2	
癌	ai2	
癡	tsʰɿ1	
癢	iaŋ3	
癩	lai5	
癮	in3	
癰	yŋ1	
癸	kuei3	
登	təŋ1	
發	fa1	發現
發	fa5	頭髮
白	pai2	
百	pai3	
皂	tsau5	
皆	tɕiɛ2	
皇	xuaŋ2	
皖	uan3	安徽
皮	pʰi2	
皴	tsʰɤ5	
皴	tsʰuən1	臉皴
皺	tsou5	
皿	min5	
盂	y2	
盅	tsuŋ1	
盆	pʰən2	
盈	iŋ2	
益	i2	
盒	xɤ2	煙盒
盔	kʰuei1	
盛	tsʰəŋ2	盛滿了
盛	səŋ5	興盛
盜	tau5	
盞	tsan3	
盟	məŋ2	
盡	tɕin5	
盤	pʰan2	
盧	lu2	
盬	ku3	盬子
目	mu5	
盲	maŋ2	
直	tsɿ2	
相	ɕiaŋ1	互相
相	ɕiaŋ5	相貌
盼	pʰan5	
盾	tuən5	矛盾
省	ɕiŋ3	反省
省	səŋ3	省長
省	səŋ3	節省
眉	mei2	
看	kʰan1	看守
看	kʰan5	看見
真	tsən1	
眠	mian2	
眨	tsa3	
眩	ɕyan2	
眵	tsʰɿ1	眼眵
眶	kʰuaŋ5	眼眶
眷	tɕyan5	
眼	tsa3	
眼	ian3	
眾	tsuŋ5	
着	tsuɤ1	
睛	tɕiŋ1	眼睛
睜	tsəŋ1	
睡	suei5	
督	tu1	
睬	tsʰai3	
瞎	ɕia1	
瞘	kʰou1	眼瞘
瞞	man2	
瞧	tɕʰiau2	
瞪	təŋ5	瞪眼
瞭	liau3	
瞳	tʰuŋ2	
瞻	tsan1	
瞿	tɕy5	
矁	tsʰou3	矁人
矛	mau2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矬	tsʰuɤ2	矮
短	tuan3	
矮	ai3	
矯	tɕiau3	矯詐
石	sɿ2	
砌	tɕʰi5	
砍	kʰan3	
砑	ia5	砑平
研	ian2	
破	pʰɤ5	
硝	ɕiau1	
硫	liou2	硫磺
硬	iŋ5	
硯	ian5	
碎	suei5	
碓	tuei5	
碗	uan3	
碟	tiɛ2	
碧	pi5	
碨	uei3	磨,研
確	tɕʰyɛ5	搉擊,搉蒜
碼	ma3	
碾	ȵian3	
磁	tsʰɿ2	磁石
磉	saŋ3	柱下石
磕	kʰɤ1	
磚	tsuan1	
磨	mɤ2	磨刀
磨	mɤ5	磨面,石磨
磬	tɕʰiŋ5	鐘磬
礎	tsʰu3	柱下石
礓	tɕiaŋ1	礓石
礙	ai5	
礦	kʰuaŋ5	
礬	fan2	
示	sɿ5	
社	sɤ5	公社
祀	sɿ5	祭祀
祁	tɕʰi2	
祖	tsu3	
祝	tsu5	
神	sən2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	車票
祭	tɕi5	
祿	lu5	
禁	tɕin3	禁不住
禁	tɕin3	禁止
禍	xuɤ5	
福	fu3	
禦	y5	防禦
禧	ɕi3	
禪	tsʰan2	禪宗
禪	san5	禪讓
禮	li3	
禹	y3	
禽	tɕʰin2	
禾	xɤ2	
秃	tʰu3	秃头
秀	ɕiou5	
私	sɿ1	
秉	piŋ3	
秋	tɕʰiou1	秋天
秋	tɕʰiou1	秋千
科	kʰɤ1	
秒	miau3	
秕	pi3	
秘	mi5	
租	tsu1	
秤	tsʰəŋ5	一桿秤
秦	tɕʰin2	
秧	iaŋ1	
秩	tsɿ5	
秫	su5	
秸	tɕiɛ1	麥秸
移	i2	
稀	ɕi1	
税	suei5	
稈	kan3	稻稈
程	tsʰəŋ2	
稍	sau1	
稗	pai5	
稙	tsɿ1	早種禾
稚	tsɿ5	幼稚
稟	piŋ3	
稠	tsʰou2	
種	tsuŋ3	種類
種	tsuŋ5	種樹
稱	tsʰən5	相稱
稱	tsʰəŋ1	稱呼
稻	tau5	
稼	tɕia5	
稿	kau3	
穀	ku3	穀子
穄	tɕi5	穄子
穆	mu5	
積	tɕi1	
積	tɕi5	
穎	iŋ3	
穗	suei5	
穢	xuei5	
穩	uən3	
穭	lu3	野生
穰	iaŋ1	禾莖
穴	ɕyɛ2	
究	tɕiou1	
空	kʰuŋ1	空虛
空	kʰuŋ5	空缺
穿	tsʰuan1	
穿	tsʰuan5	
突	tʰu1	
窄	tsai3	
窖	tɕiau5	
窗	tsʰuaŋ1	
窘	tɕyŋ3	
窟	kʰu1	窟窿
窠	kʰɤ1	
窨	in5	地窨子
窩	uɤ1	
窪	ua1	
窮	tɕʰyŋ2	
窰	iau2	
窺	kʰuei1	
竄	tsʰuan5	
竅	tɕʰiau5	
竈	tsau5	
立	li5	
立	tɕi5	
站	tsan5	站立
站	tsan5	車站
竟	tɕiŋ5	
章	tsaŋ1	
童	tʰuŋ2	
端	tuan1	
競	tɕiŋ5	
竹	tsu2	
竿	kan1	竹竿
笊	tsau5	笊籬
笑	ɕiau5	
笙	səŋ1	
笛	ti2	
笠	li5	
笡	tɕʰiɛ5	斜
符	fu2	
笨	pən5	
第	ti5	
筆	pi3	
等	təŋ3	
筋	tɕin1	
筍	suən3	
筏	fa2	
筐	kʰuaŋ1	
筒	tʰuŋ3	
答	ta2	
策	tsʰɤ5	
筧	tɕian3	以竹通水
筵	ian5	
筷	kʰuai5	
箅	pi5	
箋	tɕian1	
箍	ku1	
箏	tsəŋ1	
算	suan5	
管	kuan3	
箭	tɕian5	
箱	ɕiaŋ1	
箸	tsu5	筷子
節	tɕiɛ3	過節
範	fan5	榜樣
篅	tsʰuan2	盛穀
篆	tsuan5	
篇	pʰian1	
築	tsu5	
篙	kau3	進船竿
篡	tsʰuan5	
篤	tu3	
篩	sai1	篩子
篷	pʰəŋ2	
簍	lou3	
簡	tɕian3	
簧	xuaŋ2	鎖簧
簪	tsan1	
簫	ɕiau1	
簰	pʰai1	筏
簸	pɤ3	簸一簸
簸	pɤ5	簸箕
簿	pu5	
籃	lan2	
籌	tsʰou2	
籠	luŋ2	
籬	li2	
籮	luɤ2	
米	mi3	
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	tsan1	粘貼
粟	su5	
粥	tsou1	
粱	liaŋ2	
粹	tsʰuei5	純粹
糉	tsəŋ5	
精	tɕiŋ1	
糕	kau1	
糖	tʰaŋ2	
糗	tɕʰiou3	面煮糗了
糙	tsʰau1	粗糙,糙米
糜	mi2	
糜	mei2	粥
糞	fən5	
糟	tsau1	
糠	kʰaŋ1	
糧	liaŋ2	
糯	nuɤ5	糯米
糰	tʰuan2	飯糰
糴	ti2	
糶	tʰiau5	
系	ɕi5	
系	tɕi5	系鞋帶
糾	tɕiou1	糾纏
糾	tɕiou1	糾正
紀	tɕi5	紀律,世紀
紂	tsou5	桀紂
約	iau1	
紅	xuŋ2	
紉	ʐən5	縫紉
紋	uən2	
納	na5	
紐	ȵiou3	
純	tsʰuən2	
紙	tsɿ3	
紛	fən1	
素	su5	
紡	faŋ3	
索	suɤ3	繩索
紫	tsɿ3	
紮	tsa1	紮營
累	lei5	極困
累	lei3	積累
累	luən5	連累
細	ɕi5	
紹	sau5	
終	tsuŋ1	
組	tsu3	
絆	pan5	
結	tɕiɛ2	
絶	tɕyɛ2	
絞	tɕiau3	
絡	luɤ5	
給	kei3	給你，送给
絨	ʐuŋ2	
絨	yŋ2	
絮	ɕy5	
統	tʰuŋ3	
絲	sɿ1	
絹	tɕyan5	
綁	paŋ3	
綏	suei2	
經	tɕiŋ1	
經	tɕiŋ5	經緯,經線
綜	tsəŋ1	織布機上的綜
綠	ly5	
綢	tsʰou2	
維	uei2	
綱	kaŋ1	
網	uaŋ3	
綴	tsuei5	點綴
綻	tsan5	
綽	tsʰuɤ5	宽綽
綽	tsʰau1	綽起棍子
綿	mian2	
緊	tɕin3	
緖	ɕy5	
線	ɕian5	
緝	tɕi2	
緞	tuan5	
編	pian1	
緩	xuan3	
緬	mian3	
緯	uei5	
練	lian5	
縊	i5	
縐	tsou5	
縛	fu2	
縫	fəŋ5	一條縫
縫	fəŋ2	縫衣服
縮	suɤ3	
縱	tsuŋ5	放縱
縱	tsuŋ5	縱橫
縷	ly3	
總	tsuŋ3	
績	tɕi5	
繁	fan2	
織	tsɿ1	
繞	iau5	圍繞
繞	ʐau5	繞線
繡	ɕiou5	
繩	səŋ2	
繪	xuei5	
繭	tɕian3	
繰	tɕʰiau1	繰邊
繳	tɕiau3	上繳
繼	tɕi5	
纂	tsuan5	編纂
續	ɕy5	
纏	tsʰan2	
纓	iŋ1	
纜	lan3	
纞	lian5	纞糊
繮	tɕiaŋ1	缰繩
缸	kaŋ1	
缺	tɕʰyɛ1	
缽	pɤ2	
罐	kuan5	
罕	xan3	
罩	tsau5	
罪	tsuei5	
置	tsɿ5	
罰	fa2	
署	su3	專署
罵	ma5	
罷	pa5	
羅	luɤ2	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羞	ɕiou1	
群	tɕʰyn2	
羨	ɕian5	
義	i2	
羶	san1	
羹	kəŋ1	
羽	y3	
翁	vuŋ1	
翅	sɿ5	
翎	liŋ2	
習	ɕi2	
翠	tsʰuei5	
翡	fei3	翡翠
翳	i5	
翻	fan1	
翼	i5	
耀	iau3	耀眼
老	lau3	
考	kʰau3	
者	tsɤ3	
而	ɚ2	
耍	sua3	
耐	nai5	
耕	kəŋ1	
耗	xau5	
耙	pa5	犁耙
耩	tɕiaŋ3	耩地
耬	lou2	農具
耳	ɚ3	
耶	iɛ1	
耽	tan1	
耿	kəŋ3	
聊	liau2	
聒	kuɤ1	聒耳朵
聖	səŋ5	
聘	pʰin5	
聚	tɕy5	
聞	uən2	
聯	lian2	
聰	tsʰuŋ1	
聲	səŋ1	
聶	ȵiɛ5	姓
職	tsɿ2	
聽	tʰiŋ1	聽見,聽話
聽	tʰiŋ1	聽其自然
聾	luŋ2	
肄	i5	
肅	su5	
肆	sɿ5	
肉	iou5	
肋	lei5	
肌	tɕi1	
肏	tsʰau5	
肘	tsou2	
肚	tu5	腹肚
肚	tu3	魚肚
肝	kan1	
股	ku3	
肢	tsɿ1	
肥	fei2	
肨	pʰaŋ5	膀重
肩	tɕian1	
肪	faŋ2	脂肪
肫	tsuən1	肫肝
肯	kʰən3	
育	y5	
肴	iau2	
肺	fei5	
胃	uei5	
背	pei5	
背	pei5	背誦
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	胚胎
胛	tɕia2	肩胛
胞	pau1	
胡	xu2	
胡	xu2	鬍子
胳	kɤ3	胳膊
胸	ɕyŋ2	
能	nəŋ2	
脂	tsɿ3	
脅	ɕiɛ2	
脆	tsʰuei5	
脉	mai5	
脊	tɕi3	
脱	tʰuɤ1	
脯	pʰu3	杏脯
脯	pʰu3	胸脯
脹	tsaŋ5	
脾	pʰi2	
腆	tʰian3	腆肚子
腋	iɛ5	
腎	sən5	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan5	
腡	luɤ2	手指文
腥	ɕiŋ1	
腦	nau3	
腫	tsuŋ3	
腮	sai1	
腰	iau1	
腱	tɕian5	
脚	tɕyɛ3	
腸	tsʰaŋ2	
腹	fu3	
腿	tʰuei3	
膏	kau1	
膏	kau5	膏車,膏油
膘	piau1	肥膘
膚	fu1	
膜	mɤ2	
膝	ɕi1	
膞	tsuan1	雞膞
膠	tɕiau1	
膨	pʰəŋ2	膨脹
膩	ȵi5	
膳	san5	
膽	tan3	
膿	nuŋ2	
臀	tʰuən2	
臂	pi5	
臊	sau1	臊氣
臍	tɕʰi2	
臘	la5	
臟	tsaŋ5	內臟
臣	tsʰən2	
臥	uɤ5	
臨	lin2	
自	tsɿ5	
臭	tsʰou5	香臭
至	tsɿ5	
致	tsɿ5	
臺	tʰai2	
臻	tsən1	
臼	tɕiou5	
舀	iau3	舀水
舁	y2	抬
舂	tsʰuŋ1	舂米
舅	tɕiou5	
與	y3	及,給與
興	ɕiŋ1	興旺
舉	tɕy3	
舊	tɕiou5	
舌	sɤ2	
舍	sɤ5	宿舍
舍	sɤ3	舍弃
舐	sɿ5	以舌取物
舒	su1	
舜	suən5	
舟	tsou1	
航	xaŋ2	
般	pan1	
舵	tuɤ5	
船	tsʰuan2	
艇	tʰiŋ3	
良	liaŋ2	
艱	tɕian1	
色	sai3	
艾	ai5	
芋	y5	
