#漢字	音標	解釋
#簡稱	/	利辛
#全稱	/	利辛話
#聲母	/	
#韻母	/	
#聲調	/	213 1 1a 陰平 ꜀,55 2 1b 陽平 ꜁,24 3 2 上 ꜂,,53 5 3 去 ꜄
#版本	/	2022-03-29
#錄入人	/	鶩高赭紗匕
#參考資料	/	《皖北方言利辛話語音研究》
#說明	/	
□	tu1	贪婪
□	y1	锅～了：温度接近沸点时锅中的水蒸气向上顶锅盖
□	ma1	～掉皮
□	pia1	小孩打枪玩的声音
□	fə1	竖直放
□	kə1	跳蚤
□	nuə1	～人：掐住人的脖子
□	kʰuə1	～人：拿棍打人
□	tɕyo1	～子：吃的扁状的饺子
□	tɕʰyo1	形容一个人说话不入流
□	tʰɛ1	你真～
□	tsɛ1	～你身上
□	pʰie1	人嘚瑟或者筛选物品
□	tɕʰie1	～来：起来
□	tʂʰuɛ1	打
□	kʰuɛ1	～着你的手臂
□	pʰei1	锅～
□	lɔ1	抓
□	tʂʰəu1	手拖着
□	ʐəu1	甩起来
□	tʂã1	不～：能力不足
□	liã1	胡～
□	ɕiã1	你真～：形容人有意思
□	pẽ1	闹～了:感情破裂了
□	tʂẽ1	～状：形容人严肃
□	pʰɑ̃1	馍泡～了：形容变软变形了
□	mɑ̃1	～叫：牛叫的声音
□	pʰəŋ1	～一身水：溅一身水
□	vəŋ1	小～：人名
□	xuŋ1	～了
□	tɕʰiuŋ1	～唔人：冤枉人
□	pu2	霉～：面粉发霉的白点
□	mu2	～丢了
□	vu2	把东西～给我：塞给我
□	tʂʰu2	～走：用工具铲掉
□	ku2	鸟叫声
□	ɕy2	啰嗦
□	tʂʰua2	夺，抢的意思
□	pə2	竹席子
□	xə2	搅动
□	tɕyo2	破口骂人
□	tɕyo2	木～子:木桩子
□	tɕʰyo2	～断：折断；～手：形容办事不方便
□	tɕʰyo2	～手了：形容做事情不方便，卡住了或者囊中羞涩
□	lɛ2	拔
□	pei2	话
□	tsʰei2	～你：打你
□	ʂɔ2	拟声词
□	kəu2	鸡～:鸡冠
□	l孪銮挛峦uã2	～坟：添坟
□	tʂʰẽ2	～人：嘲笑人
□	ɕiẽ2	～人：结成配偶
□	pɑ̃2	敲打声
□	sɑ̃2	你真～：你真虎
□	kɑ̃2	～人：扎人
□	fa3	无理由发脾气
□	pʰia3	事情办坏了
□	sɛ3	～不掉
□	pʰie3	折断
□	pã3	～了：扔
□	nã3	～着吃: 舔着吃
□	kʰã3	掀～了
□	tʰuẽ3	～一身泥：弄一身泥
□	pʰɑ̃3	～地：锄地
□	tʂuɑ̃3	形容人壮实
□	pəŋ3	格拉□子：脖子
□	tʂʰəŋ3	～着玩
□	tɕiŋ3	你真～
□	tʂʰuŋ3	～事儿精
□	tɕiuŋ3	怪～唻
□	uoŋ3	把人推倒
□	vu5	～着：恰巧
□	tɕyo5	生气时离开
□	yo5	出其意料的感叹声
□	fɛ5	拟声词，痛
□	tɛ5	车～：车轮
□	tsɛ5	踩
□	tʂɛ5	踩踏的意思
□	piɔ5	大腿～二腿：两只腿交叉放
□	ɣəu5	～坏了
□	tã5	～上面：放上面
□	tɕʰiã5	大～：耕耧上的工具
□	tʂʰẽ5	～道子
□	ʐẽ5	～针线
□	kẽ5	打～了：卡住了
□	kʰẽ5	～住：抓住
□	tʰuẽ5	脱
□	ʐɑ̃5	～奶：小孩吐奶
□	nɑ̃5	吃～了
□	iɑ̃5	抬
□	kəŋ5	往哪～
□	lu	乌～水:半烧开的水
䙡	kʰuei5	结
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uã5	
丈	tʂɑ̃5	
上	ʂɑ̃5	
不	pu1	
与	y2	
丑	tʂʰəu3	
專	tʂuã1	
且	tɕʰie1	
世	ʂʅ5	
丙	piŋ3	
業	ie1	
業	tɕʰi3	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丟	tiəu1	
兩	liɑ̃3	
並	piŋ5	
喪	sɑ̃1	～事
喪	sɑ̃5	～气
个	kə5	
个	kə	哪～
丫	ia1	
中	tʂuŋ1	
丰	fəŋ1	
串	tʂʰuã5	
臨	liẽ2	
丸	uã2	
丹	tã1	
爲	uei2	
爲	uei5	
主	tʂu3	
舉	tɕy3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tʂʅ1	
乏	fa2	
樂	luə1	快～
樂	yo1	
乖	kuɛ1	
乖	kuɛ3	形容人脾气古怪
乘	tʂʰəŋ2	
乙	i2	
習	ɕi2	
鄉	ɕiɑ̃1	
書	fu1	
買	mɛ3	
亂	l孪銮挛峦uã5	
乳	ʐu3	
乾	tɕʰiã2	
了	lə	
事	ʂʅ5	
二	ɣɚ5	
于	y2	
虧	kʰuei1	
雲	yẽ3	
互	xu5	
五	u3	
井	tɕiŋ3	
亘	kẽ5	
亞	ia5	
亡	uɑ̃2	
亥	xɛ5	
產	tʂʰã3	
亨	xəŋ2	
畝	mu3	
享	ɕiɑ̃3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑ̃5	
親	tɕʰiẽ1	
亳	pə2	
人	ʐẽ2	
什	ʂẽ3	～么
仁	ʐẽ2	
僅	tɕiẽ3	
仆	pʰu3	
仇	tʂʰəu2	
仇	tɕʰiəu2	
今	tɕiẽ1	
仍	ʐəŋ3	
从	tɕʰiuŋ2	
仑	luẽ2	
倉	tsʰɑ̃1	
仔	tsɛ1	
他	tʰa3	
付	fu5	
