#漢字	音標	解釋
□	ha1	虾腰
一	iɐt7a	一定
丁	tiə̯ŋ1	甲乙丙丁;姓
七	tʃʰɐt7a	第七
丈	tʃiøŋ6	一丈;老丈人
三	ʃam1	第三
上	ʃiøŋ5	上山(动)
上	ʃiøŋ6	上面(名)
下	ha6	下降
下	ha6	下面
不	pɐt7a	不过，不是
丐	kʰɔy5	乞丐
丑	tʃʰɐu3	子丑寅卯
且	tʃʰei3	而且
丕	pʰɐi1	曹丕
世	ʃɐi5	世界
丘	iɐu1	姓;山丘
丙	piə̯ŋ3	甲乙丙丁
丞	ʃɐŋ2	丞相
丟	tiu1	丢失
並	piə̯ŋ5	并且
丫	a1	丫头
中	tʃoŋ1	当中，中秋
中	tʃoŋ5	射中，中状元
串	tʃʰyn5	串通
丸	yn1	药丸
丹	tan1	人丹
主	tʃy3	主人
乃	lai1	人名用字
久	kɐu3	长久
之	tʃi1	之前
乎	fu2	在乎
乏	fat8	乏力
乖	kuai1	小孩听话
乘	ʃɐŋ2	乘法
乙	yt7b	天干
乜	mɐt7a	乜[什么]
九	kɐu3	第九
乞	hɐt7a	乞讨
也	ia5	也是
乳	y5	乳房
乸	la3	乸[雌性]
乾	køn1	干湿
乾	kʰin2	乾坤
亂	lyn6	混乱
了	lɛu5	了结
爭	tʃɛŋ1	争吵，战争
事	ʃi6	事情
二	i6	第二
于	y1	姓
雲	uɐn2	人云亦云
互	u6	互相
五	m̩3	第五
井	tʃiə̯ŋ3	一口井;井井有条
些	ʃei1	一些
亞	a5	亚洲
亡	mœŋ2	死亡
交	kau1	交通
亥	hɔy6	辛亥革命
亦	iek8	亦可
亨	hɐŋ1	大亨
享	hiøŋ3	分享
京	kiə̯ŋ1	北京
亭	tʰiə̯ŋ2	凉亭
亮	liøŋ6	天亮
人	iɐn2	人民
仁	iɐn2	仁义
仆	pʰok7a	仆倒
仇	ʃɐu2	报仇
仇	ʃɐu2	姓
今	kɐm3	今天
介	kai5	介绍
仍	iɐŋ2	仍然
仕	ʃi6	仕途
他	tʰa1	其他
仗	tʃiøŋ5	打仗
付	fu6	应付
仙	ʃin1	神仙
代	tɔy6	代表
令	liə̯ŋ6	令人
以	i5	可以
仰	ŋœŋ3	仰视
仲	tʃoŋ6	杜仲
件	kin6	一件
任	iɐm6	姓
任	iɐm6	责任
份	fɐn6	一份
仿	foŋ3	相仿，仿照
企	kʰɐi3	企业
伊	i1	伊犁
伍	m̩3	队伍
伏	fok8	三伏
伐	fat8	讨伐
休	iɐu1	休息
伙	fɔ3	伙食
伯	pɛk7b	伯父
估	ku3	估计
伴	pøn6	伙伴
伶	leŋ2	伶俐;伶仃
伸	ʃɐn1	伸手
伺	tʃʰi5	伺机应变
似	tʃʰi5	相似
佃	ten6	佃户
但	tan6	但是
佈	pu5	布置;公布
位	uɐi6	地位
低	tai1	高低
住	tʃy6	住宿
佐	tʃɔ3	辅佐
佑	iɐu6	保佑
佔	tʃin5	占有，占地方
何	hɔ2	姓何
余	y2	姓
佛	fɐt8	佛像
作	tʃœk7b	工作
你	lɐi5	你们
佢	ky5	他;她;它
佩	pʰui5	佩服
佬	lau3	佬(肥~)
佳	kai1	佳节
倂	pʰiə̯ŋ5	合并
使	ʃi3	大使馆
使	ʃai3	使用
侄	tʃɐt8	侄子
來	lɔy2	过来
侈	tʃʰi3	奢侈
例	lai6	例子
侍	ʃi5	服侍
侖	lɐn2	昆仑
供	koŋ1	供给，供不起
供	koŋ5	上供
依	i1	依靠
侮	mu5	侮辱
侯	hɐu2	诸侯
侵	tʃʰɐm1	侵略
便	pʰin2	便宜
便	pin6	方便
係	hɐi6	是
促	tʃʰok7a	促进
俄	ŋɔ2	俄国
俊	tʃɐn5	英俊
俏	tʃʰiu5	娇俏
