#漢字	音標	解釋
㨄	tʂou1	侧托重物,~起
單	tan1	1~独
單	tʂʰan2	2~于(姓)
賣	mai5	
南	nan2	
博	pɤ2	
卜	pu3	~卦
占	tʂan1	1~卜
占	tʂan5	2~领
卡	kʰa3	
卡	kʰɤ2	住,抽屉~住了
盧	lu2	
卤	lu2	~水
卦	kua5	
臥	uo5	
衛	uei5	
卯	mau3	
印	in5	
危	uei1	
即	tɕi5	
卻	tɕʰyɛ5	
卵	lan3	
卷	tɕyan3	1~起
卷	tɕyan5	2考~
卸	ɕiɛ5	
卿	tɕʰiŋ1	
廠	tʂʰaŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
厭	ian5	
廁	tsʰɤ5	~所
厘	li2	
原	yan2	
廂	ɕiaŋ1	
厥	tɕyɛ2	
厦	ʂa5	1大~
厦	ɕia5	2~门
廚	tʂʰu2	
厮	sɿ1	
去	tɕʰy5	
縣	ɕian5	
参	tsʰan1	1~加
参	tsʰən1	2~差
参	ʂən1	3人~
又	iou5	
叉	tʂʰa1	
及	tɕi2	
友	iou3	
反	fan3	
发	fa1	1发展
发	fa5	2头~
叔	ʂu1	
取	tɕʰy3	
受	ʂou5	
變	pian5	
敍	ɕy5	
叛	pʰan5	
叟	sou3	老~
口	kʰou3	
句	tɕy5	
另	liŋ5	
叨	tau1	唠~
叩	kʰou5	~头
只	tʂʅ1	1一~
只	tʂʅ3	2~是
叫	fei5	
叫	tɕiau5	
召	tʂau5	
叭	pa1	~~响
叮	tiŋ1	
可	kʰɤ3	
台	tʰai2	天~
叱	tʂʰʅ5	
史	ʂʅ3	
號	xau2	1~叫
號	xau5	2~码
司	sɿ1	
吁	y5	呼~
吃	tʂʰʅ1	
各	kɤ5	
吆	iau1	~喝
合	xɤ2	~作
吉	tɕi2	
吊	tiau5	
同	tʰuŋ2	
后	xou5	
吏	li5	
吐	tʰu3	1~痰
吐	tʰu5	2呕~
向	ɕiaŋ5	
嚇	ɕia5	1~人
嚇	xɤ5	2恐~
呂	ly3	
君	tɕyn1	
吝	lin5	~惜
吞	tʰuən1	
吟	in2	
吠	fei5	狗
吣	tɕʰin5	猫、狗呕吐
否	fou3	
吧	pa1	
吨	tuən1	
吩	fən1	
聽	tʰiŋ1	
吭	kʰəŋ1	~声
啓	tɕʰi3	
吳	u2	
吵	tʂʰau3	
吻	uən3	
吼	xou3	
吾	u3	
呆	tai1	发~
呈	tʂʰəŋ2	
告	kau5	
嘔	ou3	~吐
員	yan2	
嗆	tɕʰiaŋ5	
呢	ni2	~绒
周	tʂou1	
味	uei5	
呵	xɤ1	
呻	ʂən1	~吟
呼	xu1	
命	miŋ5	
和	xɤ2	1~气
和	xuo5	2~泥
咎	tɕiou5	~由自取
詠	yŋ3	
咐	fu3	
咒	tʂou5	
咕	ku1	
嚨	luŋ2	喉~
咨	tsɿ1	
咬	iau3	
咳	kʰɤ2	~嗽
咽	ian5	
哀	ai1	
品	pʰin3	
哄	xuŋ3	1~骗
哄	xuŋ5	2起~
哆	tuo1	
哈	xa1	1~腰
響	ɕiaŋ3	
啞	ia3	
噦	yɛ3	呕吐之声,干~
哥	kɤ1	
哨	ʂau5	
哪	na3	
哭	kʰu1	
哮	ɕiau5	~喘
哲	tʂɤ2	
哼	xəŋ1	
哽	kəŋ3	~咽
唆	suo1	教~
脣	tʂʰuən2	
唐	tʰaŋ2	
嘮	lau5	~嗑
喚	xuan5	
售	ʂou5	
唯	uei2	
唱	tʂʰaŋ5	
唾	tʰuo5	~沫
啃	kʰən3	
啄	tʂuo2	
商	ʂaŋ1	
啊	a1	
嗇	sɤ5	吝~
囉	luo1	~唆
啼	tʰi2	
喂	uei5	
喇	la3	
喉	xou2	
喊	xan3	
喘	tʂʰuan3	
喜	ɕi3	
喝	xɤ1	~酒
喧	ɕyan1	
噴	pʰən1	1~水
噴	pʰən5	2~香,~嚏
喻	y5	
嗅	ɕiou5	用鼻~
嗉	su5	鸟~子
嗑	kʰɤ5	
嗓	saŋ3	
嗜	ʂʅ5	
嗝	kɤ2	打~
嗟	tɕiɛ1	~叹
嗣	sɿ5	
嗤	tʂʰʅ1	~笑
嗦	suo1	哆~
嗽	sou5	咳~
嘀	ti1	
嘉	tɕia1	
嘘	ɕy1	吹~
囑	tʂu3	
嘴	tsuei3	
嘹	liau2	
噍	tɕiau5	嚼,牛倒~
噎	iɛ1	~住了
噤	tɕin5	因寒冷而哆嗦,寒~
器	tɕʰi5	
嚏	tʰi5	打喷~
囂	ɕiau1	
嚷	ʐaŋ3	
嚼	tɕiau2	
囊	naŋ2	
囚	tɕʰiou2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuan2	
囤	tʰuən2	
囥	kʰaŋ5	藏
園	yan2	
困	kʰuən5	
囱	tsʰuŋ1	烟~
圍	uei2	
固	ku5	
國	kuo3	
圖	tʰu2	
圃	pʰu3	花~
圓	yan2	
圈	tɕʰyan1	1圆~
圈	tɕyan5	2猪~
聖	ʂəŋ5	
在	tsai5	
圭	kuei1	
地	ti5	
場	tʂʰaŋ3	
圾	tɕi1	
址	tʂʅ3	
均	tɕyn1	
坊	faŋ1	
坍	tʰan1	~塌
坎	kʰan3	
壞	xuai5	
坑	kʰəŋ1	
塊	kʰuai5	
堅	tɕian1	
坛	tʰan2	
壩	pa5	1拦河~
塢	u5	周围高而中央凹的地方
墳	fən2	
墜	tʂuei5	
坡	pʰɤ1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰiŋ2	
坯	pʰi1	土~
坳	au5	山~
坷	kʰɤ1	
垂	tʂʰuei2	
垃	la1	
壟	luŋ3	田~
型	ɕiŋ2	
垒	lei3	
垜	tuo5	柴~
垢	kou5	
墾	kʰən3	
墊	tian5	~钱
埂	kəŋ3	田~
埃	ai1	尘~
埋	mai2	
城	tʂʰəŋ2	
埠	pu5	商~
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
墮	tuo5	
堡	pau3	
堤	tʰi1	
堪	kʰan1	
堰	ian5	
堵	tu3	
塌	tʰa1	
塑	suo5	~像
塔	tʰa3	
塘	tʰaŋ2	
塞	sɤ5	闭~
填	tʰian1	
塾	ʂu2	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsəŋ1	
墟	ɕy1	~市
墨	mɤ5	
墩	tuən1	
壁	pi5	
壅	yŋ1	培土或肥于植物根
壕	xau2	
壤	ʐaŋ3	土~
士	ʂʅ5	
壬	in2	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰɤ2	
處	tʂʰu5	1相~;2~所
備	pei5	
复	fu5	
夏	ɕia5	1姓;2春~
夕	ɕi1	
外	uai5	
多	tuo1	
大	ta5	1~小
大	tai5	2~夫
天	tʰian1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	打~
失	ʂʅ1	
頭	tʰou2	
夷	i2	
夸	kʰua1	
夾	tɕia1	1~层
夾	tɕia3	2~衣
奪	tuo2	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奮	fən5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi5	~约
奔	pən1	1~跑
奔	pən5	2投~
奕	i5	神采~~
獎	tɕiaŋ3	
套	tʰau5	
奚	ɕi1	
奠	tian5	
奢	ʂɤ1	赊欠,~账
奤	tʰai3	说话带外地口音,~子
奧	au5	
女	ny3	
奴	nu2	
奶	nai3	
奸	tɕian1	
好	xau3	1~坏
好	xau5	2喜~
如	ʐu2	
妃	fei1	
妄	uaŋ5	
妝	tʂuaŋ1	
婦	fu5	
媽	ma1	
妒	tu5	忌~
妓	tɕi5	
妖	iau1	
妗	tɕin5	
妙	miau5	
妥	tʰuo3	
妨	faŋ2	~害
妯	tʂou2	~娌
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ5	
姆	mu3	保~
姆	m̩3	第一人称复数。~们:我们;~们家:我们家
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	uei3	
姘	pʰin1	~头
姚	iau2	
姜	tɕiaŋ1	
姥	lau3	
姨	i2	
姻	in1	
姿	tsɿ1	
娃	ua2	
嬌	tɕiau1	
娌	li3	
娘	niaŋ2	
娟	tɕyan1	
娠	ʂən1	怀孕,妊~
娥	ɤ2	嫦~
娩	mian3	分~
娛	y5	
娶	tɕʰy3	
婆	pʰɤ2	
婉	uan3	
婊	piau3	
婚	xuən1	
婢	pi5	
嬰	iŋ1	
嬸	ʂən3	
婿	ɕy5	女~
媒	mei2	
媚	mei5	
媳	ɕi3	
嫁	tɕia5	
嫂	sau3	
嫌	ɕian2	
嫖	pʰiau2	
嫡	ti2	~亲
嫩	nən5	
嬉	ɕi1	
嬉	ɕi3	
嬎	fan5	鸟类下蛋
孀	ʂuaŋ1	
子	tsɿ3	
孔	kʰuŋ3	
孕	yn5	
字	tsɿ5	
存	tsʰuən2	
孫	suən1	
孝	ɕiau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕiau2	对他~一遍
孩	xai2	
孬	nau1	怯懦,~种
孵	fu2	~小鸡
孽	niɛ5	
寧	niŋ2	1安~
寧	niŋ5	2~可
它	tʰa1	
宅	tʂai2	
宇	y3	
守	ʂou3	
安	an1	
宋	suŋ5	
完	uan2	
宏	xuŋ2	
宕	taŋ5	延~
宗	tsuŋ1	
官	kuan1	
宙	tʂou5	
定	tiŋ5	
宛	uan3	
宜	i5	
實	ʂʅ2	
寵	tʂʰuŋ3	
審	ʂən3	
客	kʰɤ5	
宣	ɕyan1	
室	ʂʅ5	
宦	xuan5	
宪	ɕian5	
宮	kuŋ1	
宰	tsai3	
害	xai5	
宴	ian5	
宵	ɕiau1	
容	ʐuŋ2	
寬	kʰuan1	
賓	pin1	
宿	ɕiou5	1星~
宿	su5	2~舍
宿	ɕiou3	3住一~
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei5	睡着,梦~以求
寒	xan2	
寓	y5	
寢	tɕʰin3	
寞	mɤ5	
察	tʂʰa2	
寡	kua3	
寥	liau5	
寨	tʂai5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	ɕyn2	
導	tau3	
封	fəŋ1	
射	ʂɤ5	
將	tɕiaŋ3	1~来
將	tɕiaŋ5	2大~
尊	tsuən1	
小	ɕiau3	
少	ʂau3	1多~
少	ʂau5	2~年
尔	ɚ3	
尖	tɕian1	
塵	tʂʰən2	
尚	ʂaŋ5	
嘗	tʂʰaŋ2	
尤	iou2	
尥	liau5	马~蹶子
堯	iau2	
尬	ka5	尴~
就	tɕiou5	
尷	kan1	~尬
屍	ʂʅ1	
尹	in3	
尼	ni2	
尽	tɕin3	1~管
尽	tɕin5	2取之不~
尾	uei3	
尿	niau5	
屁	pʰi5	
居	tɕy1	
屉	tʰi5	抽~
屆	tɕiɛ5	
屋	u1	
屌	tiau3	
屎	ʂʅ3	
屏	pʰiŋ2	围~
屐	tɕi1	木~
屑	ɕiɛ5	不~;木~
展	tʂan3	
屙	ɤ1	排泄,~屎
屬	ʂu3	
屠	tʰu2	
屢	ly3	
履	ly3	~着:沿着。~着河走
屯	tʰuən2	
山	ʂan1	
屹	kɤ5	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰən2	~寂
岔	tʂʰa5	三~路
崗	kaŋ3	
嵐	lan2	
島	tau3	
巖	ian2	
嶺	liŋ3	
岳	iau5	
岸	an5	
峽	ɕia2	
峰	fəŋ1	
崇	tsʰuŋ2	
崔	tsʰuei1	姓
崖	ia2	山~
崙	luən2	昆~
崩	pəŋ1	
崽	tsai3	小~子
嵌	tɕʰian5	
嵩	suŋ1	山大而高
嶂	tʂaŋ1	
川	tʂʰuan1	
州	tʂou1	
巡	ɕyn2	
巢	tʂʰau2	
工	kuŋ1	
巧	tɕʰiau3	
巨	tɕy5	
鞏	kuŋ3	~固
巫	u1	
差	tʂʰai1	1出~
差	tsʰɿ1	2参~
差	tʂʰa1	3~别
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	ɕiaŋ5	
巾	tɕin1	
幣	pi5	
市	ʂʅ5	
帥	ʂuai5	
帆	fan1	
師	ʂʅ1	
希	ɕi1	
帳	tʂaŋ5	蚊~
帕	pʰa5	
帖	tʰiɛ1	请~,画~
帘	lian2	
帚	tʂou3	
帛	pɤ2	
幟	tʂʅ5	
帝	ti5	
帶	tai5	
幫	paŋ1	
幅	fu2	
幌	xuaŋ3	
幔	man5	
幕	mu5	
干	kan1	1~湿
干	kan5	2~活
平	pʰiŋ2	
年	nian2	
并	piŋ5	合~
幺	iau1	~二三
幻	xuan5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tʂuaŋ1	
慶	tɕʰiŋ5	
庇	pʰi5	
牀	tʂʰuaŋ2	
序	ɕy5	
廬	lu2	~山
庫	kʰu5	
應	iŋ1	1~当
應	iŋ5	2~对
底	ti3	
庚	kəŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu5	
座	tsuo5	
庭	tʰiŋ2	
庵	an1	
庶	ʂu5	
康	kʰaŋ1	
庸	yŋ1	
庹	tʰau3	两臂平伸手伸直的长度。~长
廉	lian2	
廊	laŋ2	
廓	kʰuo5	
廖	liau5	姓
延	ian2	
廷	tʰiŋ2	
建	tɕian5	
廿	nian5	二十
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ5	
弓	kuŋ1	
引	in3	
弟	ti5	
弥	mi2	
弦	ɕian2	
弧	xu2	
彎	uan1	
弱	ʐuo5	
弱	iau5	
彈	tʰan2	1~琴
彈	tan5	2子~
强	tɕʰiaŋ2	1坚~
强	tɕiaŋ5	2倔~
弼	pi5	辅助,辅~
彀	kou5	够往上~
歸	kuei1	
當	taŋ1	1~代
當	taŋ5	2~铺
录	lu5	
彗	xuei5	
形	ɕiŋ2	
彪	piau1	
彬	pin1	
彭	pʰəŋ2	
影	iŋ3	
役	i5	
徹	tɕʰi1	
徹	tʂʰɤ5	
彼	pi3	
往	uaŋ3	
征	tʂəŋ1	~求
徑	tɕiŋ5	
待	tai5	
很	xən3	
律	ly5	
徐	ɕy2	
徒	tʰu2	
得	tɤ2	
徙	ɕi3	
徛	tɕi5	站立
御	y5	
循	ɕyn2	
微	uei1	
徽	xuei1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忏	tʂʰan5	
忒	tʰuei5	~好
忖	tsʰuən3	
志	tʂʅ5	
忘	uaŋ5	
忠	tʂuŋ1	
憂	iou1	
快	kʰuai5	
念	nian5	
忽	xu1	
忽	tsʰuŋ1	
忿	fən5	不~
懷	xuai2	
態	tʰai5	
慫	suŋ3	~恿
慪	ou5	~气
怒	nu5	
怖	pu5	恐~
憐	lian2	
思	sɿ1	
怠	tai5	
性	ɕiŋ5	
怨	yan5	
怩	ni2	忸~
怪	kuai5	
怯	tɕʰiɛ5	畏~
總	tsuŋ3	
恁	niŋ3	~家:你家
恃	tʂʰʅ5	有~无恐
戀	lian5	
恍	xuaŋ3	
恍	kuaŋ5	一~线
恐	kʰuŋ3	
恆	xəŋ2	
恕	ʂu5	
恙	iaŋ5	病,安然无~
恢	xuei1	
恤	ɕy5	
恨	xən5	
恩	ən1	
恭	kuŋ1	
息	ɕi1	
恰	tɕʰia5	
懇	kʰən3	
恶	u5	1可~
恶	ɤ5	2善~
恶	ɤ3	3~心
惱	nau3	
恿	yŋ3	怂~
悄	tɕʰiau1	静~~
悉	ɕi1	
悔	xuei3	
悟	u5	
悠	iou1	~久
患	xuan5	
悦	yɛ5	
憫	min3	
悲	pei1	
悼	tau5	
情	tɕʰiŋ2	
驚	tɕiŋ1	
惑	xuo5	
惜	ɕi1	
惟	uei2	
惠	xuei5	
惦	tian5	
懼	tɕy5	
慘	tsʰan3	
懲	tʂʰəŋ3	
慚	tsʰan2	
慣	kuan5	
惰	tuo5	
惹	iɛ3	
愀	tɕʰiau5	傻
愈	y5	病~
愉	y5	
意	i5	
愚	y1	
感	kan3	
憤	fən5	
愧	kʰuei5	
願	yan5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	tʂʰən5	
慕	mu5	
慢	man5	
慧	xuei5	
慨	kʰai3	慷~
慰	uei5	
慷	kʰaŋ1	~慨
憋	piɛ1	
憎	tsəŋ1	
憨	xan1	
懂	tuŋ3	
懈	ɕiɛ5	
懊	au5	~恼
懶	lan3	
懦	nuo5	
懵	məŋ3	~懂
戇	kaŋ5	傻、愣,~头~脑
戈	kɤ1	
戊	u5	天干第五位,~戌变法
戌	ɕy1	
戍	ʂu5	
戎	ʐuŋ2	
戲	ɕi5	
成	tʂʰəŋ2	
我	uo3	
戒	tɕiɛ5	
或	xuo5	
戰	tʂan5	~栗
戚	tɕʰi1	
戟	tɕi3	古代兵器
戥	təŋ3	用~子称东西
截	tɕiɛ2	
戳	tʂʰuo1	
戴	tai5	
戶	xu5	
戽	xu5	汲水灌溉的农具,~水
所	suo3	
扁	pian3	
扇	ʂan1	1~火
扇	ʂan5	2名词,~子
才	tsʰai2	
扎	tʂa1	1用针~
扎	tsa1	2~染
扑	pʰu1	1~倒
扒	pa1	
打	ta3	
托	tʰuo1	
扛	kʰaŋ2	
扣	kʰou5	~住
執	tʂʅ2	
擴	kʰuo5	~充
掃	sau3	1~地
掃	sau5	2~帚
揚	iaŋ2	
扭	niou3	
扭	niou3	~怩
扮	pan5	
扯	tʂʰɤ3	
擾	iau3	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ɤ5	
扽	tən5	拉紧
找	tʂau3	
承	tʂʰəŋ2	
技	tɕi5	
把	pa3	1~守
把	pa5	2壶~
抑	i5	
抓	tʂua1	
投	tʰou2	
抖	tou3	
抗	kʰaŋ5	
折	tʂɤ1	1~腾
折	tʂɤ2	2~断
折	ʂɤ2	3弄~了
撫	fu3	
抛	pʰau1	
摳	kʰou1	
搶	tɕʰiaŋ3	
護	xu5	
報	pau5	
披	pʰei1	
抬	tʰai2	
抱	pau5	
抵	ti3	
抹	ma1	1~布
抹	mɤ3	2~零
抻	tʂʰən1	拉、扯,~面,~脖子看
押	ia1	
抽	tʂʰou1	
抿	min3	
拃	tʂa3	大拇指和中指或小指张开的距离
拄	tʂu3	~拐杖
擔	tan1	1~任
擔	tan5	2挑~
拆	tʂʰai1	
拇	mu3	
拈	nian1	~起来
拉	la2	~二胡
拌	pan5	
拍	pʰai1	
拎	lin1	
拐	kuai3	
拒	tɕy5	
拓	tʰa5	~本
拔	pa2	
拖	tʰuo1	
拗	niou5	1固执,不随和,脾气~
拗	au3	2使弯曲,把竹竿~断了
拘	tɕy1	
拙	tʂuo2	
招	tʂau1	
拜	pai5	
擬	ni3	
揀	tɕian3	
擁	yŋ1	
攔	lan2	
擰	niŋ3	
撥	pɤ2	
擇	tʂai2	1~菜
擇	tsɤ2	2选~
括	kʰuo5	包~
拭	ʂʅ5	擦,~泪
拯	tʂəŋ3	~救
拱	kuŋ3	~手
拳	tɕʰyan2	
拴	ʂuan1	~马
拷	kʰau3	
拼	pʰin1	~命
拽	tʂuai5	生拉硬~
拾	ʂʅ2	~起来
