#漢字	音標	解釋
#簡稱	/	衡山馬跡
#全稱	/	衡山馬跡話
#聲母	/	
#韻母	/	
#聲調	/	55 1 1a 陰平 ꜀,11 2 1b 陽平 ꜁,33 3 2 上 ꜂,,324 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅
#版本	/	2022-01-31
#錄入人	/	跳跳老鼠
#參考資料	/	《湖南省衡山縣馬跡話的語音系統》
#說明	/	
㐄	dʑia6	跨：～過門檻
㞎	pa3	小孩稱大便
㧯	lau1	抓起：～起鋤頭就走
㩳	tsʰəŋ3	推：～他出門
㲃	tɕiou5	擰、扭
㸊	lai5	很燙
㿸	man6	身上的污垢
䀦	ku3	瞪大眼睛表示不滿
䋎	tsan5	縫補：～釦子
䞀	xəu1	貪心大：他就是～心大
䴉	βan2	
䶕	ba6	牙齒外露
一	i5	
丁	tiəŋ1	
七	tɕʰi2	
丈	dʑioŋ6	
三	san1	
上	ɣoŋ2	樹上：樹～；樓上：樓～
上	ʑioŋ6	
下	ɣa6	(白)全部：箇些肉我～要
下	ʑia6	(文)
不	pu5	
丑	tɕʰiou3	
且	tɕʰie3	
世	ɕi5	
丘	tɕʰiou1	
丙	piəŋ3	
丞	dʑiəŋ2	
丟	tiou1	
並	biəŋ6	～排
丫	ia1	
中	tsəŋ1	(1)～間
中	tsəŋ5	(2)～毒
串	tɕʰyẽ5	
丸	yẽ2	(白)
丸	βan2	(文)(又)
丸	uan2	(文)(又)
丹	tan1	
主	tɕy3	
乃	nai3	
久	tɕiou3	
之	tsɿ1	
乍	dza6	
乏	ɸa2	
乒	pʰiəŋ3	
乓	pʰan3	(又)
乓	pʰoŋ3	(又)
乖	kuai1	
乘	ʑiəŋ2	
乙	ie5	
九	tɕiou3	
也	ia3	(白)
也	ie3	(文)
乳	y3	
乾	kuẽ1	(白)與濕相對，～柴：沒有血緣關係而認的親：～娘
乾	kan1	(文)～柴；～孃：～淨；～杯
乾	dʑĩ2	
亂	lẽ6	
了	liəu3	
予	y3	
事	zɿ6	
二	ɯ6	
云	yəŋ2	
互	βu6	(文)
互	u6	(白)
五	u3	
井	tɕian3	(白)
井	tɕiəŋ3	(文)
些	ɕi1	(白)
些	ɕie1	(文)
亞	ia5	
亡	oŋ2	
亢	kʰoŋ1	
交	tɕiəu1	
亦	i5	
亨	xẽ1	
享	ɕioŋ3	
京	tɕiəŋ1	
亭	diəŋ2	
亮	lioŋ6	
亳	po2	
人	ȵiəŋ2	(白)
人	iəŋ2	(文)
什	ɕi5	
仁	iəŋ2	
仇	dʑiou2	
今	tɕiəŋ1	
仔	tsɿ3	
仕	zɿ6	
他	tʰa1	
仗	tɕioŋ5	(2)打～
仗	dʑioŋ6	(1)～勢
付	ɸu5	
仙	ɕĩ1	
仟	tɕʰĩ1	
代	dai6	
以	i3	
仰	ȵioŋ3	
仲	dzəŋ6	
件	dʑĩ6	
任	iəŋ6	
份	βəŋ6	
仿	xoŋ3	
伉	kʰoŋ1	
伊	i1	
伍	u3	
伏	bu2	(1)正面朝地：～嗒地下
伏	ɸu2	(文)(1)埋～；(2)三～天
伐	ɸa2	
休	ɕiou1	
伕	ɸu1	
伙	xo3	
伢	ŋa2	
伯	pa2	
伯	pe2	(文)
估	ku1	
伴	bẽ6	
伸	ɕiəŋ1	
伺	tsʰɿ5	
似	zɿ6	
佃	tĩ5	(又)
佃	dĩ6	(又)
但	dan6	
位	uei6	
低	ti1	
住	dʑy6	
佐	tso3	
佑	iou5	(又)
