#漢字	音標	解釋
□	tʃʰua/tɕʰya5	恶
㞎	pɒ3	屎~~
㰩	xa1	篾制的扑蜻蜒用的器具
䀇	kʉ3	~子
碽	koŋ3	
䏵	mᴀᵑ1	
一	ʑi2	
丁	tɪ̃ɲ1	
七	tɕʰi2	
万	vᴀᵑ5	
丈	tsᴀᵑ5	
三	sᴀᵑ1	
上	sᴀᵑ5	
下	ɕiɒ5	
下	ɕi1	地~
下	xɒ5	打一~;那~
不	pʉ2	
与	ʑi3	
丐	ka5	
丑	tsʰɜɤ3	
專	tʃuɘ̃ɲ/tɕyɘ̃ɲ1	
且	tɕʰi3	
丘	tɕʰiɜɤ1	
丙	pɪ̃ɲ3	
業	ni2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿᶟ1	
丟	tiɜɤ1	
兩	liᴀᵑ3	
嚴	ʑiᴇ̃2	
喪	sᴀᵑ1	
喪	sᴀᵑ5	~失
个	ko5	
丫	ʑiɒ1	
中	tsoŋ1	
中	tsoŋ5	
中	tsʉ1	人~
丰	foŋ1	
串	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ5	
臨	lɪ̃ɲ2	
丸	uɘ̃ɲ2	
丹	tᴀᵑ1	
爲	uɘi5	~什么
爲	uɘi2	作~
主	tsʉ3	
丽	li5	
舉	tɕi3	
乃	na3	
久	tɕiɜɤ3	
義	ʑi5	
之	tsɿᶟ1	
烏	vʉ1	
乍	tsɒ5	
乎	xʉ1	
樂	lo2	快~
樂	ʑio2	音~
乒	pʰɪ̃ɲ1	
乓	pʰᴀᵑ1	
喬	tɕʰiɑ2	
乖	kua1	
乘	tsʰɘ̃ɲ2	~法
乘	tsʰɘ̃ɲ5	~车
乙	ʑi2	
九	tɕiɜɤ3	
乞	kʰɘi2	白
也	ʑi3	
習	ɕi2	
鄕	ɕiᴀᵑ1	
書	sʉ1	
買	ma3	
亂	luɘ̃ɲ5	
乳	zʉ3	
乾	tɕʰiᴇ̃2	~坤
了	liɑ3	~结
予	ʑi5	
爭	tsɘ̃ɲ1	
事	sɿᶟ5	
二	ɣɚ5	
于	ʑi2	
虧	kʰuɘi1	
雲	zɪ̃ɲ2	
互	xʉ5	
五	vʉ3	
亞	ʑiɒ5	
些	ɕi1	
亡	vᴀᵑ2	
交	tɕiɑ1	
亥	xa5	
產	tsʰᴀᵑ3	
亨	xɘ̃ɲ1	
畝	mɜɤ3	
享	ɕiᴀᵑ3	
京	tsɪ̃ɲ1	
亭	tʰɪ̃ɲ2	
亮	liᴀᵑ5	
親	tsʰɪ̃ɲ1	~人
親	tsʰɪ̃ɲ5	~家
人	zɘ̃ɲ2	
什	sɿᶟ2	
仁	zɘ̃ɲ2	
僅	tsɪ̃ɲ3	
仆	pʰʉ2	
仇	tsʰɜɤ2	
仇	tɕʰiɜɤ2	姓
介	ka5	
仍	zɘ̃ɲ3	
从	tsʰoŋ2	
倉	tsʰᴀᵑ1	
仕	sɿᶟ5	
他	tʰɒ1	文
他	tɘi1	白
仗	tsᴀᵑ5	打~
仗	tsᴀᵑ3	炮~
付	fʉ5	
仙	ɕiᴇ̃1	
代	ta5	
令	lɪ̃ɲ5	
以	ʑi3	
儀	ʑi5	
們	mɘ̃ɲ2	
仰	niᴀᵑ3	
仲	tsoŋ5	
件	tɕiᴇ̃5	
價	tɕiɒ5	
任	zɘ̃ɲ5	主~
任	zɘ̃ɲ2	姓
份	fɘ̃ɲ5	
仿	fᴀᵑ3	
企	tɕi1	~业
伊	ʑi1	
伍	vʉ3	
伏	fʉ2	
伐	fɒ2	
休	ɕiɜɤ1	
衆	tsoŋ5	
優	ʑiɜɤ1	
伙	xo3	
會	kʰua5	~计
會	xuɘi5	~议
傘	sᴀᵑ3	
偉	uɘi3	
傳	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ2	宣~
傳	tʃuɘ̃ɲ/tɕyɘ̃ɲ5	记~
傷	sᴀᵑ1	
倫	loŋ2	
僞	uɘi5	
伯	pɘi2	
估	kʉ3	
伴	pᴀᵑ5	
伸	sɘ̃ɲ1	
伺	sɿᶟ5	
似	sɿᶟ5	
伽	kɒ1	
佃	tiᴇ̃5	
但	tᴀᵑ5	
位	uɘi5	
低	ti1	
住	tsʉ5	
住	tɪ̃ɲ5	
佐	tso3	
體	tʰi3	
何	xo2	
佘	sɘi2	
余	ʑi2	
佛	fʉ2	
你	ni3	
佣	ʑioŋ5	
佩	pʰɘi5	
佳	tɕiɒ1	
倂	pɪ̃ɲ5	
使	sɿᶟ3	
侃	kʰuɘ̃ɲ3	白
侄	tsɿᶟ2	
例	li5	
侍	sɿᶟ5	
供	koŋ1	
供	koŋ5	
依	ʑi1	
偵	tsɘ̃ɲ1	
侮	vʉ3	
侵	tsɪ̃ɲ1	
便	pʰiᴇ̃2	~宜
便	piᴇ̃5	方~
俄	ɣo2	
俊	tsɪ̃ɲ5	
俏	tɕʰiɑ5	
俑	ʑioŋ3	
俗	sʉ2	
保	pɑ3	
兪	ʑi2	
信	sɪ̃ɲ5	
儉	tɕiᴇ̃3	
修	ɕiɜɤ1	
俯	fʉ3	
倶	tɕi1	
俸	foŋ5	
倌	kuɘ̃ɲ1	
倍	pɘi5	
倒	tɑ5	~水
倒	tɑ3	颠~
候	xɜɤ2	
候	xɜɤ5	
借	tɕi5	
倡	tsʰᴀᵑ1	
倦	tɕiᴇ̃5	
倪	ni2	
倭	ɣo1	
倯	soŋ2	
債	tsa5	
傾	tsʰɪ̃ɲ3	
假	tɕiɒ3	
偏	pʰiᴇ̃1	
做	fᴀᵑ3	
做	tso5	
停	tʰɪ̃ɲ2	
偶	ɣɜɤ3	
偸	tʰɜɤ1	
償	sᴀᵑ3	
傀	kʰuɘi3	
傅	fʉ5	
傍	pʰᴀᵑ2	~边;~晚
傢	tɕiɒ1	
催	tʃʰuɘi/tɕʰyɘi1	
傲	ɣɑ5	
像	tɕʰiᴀᵑ5	
僧	sɘ̃ɲ1	
僵	tɕiᴀᵑ1	
僻	pʰi2	
儒	zʉ3	
儒	zʉ5	~家
儡	luɘi3	
兒	ɣɚ2	
允	zɪ̃ɲ3	
元	ʑiᴇ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsɑ5	
先	tɕʰiᴇ̃1	~走
先	ɕiᴇ̃1	~生
光	kuᴀᵑ1	
克	kʰɘi2	
免	miᴇ̃3	
兔	tʰʉ5	
黨	tᴀᵑ3	
兜	tɜɤ1	
入	zʉ2	
入	zɿᶟ2	白
全	tɕʰiᴇ̃2	
八	pɒ2	
公	koŋ1	
蘭	lᴀᵑ2	
共	koŋ5	
關	kuɘ̃ɲ1	
興	sɪ̃ɲ1	~旺
興	sɪ̃ɲ5	高~
兵	pɪ̃ɲ1	
其	tɕʰi2	
具	tɕi5	
典	tiᴇ̃3	
兹	tsɿᶟ1	
養	ʑiᴀᵑ3	
兼	tɕiᴇ̃1	
獸	sɜɤ5	
冀	ʑi5	
內	nuɘi5	
岡	kᴀᵑ1	
冊	tsʰɘi2	
再	tsa5	
冒	mɑ5	
冗	zoŋ2	
寫	ɕi3	
軍	tsɪ̃ɲ1	
農	noŋ2	
冠	kuɘ̃ɲ5	~军
冠	kuɘ̃ɲ1	衣~
冤	ʑiᴇ̃1	
冥	mɪ̃ɲ2	
冬	toŋ1	
馮	foŋ2	
冰	pɪ̃ɲ1	
冰	liɜɤ5	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
決	tɕi2	
況	kʰuᴀᵑ5	
冷	lɘ̃ɲ3	
凍	toŋ5	
淨	tsɪ̃ɲ5	
準	tsoŋ3	
涼	liᴀᵑ2	
凌	lɪ̃ɲ2	
減	tɕiᴇ̃3	
凜	lɪ̃ɲ3	
凝	nɪ̃ɲ2	
几	tɕi1	
几	tɕi3	~个人
凡	fᴀᵑ2	
鳳	foŋ5	
凭	pʰɪ̃ɲ2	
凱	kʰa3	
凳	tɘ̃ɲ5	
凶	ɕioŋ1	
出	tsʰʉ2	
函	xᴀᵑ2	
鑿	tso2	
刀	tɑ1	
刁	tiɑ1	
刃	zɘ̃ɲ3	
分	fɘ̃ɲ1	
分	fɘ̃ɲ5	水~
切	tɕʰi2	
刊	kʰᴀᵑ1	
刎	vɘ̃ɲ3	
刑	sɪ̃ɲ2	
划	xuɒ2	~船
划	xuɒ5	计~
列	li2	
劉	liɜɤ2	
則	tsɘi2	
剛	kᴀᵑ1	
創	tʃʰuᴀᵑ/tɕʰyᴀᵑ5	
初	tsʰʉ1	~中
初	tsʰo1	~ー
刪	sᴀᵑ1	
判	pʰᴀᵑ5	
刨	pʰɑ2	
利	li5	
別	pi2	
刮	kuɒ2	
到	tɑ5	
刷	ʃuɒ/ɕyɒ2	
券	tɕiᴇ̃5	
刺	tsʰɿᶟ5	
刻	kʰɘi2	
劊	kʰua5	~子手
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio2	
前	tɕʰiᴇ̃2	
剮	kuɒ3	
劍	tɕiᴇ̃5	
剔	tʰi1	
剖	pʰo3	
剟	to2	
剝	po2	
剩	sɘ̃ɲ5	
剪	tɕiᴇ̃3	
副	fʉ5	
割	ko2	
剿	tɕiɑ3	
勸	tɕʰiᴇ̃5	
辦	pᴀᵑ5	
加	tɕiɒ1	
務	vʉ5	
劣	li2	
動	toŋ5	
助	tsʉ5	
努	nʉ3	
劫	tɕi2	
勵	li5	
勁	tsɪ̃ɲ5	
勞	lɑ2	
勃	pʰʉ2	
勇	ʑioŋ3	
勉	miᴇ̃3	
勳	sɪ̃ɲ1	
勒	lɘi2	
勘	kʰᴀᵑ1	
募	mo5	
勤	tsʰɪ̃ɲ2	
勺	so2	
勾	kɜɤ1	
勻	zɪ̃ɲ2	
包	pɑ1	
匈	ɕioŋ1	
化	xuɒ5	
北	pɘi2	
匙	sɿᶟ1	钥~
匠	tɕiᴀᵑ5	
匡	kʰuᴀᵑ1	
匪	fɘi3	
匹	pʰi1	
區	tɕʰi1	
醫	ʑi1	
匾	piᴇ̃3	
十	sɿᶟ2	
千	tɕʰiᴇ̃1	
升	sɘ̃ɲ1	
午	vʉ3	
半	pᴀᵑ5	
華	xuɒ2	
協	ɕi2	
卒	tsʉ2	
卓	tso2	
單	tᴀᵑ1	~薄
單	sᴀᵑ5	姓
賣	ma5	
南	nᴀᵑ2	
博	po2	
卜	pʰʉ2	
占	tsᴀᵑ5	
占	tsᴀᵑ1	~卜
卡	kʰɒ3	
盧	lʉ2	
卤	lʉ3	
卦	kuɒ5	
臥	ɣo5	
衛	uɘi5	
卯	mɑ3	
印	zɪ̃ɲ5	
危	uɘi2	
即	tɕi2	
卻	tɕʰio2	
卵	luɘ̃ɲ3	
卷	tɕiᴇ̃5	
卸	ɕi5	
卿	tsʰɪ̃ɲ1	
廠	tsʰᴀᵑ3	
廳	tʰɪ̃ɲ1	
厲	li5	
壓	ʑiɒ2	
厭	ʑiᴇ̃5	
厘	li2	
厚	xɜɤ5	
原	ʑiᴇ̃2	
廂	ɕiᴀᵑ1	
厦	sɒ3	偏~
去	tɕʰi5	文
去	kʰɘi5	白
縣	ɕiᴇ̃5	
参	tsʰᴀᵑ1	~加
参	sɘ̃ɲ1	人~
又	ʑiɜɤ5	
叉	tsʰɒ1	
及	tɕi2	
友	ʑiɜɤ3	
雙	ʃuᴀᵑ/ɕyᴀᵑ1	
反	fᴀᵑ3	
发	fɒ2	
叔	sʉ2	
取	tɕʰi3	
受	sɜɤ5	
變	piᴇ̃5	
敍	ɕi5	
叛	pʰᴀᵑ5	
疊	ti2	
口	kʰɜɤ3	
口	pʰa3	两臂左右平伸，两手之间的距离
古	kʉ3	
句	tɕi5	
另	lɪ̃ɲ5	
叨	tɑ1	
叩	kʰɜɤ5	
只	tsɿᶟ3	
叫	tɕiɑ5	
召	tsɑ5	
叮	tɪ̃ɲ1	
可	kʰo3	
台	tʰa2	
史	sɿᶟ3	
右	ʑiɜɤ5	
葉	ʑi2	
號	xɑ5	
司	sɿᶟ1	
嘆	tʰᴀᵑ5	
叼	tiɑ1	
吁	ɕi1	喘~~
吃	tsʰɿᶟ2	
各	ko2	
吆	ʑiɑ1	
合	xo2	
合	ko2	十~一升
吉	tɕi2	
吊	tiɑ5	
同	tʰoŋ2	
名	mɪ̃ɲ2	
后	xɜɤ5	
吏	li5	
吐	tʰʉ3	一痰
吐	tʰʉ5	呕~
向	ɕiᴀᵑ5	
呂	luɘi3	
君	tsɪ̃ɲ1	
吝	lɪ̃ɲ5	
吞	tʰoŋ1	
吟	nɪ̃ɲ2	
吠	fɘi5	
否	fɜɤ3	
含	xᴀᵑ2	
听	tʰɪ̃ɲ1	~课
听	tʰɪ̃ɲ5	~任
吭	kʰɘ̃ɲ1	
启	tɕʰi3	
吳	vʉ2	
吵	tsʰɑ3	
吸	ɕi2	
吹	tʃʰuɘi/tɕʰyɘi1	
吺	nɜɤ5	啰嗦
吻	vɘ̃ɲ3	
吼	xɜɤ3	
吾	vʉ2	
呃	ɣɘi2	
呆	ta1	
吿	kɑ5	
嘔	ɣɜɤ3	
員	ʑiᴇ̃2	
嗆	tɕʰiᴀᵑ5	
嗚	mɪ̃ɲ2	
呢	ni2	
周	tsɜɤ1	
味	vɘi5	
呵	xɒ1	打~欠
呻	sɘ̃ɲ1	
呼	xʉ1	
命	mɪ̃ɲ5	
和	xo2	
咒	tsɜɤ5	
咖	kʰɒ1	
嚨	loŋ1	
咧	la3	龇牙~嘴
咪	mi1	
咬	ʑiɑ3	
咳	kʰɘi2	
咸	ɕiᴇ̃2	
哀	ɣa1	
品	pʰɪ̃ɲ3	
哄	xoŋ3	
哆	to1	
哇	uɒ2	
哈	xɒ1	
響	ɕiᴀᵑ3	
啞	ʑiɒ3	
哥	ko1	
哨	sɑ5	
哩	li1	
哪	nɘi3	~个
哭	kʰʉ2	
哼	xɘ̃ɲ1	
哽	kɘ̃ɲ3	
唆	so1	
唉	ɣa1	
唐	tʰᴀᵑ2	
嘮	lɑ2	
喚	xuɘ̃ɲ5	
售	sɜɤ5	
唯	vɘi2	
唱	tsʰᴀᵑ5	
啃	kʰɘ̃ɲ3	
商	sᴀᵑ1	
囉	lo1	
啼	tʰi2	
喂	uɘi5	
善	sᴀᵑ5	
喉	xɜɤ2	
喊	xᴀᵑ3	
喏	no1	睡~~
喘	tʃʰuɘ̃ɲ/tɕʰyɘ̃ɲ3	
喜	ɕi3	
喝	xo1	
喵	miɑ1	
噴	pʰɘ̃ɲ1	~水
噴	pʰɘ̃ɲ5	~噬
喩	ʑi5	
嘍	lɜɤ1	
嗅	ɕiɜɤ5	
嗑	kʰo5	~瓜子
嗓	sᴀᵑ3	
嗜	sɿᶟ5	
嗡	ɣoŋ1	
嗣	sɿᶟ5	
嗤	tsʰɿᶟ1	
嗨	xa1	
嗽	sɜɤ5	
嘉	tɕiɒ1	
噓	ɕi1	
囑	tsʉ2	
嘴	tʃuɘi/tɕyɘi3	
嘻	ɕi1	
嘿	xɘi1	
噎	ʑi2	
器	tɕʰi5	
嚎	xɑ2	
嚓	tsʰɒ3	
囂	ɕiɑ1	
嚷	zᴀᵑ3	
嚼	tɕio2	
嚼	tɕiɑ2	~筋:小气
囊	nᴀᵑ2	
囚	tɕʰiɜɤ2	
四	sɿᶟ5	
回	xuɘi2	
囟	sɪ̃ɲ5	~门儿
因	zɪ̃ɲ1	
囡	nʉ1	
团	tʰuɘ̃ɲ2	
囤	tʰoŋ2	
園	ʑiᴇ̃2	
困	kʰoŋ5	
囪	tsʰoŋ1	
圍	uɘi2	
固	kʉ5	
國	kuɘi2	
圖	tʰʉ2	
圓	ʑiᴇ̃2	
