#漢字	音標	解釋
□	ha1b	虾腰
一	iɐt7a	一定
丁	teŋ1b	甲乙丙丁;姓
七	tʃʰɐt7a	第七
丈	tʃiøŋ6	一丈;老丈人
三	ʃam1b	第三
上	ʃiøŋ4	上山(动)
上	ʃiøŋ2	上面(名)
下	ha6	下降
下	ha6	下面
不	pɐt7a	不过，不是
丐	kʰoi5	乞丐
丑	tʃʰɐu3	子丑寅卯
且	tʃʰɛ3	而且
丕	pʰɐi5	曹丕
世	ʃɐi5	世界
丘	iɐu1b	姓;山丘
丙	peŋ3	甲乙丙丁
丞	ʃeŋ2	丞相
丢	tiu1b	丢失
並	pʰeŋ5	并且
丫	a1b	丫头
中	tʃoŋ1b	当中，中秋
中	tʃoŋ5	射中，中状元
串	tʃʰyn5	串通
丸	yn3	药丸
丹	tan1b	人丹
主	tʃy3	主人
乃	lai4	人名用字
久	kɐu3	长久
之	tʃi1b	之前
乎	fu2	在乎
乏	fɐt8	缺乏
乖	kuai1b	小孩听话
乘	ʃeŋ2	乘法
乙	yt8	天干
乜	mɐt7a	乜[什么]
九	kɐu3	第九
乞	hɐt7a	乞讨
也	iɛ4	也是
乳	y4	乳房
乸	la3	乸[雌性]
乾	kon1b	干湿
乾	kʰin2	乾坤
亂	lyn6	混乱
了	liu4	了结
予	y4	予
爭	tʃɛŋ1b	争吵，战争
事	ʃi6	事情
二	i6	第二
于	y1b	姓
云	uɐn2	人云亦云
互	u6	互相
五	m̩4	第五
井	tʃiə̯ŋ3	一口井;井井有条
些	ʃɛ1b	一些
亞	a5	亚洲
亡	mœŋ2	死亡
交	kɛu1b	交通
亥	hoi6	辛亥革命
亦	iek8	亦可
亨	hɐŋ1b	大亨
享	hiøŋ3	分享
京	keŋ1b	北京
亭	tʰeŋ4	凉亭
亮	liøŋ6	天亮
人	iɐn2	人民
仁	iɐn2	仁义
仆	pʰok7a	仆倒
仇	ʃɐu2	报仇
仇	ʃɐu2	姓
今	kɐm1b	今天
介	kai5	介绍
仍	ieŋ2	仍然
仕	ʃi6	仕途
他	tʰa1b	其他
仗	tʃiøŋ5	打仗
付	fu6	应付
仙	ʃin1a	神仙
