#漢字	音標	解釋
㞎	pɔ3	屎～～
㰩	xᴀ1	篾制的扑蜻蜒用的器具
碽	kõ3	
䏵	mã1	
一	ʑɨ2	
丁	tɨ̃1	
七	tɕʰɨ2	
万	vã4	
丈	tsã4	
上	sã4	
下	ɕɨ1	地～
下	xɔ4	打一～；那～
下	ɕɨɔ4	
不	pɯ2	
与	ʑɨ3	
丐	kᴀ4	
丑	tsʰɘ˞3	
專	tʃuɐ̃1	
且	tɕʰɨ3	
丘	tɕʰɨɘ1	
丙	pɨ̃3	
業	nɨ2	
叢	tsʰõ2	
東	tõ1	
絲	sɿᵊ1	
丟	tɨɘ1	
兩	lɨã3	
嚴	ʑɨɛ2	
喪	sã1	
喪	sã4	～失
个	ko4	
丫	ʑɨɔ1	
中	tsɯ1	人～
中	tsõ1	
中	tsõ4	
丰	fõ1	
串	tʃʰuɐ̃4	
臨	lɨ̃2	
丸	uɐ̃2	
丹	tã1	
爲	uɘɨ2	作～
爲	uɘɨ4	～什么
主	tsɯ3	
丽	lɨ4	
舉	tɕɨ3	
乃	nᴀ3	
久	tɕɨɘ3	
義	ʑɨ4	
烏	vɯ1	
乍	tsɔ4	
乎	xɯ1	
樂	lo2	快～
樂	ʑɨo2	音～
乒	pʰɨ̃1	
乓	pʰã1	
喬	tɕʰiɑ2	
乖	kuᴀ1	
乘	tsʰɐ̃2	～法
乘	tsʰɐ̃4	～车
乙	ʑɨ2	
九	tɕɨɘ3	
乞	kʰɘɨ2-	
也	ʑɨ3	
習	ɕɨ2	
鄉	ɕɨã1	
書	sɯ1	
買	mᴀ3	
亂	luɐ̃4	
乳	zɯ3	
乾	tɕʰɨɛ2	～坤
了	liɑ3	～结
予	ʑɨ4	
爭	tsɐ̃1	
事	sɿᵊ4	
二	ɣɯ˞4	
于	ʑɨ2	
虧	kʰuɘɨ1	
雲	zɨ̃2	
互	xɯ4	
五	vɯ3	
亞	ʑɨɔ4	
些	ɕɨ1	
亡	vã2	
交	tɕiɑ1	
亥	xᴀ4	
產	tsʰã3	
亨	xɐ̃1	
畝	mɘ˞3	
享	ɕɨã3	
京	tsɨ̃1	
亭	tʰɨ̃2	
亮	lɨã4	
親	tsʰɨ̃1	～人
親	tsʰɨ̃4	～家
人	zɐ̃2	
什	sɿᵊ2	
仁	zɐ̃2	
僅	tsɨ̃3	
仆	pʰɯ2	
仇	tsʰɘ˞2	
仇	tɕʰɨɘ2	姓
介	kᴀ4	
仍	zɐ̃3	
从	tsʰõ2	
倉	tsʰã1	
仕	sɿᵊ4	
他	tɘɨ1-	
他	tʰɔ1=	
仗	tsã3	炮～
仗	tsã4	打～
付	fɯ4	
仙	ɕɨɛ1	
代	tᴀ4	
令	lɨ̃4	
以	ʑɨ3	
儀	ʑɨ4	
們	mɐ̃2	
仰	nɨã3	
仲	tsõ4	
件	tɕɨɛ4	
價	tɕɨɔ4	
任	zɐ̃2	姓
任	zɐ̃4	主～
份	fɐ̃4	
仿	fã3	
企	tɕɨ1	～业
伊	ʑɨ1	
伍	vɯ3	
伏	fɯ2	
伐	fɔ2	
休	ɕɨɘ1	
衆	tsõ4	
優	ʑɨɘ1	
伙	xo3	
會	kʰuᴀ4	～计
會	xuɘɨ4	～议
傘	sã3	
偉	uɘɨ3	
傳	tʃʰuɐ̃2	宣～
傳	tʃuɐ̃4	记～
傷	sã1	
倫	lõ2	
僞	uɘɨ4	
伯	pɘɨ2	
估	kɯ3	
伴	pã4	
