#漢字	音標	解釋#('gan_hy_yx', '岳西話', '岳西', '#8B0000', None, None, '來源：《安徽岳西方言的同音字匯》，“空島。”整理', '21 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,324 3 2 上 ꜂,,52 5 3a 陰去 ꜄,33 6 3b 陽去 ꜅,213 7 4 入 ꜆', None, None)
□	sai3	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	ʈʂʰaŋ6	
三	san1	
上	ʂaŋ6	
下	xa6	
不	pu7	
与	ʯ6	
丐	kai5	
丑	ʈʂʰəu3	
專	ʈʂʯan1	
且	tɕʰie3	
丕	pʰi3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
業	ie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liaŋ3	
嚴	ȵiɛn2	
喪	saŋ1	
喪	saŋ5	～气
个	ko5	
丫	ŋa1	
中	ʈʂoŋ1	
中	ʈʂoŋ5	
丰	foŋ1	
串	ʈʂʰʯan5	
臨	lin2	
丹	tan1	
爲	uei2	
爲	uei6	
主	ʈʂʯ3	
丽	li6	
舉	ʈʂʯ3	
乃	nai3	
久	tɕiəu3	
義	ȵi6	
之	ʈʂʅ1	
烏	u1	
乎	xu1	
樂	lo7	
樂	io7	音～
喬	tɕʰiau2	
乖	kuai1	
乘	ʈʂʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ie3	
習	ɕi6	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lon6	
乳	ʯ3	
乾	kon1	
乾	tɕʰiɛn2	
了	liau3	
爭	tsən1	
事	tʰin2	
事	sɿ6	
二	ʐo6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən1	
五	u3	
井	tɕin3	
亞	ia5	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
產	ʈʂʰan3	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亮	liaŋ6	
親	tɕʰin1	
人	ʐən2	
億	i5	
什	ʂʅ6	
仁	ʐən2	
仆	pʰu7	
仇	ʈʂʰəu2	
今	tɕin1	
介	kai5	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仔	tsai3	牛～裤
他	tʰa1	
仗	ʈʂaŋ5	
付	fu5	
仙	ɕiɛn1	
代	tʰai6	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiaŋ3	
件	tɕʰiɛn6	
價	tɕia5	
任	ʐən6	
份	fən6	
仿	faŋ3	
伊	i1	
伍	u3	
伏	fu6	
休	ɕiəu1	
衆	ʈʂoŋ5	
優	iəu1	
伙	xo3	
會	kʰuei6	～计
會	xuei6	
傘	san3	
偉	uei3	
傳	ʈʂʰʯan2	
傳	ʈʂʰʯan6	～记
伢	ŋa2	
傷	ʂaŋ1	
僞	uei3	
伯	pe7	
估	ku3	
伴	pʰon6	
伶	lin2	
伸	ʂən1	
但	tʰan6	
位	uei6	
低	ti1	
低	ti3	
住	ʈʂʰʯ6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
佘	ʂe1	
余	ʯ2	
作	tso7	
你	n̩3	
佣	ioŋ6	
佯	iaŋ2	
佳	tɕia1	
使	sɿ3	
侄	ʈʂʰʅ6	
侉	kʰua3	
例	li6	
供	koŋ1	
供	koŋ5	
依	i1	
側	tsʰe7	
僑	tɕʰiau2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	～宜
便	kin3	
便	pʰiɛn6	
促	tsʰəu7	
俄	ŋo2	
俏	tɕʰiau5	
俗	səu7	
俘	fu2	
保	pau3	
信	ɕin5	
儉	tɕʰiɛn6	
修	ɕiəu1	
俱	ʈʂʰʯ6	
倒	tau3	
倒	tau5	
倔	ʈʂʯe7	
倘	tʰaŋ3	
候	xəu6	
借	tɕie5	
倡	ʈʂʰaŋ5	
倦	ʈʂʰʯan6	
倪	ȵi2	
債	ʈʂai5	
值	ʈʂʰʅ6	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiɛn1	
做	tso5	
停	tʰin2	
健	tɕʰiɛn6	
偶	ŋiəu3	
偷	tʰəu1	
傅	fu5	
傣	tai3	
