#漢字	音標	解釋
#簡稱	/	綏寧河口
#全稱	/	綏寧河口話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-03
#錄入人	/	DaiDzao
#參考資料	/	《湖南綏寧河口湘語方言音系》
#說明	/	
□	pʰa1	(食物蒸得非常熟)
□	kʰa1	(拿)
□	kʰa1	量词，表“捆”，一～柴
□	xa1	(声音嘶哑)
□	lia1	(手镯)
□	lia1	(靸)
□	mau1	嘴里含着东西:～起一颗糖
□	mau1	脾气暴躁:渠～得很
□	nau1	看牛:～牛
□	lau1	(烧焦)
□	tsau1	
□	tsʰiau1	阉割:～猪
□	nan1	用手指夹:～起来
□	pʰaŋ1	驱赶:～牛
□	tiaŋ1	(拎、提)
□	ȵoŋ1	(揪着)
□	lioŋ1	(往下滑)
□	kua2	(瘫痪)
□	to2	量词:一～屎
□	no2	(揉)
□	kye2	(因四肢无力而下跪)
□	kai2	扶:～倒渠
□	ȵau2	(软)
□	tsan2	(刺眼睛)
□	nən2	(捻)
□	kən2	(整体吞咽)
□	koŋ2	(搅拌)
□	xa3	(傻)
□	pia3	(鱼离水后的挣扎)
□	mia3	(摸)
□	lia3	(舔)
□	tsia3	大～:大姑妈
□	sia3	(偷)
□	kʰua3	(树枝)
□	fya3	(捆紧的东西自行解开了)
□	mie3	(凹陷)
□	pʰai3	量词，两只手张开的长度:一～长
□	pei3	相当普通话“搞”:～饭吃
□	fei3	(呕吐)
□	pʰau3	颠簸:车子～得很
□	ˀau3	折断:～断
□	luan3	(男性生殖器)
□	kən3	(倒下)
□	ŋən3	被硬东西顶一下:渠着～着
□	ȵiaŋ3	揍:～你两下
□	tʃʰa5	(跨)
□	pia5	(扔、摔;摔倒)
□	pia5	(拟声词)
□	mia5	(用烂泥涂抹)
□	lia5	(瘸、跛)
□	ˀia5	(小气、吝啬)
□	kʰua5	(用手脚或木棍等拨动)
□	tʰo5	掉落:～落
□	tsʰo5	拄拐杖;～起把棍
□	ȵio5	(用细小尖锐的东西捅或刺)
□	ŋo5	(无精打采)
□	tio5	(呼鸡的声音)
□	lio5	(往下捋)
□	mie5	(陷入烂泥)
□	ne5	小、细:太～咖
□	lei5	(牛角顶人)
□	ˀau5	量:～长短
□	tsiou5	拧:把水～干
□	pʰan5	(轻轻地触碰)
□	tsan5	
□	tʰuan5	(家畜生崽)
□	tʰən5	(在小块铁板上烧烤东西)
□	xən5	厉害:渠读书～得很
□	ȵiaŋ5	～眼闭，睡觉
□	kuaŋ5	光滑:地上～得很
□	ˀuaŋ5	(吊儿郎当)
□	soŋ5	～鼻涕:吸鼻涕
□	ȵoŋ5	(皱了)
□	ˀoŋ5	(表否定，单独回答问题)
□	ˀoŋ5	睡觉，婴儿语:～闭闭
□	lioŋ5	(往上爬)
□	mi6	(酷爱:～书)
□	la6	东西放在某个地方忘记带了:～落
□	tsa6	～子:晒干了的蕨类和竹枝等
□	tʃa6	(掸)
□	ka6	(竹枝制作的大扫把)
□	pia6	(峭壁)
□	mia6	(冷清)
□	lia6	(撒播)
□	kua6	(张开手掌抓)
□	so6	～～响:沙沙响
□	lio6	(用火的外焰烧)
□	ʃie6	(唠叨)
□	kye6	(因不满意而唠叨)
□	pən6	靠:把柴～倒咯底
□	tsən6	撞:～脑壳
□	paŋ6	(拿着东西撞击)
□	kaŋ6	量词群:一～人
□	poŋ6	(忙于招呼客人而没有闲暇)
□	tsoŋ6	(碰见)
□	lioŋ6	～～:纹路
㸊	lai5	(热，烫)
䐬	tsau2	(饿)
一	ˀi3	
丁	tin1	
七	tsʰi3	
万	ˀuan6	
丈	tʃaŋ6	
三	san1	
上	ʃaŋ6	
下	xa6	
不	pu5	
与	ˀy3	
丐	kai5	
丑	tʃʰou3	
專	kyan1	
丕	pʰi3	
世	ʃʅ5	
丘	tʃʰou1	
丙	pin3	
業	ȵie3	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʃʰin2	
丟	tiou1	
兩	liaŋ3	
嚴	ȵian2	
喪	saŋ1	～事
喪	saŋ5	～失
个	tʃi3	
丫	ŋa1	(张开)
中	tʃoŋ1	当～
中	tʃoŋ5	射～
丰	xoŋ1	
串	kʰyan5	
臨	lin2	
丸	ˀyan2	
丹	tan1	
爲	ˀuei2	作～
主	ky3	
丽	li5	
舉	ky3	
乃	nai3	
久	tʃou3	
麼	ˀiau1	
義	ȵi5	
之	tʃʅ1	
烏	ˀu1	
乍	tsa5	
乏	fa3	
樂	lo3	
樂	ˀio3	音～
喬	tʃau2	
乖	kuai1	
乘	tʃʰin2	
乙	ˀie3	
九	tʃou3	
乞	tʃʰi3	
也	ˀia6	
習	si3	
鄉	ʃaŋ1	
書	fy1	
買	mai3	
亂	luan6	
乳	ˀy3	
乾	tʃʰian2	
了	liau3	～结
爭	tsən1	
事	sɿ6	
二	ˀɤ6	
于	ˀy2	
虧	kʰuei1	
雲	ˀyn2	
互	fu5	
五	ˀu3	
井	tsin3	
亡	ˀuaŋ2	
