#漢字	音標	解釋
□	ɕio2	弯腰
仿	faŋ3	仿佛
仿	faŋ3	相似
企	tɕʰi3	
伍	u3	
伏	fuo7	
伐	fɔ7	
休	ɕiou2	
衆	tʂuəŋ5	重轻
優	iou1	
伙	xuo3	
會	kʰuai5	会计
會	xuei5	开~,~不~
傘	sa3	
偉	vei3	
傳	tʂʰua2	传达
傳	tʂua5	传记
傷	ʂaŋ1	
倫	luəŋ2	
僞	vei2	
估	ku2	估计
伴	pa3	
伸	ʂəŋ2	
伺	tsʰɿ5	
似	sɿ5	
佃	tia5	
但	ta5	
佈	pu5	
位	vei5	
低	ti1	
住	tʂu5	
佐	tsuo2	
佑	iou5	
體	tʰi3	
何	xɤ2	
佘	ʂɤ1	姓
余	y2	
佛	fuo7	~祖
佛	fəʔ7	仿佛
作	tsuo7	作坊,工作
你	ȵ̍3	
佩	pʰei5	
佳	tɕio1	
使	ʂʅ3	
侄	tʂʅ7	
侈	tʂʰʅ3	奢~
例	li5	
供	kuəŋ5	供给,供不起
供	kuəŋ5	供养.上供
依	i1	
僥	tɕiau3	~幸
偵	tʂəŋ1	
側	tsʰəʔ7	
僑	tɕʰiau2	
侮	u2	
侯	xn̩2	
侯	xn̩5	
侵	tsʰiŋ1	
便	pʰia2	~宜
便	pia5	方便
促	tsʰuo7	
俄	ɤ2	
俊	tsyŋ5	
俏	tsʰiau5	
俗	suo7	
俘	fu1	
俘	fu1	~虏
保	pau3	
信	siŋ5	
倆	lio3	两个
儉	tɕia3	
修	siou2	
俯	fu2	
俱	tɕy5	
俸	fəŋ5	
倍	pei5	
倒	tau5	~水
倒	tau3	打~,颠~
倔	tɕyɛ5	~强
倘	tʰaŋ3	~使
倚	i3	
借	tsiɛ5	
倡	tʂʰaŋ2	提~
倦	tɕya5	
倪	ni2	
倭	uo1	
債	tʂai5	
值	tʂʅ7	
傾	tɕʰiŋ1	
假	tɕio3	放假
假	tɕio3	真~
偏	pʰia1	
做	tsuo7	
停	tʰiŋ2	
健	tɕia5	
偶	n̩3	~然
偶	n̩3	配~
偷	tʰou1	
償	tʂʰaŋ2	
傀	kʰuei3	~儡
傅	fu5	
傍	paŋ5	
傢	tɕio1	~具
儲	tʂʰu2	~蓄
催	tsʰuei1	
傲	au5	
傻	ʂɔ3	
像	siaŋ5	橡树
僧	səŋ2	
僵	tɕiaŋ1	
僻	pi7	
儒	ʐu2	
儡	luei3	傀~
兒	ɭ̩2	
允	yŋ2	
元	ya2	
兄	ɕyŋ2	
充	tʂʰuəŋ1	
兆	tʂau5	
先	sia2	
光	kuaŋ1	
克	kʰəʔ7	
免	mia3	
兔	tʰu5	
黨	taŋ3	
兜	tou5	
入	ʐu7	
全	tsʰya2	
八	pa7	
公	kuəŋ1	
六	liou5	
蘭	la2	
共	kuəŋ5	
關	kua1	
興	ɕiŋ2	~旺
興	ɕiŋ5	高~
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tia3	
兹	tsɿ1	
養	iaŋ3	
獸	ʂn̩5	
冀	tɕi5	
内	nuei5	
岡	kaŋ1	
册	tʂʰəʔ7	
再	tsai5	
冒	mau5	
寫	siɛ3	
軍	tɕyŋ1	
農	nuəŋ2	
冠	kua5	冠军
冤	ya2	
冬	tuəŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰuəŋ5	
決	tɕyo7	
况	kʰuaŋ5	
冷	ləŋ3	
凍	tuəŋ5	
淨	tsiŋ5	
準	tʂuəŋ3	
涼	liaŋ2	
凌	liŋ2	
減	tɕia3	
湊	tsʰn̩5	
凝	niŋ2	
几	tɕi1	~乎
几	tɕi3	几个
凡	fa2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyŋ2	~恶
凶	ɕyŋ2	吉~
出	tʂʰuo7	
擊	tɕi7	
刀	tau1	
刁	tiau1	
刃	ʐəŋ5	
分	fəŋ1	分开
切	tsʰiɛ7	切开
刈	i2	
刊	kʰa1	
刎	vəŋ3	
刑	ɕiŋ2	
划	xɔ2	划船
列	liɛ7	
劉	liou2	
則	tsəʔ7	
剛	kaŋ1	
創	tʂʰuaŋ5	
初	tʂʰu1	
删	ʂua2	
判	pʰa5	
刨	pau5	~子
利	li5	
别	piɛ7	区~
别	piɛ7	离~
刮	kua7	
到	tau5	
制	tʂʅ5	~度
刷	ʂua7	
券	tɕʰya5	
刺	tsʰɿ5	
刻	kʰəʔ7	时刻
刻	kʰəʔ7	用刀~
劊	kʰuai5	
刴	tuo5	
劑	tsi5	
剃	tʰi5	
削	syɛ7	
前	tsʰia2	
剮	kua7	
劍	tɕia5	
剔	tʰi7	
剖	pʰau3	
剜	va2	
剝	pa7	
劇	tɕy5	~烈
劇	tɕy5	戏~
剩	ʂəŋ5	
剪	tsia3	
副	fu5	
割	kəʔ7	
剿	tsiau3	
劈	pʰi7	
劐	xuo7	用力~开
力	li7	
勸	tɕʰya5	
辦	pa5	
功	kuəŋ1	
加	tɕio1	
務	u5	
劣	liɛ7	
動	tuəŋ5	
助	tʂu5	
努	nu3	
劫	tɕʰyɛ7	
勵	li5	
勞	lau2	
勢	ʂʅ5	
勇	yŋ3	
勉	mia3	
勳	ɕyŋ2	
勒	ləʔ7	
勘	kʰa5	~误,~探
募	mu5	
勤	tɕʰiŋ2	
勺	ʂuo7	
勾	kn̩1	
勾	kn̩5	~当
勿	u5	
匀	yŋ2	
包	pau1	
匆	tsʰuəŋ1	
化	xɔ5	
北	pa7	
匙	ʂʅ7	钥~
匠	tsiaŋ5	
匣	ɕio7	箱~
匪	fei3	
匹	pʰi7	一匹马.一匹布
區	tɕʰy1	~域
醫	i1	
匾	pia3	
匿	ni5	
十	ʂʅ7	
千	tsʰia1	
升	ʂəŋ2	
午	u3	
半	pa5	
華	xɔ2	~山,姓
華	xɔ2	中华
卑	pei1	
單	ta1	单独
單	ʂa5	姓
賣	mai5	
南	na2	
博	puo7	
卜	pəʔ7	
占	tʂa5	占卜
盧	lu2	
卤	lu3	
卦	kɔ5	
臥	uo5	
衛	vei5	
卯	pau3	
印	iŋ5	
危	vei2	
即	tsi7	
卻	tɕʰyɛ7	
卵	lua3	
卷	tɕya3	
卷	tɕya3	~起
卸	siɛ5	
廠	tʂʰaŋ3	
廳	tʰiŋ1	
历	li7	历史
历	li7	日~|~法
厲	li5	
壓	ia7	
厭	ia5	
厚	xn̩5	
原	ya2	
廂	siaŋ2	
厥	tɕyo7	
厦	ʂɔ5	(偏~,前廊后~)
厦	ɕio5	~门
廚	tʂʰu2	
去	tɕʰy5	来去,去皮
縣	ɕia5	
参	tsʰa1	
参	tʂʰəŋ2	~差
参	ʂəŋ2	人~
又	iou5	
叉	tʂʰɔ1	
及	tɕi7	
友	iou3	
雙	ʂuaŋ2	
雙	ʂuaŋ2	双生
反	fa3	
发	fa7	~财
发	fa7	头~
叔	ʂu7	
取	tsʰy3	
受	ʂn̩3	
變	pia5	
敍	sy5	
叛	pʰa5	
叟	sn̩3	
疊	tiɛ7	
口	kʰn̩3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tau1	唠~
叩	kʰn̩3	~头
只	tʂʅ7	
只	tʂʅ7	只有
叫	tɕiau5	
召	tʂau3	
可	kʰɤ3	
台	tʰai2	天台,台州
史	ʂʅ3	
右	iou5	
葉	iɛ7	
號	xau5	呼~,~数
司	sɿ2	
嘆	tʰa5	
吁	y2	
吃	tʂʰʅ7	
各	kəʔ7	
合	xɤ7	十合一升
吉	tɕi7	
吊	tiau5	
同	tʰuəŋ2	
名	miŋ2	
后	xn̩5	
吏	li7	
吐	tʰu3	~痰|呕~
向	ɕiaŋ5	
嚇	ɕio5	~一跳
呂	ly3	
君	tɕyŋ1	
吝	liŋ5	
吞	tʰuəŋ1	
否	fu3	
含	xa2	
聽	tʰiŋ1	听见,听话,听任,听其自然
啓	tɕʰi2	
吳	u2	
吵	tʂʰɔ3	
吸	ɕi7	
吹	tʂʰuei1	
吹	ɕy2	
吻	vəŋ3	
吼	xn̩3	
呆	tai1	
呈	tʂʰəŋ2	
告	kau5	
嘔	n̩3	~吐
員	ya2	
周	tʂn̩1	
味	vei5	
呼	xu2	
命	miŋ5	
和	xɤ2	
和	xuo2	和面
詠	yŋ3	
咒	tʂn̩5	
咨	tsɿ2	
咬	iau3	
咳	kʰəʔ7	咳嗽
咸	ɕia2	
哀	ai1	
品	pʰiŋ3	
哄	xuəŋ3	~骗
響	ɕiaŋ3	
啞	io3	
哥	kɤ1	
哪	nɔ3	(~个)
哭	kʰuo7	
哲	tʂəʔ7	
唆	suo2	
脣	tʂʰuəŋ2	
唐	tʰaŋ2	
嘮	lau2	~叨
售	ʂn̩5	
唯	vei3	
唱	tʂʰaŋ5	
唾	tʰuo5	~液|~沫
啄	tʂuo7	
商	ʂaŋ1	
嗇	səʔ7	吝~
囉	luo1	~唆
啼	tʰi2	
善	ʂa5	
喉	xn̩2	
喊	xa3	
喘	tʂʰua3	
喜	ɕi3	
喝	xɤ7	
喝	xɤ7	~彩,吆~
喧	ɕya2	
噴	pʰəŋ2	~香,~嚏
噴	pʰəŋ1	喷水
喻	y5	
嗉	su5	鸟~子
嗓	saŋ3	
嗽	sn̩5	咳~
嘉	tɕio1	
嘘	ɕy2	
囑	tʂuo7	
嘴	tsuei3	
噎	iɛ7	~住了
器	tɕʰi5	
囂	ɕiau2	
嚷	ʐaŋ3	
嚼	tʂuo7	
囊	naŋ2	
囚	tsʰiou2	
四	sɿ5	
回	xuei2	
因	iŋ1	
团	tʰua2	
園	ya2	
困	kʰuəŋ5	
囱	tsʰuəŋ1	烟~
圍	vei2	
固	ku5	
國	kuo7	
圖	tʰu2	
圓	ya2	
圈	tɕʰya1	
圈	tɕya5	猪~
土	tʰu3	
聖	ʂəŋ5	
在	tsai5	
地	tɕiaŋ1	
地	ti5	
場	tʂʰaŋ3	
址	tʂʅ3	
均	tɕyŋ1	
坍	tʰa7	~下来
壞	xuai5	
坐	tsuo5	
坑	kʰəŋ2	
塊	kʰuai5	
堅	tɕia1	
壩	pɔ5	(平川)
塢	u2	
墳	fəŋ2	
坡	pʰuo1	
坤	kʰuəŋ1	
坦	tʰa2	
坪	pʰiŋ2	
坯	pʰei2	土坯
垂	tʂʰuei2	
型	ɕiŋ2	
垒	luei5	
垜	tuo5	
墊	tia5	~钱
垮	kʰɔ3	
埃	ai1	
埋	mai2	
城	tʂʰəŋ2	
域	y5	
埠	pu5	商~
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei2	
堡	pau3	
堤	ti1	
堵	tu3	
塌	tʰa7	
塑	su5	~像
塔	tʰa7	
塘	tʰaŋ2	
塞	səʔ7	
填	tʰia2	
境	tɕiŋ5	
墓	mu5	
牆	tsʰiaŋ2	
增	tsəŋ1	
墟	ɕy1	废~
墨	ma7	
墩	tuəŋ1	
壁	pi7	
壕	xau2	
壤	ʐaŋ3	土~
壩	pɔ5	(堤)
士	ʂʅ5	
壬	ʐəŋ5	
壯	tʂuaŋ5	
聲	ʂəŋ2	
壺	xu2	
處	tʂʰu5	处所
處	tʂʰu3	相处
備	pei5	
复	fuo7	~原
复	fuo7	复杂
夏	ɕio5	姓
夏	ɕio5	春夏
夕	si7	
外	vai5	
多	tuo1	
夜	iɛ5	
够	kn̩5	
大	tɔ5	
大	tai5	~夫,~黄,药名
天	tʰia1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ2	打夯
失	ʂʅ7	
頭	tʰou2	
夸	kʰɔ2	
夾	tɕia7	
奪	tuo7	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奮	fəŋ5	
奏	tsn̩5	
契	tɕʰi5	~约
奔	pəŋ1	
獎	tsiaŋ3	
套	tʰau5	
奠	tia5	
奢	ʂɤ1	
奧	au5	
女	ny3	
奴	nu2	
奶	nai3	
奸	tɕia1	
好	xau2	喜~
好	xau3	好坏
如	ʐu2	
妃	fei1	
妄	vaŋ5	
婦	fu5	
媽	mɔ2	(老人)
媽	ma2	(年轻人)
妒	tu5	
妓	tɕi5	
妖	iau1	
妗	tɕiŋ5	舅母
妙	miau5	
妥	tʰuo3	
妨	faŋ2	
妨	faŋ2	~害
妹	mei5	
妻	tsʰi1	
妾	tsʰiɛ7	
姊	tsɿ3	
始	ʂʅ3	
姐	tsiɛ3	
姑	ku1	
姓	siŋ5	
委	vei2	
姘	pʰiŋ1	~头
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姻	iŋ1	
姿	tsɿ2	
威	vei1	
嬌	tɕiau1	
娘	niaŋ2	
娠	ʂəŋ2	
娛	y2	
娶	tsʰy3	
婆	pʰuo2	
婚	xuəŋ2	
婢	pi5	
嬰	iŋ1	
嬸	ʂəŋ3	
婿	sy5	女~
媒	mei2	
媚	mei5	
媳	si7	
嫁	tɕio5	
嫂	sau3	
嫌	ɕia2	
嫖	pʰiau2	
嫡	ti7	
嫩	nəŋ5	
嬎	fa5	鸟下蛋
孀	ʂuaŋ2	
子	tsɿ3	
孔	kʰuəŋ3	
孕	yŋ5	
字	tsɿ5	
存	tsʰuəŋ2	
孫	suəŋ2	
孝	ɕiau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyo7	
孩	xai2	
孵	fu1	~小鸡
孽	niɛ7	
寧	niŋ5	宁可
寧	niŋ2	安~
宅	tʂai7	
宇	y3	
守	ʂn̩3	
安	a1	
宋	suəŋ5	
完	va2	
宏	xuəŋ2	
宕	taŋ5	延~
宗	tsuəŋ1	
官	kua1	
宙	tʂn̩5	
定	tiŋ5	
宜	i2	
寶	pau3	
實	ʂʅ7	
寵	tʂʰuəŋ3	
審	ʂəŋ3	
客	kʰəʔ7	
宣	sya2	
室	ʂʅ7	
宦	xua5	
宮	kuəŋ1	
宰	tsai3	
害	xai5	
宴	ia5	
宵	siau2	
家	tɕio1	
容	ʐuəŋ2	
寬	kʰua1	
賓	piŋ1	
宿	suo7	
寂	tsi7	
寄	tɕi5	
寅	iŋ2	
密	mi7	
寇	kʰn̩5	
富	fu5	
寐	mei5	
寒	xa2	
寓	y5	
寢	tsʰiŋ3	
寞	məʔ7	
察	tʂʰa7	
寡	kɔ3	
寥	liau2	
寨	tʂai5	
寸	tsʰuəŋ5	
對	tuei5	
寺	sɿ5	
尋	syŋ2	
導	tau2	
壽	ʂn̩5	
封	fəŋ1	
射	ʂɤ5	
將	tsiaŋ1	~来
將	tsiaŋ5	大将
尊	tsuəŋ1	
小	siau3	
少	ʂau3	多少
少	ʂau5	少年
尖	tsia1	
塵	tʂʰəŋ2	
尚	ʂaŋ5	
嘗	tʂʰaŋ2	
尥	liau5	马~蹶子
尬	kɔ5	(尴~)
就	tsiou5	
尷	ka1	~尬
屍	ʂʅ2	
尹	iŋ3	
尺	tʂʰʅ7	
尼	ni2	
尽	tsiŋ5	
尾	vei3	
尿	niau5	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
居	tɕy1	
屈	tɕʰyɛ7	
屆	tɕiɛ5	
屋	vei7	
屍	ʂʅ2	
屎	ʂʅ3	
屏	pʰiŋ2	围~
屑	siɛ5	不~于
屑	siɛ5	木~
展	tʂa3	
屠	tʰu2	
屢	ly2	
履	ly3	
屯	tʰuəŋ2	
山	ʂa2	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi2	
岔	tʂʰɔ5	(三岔路)
崗	kaŋ2	
島	tau3	
巖	ia2	
嶺	liŋ3	
岳	yo7	
岸	a5	
峽	ɕio7	
峰	fəŋ1	
崇	tʂʰuəŋ2	
崔	tsʰuei1	姓
崖	yɔ2	山~
崩	pəŋ1	
嵌	tɕʰia1	
嵩	suəŋ2	
川	tʂʰua1	
州	tʂn̩1	
巡	syŋ2	
工	kuəŋ1	
左	tsuo3	
巧	tɕʰiau3	
巨	tɕy5	
鞏	kuəŋ3	巩固
巫	u2	
差	tʂʰɔ1	(~别,~不多)
差	tʂʰai1	出差
差	tsʰɿ1	参~
己	tɕi3	
已	i3	
巴	pɔ1	
巷	ɕiaŋ5	
巾	tɕiŋ1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuai5	
帆	fa2	
師	ʂʅ2	
希	ɕi2	
帳	tʂaŋ5	
帖	tʰiɛ7	碑~,请~
帘	lia2	门~
帝	ti5	
帶	tai5	
席	si7	
幫	paŋ1	
常	tʂʰaŋ2	
帽	mau5	
幅	fuo7	
幕	mu5	
干	ka1	
干	ka1	干湿
平	pʰiŋ2	
年	nia2	
并	piŋ5	~且
并	piŋ5	合~
幸	ɕiŋ3	
幹	ka5	
幻	xua5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tʂuaŋ1	
慶	tɕʰiŋ5	
牀	tʂʰuaŋ2	
序	sy5	
廬	lu2	
廬	lu2	庐山
庫	kʰu5	
應	iŋ1	应当,应用
應	iŋ5	应对,响应
底	ti3	
店	tia5	
廟	miau5	
庚	kəŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu5	
座	tsuo5	
庭	tʰiŋ2	
庵	a1	
庶	ʂu5	
康	kʰaŋ1	
庸	yŋ2	
廉	lia2	
廊	laŋ2	
廖	liau2	姓
延	ia2	
廷	tʰiŋ2	
建	tɕia5	
開	kʰai1	
弃	tɕʰi5	
弄	nuəŋ5	
弊	pi5	
式	ʂʅ7	
弓	kuəŋ1	
引	iŋ3	
弘	xuəŋ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	
彎	va1	
弱	ʐuo7	
彈	tʰa2	~琴
彈	ta5	子~
强	tɕiaŋ5	倔~
强	tɕʰiaŋ3	勉~
弼	pi5	
歸	kuei1	
當	taŋ1	当时,应当
當	taŋ2	当作,典当
录	luo7	
形	ɕiŋ2	
彩	tsʰai3	
彪	piau1	
彬	piŋ1	
彭	pʰəŋ2	
影	iŋ3	
役	i5	
徹	tʂʰəʔ7	
彼	pi3	
往	vaŋ3	
征	tʂəŋ1	
征	tʂəŋ1	~求
待	tai5	
很	xəŋ3	
律	lyɛ7	
後	xn̩5	
徐	sy2	
徒	tʰu2	
得	təʔ7	
御	y5	
循	syŋ2	
微	vei2	
德	ta7	
徽	xuei2	
心	siŋ1	
必	pi7	
憶	i5	
忌	tɕi7	
忌	tɕi5	~讳
忌	tɕi7	~妒
忍	ʐəŋ3	
忖	tsʰuəŋ3	
志	tʂʅ5	
忘	vaŋ5	
忙	maŋ2	
忠	tʂuəŋ1	
憂	iou1	
快	kʰuai5	
念	nia5	
忽	xuo7	
忿	fəŋ5	
懷	xuai2	
態	tʰai2	
慫	suəŋ3	~恿
慪	n̩5	~气
怒	nu5	
怕	pʰɔ5	
怖	pu5	恐~
憐	lia2	
思	sɿ2	
怠	tai5	
急	tɕi7	
性	siŋ5	
怨	ya5	
怪	kuai5	
怯	tɕʰyɛ7	畏~
總	tsuəŋ3	
戀	lia5	
恆	xəŋ2	
恕	ʂu5	
恢	xuei2	
恤	sy5	
恨	xəŋ5	
恩	əŋ1	
恭	kuəŋ1	
息	si7	
恰	tɕʰia7	
恶	ɤ5	善~
恶	u5	恨,可~
惱	nau3	
悄	tsʰiau2	静~~
悉	si7	
悔	xuei3	
悟	u5	
患	xua5	
悦	yo7	
懸	ɕya2	
憫	miŋ3	
悲	pei1	
情	tsʰiŋ1	
驚	tɕiŋ1	
惑	xuo7	
惜	si7	
惠	xuei5	
懼	tɕy5	
慘	tsʰa3	
懲	tʂʰəŋ2	
慚	tsʰa2	
慣	kua5	
惰	tuo5	
想	siaŋ3	
愁	tʂʰn̩2	
愈	y5	~好,病~
愉	y2	
愚	y2	
感	ka3	
憤	fəŋ5	
愧	kʰuei5	
願	ya5	
慈	tsʰɿ2	
慌	xuaŋ2	
慎	ʂəŋ5	
慕	mu5	
慢	ma5	
慧	xuei5	
慨	kʰai2	
慰	vei5	
慷	kʰaŋ2	~慨
憋	piɛ7	
憎	tsəŋ5	
憨	xa2	
憾	xa2	
懂	tuəŋ3	
懈	ɕiɛ5	
懶	la3	
懵	məŋ3	~懂
戈	kɤ1	
戌	sy5	
戍	ʂu5	
戲	ɕi5	
成	tʂʰəŋ2	
我	uo3	
戒	tɕiɛ5	
戰	tʂa5	
戚	tsʰi7	
截	tsiɛ7	
戳	tʂʰuo7	
戴	tai5	
戶	xu5	
房	faŋ2	
所	suo3	
扁	pia3	
扇	ʂa5	
手	ʂn̩3	
才	tsʰai2	
打	tɔ3	
扔	ʐəŋ2	
托	tʰuo7	~辞
托	tʰuo7	托手承物
扣	kʰn̩5	扣住
執	tʂʅ7	
擴	kʰuo7	~充
掃	sau3	~地
掃	sau5	~帚
揚	iaŋ2	
扭	niou3	
扮	pa5	
扯	tʂʰɤ3	
擾	ʐau3	
扳	pa1	
扶	fu2	
批	pʰi1	
找	tʂau3	
承	tʂʰəŋ2	
技	tɕi5	
抄	tʂʰau2	略取,抄写
把	pɔ3	(~握,~守,一~)
抑	i5	
抓	tʂɔ2	
投	tʰou2	
抖	tou3	
抗	kʰaŋ1	
抗	kʰaŋ5	
折	tʂəʔ7	
折	ʂɤ7	弄折了
撫	fu3	
抛	pʰau1	
摳	kʰn̩1	
搶	tsʰiaŋ3	
護	xu5	
報	pau5	
披	pʰei1	
抬	tʰai2	
抱	pau2	
抵	ti3	
抹	məʔ7	
抹	məʔ7	抹布,抹桌子
押	ia7	
抽	tʂʰn̩2	
抿	miŋ3	
拄	tʂu2	~拐杖
擔	ta1	担任
擔	ta5	挑担
拆	tʂʰa7	
拇	mu2	
拉	lɔ7	
拌	pa5	
拍	pʰa7	
拎	liŋ5	
拐	kuai3	
拒	tɕy5	
拔	pɔ7	
拖	tʰuo1	
拘	tɕy1	
拙	tʂuo7	
招	tʂau2	
拜	pai5	
攏	luəŋ3	
擁	yŋ3	
攔	la2	
擇	tʂəʔ7	~菜。选~
括	kʰuo7	包括
拯	tʂəŋ3	~救
拱	kuəŋ3	~手
拳	tɕʰya2	
拴	ʂua2	
拼	pʰiŋ1	
拽	tʂuai5	
拾	ʂʅ7	拾起来
拿	nɔ2	
持	tʂʰʅ2	
挂	kɔ5	
指	tʂʅ3	
按	a5	
挑	tʰiau1	
挖	vɔ7	
挾	tsia7	~菜
撓	nau2	
擋	taŋ3	
擠	tsi3	
揮	xuei2	
挨	ai1	~近,~住
挨	ai1	尘埃
挪	nuo2	
振	tʂəŋ5	
挺	tʰiŋ3	
挽	va3	
捅	tʰuəŋ3	~破了
捆	kʰuəŋ3	
捉	tʂuo7	
捋	lyɛ7	~袖
捎	ʂau2	~带
捏	niɛ7	
捐	tɕya2	
捕	pu3	
撈	lau2	
損	suəŋ3	
換	xua5	
捧	pʰəŋ3	
捨	ʂɤ3	
据	tɕy5	
捷	tsiɛ7	
捺	na7	撇~
掀	ɕia2	
掂	tia1	~掇
掇	tuo7	
授	ʂn̩5	
掉	tiau5	
掌	tʂaŋ3	
掏	tʰau1	~出来
掐	tɕʰia7	
排	pʰai2	
掘	tɕyo7	
掠	lyɛ7	
探	tʰa5	试~。侦~
接	tsiɛ7	
控	kʰuəŋ5	
推	tʰuei2	
掩	ia3	
措	tsʰuo5	
揉	ʐn̩2	
描	miau2	
提	tʰi2	
插	tʂʰa7	
揞	a3	手覆,按住
握	uo5	~手
握	uo7	掌~
揣	tʂʰuai3	~度
揪	tsiou1	一把~住
揭	tɕiɛ7	
援	ya2	救~
攬	la3	
擱	kəʔ7	
摟	ln̩2	~取
摟	ln̩2	抱
搓	tsʰuo1	
搜	sn̩2	
搞	kau3	
搡	saŋ3	
搬	pa1	
搭	ta7	
攜	ɕiɛ2	
攝	ʂəʔ7	
摆	pai5	
摇	iau2	
攤	tʰa1	
摔	ʂuai2	
摘	tʂəʔ7	
摞	luo5	~起来
摩	muo2	
摸	ma7	
摹	muo2	~仿
摺	tʂəʔ7	~叠
撇	pʰiɛ7	~捺,~开
撑	tʂʰəŋ1	
撒	sa7	~手,抛~,~种
撕	sɿ2	
撞	tʂuaŋ5	
撤	tʂʰəʔ7	
撩	liau2	~起来
撮	tsʰuo7	一~米
撰	tʂua5	
撼	xa2	
擀	ka3	~面
操	tsʰau1	~作,操演
擒	tɕʰiŋ2	
擘	pa7	用手~开
擦	tsʰa7	
攀	pʰa1	
攢	tsa3	积~
攘	ʐaŋ3	
攮	naŋ3	用刀子~
支	tʂʅ1	
收	ʂn̩2	
改	kai3	
攻	kuəŋ1	攻击
放	faŋ5	
政	tʂəŋ5	
故	tɕiɛ5	
故	ku5	
效	ɕiau5	
敵	ti7	
敏	miŋ3	
救	tɕiou5	
教	tɕiau5	~书,~育,~他去
斂	lia3	
敢	ka3	
散	sa5	分~
散	sa5	鞋带散了
敦	tuəŋ1	~厚
敬	tɕiŋ5	
數	ʂu3	动词
數	ʂu5	名词
敲	tɕʰiau2	
整	tʂəŋ3	
敷	fu1	
文	vəŋ2	
齋	tʂai1	
斑	pa1	
斗	tou5	
料	liau5	
斜	siɛ2	
斟	tʂəŋ1	
斤	tɕiŋ1	
斧	fu3	
斬	tʂa3	
斷	tua5	~绝
斷	tua5	决断
斯	sɿ2	
新	siŋ2	
方	faŋ2	
施	ʂʅ2	
旁	pʰaŋ2	
旅	ly3	
旋	sya2	
旋	sya5	旋吃旋做
族	tsuo7	
旗	tɕʰi2	
無	v̩2	
