#漢字	音標	解釋
𧾷	tsʊʔ7	çȯ̆
㑋	kʰiuŋ5	ʻkiúm
㑐	ʂʊʔ7	xȯ̆
㑞	kʰiŋ5	ʻkím
㑞	xiŋ5	hím
㑻	maʔ7	mă
㑾	iau2	iâo
㒃	ɯ˞5	úl
㒑	xuəi3	hoèi
㒒	pʊʔ7	pȯ̆
㒒	pʰʊʔ7	ʻpȯ̆
㒚	in3	ìn
㒚	in5	ín
㒟	niau3	niào
㒠	xiai5	hiái
㓃	tʂʰa5	ʻchá
㓃	tu5	tú
㓑	xiŋ3	hìm
㓖	pɪʔ7	piė̆
㓚	kuŋ1	kūm
㓢	lɔʔ7	lŏ
㓤	kiaʔ7	kiă
㓤	kʰiaʔ7	ʻkiă
㓶	kʰi5	ʻkí
㓶	kʰiɛʔ7	ʻkiĕ
㔃	tsyɛʔ7	çiuĕ
㔄	sʏʔ7	siụ̆
㔨	puəi5	poéi
㔶	kan3	kàn
㔶	kuŋ5	kúm
㕈	i3	ì
㕒	i2	î
㕒	ni2	nî
㕙	tsʰyn1	ʻçiūn
㕚	tsau3	çào
㕦	xua5	hoá
㕧	ʂɨ1	xī
㕧	xi1	hī
㕮	fu3	fù
㕯	ɻɛʔ7	jĕ
㕯	ɻuɛʔ7	juĕ
㖧	xuən1	hoēn
㗀	iəu1	iēu
㗉	liɔʔ7	liŏ
㗱	tsɪʔ7	çiė̆
㗲	xuɛʔ7	hoĕ
㘊	tʂaʔ7	chă
㘲	kiʊʔ7	kiȯ̆
㙚	siŋ1	sīm
㙠	i1	ī
㙠	i5	í
㙩	liau5	leáo
㙪	i5	í
㚂	naŋ5	nám
㚇	tsuŋ1	çūm
㚇	tsuŋ5	çúm
㚤	ɪʔ7	iė̆
㚩	niɛn3	nièn
㛑	tsʰan5	ʻçán
㛸	xi3	hì
㜎	xi1	hī
㜎	xi2	hî
㜲	iŋ2	îm
㜷	mi2	mî
㜸	niɛʔ7	niĕ
㝃	ʋuən5	vén 校註：ven 拼寫疑誤，當作 vuen
㝃	miɛn3	mièn
㝅	nəu3	nèu
㝅	kəu5	kéu
㝅	niəu3	nièu
㝏	kiai5	kiái
㝮	tsʰui5	ʻçúi
㝹	nəu2	nêu
㝾	tsɔ3	çò
㞆	ki3	kì
㞾	ni2	nî
㟅	uaŋ1	uām
㟐	maŋ5	mám
㟧	niɔʔ7	niŏ
㟽	piau3	piào
㟿	maŋ3	màm
㠊	kʰy1	ʻkiụ̄
㠋	niɔʔ7	niŏ
㠙	xau2	hâo
㠥	lʏʔ7	liụ̆
㠥	lui3	lùi
㠥	lyɛʔ7	liuĕ
㠹	kiai5	kiái
㠾	yɛn1	iuēn
㡁	kʰua3	ʻkuà
㡆	xuaŋ1	hoām
㡇	tʂɛʔ7	chĕ
㡗	tʰi2	ʻtî
㡙	pi1	pī
㡝	fuŋ5	fúm
㡠	tsəŋ5	çém
㡳	tʂɨ1	chī
㢋	tʂʰɨ3	ʻchì
㢙	kin5	kín
㢝	su1	sū
㢥	tʰuŋ2	ʻtûm
㢩	tɪʔ7	tiė̆
