#漢字	音標	解釋
㮇	tʰiẽ5	~笔
㿭	tsʰa7	裂~
䀇	kʰu3	用于装芝麻糖的容器
一	i7	
丁	tin1	
七	tɕʰi7	
万	uõ6	
丈	tʂaŋ6	
三	sã1	
上	ʂaŋ6	~山
上	ʂaŋ7	~面
下	xɒ6	~降
下	ɕiɒ6	~降
下	ɕiɒ6	底~
不	pu7	
与	ʯ2	
丐	kai5	
丑	tʂʰəu3	~陋
專	tʂõ1	~门
且	tɕʰie3	
丕	pʰi3	曹~
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiəu1	
兩	liaŋ3	~个
兩	liaŋ3	几~几钱
嚴	ȵiẽ2	~格。另读ŋã3³³,门关~。
嚴	ŋã2	门关~。另读ȵiẽ³³
喪	saŋ1	~事
喪	saŋ5	~失
个	ko5	一~。另读ko¹¹
个	ko6	一~。另读ko²¹³
丫	iɒ1	~头
中	tʂoŋ5	射~
中	tʂoŋ1	当~
丰	foŋ1	
串	tʂʰõ5	
臨	lin2	
丸	uõ2	
丹	tã1	
爲	ui6	~什么
爲	ui2	作~
主	tʂʯ3	~人
麗	li5	美~
舉	tʂʯ3	
乃	nai3	
久	tɕiəu3	
義	ȵi6	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fɒ7	
樂	lo7	
樂	io7	音~
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	~凉
乘	ʂən2	~凉
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	~丐
也	ie3	
也	iɒ3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lõ6	
乳	ʯ3	
乾	tɕʰiẽ2	~坤
了	liau3	~结
爭	tsən1	
事	sɿ6	~情
二	ɚ6	
二	ɚ6	~心
于	ʯ1	
于	ʯ2	关~
虧	kʰui1	
云	ʐʯn2	
云	ʐʯn2	说
互	xu6	
五	u3	
井	tɕin3	
亞	iɒ5	~洲
些	ɕie7	
亡	maŋ2	
交	i7	
交	tɕiau1	~通
亥	xai6	~时
亦	i7	
產	tsʰã3	生~
亨	xən1	
畝	məu3	
享	ɕiaŋ3	~受
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	~家
人	ʐən1	
億	i5	
什	ʂʅ7	~物
仁	ʐən1	~慈
僅	tɕin3	
仆	pʰu7	
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	kai5	~绍
介	tɕiai5	~绍
仍	ʐən2	
从	tsʰoŋ1	~容
从	tsʰoŋ1	跟~
仑	nən2	昆~
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰɒ1	~爸爸
仗	tʂaŋ6	
付	fu5	~钱
仙	ɕiẽ1	
代	tai6	~表
令	lin6	
以	i3	
儀	ȵi2	~表
仰	ȵiaŋ3	~望
仲	tʂoŋ5	另读tʂoŋ¹¹
仲	tʂoŋ6	另读tʂoŋ²¹³
件	tɕʰiẽ6	
價	kɒ5	
價	tɕiɒ5	
任	ʐən2	姓
任	ʐən2	责~
份	fən6	一~两份
仿	aŋ5	~效
仿	aŋ5	~佛
仿	aŋ5	相~
企	tɕʰi5	~业
伊	i1	
伍	u3	
伏	fu7	
伐	fɒ7	
休	ɕiəu1	
